日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"407,608","5,372,503",13.3,13.3,13.1,13.15,-0.15,233
2025/01/03,"364,056","4,759,175",13.15,13.2,12.95,13.15,0.0,221
2025/01/06,"358,446","4,736,636",13.25,13.4,13.0,13.25,0.1,168
2025/01/07,"221,751","2,955,553",13.25,13.45,13.25,13.25,0.0,158
2025/01/08,"282,773","3,801,974",13.5,13.55,13.3,13.55,0.3,167
2025/01/09,"309,681","4,086,760",13.55,13.55,13.05,13.05,-0.5,262
2025/01/10,"479,368","6,182,340",13.05,13.1,12.7,12.8,-0.25,290
2025/01/13,"629,111","7,748,662",12.8,12.8,12.15,12.2,-0.6,356
2025/01/14,"278,355","3,485,672",12.2,12.8,12.2,12.7,0.5,164
2025/01/15,"179,298","2,257,408",12.7,12.75,12.45,12.6,-0.1,186
2025/01/16,"122,875","1,555,180",12.85,12.85,12.6,12.65,0.05,118
2025/01/17,"180,010","2,259,728",12.65,12.7,12.45,12.55,-0.1,157
2025/01/20,"206,846","2,583,376",12.55,12.65,12.45,12.45,-0.1,189
2025/01/21,"140,307","1,755,730",12.45,12.6,12.4,12.5,0.05,158
2025/01/22,"258,558","3,228,975",12.5,12.6,12.4,12.5,0.0,217
2025/02/03,"257,556","3,139,229",12.25,12.45,12.0,12.25,-0.25,303
2025/02/04,"228,426","2,824,698",12.25,12.5,12.25,12.5,0.25,218
2025/02/05,"286,096","3,630,937",12.35,12.95,12.35,12.9,0.4,255
2025/02/06,"307,237","3,931,447",12.9,12.95,12.7,12.8,-0.1,205
2025/02/07,"174,684","2,275,637",12.8,13.15,12.8,12.9,0.1,231
2025/02/10,"262,785","3,445,793",13.4,13.4,12.9,13.15,0.25,277
2025/02/11,"215,054","2,784,189",13.15,13.2,12.85,12.9,-0.25,255
2025/02/12,"266,699","3,447,980",13.15,13.2,12.8,12.85,-0.05,263
2025/02/13,"375,514","4,945,665",12.85,13.3,12.85,13.25,0.4,320
2025/02/14,"337,687","4,454,733",13.3,13.5,13.0,13.45,0.2,336
2025/02/17,"239,128","3,186,697",13.55,13.55,13.25,13.25,-0.2,357
2025/02/18,"235,875","3,139,231",13.25,13.5,13.2,13.3,0.05,225
2025/02/19,"220,069","2,934,799",13.3,13.4,13.2,13.4,0.1,237
2025/02/20,"155,181","2,061,271",13.4,13.4,13.2,13.25,-0.15,238
2025/02/21,"241,297","3,185,905",13.3,13.3,13.1,13.2,-0.05,276
2025/02/24,"216,282","2,863,928",13.05,13.4,13.05,13.15,-0.05,260
2025/02/25,"171,318","2,245,863",13.25,13.25,13.05,13.1,-0.05,249
2025/02/26,"97,842","1,288,564",13.2,13.25,13.1,13.15,0.05,220
2025/02/27,"155,383","2,038,160",13.15,13.2,13.05,13.1,-0.05,218
2025/03/03,"222,928","2,880,899",13.1,13.1,12.85,12.85,-0.25,286
2025/03/04,"187,891","2,389,442",12.85,12.85,12.55,12.85,0.0,268
2025/03/05,"135,560","1,738,847",12.9,12.95,12.75,12.9,0.05,226
2025/03/06,"184,349","2,355,503",12.9,12.95,12.7,12.85,-0.05,223
2025/03/07,"179,546","2,283,883",12.8,12.9,12.65,12.7,-0.15,193
