日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"12,033","763,614",63.6,64.5,62.9,64.3,+0.80,16
2025/01/03,"34,301","2,233,155",64.3,65.3,64.2,65.3,+1.00,22
2025/01/06,"100,390","6,679,346",66.5,67.5,66.0,66.8,+1.50,81
2025/01/07,"48,373","3,290,452",68.3,68.4,67.1,67.6,+0.80,60
2025/01/08,"4,020","266,450",67.2,67.2,65.8,65.8,-1.80,5
2025/01/09,"9,290","612,034",65.8,66.3,65.8,65.8,0.00,15
2025/01/10,"103,527","7,067,254",68.3,68.6,66.7,68.6,+2.80,120
2025/01/13,"26,534","1,803,594",68.6,68.6,67.5,68.1,-0.50,96
2025/01/14,"41,393","2,848,903",68.8,69.0,68.2,68.5,+0.40,49
2025/01/15,"152,104","10,797,599",68.5,72.5,68.1,71.9,+3.40,170
2025/01/16,"71,073","5,107,617",70.0,72.8,70.0,71.8,-0.10,74
2025/01/17,"53,718","3,828,875",71.6,71.8,70.8,71.6,-0.20,61
2025/01/20,"76,028","5,499,629",72.3,72.5,72.0,72.4,+0.80,44
2025/01/21,"39,002","2,811,244",72.1,72.6,70.9,70.9,-1.50,26
2025/01/22,"27,337","1,939,090",72.2,72.2,70.1,71.1,+0.20,35
2025/02/03,"43,110","3,097,600",71.1,73.1,71.0,71.3,+0.20,39
2025/02/04,"15,897","1,134,644",71.6,71.8,71.3,71.3,0.00,22
2025/02/05,"19,134","1,371,235",73.0,73.0,71.2,71.2,-0.10,23
2025/02/06,"28,093","1,980,233",71.2,71.4,70.0,70.2,-1.00,31
2025/02/07,"84,430","5,999,694",68.5,72.0,68.5,70.8,+0.60,71
2025/02/10,"38,144","2,724,507",72.1,72.1,71.0,71.6,+0.80,44
2025/02/11,"93,174","6,777,050",71.8,73.5,71.8,72.2,+0.60,100
2025/02/12,"31,038","2,261,966",72.2,73.4,72.2,73.0,+0.80,23
2025/02/13,"30,467","2,241,437",73.4,74.5,72.7,73.4,+0.40,47
2025/02/14,"44,026","3,217,769",76.8,76.8,72.5,73.4,0.00,"1,013"
2025/02/17,"11,661","847,366",73.1,73.1,72.3,72.3,-1.10,45
2025/02/18,"7,031","508,899",73.0,73.0,71.8,71.8,-0.50,57
2025/02/19,"24,346","1,761,312",72.1,73.4,71.5,73.4,+1.60,41
2025/02/20,"5,197","374,602",72.1,72.1,72.1,72.1,-1.30,11
2025/02/21,"43,388","3,166,584",72.2,73.7,72.0,73.6,+1.50,51
2025/02/24,"88,890","6,580,841",73.7,74.5,72.6,73.6,0.00,57
2025/02/25,"214,534","16,048,983",73.7,75.7,73.7,75.1,+1.50,75
2025/02/26,"72,489","5,429,309",71.1,75.1,71.1,75.1,0.00,40
2025/02/27,"30,965","2,344,662",75.0,76.1,75.0,75.8,+0.70,45
2025/03/03,"44,171","3,358,146",76.7,76.9,75.4,76.0,+0.20,47
2025/03/04,"592,869","44,989,793",74.6,76.5,74.4,75.9,-0.10,38
2025/03/05,"23,299","1,774,937",75.9,76.5,75.7,76.3,+0.40,40
2025/03/06,"105,895","8,045,595",76.2,76.4,75.7,75.9,-0.40,87
2025/03/07,"13,028","984,417",75.4,75.6,75.4,75.6,-0.30,23
2025/03/10,"31,778","2,410,438",75.6,76.1,75.6,75.9,+0.30,38
2025/03/11,"38,495","2,919,916",75.2,76.3,75.2,76.3,+0.40,39
2025/03/12,"199,727","15,804,462",75.7,81.0,75.7,80.6,+4.30,163
2025/03/13,"170,275","14,024,744",81.0,83.6,81.0,81.5,+0.90,318
2025/03/14,"331,820","28,139,556",83.0,85.6,83.0,85.5,+4.00,300
2025/03/17,"606,652","54,262,201",86.4,92.0,86.0,92.0,+6.50,701
2025/03/18,"274,974","25,238,637",95.1,95.1,89.8,90.6,-1.40,843
2025/03/19,"293,627","26,833,764",90.6,93.0,88.8,90.2,-0.40,282
2025/03/20,"243,196","22,239,488",91.0,92.6,90.4,91.5,+1.30,147
2025/03/21,"193,125","17,592,435",91.6,92.0,90.5,90.5,-1.00,111
2025/03/24,"197,890","18,515,564",90.5,94.8,90.5,94.2,+3.70,254
2025/03/25,"432,646","42,463,082",94.9,101.0,94.9,99.2,+5.00,"1,189"
2025/03/26,"271,532","26,980,871",101.0,104.0,92.5,97.2,-2.00,403
2025/03/27,"85,960","8,415,169",97.1,99.9,96.0,99.9,+2.70,124
2025/03/28,"139,206","13,903,847",100.0,101.5,98.1,99.8,-0.10,134
2025/03/31,"97,825","9,687,646",95.9,100.0,95.0,99.9,+0.10,127
2025/04/01,"235,144","24,272,084",99.8,105.0,98.8,103.5,+3.60,245
2025/04/02,"257,917","25,710,339",103.5,105.0,95.0,98.5,-5.00,264
2025/04/07,"17,173","1,523,241",88.7,88.7,88.7,88.7,-9.80,25
2025/04/08,"204,847","18,423,870",85.2,93.6,85.2,91.0,+2.30,293
2025/04/09,"191,614","16,576,673",91.0,91.0,81.9,87.8,-3.20,193
2025/04/10,"1,108,680","105,362,239",96.5,96.5,92.7,95.1,+7.30,200
2025/04/11,"483,333","46,311,335",96.9,98.0,93.7,96.6,+1.50,330
2025/04/14,"603,695","57,347,762",96.6,96.8,92.7,96.7,+0.10,606
2025/04/15,"687,163","70,515,194",96.7,106.0,96.2,98.0,+1.30,550
2025/04/16,"330,247","33,475,651",98.2,103.5,96.4,102.5,+4.50,320
2025/04/17,"427,066","44,039,229",101.5,105.0,100.5,101.5,-1.00,399
2025/04/18,"374,636","39,294,271",102.0,106.0,102.0,105.0,+3.50,403
2025/04/21,"360,444","36,857,016",105.0,107.0,99.0,101.5,-3.50,389
2025/04/22,"168,336","16,945,486",100.0,102.0,99.1,102.0,+0.50,188
2025/04/23,"120,482","12,430,020",104.0,104.0,102.5,102.5,+0.50,104
2025/04/24,"54,401","5,560,804",102.5,103.0,101.0,102.5,0.00,67
2025/04/25,"243,660","24,121,302",102.0,102.0,96.2,99.8,-2.70,231
2025/04/28,"86,625","8,805,285",100.0,103.5,100.0,103.0,+3.20,78
2025/04/29,"480,817","51,624,934",103.5,109.5,103.0,109.0,+6.00,409
2025/04/30,"517,227","53,413,456",112.0,112.0,99.3,100.5,-8.50,673
2025/05/02,"124,078","12,442,117",101.5,102.0,99.5,100.0,-0.50,241
2025/05/05,"131,136","13,212,003",101.5,103.0,98.1,100.0,0.00,173
2025/05/06,"72,976","7,230,628",100.0,101.0,98.5,98.7,-1.30,145
2025/05/07,"192,916","19,708,120",101.0,104.5,99.3,100.0,+1.30,253
2025/05/08,"72,672","7,248,435",100.5,100.5,99.0,99.9,-0.10,86
2025/05/09,"116,620","11,569,147",99.9,101.0,97.5,97.7,-2.20,231
2025/05/12,"60,454","5,884,416",96.5,99.2,96.0,98.5,+0.80,81
2025/05/13,"274,675","28,140,589",99.9,103.5,99.9,103.0,+4.50,244
2025/05/14,"103,001","10,404,031",103.5,103.5,99.5,100.0,-3.00,234
2025/05/15,"112,312","11,485,154",101.0,103.5,100.5,102.0,+2.00,107
2025/05/16,"558,206","59,336,622",103.0,110.0,103.0,107.0,+5.00,664
2025/05/19,"143,351","14,771,332",106.0,106.0,101.0,102.5,-4.50,209
2025/05/20,"120,952","12,830,451",103.0,107.5,102.5,106.0,+3.50,127
2025/05/21,"53,004","5,623,190",106.0,107.0,104.5,107.0,+1.00,66
2025/05/22,"66,519","6,963,639",106.0,106.0,103.0,103.5,-3.50,71
2025/05/23,"138,831","14,236,776",103.5,104.0,101.5,102.5,-1.00,115
2025/05/26,"96,378","9,785,917",102.5,102.5,100.0,101.5,-1.00,86
2025/05/27,"69,609","7,060,842",102.0,103.0,100.5,101.0,-0.50,66
2025/05/28,"92,389","9,325,046",102.0,102.0,100.0,100.0,-1.00,69
2025/05/29,"291,569","28,900,027",100.5,101.0,97.6,97.6,-2.40,363
2025/06/02,"88,290","8,719,639",97.7,99.7,97.5,98.8,+1.20,84
2025/06/03,"70,012","7,038,194",99.1,102.0,98.7,101.0,+2.20,66
2025/06/04,"62,688","6,320,794",101.5,103.0,99.2,99.9,-1.10,116
2025/06/05,"118,319","11,783,494",99.8,100.5,98.0,100.0,+0.10,82
2025/06/06,"118,214","11,850,584",100.5,101.0,99.3,99.8,-0.20,98
2025/06/09,"115,502","11,418,883",100.0,100.0,98.2,98.4,-1.40,150
2025/06/10,"64,017","6,346,470",98.9,100.0,98.5,98.6,+0.20,52
2025/06/11,"388,908","36,174,685",98.0,98.6,89.2,93.1,-5.50,666
2025/06/12,"114,328","10,665,488",93.4,94.6,91.8,93.0,-0.10,109
2025/06/13,"83,801","7,809,880",93.0,94.4,91.5,93.4,+0.40,72
2025/06/16,"87,422","8,139,634",98.6,98.6,91.6,92.1,-1.30,283
2025/06/17,"79,139","7,269,748",92.2,93.3,90.5,92.1,0.00,72
2025/06/18,"45,278","4,208,014",93.3,93.3,92.3,92.8,+0.70,44
2025/06/19,"28,157","2,588,364",91.8,92.7,91.8,91.8,-1.00,33
2025/06/20,"83,061","7,514,831",91.8,93.1,89.5,91.8,0.00,77
2025/06/23,"31,240","2,821,478",91.6,91.8,89.8,90.0,-1.80,61
2025/06/24,"30,063","2,723,308",91.6,91.6,89.8,90.5,+0.50,52
2025/06/25,"25,062","2,248,685",90.5,90.5,89.0,90.4,-0.10,49
2025/06/26,"59,008","5,352,724",90.4,92.2,88.1,91.8,+1.40,51
2025/06/27,"38,662","3,532,781",90.1,92.0,90.1,91.8,0.00,76
2025/06/30,"11,003","1,009,176",92.9,92.9,90.6,91.5,-0.30,13
2025/07/01,"72,228","6,751,381",89.9,96.0,89.9,95.5,+4.00,493
2025/07/02,"66,351","6,300,827",95.5,95.5,93.7,95.4,-0.10,53
2025/07/03,"35,333","3,362,779",94.0,96.4,92.6,95.0,-0.40,117
2025/07/04,"47,032","4,472,940",95.0,96.0,94.0,95.0,0.00,30
2025/07/07,"60,475","5,843,771",95.5,98.0,95.5,96.5,+1.50,72
2025/07/08,"79,421","7,643,963",96.5,98.0,94.0,96.5,0.00,75
2025/07/09,"66,888","6,423,735",95.8,97.0,95.0,96.0,X0.00,229
2025/07/10,"39,489","3,790,434",97.0,97.0,95.1,96.0,0.00,142
2025/07/11,"26,523","2,541,828",95.0,96.5,95.0,96.5,+0.50,189
2025/07/14,"22,012","2,084,532",95.3,95.3,94.1,94.1,-2.40,21
2025/07/15,"116,261","10,900,348",93.1,95.5,92.2,93.5,-0.60,29
2025/07/16,"66,840","6,236,950",92.5,94.0,92.5,92.5,-1.00,322
2025/07/17,"10,550","969,346",92.1,93.0,91.3,91.3,-1.20,15
2025/07/18,"29,078","2,689,789",91.1,93.2,91.1,92.3,+1.00,27
2025/07/21,"27,150","2,517,651",92.2,94.2,92.2,92.5,+0.20,21
2025/07/22,"104,718","9,484,327",92.4,92.8,86.8,86.9,-5.60,336
2025/07/23,"209,409","18,999,030",83.4,94.5,83.4,93.4,+6.50,595
2025/07/24,"44,179","4,150,419",92.1,94.9,92.1,94.0,+0.60,50
2025/07/25,"21,339","2,008,975",93.6,94.9,93.6,94.1,+0.10,25
2025/07/28,"43,309","3,997,143",91.8,93.4,91.2,91.7,-2.40,49
2025/07/29,"17,307","1,587,720",90.8,92.3,90.7,91.3,-0.40,23
2025/07/30,"37,016","3,381,148",91.5,91.7,90.1,91.2,-0.10,29
2025/07/31,"27,131","2,449,050",90.7,90.7,90.1,90.2,-1.00,23
2025/08/01,"36,032","3,259,915",88.8,91.8,88.8,91.0,+0.80,34
2025/08/04,"11,052","999,398",90.4,90.6,90.3,90.3,-0.70,15
2025/08/05,"17,065","1,539,526",89.5,90.4,89.5,90.3,0.00,20
2025/08/06,"46,283","4,174,743",90.1,90.5,90.0,90.0,-0.30,46
2025/08/07,"32,187","2,916,035",90.0,92.8,90.0,90.0,0.00,42
2025/08/08,"93,728","8,689,870",92.5,93.9,90.4,92.1,+2.10,91
2025/08/11,"44,020","4,090,044",92.3,94.0,92.3,92.6,+0.50,30
2025/08/12,"30,000","2,778,700",92.3,93.5,92.3,92.7,+0.10,25
2025/08/13,"41,181","3,857,874",93.2,94.5,92.6,93.4,+0.70,38
2025/08/14,"55,686","5,252,904",93.2,95.2,93.2,93.6,+0.20,51
2025/08/15,"105,082","9,936,582",93.4,95.4,93.4,94.7,+1.10,103
2025/08/18,"26,417","2,486,341",94.0,94.8,93.8,94.1,-0.60,30
2025/08/19,"25,009","2,349,937",93.8,94.0,93.8,93.9,-0.20,28
2025/08/20,"108,269","10,000,687",93.8,93.8,90.6,91.5,-2.40,72
2025/08/21,"15,002","1,378,586",91.8,92.0,91.8,91.8,+0.30,14
2025/08/22,"16,001","1,476,391",91.9,93.3,91.8,91.8,0.00,15
2025/08/25,"43,277","3,966,158",91.9,92.0,91.0,91.0,-0.80,57
2025/08/26,"12,411","1,137,624",91.3,92.0,91.3,91.7,+0.70,17
2025/08/27,"41,105","3,769,096",91.3,92.6,91.3,91.5,-0.20,75
2025/08/28,"15,035","1,376,401",91.5,92.0,91.2,91.3,-0.20,16
2025/08/29,"102,479","9,300,019",91.3,91.3,90.0,90.1,-1.20,74
2025/09/01,"19,115","1,723,576",90.5,90.5,89.9,90.3,+0.20,30
