日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"384,557","13,659,029",35.3,35.95,35.0,35.25,-0.05,321
2025/01/03,"438,326","15,111,816",35.15,35.7,33.7,33.9,-1.35,739
2025/01/06,"316,051","10,623,035",34.0,34.1,33.25,33.5,-0.40,379
2025/01/07,"178,888","5,989,651",33.45,33.95,33.2,33.75,+0.25,200
2025/01/08,"136,607","4,615,507",33.85,34.0,33.45,34.0,+0.25,136
2025/01/09,"139,241","4,717,834",33.95,34.15,33.7,34.1,+0.10,153
2025/01/10,"108,093","3,646,004",34.05,34.1,33.55,33.8,-0.30,165
2025/01/13,"761,069","26,668,101",34.5,35.4,34.45,34.9,+1.10,611
2025/01/14,"563,522","20,090,613",35.0,36.15,35.0,35.5,+0.60,400
2025/01/15,"913,884","32,882,133",35.85,36.25,35.6,35.75,+0.25,486
2025/01/16,"383,814","13,761,349",36.6,36.6,35.55,35.85,+0.10,547
2025/01/17,"404,014","14,394,084",35.6,36.0,35.2,35.9,+0.05,306
2025/01/20,"506,880","17,850,482",35.85,35.85,35.0,35.05,-0.85,438
2025/01/21,"408,926","14,145,180",35.05,35.1,34.35,34.45,-0.60,856
2025/01/22,"204,603","7,088,915",34.5,34.8,34.45,34.6,+0.15,181
2025/02/03,"125,276","4,275,264",34.3,34.4,33.85,34.4,-0.20,371
2025/02/04,"555,954","19,520,410",34.45,35.45,34.45,34.95,+0.55,310
2025/02/05,"310,794","11,090,575",34.95,36.05,34.95,35.95,+1.00,261
2025/02/06,"159,476","5,747,498",36.1,36.2,35.6,36.2,+0.25,160
2025/02/07,"101,540","3,666,180",36.2,36.3,35.9,36.15,-0.05,108
2025/02/10,"195,866","7,106,146",36.15,36.5,36.0,36.15,0.00,169
2025/02/11,"372,836","13,690,383",36.65,37.0,36.5,36.7,+0.55,206
2025/02/12,"146,585","5,367,331",36.8,36.85,36.3,36.8,+0.10,115
2025/02/13,"270,379","10,030,384",36.9,37.35,36.85,36.85,+0.05,192
2025/02/14,"96,739","3,563,726",36.9,37.0,36.65,36.8,-0.05,106
2025/02/17,"120,687","4,392,816",36.95,36.95,36.25,36.45,-0.35,185
2025/02/18,"84,077","3,053,916",36.3,36.55,36.15,36.45,0.00,105
2025/02/19,"81,837","2,965,208",36.3,36.5,36.1,36.3,-0.15,641
2025/02/20,"286,583","10,599,336",36.3,37.75,36.25,37.25,+0.95,255
2025/02/21,"265,211","9,937,130",37.35,37.8,37.05,37.35,+0.10,208
2025/02/24,"127,734","4,778,283",37.65,37.65,37.1,37.4,+0.05,136
2025/02/25,"157,910","5,898,271",37.4,37.45,37.05,37.45,+0.05,194
2025/02/26,"51,115","1,908,628",37.45,37.55,37.15,37.2,-0.25,68
2025/02/27,"728,141","27,655,945",37.45,38.3,37.3,37.9,+0.70,461
2025/03/03,"239,249","9,093,824",38.3,38.3,37.75,38.0,+0.10,181
2025/03/04,"169,131","6,367,722",37.9,38.0,37.25,37.9,-0.10,147
2025/03/05,"106,992","4,023,595",37.9,37.9,37.4,37.75,-0.15,141
2025/03/06,"171,300","6,412,868",37.75,37.75,37.25,37.7,-0.05,140
2025/03/07,"112,734","4,227,109",37.65,37.9,37.25,37.45,-0.25,104
2025/03/10,"503,183","18,238,920",37.2,37.2,35.85,35.95,-1.50,700
2025/03/11,"810,709","29,632,136",35.95,37.05,35.85,36.35,+0.40,452
2025/03/12,"168,488","6,208,383",36.75,37.05,36.6,36.8,+0.45,220
2025/03/13,"160,602","5,915,330",37.0,37.1,36.65,36.95,+0.15,192
2025/03/14,"125,328","4,620,023",36.95,37.1,36.45,37.1,+0.15,139
2025/03/17,"129,505","4,767,834",37.15,37.3,36.5,36.8,-0.30,138
2025/03/18,"268,641","9,987,341",37.0,37.4,36.8,37.35,+0.55,213
2025/03/19,"287,487","10,851,574",37.4,38.0,37.35,37.75,+0.40,301
2025/03/20,"126,803","4,791,382",37.75,38.0,37.65,37.9,+0.15,105
2025/03/21,"221,416","8,415,843",38.25,38.75,37.8,38.1,+0.20,200
2025/03/24,"417,691","15,981,286",38.2,38.5,38.0,38.2,+0.10,240
2025/03/25,"520,469","19,903,953",38.2,38.7,37.95,37.95,-0.25,292
2025/03/26,"131,875","5,035,124",38.25,38.3,38.0,38.25,+0.30,115
2025/03/27,"221,642","8,378,452",38.25,38.25,37.65,37.75,-0.50,131
2025/03/28,"327,722","12,213,197",37.55,37.95,37.0,37.1,-0.65,191
2025/03/31,"485,549","17,432,182",36.7,36.95,35.3,35.3,-1.80,363
2025/04/01,"373,216","13,404,233",35.3,36.3,35.3,36.25,+0.95,265
2025/04/02,"171,382","6,205,479",36.3,36.4,35.95,36.3,+0.05,111
2025/04/07,"154,794","5,061,750",32.7,32.7,32.7,32.7,-3.60,98
2025/04/08,"600,388","17,765,624",30.0,30.5,29.45,29.45,-3.25,418
2025/04/09,"813,157","21,738,961",26.85,27.25,26.55,26.55,-2.90,673
2025/04/10,"539,184","15,671,815",29.1,29.2,28.45,29.1,+2.55,324
2025/04/11,"689,922","19,278,662",27.35,28.85,26.9,28.55,-0.55,402
2025/04/14,"468,364","13,362,631",28.7,29.35,28.2,28.3,-0.25,391
2025/04/15,"355,223","10,187,239",28.35,29.0,28.3,28.8,+0.50,188
2025/04/16,"232,609","6,607,631",28.8,28.8,28.25,28.3,-0.50,271
2025/04/17,"144,611","4,069,491",28.15,28.35,27.95,28.15,-0.15,125
2025/04/18,"119,189","3,395,909",28.2,28.7,28.2,28.5,+0.35,86
