日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"3,128,091","1,034,972,865",320.0,336.0,319.5,330.0,+9.00,"5,523"
2025/01/03,"1,905,683","628,905,944",330.0,338.0,325.0,328.5,-1.50,"7,740"
2025/01/06,"1,665,169","549,729,708",331.0,333.5,327.0,329.0,+0.50,"3,117"
2025/01/07,"1,783,793","588,434,952",330.0,332.0,327.5,327.5,-1.50,"1,616"
2025/01/08,"1,961,848","661,702,129",327.5,343.0,327.5,342.0,+14.50,"2,469"
2025/01/09,"1,658,307","567,852,690",342.0,345.5,339.0,342.0,0.00,"1,829"
2025/01/10,"1,035,925","348,980,481",340.0,342.0,334.0,337.0,-5.00,"1,210"
2025/01/13,"1,339,473","449,151,002",336.0,338.0,331.5,335.0,-2.00,"1,487"
2025/01/14,"1,192,894","404,136,976",335.0,342.5,334.5,337.0,+2.00,"1,085"
2025/01/15,"1,126,704","383,009,860",339.0,342.0,335.5,340.0,+3.00,"1,108"
2025/01/16,"1,273,360","439,040,274",342.5,348.5,340.0,340.0,0.00,"1,549"
2025/01/17,"932,287","321,023,089",342.5,347.5,341.0,345.0,+5.00,"1,015"
2025/01/20,"934,718","325,759,837",346.5,350.0,342.5,347.0,+2.00,"1,015"
2025/01/21,"660,223","227,285,001",347.0,348.0,341.5,343.0,-4.00,874
2025/01/22,"783,111","270,241,159",344.5,347.0,340.5,347.0,+4.00,883
2025/02/03,"1,933,212","680,959,298",344.0,357.5,340.5,357.5,+10.50,"2,174"
2025/02/04,"1,670,981","586,671,355",353.5,357.5,348.0,352.0,-5.50,"2,020"
2025/02/05,"1,369,700","488,360,729",355.0,360.0,351.5,354.5,+2.50,"1,678"
2025/02/06,"955,969","338,176,689",355.0,357.5,350.5,355.5,+1.00,"1,220"
2025/02/07,"714,798","252,510,938",355.5,357.0,350.5,355.0,-0.50,979
2025/02/10,"909,882","318,194,064",355.0,355.0,348.0,348.0,-7.00,"1,278"
2025/02/11,"1,111,814","388,459,534",351.0,353.0,346.5,351.5,+3.50,"1,214"
2025/02/12,"1,082,380","382,422,102",361.0,361.0,349.5,352.5,+1.00,"1,272"
2025/02/13,"906,041","320,170,117",353.5,356.0,351.0,354.5,+2.00,959
2025/02/14,"1,132,739","393,674,022",353.5,354.0,345.0,349.5,-5.00,"1,598"
2025/02/17,"371,526","129,520,649",350.0,351.0,346.0,349.0,-0.50,732
2025/02/18,"1,701,322","607,556,086",348.0,360.5,347.0,360.0,+11.00,"1,861"
2025/02/19,"750,115","267,724,856",359.5,360.0,355.5,357.5,-2.50,916
2025/02/20,"1,941,306","710,160,544",358.0,369.5,358.0,369.5,+12.00,"2,381"
2025/02/21,"2,986,632","1,147,820,555",370.0,395.0,367.0,389.5,+20.00,"3,951"
2025/02/24,"1,279,633","487,787,757",387.0,387.0,378.0,380.5,-9.00,"2,155"
2025/02/25,"1,079,896","411,809,448",383.0,386.0,378.5,381.0,+0.50,"1,253"
2025/02/26,"746,318","281,396,948",379.5,380.0,375.0,377.5,-3.50,"1,313"
2025/02/27,"876,051","331,006,006",378.5,381.5,374.5,377.0,-0.50,"1,009"
2025/03/03,"1,387,873","528,237,985",376.0,388.0,373.5,385.0,+8.00,"1,648"
2025/03/04,"1,842,140","704,679,140",382.0,386.0,376.0,384.0,-1.00,"1,867"
2025/03/05,"1,273,951","491,142,397",384.5,389.5,380.5,384.5,+0.50,"1,405"
2025/03/06,"1,239,855","477,740,461",382.5,387.5,382.5,384.0,-0.50,"1,658"
2025/03/07,"1,316,140","505,800,091",385.0,386.0,382.5,384.5,+0.50,"1,259"
2025/03/10,"1,244,423","470,865,219",384.5,384.5,375.0,379.0,-5.50,"1,060"
2025/03/11,"3,172,167","1,154,738,494",376.0,376.0,359.0,361.5,-17.50,"4,459"
