日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,046,870","200,459,238",192.0,195.5,189.0,189.0,-3.00,"1,222"
2025/01/03,"694,747","133,231,952",191.0,194.5,190.0,191.5,+2.50,933
2025/01/06,"839,339","162,415,214",193.0,195.0,190.5,194.5,+3.00,919
2025/01/07,"644,308","124,203,793",195.0,195.5,191.5,191.5,-3.00,801
2025/01/08,"680,210","129,836,858",192.0,194.0,189.5,190.0,-1.50,870
2025/01/09,"1,650,076","304,335,671",190.0,190.5,180.0,180.0,-10.00,"2,582"
2025/01/10,"1,174,260","210,530,086",180.0,182.0,177.0,179.0,-1.00,"1,539"
2025/01/13,"2,135,940","371,455,489",177.5,177.5,168.5,176.5,-2.50,"2,233"
2025/01/14,"1,124,900","198,304,642",176.5,180.0,174.0,174.5,-2.00,"3,679"
2025/01/15,"566,860","98,660,155",174.5,176.0,172.5,172.5,-2.00,"1,808"
2025/01/16,"960,949","169,109,182",176.5,177.5,173.5,177.0,+4.50,"1,714"
2025/01/17,"480,298","84,487,481",178.0,178.0,174.5,176.5,-0.50,"5,277"
2025/01/20,"441,116","78,619,954",177.5,179.0,176.5,179.0,+2.50,"1,415"
2025/01/21,"480,558","86,320,238",177.0,181.0,177.0,180.0,+1.00,"1,037"
2025/01/22,"1,111,340","204,056,710",180.0,186.5,180.0,186.5,+6.50,"1,906"
2025/02/03,"1,356,064","241,174,570",185.0,185.0,174.0,177.5,-9.00,"4,070"
2025/02/04,"506,458","88,913,572",178.5,178.5,174.5,174.5,-3.00,808
2025/02/05,"703,480","123,979,235",175.5,178.5,174.5,174.5,0.00,794
2025/02/06,"576,533","102,133,790",175.5,178.5,175.5,178.0,+3.50,772
2025/02/07,"463,957","81,581,852",178.0,178.0,175.0,175.0,-3.00,"1,246"
2025/02/10,"942,385","161,877,381",174.0,174.0,170.0,171.5,-3.50,"1,110"
2025/02/11,"1,490,879","265,408,220",177.0,180.0,176.0,178.5,+7.00,"1,541"
2025/02/12,"1,150,264","205,670,840",180.0,182.0,175.5,175.5,-3.00,"2,006"
2025/02/13,"1,396,161","252,087,441",177.0,183.5,177.0,181.5,+6.00,"2,117"
2025/02/14,"626,427","112,997,402",184.0,184.0,179.0,179.5,-2.00,"4,000"
2025/02/17,"687,675","125,536,916",183.0,184.0,181.0,182.0,+2.50,950
2025/02/18,"527,470","96,090,149",182.0,183.5,180.0,183.5,+1.50,"2,178"
2025/02/19,"1,594,962","298,621,198",183.0,189.5,182.0,188.0,+4.50,"1,945"
2025/02/20,"13,366,316","2,686,132,096",189.5,206.0,188.0,206.0,+18.00,"15,728"
2025/02/21,"29,113,599","6,194,167,353",204.5,223.0,203.0,203.0,-3.00,"31,608"
2025/02/24,"9,617,690","1,977,668,694",202.0,210.5,200.0,202.0,-1.00,"9,590"
2025/02/25,"3,911,680","771,042,286",202.0,202.0,195.0,195.0,-7.00,"4,394"
2025/02/26,"3,909,158","754,327,034",196.0,197.5,190.0,191.5,-3.50,"4,202"
2025/02/27,"2,814,412","537,203,843",192.0,196.0,188.0,188.0,-3.50,"3,261"
2025/03/03,"2,449,933","451,945,999",187.0,190.5,181.5,181.5,-6.50,"2,940"
2025/03/04,"2,030,139","362,395,757",179.0,182.5,174.5,182.0,+0.50,"2,307"
2025/03/05,"2,441,900","453,633,463",182.5,189.0,181.0,185.5,+3.50,"2,484"
2025/03/06,"1,842,269","337,244,714",186.5,188.0,180.0,180.5,-5.00,"2,304"
2025/03/07,"1,005,109","180,872,440",180.5,182.5,178.0,178.0,-2.50,"1,500"
2025/03/10,"1,182,342","211,983,008",180.5,182.0,177.0,177.5,-0.50,"1,444"
2025/03/11,"1,726,247","296,081,963",172.0,173.5,169.0,171.5,-6.00,"2,318"
2025/03/12,"1,119,650","192,346,186",173.0,173.5,171.0,171.0,-0.50,"1,450"
2025/03/13,"1,835,895","310,554,552",172.5,173.5,166.5,167.0,-4.00,"2,846"
2025/03/14,"1,099,961","184,001,426",168.0,169.0,165.5,168.5,+1.50,"1,559"
2025/03/17,"745,439","126,501,176",169.5,171.0,168.5,169.0,+0.50,"1,667"
2025/03/18,"860,204","146,244,156",170.0,171.0,168.5,171.0,+2.00,"1,009"
2025/03/19,"996,363","168,567,607",171.0,171.5,168.0,168.0,-3.00,"1,252"
2025/03/20,"520,580","88,651,036",170.5,171.0,169.0,171.0,+3.00,693
2025/03/21,"1,210,509","203,758,946",170.5,170.5,167.0,167.0,-4.00,"1,262"
2025/03/24,"1,411,197","237,306,254",169.5,171.0,166.5,166.5,-0.50,"1,575"
2025/03/25,"1,046,440","173,757,989",168.0,168.5,164.0,164.5,-2.00,"1,661"
2025/03/26,"2,572,433","437,787,202",165.0,171.5,165.0,171.5,+7.00,"2,634"
2025/03/27,"1,812,812","307,995,627",170.5,171.5,168.5,170.0,-1.50,"1,920"
2025/03/28,"2,808,723","465,592,848",170.5,172.0,161.5,162.5,-7.50,"3,444"
2025/03/31,"3,085,765","459,655,615",154.5,155.0,146.5,146.5,-16.00,"4,109"
2025/04/01,"2,960,974","435,321,671",146.0,151.0,143.5,150.0,+3.50,"2,834"
2025/04/02,"3,465,551","537,990,757",150.5,159.0,149.5,155.0,+5.00,"3,397"
2025/04/07,"256,785","35,821,405",139.5,139.5,139.5,139.5,-15.50,699
2025/04/08,"1,406,883","177,471,889",126.0,128.5,126.0,126.0,-13.50,"1,892"
2025/04/09,"3,831,449","445,023,018",117.0,120.5,113.5,113.5,-12.50,"3,649"
2025/04/10,"1,048,648","130,402,640",124.5,124.5,123.0,124.5,+11.00,878
2025/04/11,"4,243,958","555,989,187",123.0,136.5,120.0,136.5,+12.00,"5,156"
2025/04/14,"3,664,574","512,401,301",140.0,144.5,136.0,137.5,+1.00,"3,384"
2025/04/15,"2,674,498","383,504,341",139.0,147.0,139.0,143.5,+6.00,"3,006"
2025/04/16,"1,567,699","222,515,398",142.0,144.5,140.0,141.0,-2.50,"2,326"
2025/04/17,"1,159,154","162,788,461",139.0,142.5,137.5,142.5,+1.50,"1,212"
2025/04/18,"1,072,135","151,052,947",143.0,143.5,139.5,140.0,-2.50,"1,218"
2025/04/21,"722,775","100,214,814",139.0,140.5,137.5,138.0,-2.00,932
2025/04/22,"1,039,503","141,160,645",136.0,139.0,133.5,134.5,-3.50,"1,099"
2025/04/23,"1,115,713","155,922,411",139.0,141.0,138.0,140.5,+6.00,"1,048"
2025/04/24,"728,272","101,156,634",141.0,141.0,137.5,138.5,-2.00,802
2025/04/25,"984,654","138,812,206",142.0,143.0,139.0,139.5,+1.00,989
2025/04/28,"598,697","84,106,285",141.0,141.5,139.0,140.5,+1.00,618
2025/04/29,"1,068,247","152,569,012",142.0,144.5,139.5,144.5,+4.00,"1,119"
2025/04/30,"1,083,035","154,801,707",144.0,145.5,141.0,142.0,-2.50,"1,653"
2025/05/02,"3,178,160","487,640,460",144.5,156.0,144.0,156.0,+14.00,"2,488"
2025/05/05,"19,706,977","3,323,562,445",163.5,171.5,162.5,171.0,+15.00,"16,065"
2025/05/06,"11,347,525","1,921,719,799",171.5,172.5,166.0,170.0,-1.00,"10,643"
2025/05/07,"3,118,173","522,127,882",170.0,171.0,166.0,166.5,-3.50,"2,981"
2025/05/08,"2,394,196","400,970,964",169.0,169.5,166.0,166.0,-0.50,"2,174"
2025/05/09,"2,944,993","490,075,223",169.0,170.0,163.5,166.0,0.00,"4,000"
2025/05/12,"3,892,610","655,901,670",166.5,171.0,165.5,165.5,-0.50,"3,751"
2025/05/13,"2,103,917","349,403,218",167.0,168.0,165.0,165.0,-0.50,"2,054"
2025/05/14,"2,271,793","381,255,208",167.0,170.0,165.5,167.5,+2.50,"1,996"
2025/05/15,"2,006,459","336,799,750",168.0,170.0,165.5,167.5,0.00,"1,949"
2025/05/16,"17,763,693","3,238,062,687",171.5,184.0,171.5,184.0,+16.50,"14,581"
2025/05/19,"43,537,892","8,356,102,738",188.0,202.0,185.0,193.5,+9.50,"32,790"
2025/05/20,"22,560,724","4,325,479,073",194.5,197.5,184.0,184.0,-9.50,"18,803"
2025/05/21,"6,977,360","1,260,599,009",182.5,183.0,178.5,181.0,-3.00,"6,690"
2025/05/22,"26,461,047","5,036,157,955",183.5,196.5,181.5,188.5,+7.50,"24,692"
2025/05/23,"19,964,499","3,857,354,775",190.0,198.0,187.0,194.5,+6.00,"19,241"
2025/05/26,"11,264,979","2,141,099,224",195.0,195.5,187.0,187.0,-7.50,"10,107"
2025/05/27,"9,445,502","1,753,959,759",189.5,190.5,182.0,183.0,-4.00,"7,849"
2025/05/28,"5,195,384","946,138,822",186.0,186.5,179.5,182.0,-1.00,"4,971"
2025/05/29,"4,703,066","839,920,010",183.5,184.0,176.0,179.0,-3.00,"4,541"
2025/06/02,"4,175,837","725,603,219",176.5,177.5,172.0,173.0,-6.00,"3,783"
2025/06/03,"3,592,398","624,207,545",173.5,177.5,171.5,172.0,-1.00,"3,267"
2025/06/04,"2,714,917","473,912,621",174.5,176.0,172.5,175.5,+3.50,"2,224"
2025/06/05,"2,869,008","500,955,521",174.5,178.0,172.5,172.5,-3.00,"2,816"
2025/06/06,"1,979,697","345,241,479",174.5,176.0,173.0,173.0,+0.50,"2,443"
2025/06/09,"2,385,151","417,239,208",175.0,177.0,173.5,174.0,+1.00,"2,212"
2025/06/10,"1,855,937","327,196,535",175.5,177.5,174.0,177.0,+3.00,"2,554"
2025/06/11,"6,597,939","1,192,825,397",180.0,184.0,178.5,181.0,+4.00,"6,073"
2025/06/12,"4,556,959","832,554,120",180.0,185.0,179.5,181.5,+0.50,"4,269"
2025/06/13,"7,382,367","1,355,159,813",181.5,188.0,180.5,181.5,0.00,"6,213"
2025/06/16,"3,337,011","610,674,944",181.0,184.5,179.5,184.5,+3.00,"3,085"
2025/06/17,"3,938,059","729,010,732",185.5,187.0,183.5,185.0,+0.50,"3,587"
2025/06/18,"14,052,318","2,665,540,190",184.0,194.0,184.0,187.0,+2.00,"11,855"
2025/06/19,"4,724,879","868,975,371",187.5,189.0,181.5,183.0,-4.00,"10,659"
2025/06/20,"4,229,257","762,991,192",181.5,183.0,178.5,179.5,-3.50,"4,016"
2025/06/23,"3,199,746","576,477,506",176.5,184.0,175.0,183.0,+3.50,"3,095"
2025/06/24,"4,306,659","792,714,041",187.0,187.0,182.0,184.5,+1.50,"4,899"
2025/06/25,"1,759,149","324,220,289",186.5,186.5,182.5,182.5,-2.00,"2,000"
2025/06/26,"1,903,615","350,987,376",184.0,186.0,183.0,183.5,+1.00,"3,569"
2025/06/27,"5,957,843","1,109,023,422",186.5,189.0,183.5,184.0,+0.50,"5,217"
2025/06/30,"2,199,989","397,889,348",185.0,185.0,179.5,179.5,-4.50,"2,752"
2025/07/01,"1,540,617","279,354,988",180.5,183.0,180.0,180.5,+1.00,"1,579"
2025/07/02,"3,052,798","560,791,782",180.0,185.5,179.5,184.5,+4.00,"2,680"
2025/07/03,"2,190,813","406,171,455",185.0,187.5,184.0,185.5,+1.00,"1,987"
2025/07/04,"2,000,680","363,780,797",185.5,185.5,180.0,180.5,-5.00,"4,987"
2025/07/07,"1,475,800","261,881,516",180.5,180.5,176.5,177.0,-3.50,"1,826"
2025/07/08,"1,510,746","264,435,475",175.0,177.5,172.5,176.0,-1.00,"1,777"
2025/07/09,"1,045,419","184,036,634",176.0,178.0,173.5,178.0,+2.00,"1,393"
