日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"32,521","415,486",12.85,12.85,12.75,12.85,-0.15,32
2025/01/03,"25,500","326,034",12.8,12.85,12.75,12.75,-0.1,19
2025/01/06,"101,767","1,289,387",12.7,12.7,12.6,12.7,-0.05,59
2025/01/07,"123,279","1,542,286",12.7,12.7,12.35,12.4,-0.3,93
2025/01/08,"38,005","472,812",12.5,12.6,12.4,12.4,0.0,28
2025/01/09,"88,528","1,073,872",12.3,12.3,12.05,12.05,-0.35,77
2025/01/10,"106,749","1,266,780",11.7,12.0,11.7,11.95,-0.1,77
2025/01/13,"39,253","459,502",11.95,11.95,11.65,11.8,-0.15,50
2025/01/14,"95,603","1,119,049",11.65,12.05,11.6,12.05,0.25,67
2025/01/15,"54,420","644,560",11.75,12.05,11.75,12.0,-0.05,35
2025/01/16,"49,275","587,181",11.95,12.05,11.85,12.05,0.05,34
2025/01/17,"45,004","547,751",12.0,12.25,12.0,12.2,0.15,29
2025/01/20,"45,225","552,804",12.2,12.3,12.2,12.25,0.05,22
2025/01/21,"57,228","697,690",12.25,12.3,12.1,12.2,-0.05,33
2025/01/22,"21,155","257,591",12.2,12.2,12.1,12.2,0.0,26
2025/02/03,"33,136","402,272",12.2,12.2,12.05,12.2,0.0,47
2025/02/04,"42,154","505,726",12.2,12.2,11.85,12.05,-0.15,49
2025/02/05,"49,249","597,369",12.1,12.25,12.05,12.25,0.2,55
2025/02/06,"90,332","1,087,565",12.2,12.2,11.7,12.2,-0.05,58
2025/02/07,"54,635","668,730",12.3,12.3,12.15,12.25,0.05,41
2025/02/10,"165,119","2,023,178",12.25,12.5,12.0,12.3,0.05,80
2025/02/11,"88,163","1,080,956",12.4,12.45,12.15,12.3,0.0,62
2025/02/12,"48,114","593,144",12.45,12.45,12.2,12.2,-0.1,46
2025/02/13,"376,037","4,890,245",12.2,13.4,12.2,13.4,1.2,202
2025/02/14,"562,918","7,820,454",14.5,14.5,13.4,13.5,0.1,332
2025/02/17,"638,581","8,342,938",13.3,13.3,13.0,13.05,-0.45,226
2025/02/18,"71,217","932,426",13.05,13.2,13.0,13.2,0.15,62
2025/02/19,"242,226","3,147,235",13.15,13.3,12.8,13.3,0.1,125
2025/02/20,"34,374","454,471",13.25,13.25,13.15,13.25,-0.05,50
2025/02/21,"75,154","987,032",13.15,13.3,13.0,13.3,0.05,67
2025/02/24,"113,337","1,484,300",13.3,13.3,12.9,13.3,0.0,81
2025/02/25,"73,690","973,241",13.3,13.3,13.05,13.25,-0.05,71
2025/02/26,"67,751","888,593",13.1,13.25,13.05,13.1,-0.15,57
2025/02/27,"220,952","2,852,669",13.15,13.15,12.8,13.1,0.0,71
2025/03/03,"15,680","205,021",13.2,13.2,13.0,13.1,0.0,40
2025/03/04,"48,527","630,528",13.0,13.1,12.9,13.05,-0.05,39
2025/03/05,"41,321","537,625",13.0,13.05,13.0,13.05,0.0,46
2025/03/06,"58,119","754,317",13.05,13.1,12.9,12.9,-0.15,54
2025/03/07,"72,624","937,709",12.9,13.0,12.85,13.0,0.1,56
2025/03/10,"43,255","557,224",12.85,13.0,12.8,12.9,-0.1,41
2025/03/11,"83,144","1,064,452",12.9,12.9,12.7,12.75,-0.15,74
2025/03/12,"59,465","756,142",12.75,12.8,12.6,12.75,0.0,48
2025/03/13,"47,537","602,019",12.95,12.95,12.6,12.8,0.05,44
2025/03/14,"64,109","820,504",12.9,12.9,12.7,12.85,0.05,49
2025/03/17,"163,111","2,113,377",12.85,13.1,12.85,13.0,0.15,80
2025/03/18,"69,111","898,388",12.9,13.1,12.9,13.0,0.0,47
2025/03/19,"188,234","2,454,477",13.05,13.1,13.0,13.0,0.0,77
2025/03/20,"122,230","1,605,306",13.05,13.2,13.05,13.2,0.2,73
2025/03/21,"317,378","4,253,448",13.1,13.6,13.1,13.55,0.35,181
2025/03/24,"116,616","1,557,953",13.55,13.55,13.25,13.3,-0.25,87
2025/03/25,"79,226","1,051,511",13.2,13.35,13.2,13.3,0.0,54
2025/03/26,"38,173","503,211",13.2,13.2,13.15,13.2,-0.1,34
2025/03/27,"163,116","2,122,117",13.15,13.15,12.95,12.95,-0.25,74
2025/03/28,"1,550,609","20,991,988",12.95,14.15,12.9,14.0,1.05,806
2025/03/31,"857,364","11,504,651",13.2,13.75,13.1,13.3,-0.7,444
2025/04/01,"221,314","2,930,821",13.3,13.4,13.1,13.35,0.05,158
2025/04/02,"352,480","4,810,227",13.4,13.9,13.4,13.6,0.25,325
2025/04/07,"48,810","597,915",12.25,12.25,12.25,12.25,-1.35,52
2025/04/08,"1,321,722","15,059,268",11.1,11.8,11.1,11.8,-0.45,294
2025/04/09,"607,357","6,642,585",11.6,11.6,10.65,10.8,-1.0,259
2025/04/10,"504,489","5,872,381",11.45,11.85,11.35,11.85,1.05,277
2025/04/11,"193,441","2,209,579",11.7,11.7,11.25,11.6,-0.25,136
2025/04/14,"153,776","1,770,973",11.5,11.6,11.4,11.45,-0.15,166
2025/04/15,"628,055","7,769,812",11.7,12.55,11.7,12.55,1.1,480
2025/04/16,"246,892","3,052,977",12.5,12.5,12.1,12.3,-0.25,161
2025/04/17,"121,277","1,468,863",12.3,12.3,12.0,12.2,-0.1,85
2025/04/18,"94,008","1,145,519",12.2,12.35,12.1,12.2,0.0,65
2025/04/21,"128,839","1,538,451",12.2,12.2,11.85,11.9,-0.3,91
2025/04/22,"93,988","1,079,807",11.55,11.85,11.3,11.5,-0.4,71
2025/04/23,"153,401","1,776,669",11.8,11.8,11.5,11.65,0.15,92
2025/04/24,"77,646","895,447",11.75,11.75,11.45,11.5,-0.15,61
2025/04/25,"133,630","1,541,363",11.55,11.65,11.45,11.5,0.0,81
2025/04/28,"137,306","1,596,055",11.7,11.75,11.5,11.6,0.1,73
2025/04/29,"94,836","1,108,395",11.55,11.8,11.55,11.75,0.15,58
2025/04/30,"62,050","732,839",11.75,11.9,11.7,11.9,0.15,53
2025/05/02,"155,503","1,856,992",11.9,12.2,11.75,11.85,-0.05,101
2025/05/05,"98,111","1,163,619",11.9,12.0,11.8,11.85,0.0,57
2025/05/06,"67,250","791,464",11.85,11.9,11.65,11.7,-0.15,71
2025/05/07,"59,692","699,128",11.85,11.85,11.65,11.75,0.05,38
2025/05/08,"113,004","1,305,146",11.2,11.85,11.2,11.85,0.1,59
2025/05/09,"240,585","2,937,363",12.2,12.5,12.1,12.1,0.25,141
2025/05/12,"84,825","1,035,379",12.2,12.3,12.1,12.2,0.1,69
2025/05/13,"56,103","677,406",12.1,12.25,12.0,12.05,-0.15,51
2025/05/14,"77,870","937,060",12.25,12.25,11.95,12.15,0.1,137
2025/05/15,"101,382","1,215,446",12.15,12.15,11.9,12.0,-0.15,71
2025/05/16,"182,931","2,194,245",11.9,12.15,11.9,12.0,0.0,107
2025/05/19,"51,498","609,855",12.0,12.0,11.75,11.9,-0.1,55
2025/05/20,"40,986","487,579",11.9,12.0,11.85,12.0,0.1,55
2025/05/21,"56,411","674,637",12.0,12.1,11.85,12.05,0.05,44
2025/05/22,"39,027","464,066",11.95,12.0,11.85,11.95,-0.1,32
2025/05/23,"157,812","1,906,809",12.0,12.25,12.0,12.05,0.1,94
2025/05/26,"89,558","1,085,764",12.05,12.25,12.05,12.05,0.0,62
