日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"4,732","32,376",6.85,6.98,6.85,6.98,0.00,26
2025/01/03,"24,234","169,215",6.98,7.00,6.98,7.00,+0.02,27
2025/01/06,"23,108","158,653",6.82,6.99,6.81,6.99,-0.01,28
2025/01/07,"20,005","139,415",6.95,7.09,6.95,7.09,+0.10,15
2025/01/08,"31,021","221,022",7.10,7.15,7.08,7.15,+0.06,26
2025/01/09,"46,305","327,986",7.00,7.11,7.00,7.09,-0.06,32
2025/01/10,"22,524","159,289",6.95,7.10,6.95,7.09,0.00,17
2025/01/13,"74,819","529,366",7.09,7.11,7.04,7.11,+0.02,52
2025/01/14,"20,026","140,383",7.11,7.11,6.91,7.11,0.00,28
2025/01/15,"2,023","14,374",7.11,7.11,7.11,7.11,0.00,23
2025/01/16,"19,088","135,431",7.09,7.11,7.08,7.10,-0.01,22
2025/01/17,"1,008","7,156",7.10,7.10,7.10,7.10,0.00,9
2025/01/20,"56,513","400,826",7.11,7.27,7.00,7.27,+0.17,22
2025/01/21,"66,023","475,942",7.27,7.27,7.10,7.23,-0.04,35
2025/01/22,"9,722","69,939",7.23,7.25,7.11,7.11,-0.12,15
2025/02/03,"24,076","169,288",7.11,7.20,7.00,7.20,+0.09,53
2025/02/04,"28,046","197,325",7.15,7.15,7.00,7.10,-0.10,36
2025/02/05,"25,041","171,328",7.00,7.06,6.61,7.06,-0.04,46
2025/02/06,"14,028","96,695",7.00,7.02,6.76,7.02,-0.04,39
2025/02/07,"24,826","172,679",6.82,7.00,6.82,6.98,-0.04,46
2025/02/10,"16,072","111,978",6.90,7.00,6.90,7.00,+0.02,60
2025/02/11,"51,042","359,835",7.50,7.50,6.98,7.00,0.00,66
2025/02/12,"42,777","299,347",7.00,7.14,6.95,7.10,+0.10,89
2025/02/13,"33,168","232,769",7.10,7.10,7.00,7.03,-0.07,73
2025/02/14,"19,722","137,816",7.03,7.07,6.90,6.91,-0.12,77
2025/02/17,"32,296","225,403",6.95,7.07,6.95,7.06,+0.15,71
2025/02/18,"26,050","182,222",7.06,7.06,6.95,7.03,-0.03,59
2025/02/19,"52,054","366,006",7.32,7.32,6.91,7.04,+0.01,65
2025/02/20,"27,568","192,864",6.90,7.08,6.90,7.08,+0.04,77
2025/02/21,"44,352","311,713",7.05,7.09,6.99,7.09,+0.01,58
2025/02/24,"24,166","169,672",7.09,7.09,7.00,7.07,-0.02,99
2025/02/25,"27,198","190,871",7.15,7.15,6.90,7.00,-0.07,66
2025/02/26,"28,633","202,124",7.00,7.15,7.00,7.10,+0.10,53
2025/02/27,"38,848","273,476",7.16,7.16,6.98,7.10,0.00,74
2025/03/03,"52,032","366,704",6.95,7.10,6.90,7.10,0.00,61
2025/03/04,"7,077","50,208",7.09,7.10,7.09,7.10,0.00,73
2025/03/05,"7,580","52,994",6.93,7.02,6.93,7.02,-0.08,60
2025/03/06,"14,365","100,811",7.02,7.02,7.01,7.02,0.00,72
2025/03/07,"26,134","187,048",7.38,7.38,7.10,7.14,+0.12,46
2025/03/10,"62,490","449,750",7.13,7.25,7.13,7.19,+0.05,151
2025/03/11,"18,057","125,979",7.06,7.07,6.78,7.07,-0.12,64
2025/03/12,"16,070","112,652",7.10,7.10,6.95,6.95,-0.12,79
2025/03/13,"1,071","7,470",7.00,7.00,7.00,7.00,+0.05,62
2025/03/14,"9,066","63,436",7.00,7.00,7.00,7.00,0.00,59
2025/03/17,"17,056","119,087",7.00,7.00,6.91,6.96,-0.04,57
2025/03/18,"29,050","201,016",6.96,6.99,6.77,6.96,0.00,59
2025/03/19,"31,397","210,043",6.66,6.88,6.65,6.68,-0.28,56
2025/03/20,"163,505","1,150,198",6.75,7.16,6.68,7.13,+0.45,116
2025/03/21,"30,826","213,889",6.97,7.09,6.90,7.09,-0.04,49
2025/03/24,"42,875","305,233",7.05,7.17,7.01,7.17,+0.08,42
2025/03/25,"34,390","235,572",6.79,7.10,6.79,6.86,-0.31,48
2025/03/26,"16,388","116,294",7.09,7.13,6.92,7.12,+0.26,53
2025/03/27,"9,633","67,441",7.00,7.01,7.00,7.00,-0.12,21
2025/03/28,"3,707","25,932",6.99,6.99,6.99,6.99,-0.01,11
2025/03/31,"21,476","149,316",7.00,7.00,6.70,6.98,-0.01,26
2025/04/01,"126,820","863,305",6.98,6.99,6.80,6.98,0.00,34
2025/04/02,"1,861","12,660",6.97,6.97,6.97,6.97,-0.01,9
2025/04/07,"75,510","475,376",6.28,6.39,6.28,6.28,-0.69,45
2025/04/08,"94,192","581,718",6.27,6.30,5.87,6.28,0.00,42
2025/04/09,"54,363","309,501",5.92,5.92,5.66,5.66,-0.62,24
2025/04/10,"55,623","345,627",6.22,6.22,6.22,6.22,+0.56,30
2025/04/11,369,"2,088",--,--,--,--,0.00,13
2025/04/14,"9,010","53,500",5.88,6.20,5.88,6.20,X0.00,18
2025/04/15,"29,057","184,075",5.99,6.50,5.99,6.50,+0.30,48
2025/04/16,"23,678","147,425",6.23,6.23,6.22,6.23,-0.27,26
2025/04/17,"29,002","179,922",6.17,6.31,6.15,6.23,0.00,12
2025/04/18,"14,013","87,935",6.23,6.30,6.23,6.30,+0.07,9
2025/04/21,"11,015","68,400",6.20,6.29,6.20,6.29,-0.01,21
2025/04/22,"29,006","179,716",5.90,6.30,5.90,6.29,0.00,24
2025/04/23,"34,518","218,708",6.35,6.35,6.29,6.30,+0.01,25
2025/04/24,"65,028","437,567",6.50,6.93,6.45,6.93,+0.63,41
2025/04/25,"109,003","767,271",7.10,7.17,6.94,6.94,+0.01,45
2025/04/28,"110,403","772,741",7.00,7.06,6.80,7.06,+0.12,36
2025/04/29,"112,435","796,984",7.15,7.15,7.02,7.09,+0.03,35
2025/04/30,"75,003","528,441",7.08,7.10,7.00,7.00,-0.09,31
2025/05/02,"70,285","496,304",7.00,7.13,7.00,7.13,+0.13,35
2025/05/05,"67,323","477,791",6.96,7.38,6.95,7.38,+0.25,38
2025/05/06,"204,413","1,518,729",7.37,7.55,7.20,7.48,+0.10,75
2025/05/07,"38,208","286,263",7.60,7.61,7.30,7.54,+0.06,26
2025/05/08,"482,081","3,894,500",7.53,8.29,7.53,8.00,+0.46,151
2025/05/09,"185,605","1,547,253",8.40,8.40,8.01,8.35,+0.35,84
2025/05/12,"72,252","596,346",7.92,8.34,7.92,8.34,-0.01,27
2025/05/13,"53,668","450,760",8.50,8.50,8.22,8.35,+0.01,29
2025/05/14,"97,582","851,199",8.40,8.89,8.40,8.81,+0.46,56
2025/05/15,"200,336","1,831,061",9.30,9.40,8.86,9.10,+0.29,88
2025/05/16,"154,571","1,435,567",9.32,9.39,9.16,9.28,+0.18,88
2025/05/19,"312,364","3,036,804",9.23,10.20,9.23,9.98,+0.70,196
2025/05/20,"359,619","3,372,020",9.50,9.82,9.02,9.47,-0.51,237
2025/05/21,"82,658","773,367",9.44,9.64,9.19,9.49,+0.02,71
2025/05/22,"82,618","768,481",9.49,9.49,9.23,9.24,-0.25,64
2025/05/23,"198,001","1,792,258",9.27,9.30,8.85,9.07,-0.17,91
2025/05/26,"89,110","793,188",9.00,9.00,8.88,8.88,-0.19,97
2025/05/27,"102,614","897,858",8.83,9.14,8.60,8.62,-0.26,64
2025/05/28,"193,662","1,573,714",8.60,8.60,7.94,7.94,-0.68,109
2025/05/29,"70,071","548,599",7.90,8.15,7.70,7.88,-0.06,129
2025/06/02,"85,043","639,819",7.61,7.81,7.37,7.50,-0.38,96
2025/06/03,"127,596","962,622",7.95,7.95,7.36,7.66,+0.16,107
2025/06/04,"204,404","1,618,515",7.59,8.10,7.59,8.00,+0.34,90
2025/06/05,"24,790","198,831",7.92,8.25,7.92,7.97,-0.03,22
2025/06/06,"87,339","681,467",7.89,7.89,7.64,7.80,-0.17,72
2025/06/09,"68,535","545,608",8.00,8.00,7.82,7.97,+0.17,43
2025/06/10,"38,804","306,345",7.81,8.05,7.81,8.03,+0.06,41
2025/06/11,"22,001","174,528",8.04,8.04,7.90,7.92,-0.11,18
2025/06/12,"25,426","201,447",7.92,7.95,7.88,7.90,-0.02,26
2025/06/13,"59,040","464,876",7.90,7.99,7.83,7.95,+0.05,64
2025/06/16,"35,471","275,510",7.90,7.90,7.70,7.84,-0.11,68
