日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"6,747,077","1,062,965,796",155.0,161.0,154.0,156.5,+2.50,"5,816"
2025/01/03,"3,268,355","515,576,810",158.0,159.5,156.0,157.5,+1.00,"3,128"
2025/01/06,"2,892,730","455,329,520",158.5,158.5,156.0,158.0,+0.50,"3,115"
2025/01/07,"3,197,540","508,287,185",159.0,160.0,157.5,159.0,+1.00,"2,986"
2025/01/08,"5,402,858","869,635,616",160.0,163.0,159.5,159.5,+0.50,"4,802"
2025/01/09,"3,061,982","482,609,558",160.0,160.5,155.5,155.5,-4.00,"6,061"
2025/01/10,"3,897,393","606,627,879",157.0,159.0,154.0,155.0,-0.50,"3,341"
2025/01/13,"3,356,548","510,586,487",155.0,155.5,149.5,152.5,-2.50,"3,719"
2025/01/14,"1,984,622","303,684,151",153.0,155.5,151.5,152.5,0.00,"2,022"
2025/01/15,"6,310,506","939,090,573",153.5,153.5,147.0,147.5,-5.00,"7,649"
2025/01/16,"4,079,798","603,445,592",149.5,149.5,146.5,147.5,0.00,"3,559"
2025/01/17,"3,818,998","555,777,374",148.0,148.0,144.5,145.5,-2.00,"4,325"
2025/01/20,"2,489,483","365,030,703",145.5,148.0,145.0,147.0,+1.50,"2,303"
2025/01/21,"2,970,144","445,621,959",147.0,152.0,146.5,152.0,+5.00,"3,153"
2025/01/22,"4,953,674","763,416,780",152.5,155.5,152.0,155.0,+3.00,"4,684"
2025/02/03,"3,578,627","541,739,965",151.5,153.0,149.0,153.0,-2.00,"5,107"
2025/02/04,"1,837,124","277,553,836",153.0,153.5,150.0,150.0,-3.00,"2,357"
2025/02/05,"1,516,267","229,952,881",152.0,153.0,151.0,151.0,+1.00,"1,727"
2025/02/06,"2,315,538","354,174,509",152.0,154.0,151.5,154.0,+3.00,"2,533"
2025/02/07,"1,293,785","197,260,317",154.0,154.0,152.0,152.0,-2.00,"1,667"
2025/02/10,"1,914,589","287,089,073",150.5,151.0,149.0,149.5,-2.50,"2,383"
2025/02/11,"4,924,693","732,502,961",150.0,151.5,148.0,148.0,-1.50,"5,813"
2025/02/12,"3,236,867","477,367,921",148.5,148.5,146.5,146.5,-1.50,"4,038"
2025/02/13,"3,815,369","568,867,078",148.0,151.0,146.5,149.0,+2.50,"3,625"
2025/02/14,"2,773,432","412,735,226",149.5,150.5,147.5,148.0,-1.00,"2,615"
2025/02/17,"1,491,977","222,981,319",149.5,150.5,149.0,149.5,+1.50,"1,812"
2025/02/18,"1,512,216","226,471,890",149.5,150.5,149.0,150.0,+0.50,"1,716"
2025/02/19,"4,130,108","623,960,058",150.5,152.5,149.5,150.5,+0.50,"4,004"
2025/02/20,"34,786,690","5,546,765,157",151.5,164.5,151.0,162.5,+12.00,"30,869"
2025/02/21,"65,255,412","10,856,376,423",162.5,172.0,160.5,160.5,-2.00,"54,882"
2025/02/24,"18,109,458","2,910,208,712",160.0,163.5,158.5,158.5,-2.00,"20,651"
2025/02/25,"10,513,471","1,630,614,397",157.0,157.5,154.0,154.0,-4.50,"10,171"
2025/02/26,"6,246,276","962,155,548",154.5,156.0,153.0,154.5,+0.50,"5,741"
2025/02/27,"7,175,166","1,101,389,919",155.0,156.5,151.5,152.0,-2.50,"7,700"
