日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,529,582","154,624,486",101.0,103.0,99.8,100.0,-0.50,"1,461"
2025/01/03,"1,741,630","177,331,061",101.0,103.0,100.5,101.5,+1.50,"1,443"
2025/01/06,"1,321,134","134,805,703",102.0,103.0,101.0,102.5,+1.00,"1,156"
2025/01/07,"783,290","79,621,530",103.0,103.0,101.0,101.5,-1.00,845
2025/01/08,"1,439,012","144,870,329",101.5,102.5,99.9,100.0,-1.50,"1,382"
2025/01/09,"1,843,631","182,482,711",100.5,101.0,97.9,98.4,-1.60,"1,838"
2025/01/10,"2,505,018","242,579,428",99.3,100.0,95.1,95.3,-3.10,"2,708"
2025/01/13,"3,651,622","332,153,870",94.5,94.5,88.6,91.4,-3.90,"3,444"
2025/01/14,"2,143,021","199,223,317",91.8,94.6,91.2,93.5,+2.10,"3,435"
2025/01/15,"1,429,398","131,683,276",93.5,93.9,91.1,91.6,-1.90,"2,199"
2025/01/16,"1,629,491","153,638,171",92.8,95.5,92.4,95.4,+3.80,"1,960"
2025/01/17,"890,827","83,915,028",95.1,96.6,93.3,94.2,-1.20,"3,312"
2025/01/20,"874,680","82,886,090",95.2,95.7,93.6,95.7,+1.50,"1,542"
2025/01/21,"676,552","64,866,489",95.8,96.5,95.2,96.1,+0.40,"1,848"
2025/01/22,"1,630,798","159,113,377",96.5,98.5,96.5,98.3,+2.20,"2,195"
2025/02/03,"1,100,824","105,318,242",97.5,97.5,94.1,96.5,-1.80,"2,619"
2025/02/04,"807,986","77,122,635",97.5,97.8,94.5,95.7,-0.80,"1,048"
2025/02/05,"818,846","79,104,621",96.9,97.5,95.7,95.9,+0.20,"1,449"
2025/02/06,"1,349,976","131,926,699",96.5,98.7,96.3,98.3,+2.40,"1,553"
2025/02/07,"998,447","96,881,442",99.0,99.0,96.3,96.7,-1.60,"2,077"
2025/02/10,"800,053","76,808,968",96.2,96.7,95.3,96.1,-0.60,"1,223"
2025/02/11,"928,299","89,876,112",96.5,98.0,96.1,96.1,0.00,"1,841"
2025/02/12,"1,009,891","97,976,072",96.2,97.8,96.2,96.5,+0.40,"1,377"
2025/02/13,"4,537,955","451,043,252",97.5,101.0,97.0,99.6,+3.10,"4,539"
2025/02/14,"1,705,421","169,693,603",99.9,100.5,98.5,99.4,-0.20,"1,815"
2025/02/17,"1,563,993","155,866,699",100.0,101.0,98.6,98.7,-0.70,"1,538"
2025/02/18,"734,551","72,868,737",99.2,99.7,98.7,99.3,+0.60,832
2025/02/19,"3,461,066","345,432,242",99.8,102.0,98.2,98.2,-1.10,"2,965"
2025/02/20,"14,776,549","1,558,822,795",99.0,108.0,98.8,108.0,+9.80,"9,062"
2025/02/21,"60,606,829","7,042,838,917",113.0,118.5,111.5,115.5,+7.50,"35,457"
2025/02/24,"40,196,177","4,786,133,013",115.0,123.0,114.0,118.5,+3.00,"30,646"
2025/02/25,"13,352,531","1,545,126,163",118.0,119.0,113.0,115.0,-3.50,"9,865"
