日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"46,476","832,832",17.9,18.0,17.85,17.85,-0.05,78
2025/01/03,"133,586","2,389,569",17.85,18.0,17.8,17.8,-0.05,75
2025/01/06,"70,802","1,272,700",17.75,18.1,17.7,18.1,0.3,86
2025/01/07,"28,692","514,141",17.95,17.95,17.9,17.9,-0.2,51
2025/01/08,"31,188","557,150",17.75,18.0,17.75,17.9,0.0,58
2025/01/09,"134,651","2,390,938",17.85,17.9,17.5,17.5,-0.4,107
2025/01/10,"93,351","1,602,930",17.5,17.5,16.9,16.95,-0.55,112
2025/01/13,"186,237","2,941,752",16.85,16.85,15.45,15.75,-1.2,151
2025/01/14,"58,811","963,065",15.75,16.6,15.75,16.6,0.85,107
2025/01/15,"41,137","691,155",16.15,17.2,16.15,17.2,0.6,99
2025/01/16,"88,703","1,522,390",17.45,17.45,17.1,17.2,0.0,102
2025/01/17,"23,544","399,534",17.0,17.0,16.9,16.9,-0.3,101
2025/01/20,"75,523","1,254,849",16.95,16.95,16.3,16.5,-0.4,130
2025/01/21,"70,349","1,168,439",16.5,16.8,16.5,16.7,0.2,89
2025/01/22,"33,733","565,421",16.8,16.85,16.65,16.85,0.15,74
2025/02/03,"29,357","492,304",16.8,17.1,16.65,16.75,-0.1,143
2025/02/04,"16,711","281,644",16.8,17.3,16.8,16.8,0.05,117
2025/02/05,"38,629","665,662",17.2,17.3,17.2,17.25,0.45,127
2025/02/06,"20,842","359,217",17.25,17.25,17.15,17.2,-0.05,132
2025/02/07,"28,335","489,354",17.25,17.3,17.25,17.25,0.05,113
2025/02/10,"28,239","488,951",17.2,17.8,17.2,17.45,0.2,149
2025/02/11,"33,527","586,548",17.4,17.6,17.25,17.45,0.0,172
2025/02/12,"11,131","194,551",17.4,17.7,17.4,17.5,0.05,129
2025/02/13,"16,247","282,615",17.5,17.5,17.25,17.25,-0.25,122
2025/02/14,"16,506","285,590",17.3,17.35,17.2,17.3,0.05,129
2025/02/17,"17,755","306,477",17.3,17.45,17.2,17.2,-0.1,174
2025/02/18,"18,495","319,717",17.2,17.5,17.1,17.5,0.3,138
2025/02/19,"23,122","403,746",17.4,17.6,17.4,17.5,0.0,150
2025/02/20,"7,375","128,444",17.5,17.5,17.25,17.45,-0.05,132
2025/02/21,"55,991","989,162",17.7,17.8,17.5,17.6,0.15,178
2025/02/24,"52,843","917,409",17.65,17.65,17.25,17.4,-0.2,235
2025/02/25,"40,766","706,686",17.35,17.35,17.3,17.3,-0.1,169
2025/02/26,"28,248","493,763",17.35,17.6,17.35,17.35,0.05,145
2025/02/27,"34,700","602,363",17.5,17.55,17.3,17.35,0.0,154
2025/03/03,"29,132","499,719",17.5,17.5,17.0,17.15,-0.2,207
2025/03/04,"37,298","640,058",17.1,17.35,16.95,17.3,0.15,145
2025/03/05,"32,635","564,762",17.4,17.5,17.2,17.25,-0.05,149
2025/03/06,"23,702","410,279",17.5,17.5,17.2,17.25,0.0,156
2025/03/07,"31,354","541,192",17.45,17.45,17.2,17.25,0.0,154
2025/03/10,"31,175","538,029",17.25,17.35,17.15,17.25,0.0,174
2025/03/11,"117,712","2,034,653",17.2,17.45,17.0,17.45,0.2,165
2025/03/12,"449,245","7,540,445",16.5,17.2,16.45,16.75,-0.7,327
2025/03/13,"442,489","7,196,523",16.8,16.85,15.75,15.8,-0.95,666
2025/03/14,"114,313","1,841,149",16.1,16.2,16.0,16.15,0.35,279
2025/03/17,"159,274","2,644,527",16.15,16.8,16.15,16.65,0.5,341
2025/03/18,"36,970","610,647",16.65,16.7,16.45,16.5,-0.15,218
2025/03/19,"98,020","1,620,141",16.5,16.75,16.4,16.75,0.25,236
2025/03/20,"58,842","983,112",16.75,16.8,16.65,16.75,0.0,171
2025/03/21,"89,393","1,495,202",16.9,16.9,16.55,16.8,0.05,144
2025/03/24,"32,518","534,993",16.45,16.5,16.45,16.45,-0.35,221
2025/03/25,"49,742","811,681",16.4,16.4,16.05,16.05,-0.4,203
2025/03/26,"34,806","559,319",16.3,16.3,16.0,16.1,0.05,159
2025/03/27,"79,234","1,241,806",15.85,15.9,15.6,15.65,-0.45,206
2025/03/28,"127,501","1,927,808",15.65,15.65,14.8,15.15,-0.5,207
2025/03/31,"136,626","1,956,414",14.25,14.85,14.2,14.35,-0.8,272
2025/04/01,"37,784","542,415",14.25,14.55,14.2,14.35,0.0,173
2025/04/02,"307,355","4,773,853",14.35,15.75,14.3,15.75,1.4,383
2025/04/07,"372,573","5,310,577",14.2,14.85,14.2,14.2,-1.55,442
2025/04/08,"216,238","3,030,788",14.0,14.35,13.4,14.3,0.1,369
2025/04/09,"194,518","2,705,271",14.3,14.5,13.1,13.9,-0.4,389
2025/04/10,"492,701","7,368,630",14.0,15.25,14.0,15.25,1.35,603
2025/04/11,"48,876","721,403",15.25,15.25,14.5,15.0,-0.25,213
2025/04/14,"66,676","1,042,839",16.45,16.45,15.05,15.15,0.15,169
2025/04/15,"303,117","4,383,708",15.05,15.05,14.1,14.6,-0.55,178
2025/04/16,"49,277","706,932",14.6,14.6,14.25,14.5,-0.1,102
2025/04/17,"28,311","404,729",14.1,14.55,14.1,14.15,-0.35,72
2025/04/18,"111,134","1,558,096",14.05,14.5,13.9,14.2,0.05,78
2025/04/21,"13,229","186,066",14.1,14.3,14.0,14.0,-0.2,80
2025/04/22,"19,422","272,734",13.95,14.3,13.95,14.1,0.1,64
2025/04/23,"28,123","401,739",14.3,14.55,14.15,14.4,0.3,67
2025/04/24,"77,130","1,103,617",14.45,14.5,14.25,14.5,0.1,75
2025/04/25,"27,220","392,102",14.5,14.85,14.3,14.4,-0.1,54
2025/04/28,"28,486","403,862",14.4,14.45,13.95,14.35,-0.05,68
2025/04/29,"278,704","4,199,071",14.2,15.45,14.2,15.2,0.85,140
2025/04/30,"102,405","1,537,536",15.2,15.2,14.75,14.9,-0.3,174
