日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"185,355","2,538,271",13.7,13.75,13.6,13.7,-0.15,411
2025/01/03,"234,040","3,167,130",13.65,13.65,13.45,13.5,-0.20,807
2025/01/06,"263,511","3,572,045",13.5,13.95,13.5,13.5,0.00,291
2025/01/07,"424,489","5,669,743",13.55,13.55,13.2,13.4,-0.10,"1,523"
2025/01/08,"161,745","2,159,300",13.4,13.45,13.25,13.45,+0.05,272
2025/01/09,"263,172","3,456,705",13.35,13.35,13.0,13.0,-0.45,588
2025/01/10,"222,945","2,876,963",12.9,12.95,12.8,12.95,-0.05,628
2025/01/13,"375,438","4,727,734",13.05,13.05,12.4,12.65,-0.30,878
2025/01/14,"158,812","2,027,778",12.7,12.8,12.7,12.8,+0.15,207
2025/01/15,"149,049","1,918,831",13.0,13.0,12.8,12.85,+0.05,230
2025/01/16,"97,747","1,273,772",12.95,13.15,12.95,13.05,+0.20,150
2025/01/17,"67,314","872,097",12.95,13.0,12.9,12.95,-0.10,234
2025/01/20,"129,634","1,670,805",12.95,13.0,12.75,13.0,+0.05,241
2025/01/21,"125,143","1,617,003",12.85,13.0,12.85,12.95,-0.05,339
2025/01/22,"118,354","1,540,952",13.0,13.1,12.85,13.1,+0.15,208
2025/03/03,"218,823","3,165,648",14.35,14.75,14.35,14.45,+0.10,260
2025/03/04,"119,938","1,716,498",14.4,14.4,14.25,14.3,-0.15,204
2025/03/05,"190,964","2,740,573",14.25,14.4,14.25,14.4,+0.10,174
2025/03/06,"45,733","657,248",14.4,14.4,14.3,14.4,0.00,197
2025/03/07,"80,255","1,142,603",14.4,14.4,14.2,14.25,-0.15,259
2025/03/10,"125,149","1,774,859",14.25,14.3,14.05,14.25,0.00,201
2025/03/11,"173,522","2,446,831",14.1,14.3,13.95,14.3,+0.05,227
2025/03/12,"171,291","2,459,993",14.3,14.45,14.15,14.4,+0.10,190
2025/03/13,"144,432","2,064,232",14.4,14.5,14.15,14.25,-0.15,218
2025/03/14,"59,185","841,974",14.3,14.3,14.15,14.25,0.00,116
2025/03/17,"111,612","1,593,801",14.2,14.35,14.2,14.25,0.00,150
2025/03/18,"272,360","3,900,154",14.35,14.4,14.2,14.4,+0.15,172
2025/03/19,"125,342","1,808,610",14.45,14.55,14.3,14.5,+0.10,189
2025/03/20,"155,358","2,272,308",14.55,14.7,14.5,14.65,+0.15,184
2025/03/21,"107,329","1,569,062",14.65,14.7,14.55,14.6,-0.05,243
2025/03/24,"122,626","1,774,584",14.6,14.6,14.35,14.35,-0.25,220
2025/03/25,"118,197","1,685,681",14.45,14.45,14.15,14.15,-0.20,168
2025/03/26,"109,900","1,564,865",14.2,14.4,14.15,14.25,+0.10,144
2025/03/27,"80,582","1,144,208",14.2,14.3,14.1,14.25,0.00,112
2025/03/28,"169,601","2,358,113",14.25,14.25,13.75,13.85,-0.40,282
2025/03/31,"235,778","3,112,312",13.65,13.65,13.0,13.3,-0.55,405
2025/04/01,"64,127","860,550",13.3,13.45,13.3,13.4,+0.10,323
2025/04/02,"80,361","1,074,984",13.35,13.5,13.3,13.5,+0.10,204
2025/04/07,"138,754","1,685,974",12.15,12.15,12.15,12.15,-1.35,677
2025/04/08,"455,685","5,005,226",11.0,11.45,10.95,10.95,-1.20,593
2025/04/09,"757,594","7,500,148",10.3,10.3,9.86,9.86,-1.09,"1,003"
2025/04/10,"208,790","2,244,575",10.7,10.8,10.6,10.8,+0.94,164
2025/04/11,"145,516","1,562,934",10.8,11.0,10.4,10.95,+0.15,272
2025/04/14,"215,672","2,384,711",11.0,11.25,10.95,11.0,+0.05,429
2025/04/15,"197,922","2,231,749",10.95,11.5,10.95,11.4,+0.40,276
2025/04/16,"160,009","1,784,291",11.4,11.4,11.05,11.05,-0.35,332
2025/04/17,"124,670","1,358,283",11.05,11.1,10.75,11.05,0.00,291
2025/04/18,"45,112","498,974",11.05,11.1,11.0,11.05,0.00,263
2025/04/21,"46,108","500,784",10.95,10.95,10.8,10.8,-0.25,393
2025/04/22,"55,191","590,965",10.6,10.85,10.55,10.75,-0.05,353
2025/04/23,"121,329","1,335,075",10.75,11.1,10.75,10.95,+0.20,415
2025/04/24,"84,706","933,812",10.95,11.1,10.9,10.95,0.00,236
2025/04/25,"87,760","971,543",11.15,11.15,11.0,11.05,+0.10,173
2025/04/28,"38,481","428,230",11.1,11.2,11.1,11.15,+0.10,142
2025/04/29,"247,121","2,772,737",11.15,11.3,11.15,11.2,+0.05,216
2025/04/30,"154,712","1,720,401",11.2,11.25,11.0,11.15,-0.05,284
2025/05/02,"102,077","1,138,110",11.15,11.2,11.05,11.2,+0.05,211
2025/05/05,"136,628","1,514,778",11.2,11.3,10.85,11.15,-0.05,234
2025/05/06,"69,055","766,180",11.05,11.2,11.0,11.2,+0.05,131
2025/05/07,"109,969","1,245,100",11.25,11.4,11.25,11.35,+0.15,124
2025/05/08,"265,426","3,016,133",11.25,11.55,11.0,11.5,+0.15,229
2025/05/09,"177,334","2,087,689",11.55,11.9,11.55,11.75,+0.25,174
2025/05/12,"128,265","1,516,957",11.85,11.9,11.7,11.85,+0.10,132
2025/05/13,"174,672","2,075,954",12.0,12.0,11.75,11.8,-0.05,209
2025/05/14,"96,851","1,145,859",11.95,11.95,11.75,11.85,+0.05,277
2025/05/15,"84,117","985,955",11.8,11.8,11.65,11.75,-0.10,210
2025/05/16,"89,284","1,039,344",11.65,11.7,11.6,11.65,-0.10,246
2025/05/19,"141,623","1,634,053",11.65,11.65,11.45,11.55,-0.10,195
2025/05/20,"51,764","596,430",11.55,11.6,11.45,11.6,+0.05,101
2025/05/21,"36,575","422,978",11.6,11.6,11.5,11.6,0.00,115
2025/05/22,"135,828","1,568,313",11.6,11.7,11.4,11.5,-0.10,158
2025/05/23,"56,402","647,183",11.5,11.55,11.4,11.4,-0.10,147
2025/05/26,"156,720","1,775,821",11.45,11.45,11.25,11.3,-0.10,211
2025/05/27,"61,648","699,819",11.3,11.5,11.25,11.35,+0.05,117
2025/05/28,"142,301","1,610,810",11.5,11.5,11.25,11.3,-0.05,144
2025/05/29,"132,543","1,492,894",11.4,11.4,11.2,11.35,+0.05,132
2025/06/02,"109,302","1,222,955",11.3,11.3,11.1,11.1,-0.25,148
2025/06/03,"81,816","907,903",11.15,11.15,11.05,11.05,-0.05,151
2025/06/04,"90,095","1,009,591",11.25,11.25,11.1,11.1,+0.05,122
2025/06/05,"62,623","696,147",11.15,11.15,11.05,11.05,-0.05,185
2025/06/06,"49,185","546,874",11.05,11.15,11.05,11.05,0.00,110
2025/06/09,"47,133","524,804",11.3,11.3,11.05,11.05,0.00,104
2025/06/10,"150,685","1,674,526",11.05,11.25,11.0,11.1,+0.05,125
2025/06/11,"374,446","4,067,941",11.05,11.05,10.75,10.85,-0.25,465
2025/06/12,"152,739","1,659,712",10.8,10.95,10.8,10.85,0.00,544
2025/06/13,"291,557","3,103,224",10.75,10.8,10.55,10.6,-0.25,355
2025/06/16,"93,625","992,435",10.6,10.65,10.55,10.6,0.00,160
2025/06/17,"119,696","1,277,227",10.65,10.75,10.6,10.7,+0.10,117
2025/06/18,"133,767","1,421,560",10.6,10.7,10.55,10.65,-0.05,157
2025/06/19,"374,094","3,934,313",10.6,10.65,10.35,10.35,-0.30,277
2025/06/20,"367,471","3,740,743",10.25,10.4,10.0,10.25,-0.10,336
2025/06/23,"83,592","843,323",10.15,10.2,9.97,10.05,-0.20,286
2025/06/24,"93,763","962,901",10.1,10.35,10.1,10.3,+0.25,132
2025/06/25,"52,955","547,318",10.3,10.4,10.25,10.4,+0.10,107
2025/06/26,"348,100","3,655,943",10.4,10.65,10.4,10.5,+0.10,172
2025/06/27,"76,545","805,959",10.5,10.6,10.5,10.5,0.00,103
2025/06/30,"76,918","795,323",10.5,10.5,10.3,10.3,-0.20,132
2025/07/01,"70,788","739,784",10.3,10.55,10.3,10.45,+0.15,163
2025/07/02,"90,139","936,501",10.45,10.5,10.25,10.35,-0.10,158
2025/07/03,"169,051","1,783,413",10.4,10.7,10.4,10.4,+0.05,181
2025/07/04,"68,092","704,711",10.45,10.45,10.3,10.35,-0.05,154
2025/07/07,"454,023","4,562,453",10.25,10.45,9.98,10.0,-0.35,424
2025/07/08,"86,997","868,833",10.0,10.1,9.92,10.1,+0.10,146
2025/07/09,"35,753","359,898",10.05,10.1,10.05,10.1,0.00,108
2025/07/10,"46,980","472,716",10.05,10.1,10.0,10.05,-0.05,86
2025/07/11,"55,941","562,063",10.1,10.15,9.97,10.1,+0.05,119
2025/07/14,"35,897","360,332",10.1,10.1,10.0,10.05,-0.05,142
2025/07/15,"50,226","504,364",10.0,10.1,10.0,10.05,0.00,139
2025/07/16,"178,205","1,793,871",10.0,10.15,9.98,10.05,0.00,132
2025/07/17,"210,028","2,134,630",10.05,10.25,10.05,10.2,+0.15,108
2025/07/18,"63,111","646,850",10.35,10.4,10.1,10.2,0.00,127
2025/07/21,"78,829","807,332",10.15,10.3,10.15,10.3,+0.10,62
2025/07/22,"70,232","713,182",10.2,10.3,10.05,10.15,-0.15,139
2025/07/23,"248,366","2,582,060",10.15,10.6,10.15,10.45,+0.30,210
2025/07/24,"85,154","880,881",10.35,10.5,10.3,10.4,-0.05,141
2025/07/25,"118,728","1,244,011",10.4,10.65,10.4,10.4,0.00,106
2025/07/28,"112,597","1,184,090",10.5,10.6,10.45,10.6,+0.20,79
2025/07/29,"179,940","1,890,206",10.7,10.7,10.4,10.45,-0.15,171
2025/07/30,"165,992","1,758,858",10.5,10.7,10.5,10.55,+0.10,132
2025/07/31,"180,360","1,902,423",10.6,10.65,10.5,10.55,0.00,132
2025/08/01,"434,461","4,566,162",10.5,10.7,10.45,10.6,+0.05,130
2025/08/04,"365,090","3,775,878",10.45,10.45,10.3,10.3,-0.30,286
2025/08/05,"289,881","2,973,237",10.25,10.35,10.2,10.25,-0.05,218
2025/08/06,"168,331","1,722,963",10.25,10.3,10.1,10.3,+0.05,191
2025/08/07,"155,278","1,594,149",10.2,10.3,10.2,10.25,-0.05,549
2025/08/08,"159,869","1,627,561",10.15,10.25,10.15,10.25,0.00,454
2025/08/11,"214,205","2,155,147",10.25,10.25,10.0,10.05,-0.20,373
2025/08/12,"643,136","6,785,452",10.45,10.7,10.45,10.5,+0.45,399
2025/08/13,"141,321","1,478,344",10.5,10.55,10.4,10.45,-0.05,184
2025/08/14,"221,144","2,298,057",10.35,10.45,10.35,10.45,0.00,172
2025/08/15,"99,940","1,042,652",10.5,10.5,10.35,10.4,-0.05,149
2025/08/18,"251,794","2,608,673",10.5,10.5,10.25,10.3,-0.10,333
2025/08/19,"294,149","3,020,208",10.3,10.35,10.2,10.2,-0.10,237
2025/08/20,"355,870","3,579,790",10.15,10.15,10.0,10.1,-0.10,364
2025/08/21,"377,425","3,907,819",10.15,10.5,10.15,10.2,+0.10,239
2025/08/22,"89,919","916,831",10.2,10.25,10.1,10.2,0.00,163
2025/08/25,"197,750","2,019,693",10.25,10.4,10.15,10.2,0.00,201
2025/08/26,"98,538","1,008,491",10.2,10.3,10.15,10.2,0.00,147
2025/08/27,"178,768","1,822,586",10.2,10.25,10.15,10.2,0.00,139
2025/08/28,"216,706","2,228,999",10.2,10.4,10.1,10.35,+0.15,169
2025/08/29,"549,599","5,755,414",10.5,10.55,10.35,10.35,0.00,165
2025/09/01,"191,311","1,970,427",10.3,10.4,10.25,10.4,+0.05,191
2025/09/02,"187,154","1,946,176",10.45,10.45,10.35,10.35,-0.05,88
2025/09/03,"172,724","1,798,629",10.35,10.5,10.3,10.45,+0.10,110
2025/09/04,"289,231","3,042,025",10.5,10.6,10.45,10.55,+0.10,137
2025/09/05,"496,443","5,331,472",10.7,10.9,10.6,10.65,+0.10,319
2025/09/08,"400,929","4,276,681",10.75,10.8,10.55,10.7,+0.05,236
2025/09/09,"195,735","2,086,242",10.65,10.7,10.55,10.65,-0.05,119
2025/09/10,"430,984","4,584,789",10.7,10.85,10.45,10.75,+0.10,213
2025/09/11,"1,082,568","11,538,570",10.75,10.75,10.5,10.65,-0.10,415
2025/09/12,"524,592","5,462,752",10.45,10.6,10.3,10.3,X0.00,273
2025/09/15,"350,430","3,606,421",10.3,10.4,10.2,10.3,0.00,175
2025/09/16,"286,154","2,949,947",10.35,10.4,10.2,10.35,+0.05,193
2025/09/17,"242,881","2,530,261",10.4,10.5,10.3,10.4,+0.05,183
2025/09/18,"334,190","3,504,044",10.45,10.65,10.35,10.45,+0.05,154
2025/09/19,"223,631","2,352,140",10.45,10.6,10.4,10.6,+0.15,115
2025/09/22,"274,166","2,926,960",10.55,10.8,10.5,10.75,+0.15,170
2025/09/23,"439,276","4,745,558",10.75,10.9,10.65,10.8,+0.05,262
2025/09/24,"340,914","3,724,740",10.9,11.05,10.75,10.95,+0.15,237
2025/09/25,"552,821","6,095,224",11.0,11.25,10.9,10.95,0.00,282
2025/09/26,"227,189","2,458,564",11.05,11.05,10.7,10.9,-0.05,171
2025/09/30,"237,971","2,583,640",11.0,11.0,10.75,10.85,-0.05,143
2025/10/01,"227,550","2,457,464",10.8,10.9,10.65,10.85,0.00,125
2025/10/02,"231,270","2,516,118",10.85,11.0,10.75,10.85,0.00,103
2025/10/03,"356,805","3,880,188",10.75,10.95,10.75,10.85,0.00,144
2025/10/07,"540,827","5,874,818",10.85,10.9,10.75,10.8,-0.05,205
2025/10/08,"939,047","10,601,782",10.8,11.7,10.75,11.4,+0.60,524
2025/10/09,"2,509,895","31,236,468",12.1,12.5,12.1,12.5,+1.10,777
2025/10/13,"7,627,766","101,443,407",12.4,13.75,12.1,13.75,+1.25,"3,931"
2025/10/14,"10,499,353","151,361,796",13.85,15.05,13.75,14.25,+0.50,"5,576"
2025/10/15,"2,699,147","37,331,217",14.05,14.1,13.55,13.7,-0.55,"1,548"
2025/10/16,"2,188,611","30,729,245",13.8,14.75,13.7,13.7,0.00,"1,475"
2025/10/17,"2,024,300","26,559,275",13.55,13.6,12.9,13.05,-0.65,"1,343"
2025/10/20,"938,342","12,290,662",13.05,13.3,12.9,13.3,+0.25,557
2025/10/21,"860,288","11,282,047",13.5,13.5,12.95,13.15,-0.15,629
2025/10/22,"462,158","5,974,684",13.15,13.15,12.75,12.9,-0.25,449
2025/10/23,"592,868","7,678,938",12.9,13.15,12.8,12.9,0.00,275
2025/10/27,"769,768","9,726,690",13.2,13.2,12.2,12.6,-0.30,558
2025/10/28,"609,940","7,529,931",12.6,12.6,12.2,12.35,-0.25,445
2025/10/29,"619,868","7,509,673",12.2,12.3,12.0,12.0,-0.35,455
2025/10/30,"412,761","4,952,269",11.9,12.15,11.85,12.15,+0.15,255
