日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"5,500,346","3,068,194,441",565.0,574.0,544.0,544.0,-19.00,"8,990"
2025/01/03,"2,487,976","1,350,102,685",546.0,552.0,538.0,538.0,-6.00,"3,713"
2025/01/06,"2,122,889","1,160,153,353",545.0,553.0,542.0,544.0,+6.00,"2,829"
2025/01/07,"1,581,053","858,456,268",548.0,550.0,538.0,541.0,-3.00,"2,626"
2025/01/08,"3,466,318","1,871,027,825",547.0,551.0,533.0,535.0,-6.00,"4,887"
2025/01/09,"3,212,873","1,681,110,349",536.0,539.0,516.0,516.0,-19.00,"7,043"
2025/01/10,"6,775,185","3,433,503,768",529.0,532.0,493.0,505.0,-11.00,"11,789"
2025/01/13,"4,008,299","1,949,011,764",500.0,504.0,478.0,484.0,-21.00,"7,451"
2025/01/14,"3,054,497","1,490,275,015",490.0,495.5,482.5,488.0,+4.00,"3,893"
2025/01/15,"3,300,736","1,609,396,293",491.0,495.5,480.0,482.0,-6.00,"4,470"
2025/01/16,"2,782,605","1,373,575,356",491.0,501.0,485.0,501.0,+19.00,"4,930"
2025/01/17,"2,022,581","1,002,313,697",498.0,502.0,488.5,501.0,0.00,"2,993"
2025/01/20,"2,534,288","1,293,612,547",508.0,517.0,504.0,511.0,+10.00,"4,047"
2025/01/21,"2,615,957","1,356,382,735",508.0,524.0,507.0,522.0,+11.00,"3,577"
2025/01/22,"8,714,316","4,780,486,482",525.0,568.0,522.0,568.0,+46.00,"12,162"
2025/02/03,"5,469,292","2,982,020,708",539.0,560.0,536.0,538.0,-30.00,"15,963"
2025/02/04,"2,415,689","1,295,919,809",541.0,545.0,531.0,534.0,-4.00,"3,415"
2025/02/05,"2,350,122","1,265,152,415",545.0,548.0,531.0,531.0,-3.00,"3,350"
2025/02/06,"1,957,425","1,049,489,984",536.0,544.0,530.0,533.0,+2.00,"2,859"
2025/02/07,"3,075,646","1,605,900,895",535.0,538.0,515.0,516.0,-17.00,"6,455"
2025/02/10,"1,697,710","872,235,908",514.0,520.0,505.0,516.0,0.00,"3,178"
2025/02/11,"1,970,697","1,026,832,244",522.0,530.0,516.0,516.0,0.00,"2,822"
2025/02/12,"1,624,400","844,736,062",518.0,526.0,515.0,515.0,-1.00,"2,362"
2025/02/13,"3,949,073","2,086,404,916",520.0,540.0,518.0,532.0,+17.00,"5,138"
2025/02/14,"2,308,434","1,213,297,884",534.0,535.0,521.0,524.0,-8.00,"3,679"
2025/02/17,"1,254,689","664,147,613",525.0,535.0,525.0,531.0,+7.00,"2,100"
2025/02/18,"1,294,691","690,883,364",530.0,537.0,528.0,537.0,+6.00,"2,077"
2025/02/19,"5,661,076","3,164,255,105",540.0,568.0,536.0,567.0,+30.00,"8,547"
2025/02/20,"17,529,541","10,568,770,274",570.0,623.0,564.0,623.0,+56.00,"27,516"
2025/02/21,"28,043,201","18,227,816,251",629.0,676.0,628.0,635.0,+12.00,"50,428"
2025/02/24,"15,305,550","10,042,899,647",638.0,668.0,638.0,661.0,+26.00,"17,964"
2025/02/25,"7,715,950","4,990,421,921",661.0,663.0,639.0,639.0,-22.00,"11,331"
2025/02/26,"8,378,525","5,319,337,339",634.0,652.0,622.0,625.0,-14.00,"14,445"
2025/02/27,"7,635,526","4,843,578,076",633.0,648.0,625.0,630.0,+5.00,"8,932"
2025/04/01,"11,024,362","4,772,440,677",453.0,453.0,420.0,430.0,-19.50,"17,119"
2025/04/02,"11,600,420","5,159,025,360",443.0,457.5,436.0,440.5,+10.50,"12,916"
2025/04/07,"222,781","88,332,305",396.5,396.5,396.5,396.5,-44.00,"2,035"
2025/04/08,"933,442","333,253,513",357.0,357.0,357.0,357.0,-39.50,"4,306"
2025/04/09,"3,857,644","1,256,615,252",329.0,338.0,321.5,321.5,-35.50,"6,797"
2025/04/10,"1,483,481","524,410,389",353.5,353.5,353.5,353.5,+32.00,"1,494"
2025/04/11,"6,052,169","2,194,627,728",321.0,383.5,320.0,383.0,+29.50,"8,494"
2025/04/14,"5,285,515","2,066,953,806",390.5,401.5,383.0,383.0,0.00,"7,357"
2025/04/15,"6,316,113","2,579,100,367",393.0,421.0,390.0,418.5,+35.50,"9,348"
2025/04/16,"6,372,410","2,612,568,981",417.5,424.5,399.0,399.0,-19.50,"9,063"
2025/04/17,"4,666,903","1,822,059,020",390.5,398.0,382.5,396.0,-3.00,"6,436"
2025/04/18,"3,554,743","1,390,611,566",397.0,399.5,385.5,387.0,-9.00,"5,216"
2025/04/21,"2,867,919","1,098,731,624",387.0,391.5,375.0,379.5,-7.50,"4,265"
