日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"23,569","691,733",29.75,29.75,29.20,29.30,-0.45,37
2025/01/03,"21,068","617,943",29.30,29.50,29.15,29.30,0.00,25
2025/01/06,"30,454","899,136",29.30,29.70,29.30,29.60,+0.30,38
2025/01/07,"9,291","270,708",29.55,29.55,29.00,29.10,-0.50,23
2025/01/08,"38,447","1,115,324",29.10,29.10,28.85,28.90,-0.20,41
2025/01/09,"214,360","5,833,845",28.90,28.90,26.70,26.80,-2.10,255
2025/01/10,"69,054","1,812,930",26.80,26.80,25.70,26.20,-0.60,100
2025/01/13,"64,816","1,654,681",26.00,26.00,25.15,25.80,-0.40,109
2025/01/14,"92,100","2,397,732",25.75,26.50,25.75,26.10,+0.30,54
2025/01/15,"23,508","612,004",26.00,26.20,25.40,26.10,0.00,72
2025/01/16,"65,216","1,700,323",26.05,26.30,25.90,26.05,-0.05,63
2025/01/17,"34,490","892,662",26.05,26.05,25.80,25.80,-0.25,59
2025/01/20,"33,973","887,205",25.55,26.20,25.55,26.10,+0.30,54
2025/01/21,"33,234","883,700",26.15,26.95,26.10,26.60,+0.50,46
2025/01/22,"63,236","1,669,939",26.60,26.60,26.35,26.40,-0.20,50
2025/02/03,"33,577","873,474",26.10,26.15,25.75,25.95,-0.45,66
2025/02/04,"18,208","474,020",26.00,26.20,25.85,26.20,+0.25,47
2025/02/05,"21,168","566,256",26.95,26.95,26.50,26.50,+0.30,50
2025/02/06,"12,126","322,280",26.50,26.75,26.50,26.75,+0.25,32
2025/02/07,"31,249","834,559",26.70,26.80,26.65,26.65,-0.10,66
2025/02/10,"25,730","672,104",26.10,26.45,25.90,26.30,-0.35,57
2025/02/11,"18,137","476,982",26.45,26.45,26.20,26.35,+0.05,46
2025/02/12,"45,077","1,197,474",26.30,26.95,26.25,26.75,+0.40,65
2025/02/13,"44,251","1,202,577",26.90,27.60,26.90,27.25,+0.50,66
2025/02/14,"60,713","1,667,737",27.30,28.30,27.00,28.30,+1.05,129
2025/02/17,"49,760","1,402,258",28.30,28.50,28.00,28.35,+0.05,130
2025/02/18,"16,581","469,203",28.35,28.35,28.25,28.30,-0.05,83
2025/02/19,"78,359","2,226,393",28.70,28.70,28.25,28.50,+0.20,69
2025/02/20,"60,170","1,721,305",28.55,28.75,28.45,28.60,+0.10,88
2025/02/21,"79,205","2,241,323",28.45,28.55,28.10,28.50,-0.10,87
2025/02/24,"17,237","491,143",28.50,28.75,28.40,28.40,-0.10,52
2025/02/25,"33,093","937,716",28.40,28.45,28.15,28.45,+0.05,68
2025/02/26,"48,457","1,397,766",28.50,29.25,28.40,29.15,+0.70,77
2025/02/27,"92,522","2,686,716",29.15,29.45,28.80,29.20,+0.05,86
2025/03/03,"93,336","2,725,529",29.00,29.65,29.00,29.25,+0.05,98
2025/03/04,"74,600","2,179,123",29.00,29.75,28.60,29.45,+0.20,119
2025/03/05,"38,063","1,126,169",29.45,29.70,29.45,29.65,+0.20,87
2025/03/06,"40,250","1,180,182",29.60,29.60,29.15,29.30,-0.35,88
2025/03/07,"17,409","508,185",29.20,29.35,29.05,29.15,-0.15,52
2025/03/10,"58,847","1,703,648",29.20,29.20,28.70,28.75,-0.40,85
2025/03/11,"75,850","2,130,402",28.55,28.80,27.80,28.80,+0.05,94
2025/03/12,"9,007","260,349",28.90,29.00,28.85,29.00,+0.20,45
2025/03/13,"21,844","627,953",28.75,28.80,28.70,28.80,-0.20,70
2025/03/14,"85,056","2,450,298",28.80,29.20,28.65,29.20,+0.40,66
2025/03/17,"10,658","309,075",29.10,29.10,28.90,29.00,-0.20,38
