日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,452,004","55,336,796",38.0,38.5,37.85,37.85,-0.20,"1,290"
2025/01/03,"3,329,343","123,899,907",38.0,38.05,36.6,36.65,-1.20,"2,152"
2025/01/06,"1,542,115","56,738,611",36.8,37.1,36.4,36.9,+0.25,"1,082"
2025/01/07,"1,239,366","45,711,439",37.2,37.2,36.7,36.7,-0.20,"1,202"
2025/01/08,"20,870,491","830,042,020",38.8,40.35,38.7,40.35,+3.65,"13,194"
2025/01/09,"18,193,560","717,876,158",40.7,40.95,38.3,38.5,-1.85,"12,590"
2025/01/10,"3,495,780","134,057,078",38.3,39.0,38.0,38.1,-0.40,"2,911"
2025/01/13,"3,491,485","132,393,888",38.45,38.85,37.25,37.65,-0.45,"2,330"
2025/01/14,"9,380,615","364,384,744",37.75,39.5,37.7,39.0,+1.35,"5,177"
2025/01/15,"3,288,015","126,375,387",38.7,38.8,38.2,38.25,-0.75,"2,640"
2025/01/16,"2,333,421","89,916,972",38.85,39.0,38.3,38.3,+0.05,"1,425"
2025/01/17,"3,241,513","123,555,093",38.4,38.65,37.8,37.8,-0.50,"1,883"
2025/01/20,"3,092,959","115,587,793",38.0,38.0,37.0,37.5,-0.30,"1,958"
2025/01/21,"1,671,059","62,319,900",37.4,37.75,37.15,37.15,-0.35,"1,179"
2025/01/22,"2,156,802","80,343,490",37.25,37.4,37.1,37.25,+0.10,"1,162"
2025/02/03,"2,120,298","78,262,304",36.7,37.45,36.4,37.15,-0.10,"1,348"
2025/02/04,"1,551,112","57,236,100",37.05,37.25,36.65,36.8,-0.35,"1,274"
2025/02/05,"9,931,002","383,712,379",37.2,39.1,37.2,38.8,+2.00,"5,376"
2025/02/06,"5,333,873","207,847,433",38.8,39.3,38.4,39.2,+0.40,"4,274"
2025/02/07,"5,235,836","206,747,722",39.2,39.85,38.95,39.7,+0.50,"3,263"
2025/02/10,"11,257,597","416,578,077",37.9,37.9,36.2,37.15,-2.55,"6,933"
2025/02/11,"3,164,100","116,995,144",36.9,37.35,36.8,36.9,-0.25,"2,129"
2025/02/12,"3,448,356","126,589,269",37.3,37.3,36.4,36.75,-0.15,"2,508"
2025/02/13,"1,861,236","68,505,704",36.9,36.9,36.7,36.85,+0.10,"1,384"
2025/02/14,"1,837,928","67,622,124",37.0,37.1,36.6,36.7,-0.15,"1,223"
2025/02/17,"1,140,298","41,927,084",36.8,37.05,36.55,36.75,+0.05,"1,042"
2025/02/18,"1,018,956","37,466,210",36.75,36.9,36.6,36.8,+0.05,798
2025/02/19,"1,157,177","42,852,896",37.0,37.15,36.85,37.05,+0.25,"1,060"
2025/02/20,"2,182,856","81,222,466",37.15,37.6,36.85,37.2,+0.15,"1,535"
2025/02/21,"1,431,725","53,293,945",37.2,37.35,36.95,37.25,+0.05,983
2025/02/24,"2,894,801","108,805,290",37.1,37.85,37.1,37.8,+0.55,"1,856"
2025/02/25,"1,500,883","56,330,229",37.9,37.9,37.4,37.5,-0.30,"1,473"
2025/02/26,"1,079,643","40,520,449",37.65,37.85,37.4,37.45,-0.05,720
2025/02/27,"1,683,239","63,060,175",37.75,37.8,37.25,37.25,-0.20,990
2025/03/03,"1,229,863","45,445,803",37.15,37.3,36.8,36.8,-0.45,872
2025/03/04,"1,068,451","39,354,083",36.65,37.3,36.4,37.2,+0.40,818
2025/03/05,"1,683,320","63,016,036",37.45,37.6,37.25,37.4,+0.20,"1,066"
2025/03/06,"1,261,425","47,309,359",37.7,37.75,37.4,37.4,0.00,821
2025/03/07,"1,103,826","41,305,641",37.5,37.65,37.25,37.25,-0.15,679
