日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"166,751","6,988,704",41.85,42.2,41.7,41.95,-0.05,227
2025/01/03,"480,223","19,986,165",41.95,42.0,41.3,41.35,-0.60,487
2025/01/06,"172,638","7,191,114",41.4,41.8,41.4,41.6,+0.25,166
2025/01/07,"254,150","10,554,240",41.6,41.8,41.3,41.35,-0.25,226
2025/01/08,"285,577","11,723,646",41.35,41.35,40.8,41.2,-0.15,336
2025/01/09,"307,827","12,587,830",41.25,41.25,40.7,40.7,-0.50,321
2025/01/10,"143,258","5,865,179",40.7,41.2,40.7,41.05,+0.35,169
2025/01/13,"437,616","17,915,433",41.05,41.5,40.5,41.0,-0.05,413
2025/01/14,"638,288","26,801,295",40.9,42.6,40.9,42.5,+1.50,474
2025/01/15,"240,569","10,226,775",42.4,42.9,42.15,42.25,-0.25,258
2025/01/16,"323,772","13,704,937",42.4,42.85,42.1,42.1,-0.15,365
2025/01/17,"89,937","3,785,837",42.15,42.35,42.0,42.0,-0.10,183
2025/01/20,"195,547","8,190,633",42.0,42.3,41.7,41.9,-0.10,265
2025/01/21,"219,349","9,190,807",41.8,42.1,41.7,41.7,-0.20,299
2025/01/22,"384,306","16,092,687",41.75,42.15,41.7,41.95,+0.25,251
2025/02/03,"235,450","9,777,369",41.95,41.95,41.25,41.55,-0.40,295
2025/02/04,"112,100","4,646,584",41.55,41.7,41.35,41.45,-0.10,214
2025/02/05,"61,051","2,553,398",41.65,41.95,41.55,41.95,+0.50,155
2025/02/06,"166,398","6,995,648",41.95,42.2,41.8,42.2,+0.25,173
2025/02/07,"143,478","6,031,093",42.0,42.2,41.9,42.0,-0.20,201
2025/02/10,"123,572","5,184,116",42.0,42.15,41.7,42.0,0.00,256
2025/02/11,"687,340","29,336,445",42.15,43.25,41.9,42.6,+0.60,775
2025/02/12,"140,630","5,965,024",42.75,42.8,42.2,42.35,-0.25,289
2025/02/13,"203,273","8,655,720",42.35,42.75,42.25,42.65,+0.30,311
2025/02/14,"307,778","13,218,799",42.7,43.15,42.65,42.95,+0.30,363
2025/02/17,"203,021","8,703,415",42.95,43.15,42.75,42.8,-0.15,431
2025/02/18,"179,334","7,641,114",42.85,42.85,42.55,42.6,-0.20,292
2025/02/19,"167,898","7,202,178",42.8,43.1,42.7,42.7,+0.10,272
2025/02/20,"774,879","33,705,272",42.85,43.95,42.8,43.5,+0.80,701
2025/02/21,"258,841","11,257,453",43.5,43.65,43.3,43.65,+0.15,436
2025/02/24,"167,351","7,273,174",43.3,43.55,43.3,43.45,-0.20,308
2025/02/25,"444,633","19,469,199",43.1,44.1,43.1,43.75,+0.30,422
2025/02/26,"238,727","10,475,440",43.7,44.1,43.7,43.85,+0.10,310
2025/02/27,"556,298","24,628,254",43.85,44.6,43.85,44.05,+0.20,603
2025/03/03,"322,343","14,160,450",43.95,44.25,43.5,44.0,-0.05,683
2025/03/04,"274,732","12,033,342",43.7,44.15,43.55,44.15,+0.15,310
2025/03/05,"192,622","8,490,582",44.15,44.4,44.0,44.0,-0.15,352
2025/03/06,"259,952","11,413,499",44.4,44.55,43.7,43.7,-0.30,318
2025/03/07,"129,274","5,643,070",43.5,43.75,43.5,43.6,-0.10,207
2025/03/10,"170,130","7,459,438",43.6,44.05,43.6,43.95,+0.35,277
2025/03/11,"346,815","14,920,602",42.75,43.5,42.75,43.5,-0.45,417
2025/03/12,"394,839","17,016,483",43.5,43.5,42.9,43.05,-0.45,738
2025/03/13,"856,696","36,644,776",43.1,43.15,42.55,42.55,-0.50,764
2025/03/14,"835,771","35,385,300",42.6,43.05,41.85,42.95,+0.40,634
2025/03/17,"193,452","8,332,030",42.95,43.2,42.95,42.95,0.00,432
2025/03/18,"227,203","9,754,282",42.95,43.25,42.8,42.85,-0.10,378
2025/03/19,"223,206","9,540,304",43.0,43.0,42.55,42.65,-0.20,359
2025/03/20,"134,355","5,765,099",42.85,43.1,42.75,42.9,+0.25,263
2025/03/21,"278,925","11,906,498",43.0,43.0,42.55,42.55,-0.35,379
2025/03/24,"264,208","11,199,857",42.6,42.6,42.2,42.2,-0.35,409
2025/03/25,"234,677","9,874,159",42.45,42.45,41.9,42.05,-0.15,361
2025/03/26,"112,004","4,709,727",42.05,42.2,41.95,42.05,0.00,246
2025/03/27,"208,922","8,756,742",42.0,42.0,41.8,41.85,-0.20,299
2025/03/28,"594,866","24,483,536",41.8,41.8,40.8,41.0,-0.85,632
2025/03/31,"659,643","26,543,703",40.8,40.8,40.0,40.2,-0.80,684
2025/04/01,"371,658","15,007,666",40.2,40.6,40.1,40.55,+0.35,423
2025/04/02,"145,145","5,899,078",40.55,40.85,40.4,40.8,+0.25,247
2025/04/07,"284,375","10,451,478",36.75,36.75,36.75,36.75,-4.05,559
2025/04/08,"1,690,756","56,573,341",33.2,34.25,33.1,33.4,-3.35,"1,210"
2025/04/09,"991,497","31,978,432",33.5,33.6,31.2,31.45,-1.95,962
2025/04/10,"248,819","8,587,014",34.55,34.55,34.0,34.55,+3.10,216
2025/04/11,"429,811","14,690,944",33.95,34.65,33.0,34.6,+0.05,635
2025/04/14,"550,456","19,364,935",35.0,35.65,34.85,34.95,+0.35,795
2025/04/15,"266,895","9,595,946",35.3,36.4,35.3,36.25,+1.30,572
2025/04/16,"181,136","6,509,921",36.25,36.25,35.8,35.85,-0.40,783
2025/04/17,"155,366","5,541,117",35.85,36.0,35.4,35.7,-0.15,339
2025/04/18,"46,509","1,671,854",36.05,36.05,35.8,35.9,+0.20,280
2025/04/21,"175,505","6,197,767",35.9,35.9,35.0,35.05,-0.85,296
2025/04/22,"78,815","2,744,504",35.05,35.05,34.3,34.75,-0.30,151
2025/04/23,"117,703","4,171,948",35.05,35.65,35.05,35.6,+0.85,166
2025/04/24,"97,855","3,509,190",35.6,36.0,35.6,36.0,+0.40,181
2025/04/25,"123,823","4,535,615",36.35,37.0,36.2,37.0,+1.00,216
2025/04/28,"104,362","3,852,010",36.85,37.15,36.7,36.95,-0.05,155
2025/04/29,"107,632","4,003,523",36.95,37.4,36.95,37.35,+0.40,177
2025/04/30,"83,154","3,102,934",37.1,37.65,37.1,37.2,-0.15,115
2025/05/02,"78,729","2,945,079",37.45,37.55,37.2,37.45,+0.25,160
2025/05/05,"613,644","22,172,150",37.45,37.65,35.4,35.75,-1.70,561
2025/05/06,"244,479","8,884,370",35.75,36.9,35.55,36.8,+1.05,221
2025/05/07,"120,183","4,377,573",36.8,36.8,36.3,36.4,-0.40,185
2025/05/08,"133,728","4,898,400",36.45,36.8,36.45,36.7,+0.30,135
2025/05/09,"103,606","3,824,211",36.7,37.1,36.7,36.85,+0.15,111
2025/05/12,"194,823","7,258,510",36.9,37.4,36.9,37.4,+0.55,196
2025/05/13,"269,566","10,206,420",38.25,38.25,37.55,37.85,+0.45,175
2025/05/14,"227,299","8,728,358",38.0,38.7,38.0,38.3,+0.45,342
2025/05/15,"231,229","8,914,428",38.4,38.75,38.3,38.6,+0.30,209
2025/05/16,"170,994","6,623,621",38.6,38.9,38.45,38.6,0.00,198
2025/05/19,"128,147","4,915,416",38.7,38.7,38.15,38.5,-0.10,162
2025/05/20,"124,654","4,785,537",38.5,38.6,38.15,38.6,+0.10,160
2025/05/21,"98,578","3,814,732",38.55,38.85,38.5,38.75,+0.15,141
2025/05/22,"90,451","3,511,738",38.55,39.0,38.5,39.0,+0.25,107
2025/05/23,"148,746","5,807,151",39.0,39.15,38.8,39.0,0.00,132
2025/05/26,"161,895","6,326,824",39.0,39.25,38.95,39.0,0.00,170
2025/05/27,"172,821","6,736,177",39.05,39.3,38.75,38.8,-0.20,132
2025/05/28,"109,925","4,231,387",38.75,38.8,38.2,38.25,-0.55,143
2025/05/29,"138,740","5,277,382",38.3,38.4,37.8,37.9,-0.35,152
2025/06/02,"169,230","6,348,619",37.95,37.95,37.2,37.6,-0.30,192
2025/06/03,"114,221","4,285,378",37.5,37.75,37.45,37.5,-0.10,122
2025/06/04,"89,880","3,400,611",37.65,38.0,37.55,38.0,+0.50,98
2025/06/05,"38,649","1,469,058",38.0,38.3,37.9,37.9,-0.10,61
2025/06/06,"49,652","1,877,148",37.8,37.95,37.7,37.75,-0.15,83
2025/06/09,"112,346","4,217,977",37.8,37.85,37.3,37.45,-0.30,135
2025/06/10,"307,148","11,614,896",37.4,38.05,37.4,37.85,+0.40,146
2025/06/11,"132,986","5,015,329",37.9,37.9,37.65,37.7,-0.15,114
2025/06/12,"113,661","4,280,437",37.7,37.75,37.5,37.7,0.00,94
2025/06/13,"189,906","7,076,155",37.5,37.55,37.1,37.4,-0.30,192
2025/06/16,"213,781","7,897,060",37.1,37.2,36.65,36.85,-0.55,214
2025/06/17,"134,339","4,990,719",37.0,37.3,36.85,37.2,+0.35,122
2025/06/18,"140,828","5,276,914",37.15,37.65,37.1,37.5,+0.30,163
2025/06/19,"125,787","4,659,642",37.4,37.4,36.85,36.9,-0.60,230
2025/06/20,"213,670","7,784,612",36.85,37.0,36.2,36.2,-0.70,207
2025/06/23,"213,894","7,665,446",36.2,36.2,35.5,35.9,-0.30,266
2025/06/24,"132,763","4,833,687",35.95,36.6,35.95,36.5,+0.60,148
2025/06/25,"88,499","3,253,456",36.5,37.0,36.4,37.0,+0.50,121
2025/06/26,"69,768","2,601,291",37.0,37.5,37.0,37.05,+0.05,158
2025/06/27,"101,583","3,786,810",37.3,37.45,36.85,37.3,+0.25,113
2025/06/30,"131,197","4,854,395",37.3,37.3,36.9,37.0,-0.30,238
2025/07/01,"122,767","4,543,949",37.15,37.2,36.8,36.95,-0.05,134
2025/07/02,"139,143","5,202,310",37.0,37.6,37.0,37.5,+0.55,150
2025/07/03,"178,499","6,755,778",37.5,38.1,37.45,37.9,+0.40,164
2025/07/04,"101,659","3,822,952",38.0,38.0,37.5,37.5,-0.40,249
2025/07/07,"45,940","1,715,427",37.5,37.5,37.0,37.35,-0.15,112
2025/07/08,"96,047","3,555,745",37.1,37.4,36.8,37.0,-0.35,109
2025/07/09,"80,764","2,984,311",37.0,37.0,36.75,36.9,-0.10,83
2025/07/10,"111,212","4,113,967",37.0,37.15,36.85,37.0,+0.10,134
2025/07/11,"88,756","3,301,782",37.05,37.25,37.05,37.25,+0.25,119
2025/07/14,"45,890","1,701,574",37.25,37.25,37.0,37.1,-0.15,122
2025/07/15,"56,912","2,114,236",37.1,37.35,37.0,37.2,+0.10,76
2025/07/16,"94,664","3,541,304",37.15,37.6,37.1,37.4,+0.20,113
2025/07/17,"96,938","3,665,135",37.6,37.9,37.6,37.85,+0.45,111
2025/07/18,"124,503","4,743,192",38.0,38.2,37.95,38.05,+0.20,189
2025/07/21,"82,703","3,167,000",38.05,38.6,38.05,38.3,+0.25,160
2025/07/22,"251,492","9,626,889",38.65,38.7,37.95,38.1,-0.20,310
2025/07/23,"220,943","8,445,923",38.1,38.6,38.05,38.35,+0.25,120
2025/07/24,"115,960","4,430,513",38.35,38.4,38.05,38.15,-0.20,107
2025/07/25,"126,961","4,846,807",38.3,38.3,38.0,38.1,-0.05,126
