日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"432,255","10,644,750",24.1,24.95,24.1,24.5,+0.40,401
2025/01/03,"263,255","6,430,916",24.75,24.8,24.15,24.15,-0.35,253
2025/01/06,"135,050","3,300,209",24.2,24.7,24.2,24.35,+0.20,199
2025/01/07,"189,455","4,614,630",24.35,24.5,24.15,24.5,+0.15,210
2025/01/08,"124,146","3,012,681",24.45,24.5,24.05,24.35,-0.15,212
2025/01/09,"339,691","8,084,266",24.35,24.35,23.35,23.5,-0.85,270
2025/01/10,"222,043","5,191,129",23.3,23.65,23.2,23.5,0.00,230
2025/01/13,"548,380","12,364,707",23.05,23.2,22.1,22.55,-0.95,440
2025/01/14,"203,383","4,594,225",22.7,22.8,22.2,22.8,+0.25,200
2025/01/15,"172,504","3,893,029",22.75,22.8,22.4,22.45,-0.35,236
2025/01/16,"184,182","4,158,441",22.7,22.85,22.3,22.5,+0.05,200
2025/01/17,"165,716","3,707,737",22.55,22.55,22.2,22.4,-0.10,207
2025/01/20,"214,449","4,810,166",22.2,22.7,22.15,22.6,+0.20,176
2025/01/21,"140,105","3,165,963",22.9,22.9,22.4,22.4,-0.20,193
2025/01/22,"201,602","4,544,884",22.55,22.7,22.1,22.65,+0.25,210
2025/02/03,"268,621","5,886,669",22.6,22.6,21.6,21.8,-0.85,305
2025/02/04,"176,019","3,849,211",21.8,22.0,21.6,21.85,+0.05,176
2025/02/05,"122,545","2,726,211",22.1,22.35,22.0,22.25,+0.40,151
2025/02/06,"488,394","11,217,316",22.5,23.2,22.25,23.05,+0.80,431
2025/02/07,"264,918","6,046,145",23.1,23.1,22.65,22.8,-0.25,234
2025/02/10,"255,300","5,858,332",22.65,23.1,22.55,22.95,+0.15,217
2025/02/11,"173,777","3,994,290",23.05,23.4,22.9,22.9,-0.05,202
2025/02/12,"206,520","4,799,330",22.95,23.45,22.95,23.05,+0.15,213
2025/02/13,"284,564","6,709,462",23.25,23.8,23.25,23.6,+0.55,325
2025/02/14,"292,535","7,010,374",23.6,24.25,23.5,24.2,+0.60,360
2025/02/17,"211,823","5,095,332",24.3,24.3,23.9,24.0,-0.20,346
2025/02/18,"155,375","3,720,020",24.0,24.1,23.8,23.9,-0.10,184
2025/02/19,"230,529","5,587,225",24.15,24.5,24.0,24.4,+0.50,217
2025/02/20,"2,840,351","74,219,833",24.45,26.8,24.2,26.8,+2.40,"2,052"
2025/02/21,"12,229,728","342,494,514",26.3,29.3,25.9,27.3,+0.50,"8,004"
2025/02/24,"2,256,267","60,743,352",27.0,27.5,26.5,26.7,-0.60,"1,734"
2025/02/25,"938,498","24,643,113",26.5,26.5,26.1,26.2,-0.50,775
2025/02/26,"987,774","25,863,113",26.2,26.7,25.9,25.95,-0.25,705
2025/02/27,"558,829","14,421,347",26.0,26.35,25.5,25.5,-0.45,538
2025/03/03,"515,333","12,799,531",25.4,25.55,24.55,24.75,-0.75,450
2025/03/04,"396,065","9,729,092",24.55,25.2,24.05,24.8,+0.05,305
2025/03/05,"522,873","13,201,284",24.8,25.55,24.55,25.3,+0.50,463
2025/03/06,"264,906","6,641,428",25.8,25.8,24.7,24.7,-0.60,388
2025/03/07,"188,333","4,652,425",24.7,25.0,24.5,24.65,-0.05,204
2025/03/10,"174,822","4,310,945",24.65,24.85,24.55,24.65,0.00,181
2025/03/11,"5,832,050","154,783,845",25.5,27.1,25.5,27.1,+2.45,"3,700"
2025/03/12,"10,661,220","296,872,156",27.25,28.85,26.7,27.4,+0.30,"6,947"
2025/03/13,"1,732,201","46,475,881",27.4,27.4,26.3,26.7,-0.70,"1,463"
2025/03/14,"1,035,341","27,704,709",26.4,27.3,26.25,27.3,+0.60,794
2025/03/17,"786,064","21,307,720",27.15,27.4,26.75,27.35,+0.05,704
2025/03/18,"684,569","18,511,489",27.45,27.7,26.75,27.25,-0.10,675
2025/03/19,"554,404","14,777,909",27.25,27.25,26.45,26.45,-0.80,530
2025/03/20,"508,097","13,651,062",26.9,27.1,26.65,26.9,+0.45,427
2025/03/21,"323,577","8,601,639",27.0,27.0,26.35,26.8,-0.10,409
2025/03/24,"655,339","17,585,767",26.9,27.25,26.5,26.5,-0.30,468
2025/03/25,"401,139","10,681,633",26.6,26.9,26.45,26.8,+0.30,293
2025/03/26,"6,312,445","178,308,847",26.85,28.95,26.75,28.6,+1.80,"3,442"
2025/03/27,"6,016,706","171,162,689",29.2,29.25,27.6,27.6,-1.00,"4,147"
2025/03/28,"1,749,271","46,994,464",27.3,27.35,26.2,26.75,-0.85,"1,195"
2025/03/31,"1,802,506","45,158,452",25.8,26.7,24.2,24.25,-2.50,"1,267"
2025/04/01,"904,835","22,134,979",24.9,24.9,24.25,24.25,0.00,682
2025/04/02,"2,341,060","58,813,535",24.2,26.0,24.0,24.75,+0.50,"1,736"
2025/04/07,"127,855","2,851,139",22.3,22.3,22.3,22.3,-2.45,165
2025/04/08,"1,488,810","29,990,442",20.1,20.45,20.1,20.1,-2.20,915
2025/04/09,"1,662,709","30,853,929",19.5,20.05,18.1,18.2,-1.90,"1,005"
2025/04/10,"175,756","3,515,120",20.0,20.0,20.0,20.0,+1.80,159
2025/04/11,"954,801","19,315,142",19.9,20.6,19.25,20.5,+0.50,688
2025/04/14,"683,271","14,366,141",20.75,21.5,20.65,20.8,+0.30,511
2025/04/15,"757,692","16,612,067",21.25,22.35,21.25,22.3,+1.50,613
