日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"252,358","8,022,462",31.6,32.25,31.15,31.6,0.00,319
2025/01/03,"313,564","10,050,052",32.2,32.65,31.5,31.55,-0.05,338
2025/01/06,"147,738","4,545,797",31.0,31.4,30.45,31.0,-0.55,244
2025/01/07,"64,128","1,970,134",31.05,31.1,30.3,30.35,-0.65,131
2025/01/08,"51,589","1,562,379",30.25,30.45,30.1,30.25,-0.10,80
2025/01/09,"50,292","1,514,998",30.25,30.35,30.0,30.0,-0.25,107
2025/01/10,"26,701","800,759",29.85,30.0,29.85,30.0,0.00,65
2025/01/13,"64,341","1,925,008",30.0,30.05,29.75,29.8,-0.20,105
2025/01/14,"14,270","428,882",30.0,30.15,30.0,30.1,+0.30,52
2025/01/15,"46,233","1,396,412",30.25,30.45,30.1,30.35,+0.25,62
2025/01/16,"22,118","673,667",30.5,30.55,30.4,30.4,+0.05,55
2025/01/17,"16,729","507,629",30.3,30.45,30.25,30.3,-0.10,156
2025/01/20,"34,439","1,040,331",30.3,30.3,30.1,30.15,-0.15,106
2025/01/21,"45,611","1,370,256",30.0,30.1,30.0,30.0,-0.15,146
2025/01/22,"44,798","1,344,484",30.0,30.2,30.0,30.05,+0.05,108
2025/02/03,"59,733","1,787,983",30.0,30.2,29.6,30.2,+0.15,121
2025/02/04,"17,610","529,952",30.0,30.2,30.0,30.0,-0.20,74
2025/02/05,"15,552","470,088",30.2,30.3,30.15,30.15,+0.15,35
2025/02/06,"103,102","3,157,195",30.3,31.1,30.1,31.0,+0.85,201
2025/02/07,"40,235","1,250,335",31.15,31.35,30.9,30.95,-0.05,107
2025/02/10,"21,186","654,005",30.8,31.0,30.7,30.9,-0.05,114
2025/02/11,"71,137","2,233,400",31.15,31.6,31.15,31.35,+0.45,116
2025/02/12,"61,429","1,946,865",31.95,31.95,31.5,31.6,+0.25,90
2025/02/13,"46,337","1,462,755",31.6,31.7,31.3,31.7,+0.10,312
2025/02/14,"62,587","1,977,495",31.5,31.9,31.3,31.7,0.00,113
2025/02/17,"66,357","2,119,565",31.7,32.2,31.7,31.95,+0.25,90
2025/02/18,"63,303","2,025,157",31.95,32.4,31.8,31.85,-0.10,120
2025/02/19,"99,048","3,182,909",31.85,32.35,31.85,32.25,+0.40,115
2025/02/20,"106,763","3,443,987",32.3,32.6,32.15,32.3,+0.05,160
2025/02/21,"186,505","6,105,185",32.3,33.15,32.3,33.0,+0.70,206
2025/02/24,"328,092","10,995,854",33.0,33.95,32.65,33.5,+0.50,305
2025/02/25,"210,953","7,031,828",33.5,33.8,33.15,33.15,-0.35,185
2025/02/26,"136,262","4,477,991",33.15,33.2,32.6,32.8,-0.35,459
2025/02/27,"504,899","16,988,800",33.05,35.0,33.0,33.05,+0.25,543
2025/03/03,"148,620","4,845,987",33.4,33.4,32.3,32.5,-0.55,393
2025/03/04,"126,425","4,161,124",32.5,33.3,32.0,33.05,+0.55,147
2025/03/05,"83,501","2,770,342",33.25,33.4,32.85,33.2,+0.15,99
2025/03/06,"103,893","3,415,796",33.45,33.45,32.7,32.8,-0.40,277
2025/03/07,"36,602","1,195,178",32.55,32.8,32.5,32.8,0.00,127
2025/03/10,"85,605","2,814,965",33.1,33.15,32.3,33.15,+0.35,89
2025/03/11,"84,440","2,736,133",32.5,32.65,32.0,32.65,-0.50,232
2025/03/12,"38,366","1,250,155",32.45,32.8,32.45,32.6,-0.05,72
2025/03/13,"19,173","623,565",32.6,32.7,32.25,32.35,-0.25,34
2025/03/14,"18,952","614,310",32.35,32.6,32.35,32.4,+0.05,52
2025/03/17,"50,086","1,627,388",32.55,32.65,32.25,32.45,+0.05,170
2025/03/18,"66,852","2,171,999",32.3,32.65,32.3,32.65,+0.20,87
2025/03/19,"31,536","1,017,876",32.65,32.65,32.05,32.3,-0.35,116
2025/03/20,"121,332","3,884,701",32.0,32.35,31.85,32.2,-0.10,270
2025/03/21,"103,212","3,426,284",32.3,32.3,31.95,32.0,-0.20,96
2025/03/24,"70,288","2,239,631",31.65,32.1,31.65,31.9,-0.10,294
2025/03/25,"34,722","1,114,418",32.1,32.3,31.95,32.0,+0.10,83
2025/03/26,"41,097","1,321,351",32.3,32.3,31.95,32.3,+0.30,51
2025/03/27,"55,683","1,783,118",32.3,32.4,31.85,31.85,-0.45,97
2025/03/28,"88,061","2,771,938",31.6,32.2,31.2,31.3,-0.55,168
2025/03/31,"140,405","4,246,076",30.45,30.6,30.0,30.4,-0.90,227
2025/04/01,"85,708","2,671,322",31.1,31.6,30.7,31.5,+1.10,152
2025/04/02,"63,756","2,016,814",31.7,32.0,31.5,31.6,+0.10,105
2025/04/07,"74,152","2,109,446",28.45,28.45,28.45,28.45,-3.15,781
2025/04/08,"180,482","4,904,304",27.3,27.6,26.6,27.1,-1.35,338
2025/04/09,"307,765","7,846,744",27.1,27.1,24.4,24.65,-2.45,536
2025/04/10,"48,205","1,304,704",27.0,27.1,26.8,27.1,+2.45,34
2025/04/11,"156,331","4,194,585",27.0,27.6,25.0,27.5,+0.40,179
2025/04/14,"216,157","5,892,831",27.55,27.8,26.85,26.9,-0.60,471
2025/04/15,"88,828","2,428,980",27.0,27.5,27.0,27.4,+0.50,121
2025/04/16,"380,663","11,070,272",27.6,29.9,27.6,28.7,+1.30,378
2025/04/17,"734,481","22,225,842",28.7,31.2,28.7,29.6,+0.90,713
2025/04/18,"387,357","11,881,049",30.75,31.6,30.05,30.7,+1.10,488
2025/04/21,"243,589","7,337,189",30.7,30.75,29.5,29.5,-1.20,407
2025/04/22,"110,474","3,244,543",29.1,30.15,28.95,29.4,-0.10,142
2025/04/23,"164,138","4,944,037",30.0,31.0,29.3,30.4,+1.00,181
2025/04/24,"41,313","1,250,039",30.35,30.4,30.05,30.3,-0.10,72
2025/04/25,"80,879","2,473,400",30.5,30.95,30.05,30.4,+0.10,109
2025/04/28,"39,986","1,212,724",30.55,30.55,30.1,30.2,-0.20,92
2025/04/29,"150,274","4,545,356",30.1,30.55,30.0,30.15,-0.05,132
2025/04/30,"146,060","4,503,978",30.4,32.0,30.25,30.25,+0.10,150
2025/05/02,"71,363","2,192,520",30.75,30.95,30.4,30.65,+0.40,84
2025/05/05,"136,439","4,111,371",30.6,30.75,29.3,29.6,-1.05,211
2025/05/06,"127,636","3,700,003",28.8,29.65,28.0,29.05,-0.55,217
2025/05/07,"113,284","3,287,338",29.1,29.5,28.5,29.25,+0.20,171
2025/05/08,"75,742","2,258,940",29.5,30.1,29.5,29.65,+0.40,201
2025/05/09,"45,507","1,368,730",30.0,30.2,30.0,30.1,+0.45,74
2025/05/12,"160,990","4,833,433",29.85,30.5,29.85,30.15,+0.05,127
2025/05/13,"326,661","10,284,262",30.3,31.95,30.3,31.4,+1.25,294
2025/05/14,"136,945","4,337,591",31.6,31.85,31.6,31.6,+0.20,195
2025/05/15,"204,537","6,394,613",31.3,31.85,30.5,31.85,+0.25,388
2025/05/16,"123,801","3,930,702",31.3,32.0,31.25,31.6,-0.25,178
2025/05/19,"193,566","6,166,559",31.8,32.1,31.55,31.75,+0.15,127
2025/05/20,"122,082","3,910,821",32.0,32.45,31.9,32.25,+0.50,104
2025/05/21,"160,950","5,215,747",32.0,32.55,32.0,32.45,+0.20,201
2025/05/22,"98,015","3,179,603",32.3,32.5,32.05,32.1,-0.35,85
2025/05/23,"66,426","2,150,240",32.1,32.5,32.0,32.0,-0.10,64
2025/05/26,"160,546","5,176,532",32.0,32.5,31.65,31.7,-0.30,197
2025/05/27,"146,883","4,743,383",32.35,32.7,31.75,31.75,+0.05,117
2025/05/28,"115,485","3,719,051",32.15,32.45,31.7,32.2,+0.45,100
2025/05/29,"129,071","4,160,200",32.0,32.5,31.85,32.3,+0.10,126
2025/06/02,"114,013","3,655,128",32.3,32.5,31.55,31.6,-0.70,161
2025/06/03,"121,084","3,895,675",31.65,32.45,31.65,31.7,+0.10,85
2025/06/04,"82,233","2,652,525",31.95,32.4,31.9,32.35,+0.65,77
2025/06/05,"103,669","3,344,968",32.4,32.5,31.95,32.2,-0.15,119
2025/06/06,"105,827","3,431,298",32.4,32.5,32.25,32.45,+0.25,97
2025/06/09,"128,580","4,191,541",32.45,32.85,32.3,32.55,+0.10,161
2025/06/10,"151,087","4,955,852",32.75,33.0,32.65,32.65,+0.10,121
2025/06/11,"72,400","2,351,665",32.65,32.65,32.25,32.45,-0.20,89
2025/06/12,"47,089","1,529,309",32.35,32.8,32.25,32.4,-0.05,64
2025/06/13,"42,214","1,351,490",32.8,32.8,31.75,31.75,-0.65,71
2025/06/16,"17,369","549,725",31.65,31.7,31.55,31.55,-0.20,57
2025/06/17,"33,239","1,039,637",31.6,31.6,31.0,31.4,-0.15,63
2025/06/18,"9,488","295,950",31.3,31.3,31.05,31.05,-0.35,40
2025/06/19,"65,526","2,001,126",31.0,31.1,30.3,30.3,-0.75,189
2025/06/20,"40,096","1,202,836",30.3,30.35,29.65,29.8,-0.50,84
2025/06/23,"83,265","2,406,141",29.55,29.55,28.05,29.0,-0.80,327
2025/06/24,"28,139","830,592",29.25,29.8,29.25,29.5,+0.50,136
2025/06/25,"18,357","545,154",29.5,29.95,29.5,29.85,+0.35,34
2025/06/26,"20,388","612,963",29.55,30.45,29.55,30.05,+0.20,35
2025/06/27,"36,325","1,093,659",30.1,30.75,29.9,30.1,+0.05,65
2025/06/30,"16,810","503,421",30.1,30.1,29.8,29.8,-0.30,247
