日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"390,736","5,426,977",13.9,14.1,13.75,14.0,-0.10,295
2025/01/03,"331,785","4,581,022",14.0,14.0,13.7,13.7,-0.30,355
2025/01/06,"270,477","3,818,856",13.8,14.25,13.8,13.95,+0.25,191
2025/01/07,"179,768","2,483,801",14.0,14.05,13.7,13.7,-0.25,237
2025/01/08,"318,164","4,338,021",13.7,13.85,13.4,13.65,-0.05,278
2025/01/09,"395,771","5,304,411",13.7,13.8,13.2,13.25,-0.40,384
2025/01/10,"416,868","5,666,701",13.65,13.7,13.5,13.55,+0.30,260
2025/01/13,"598,780","7,846,106",13.45,13.45,12.8,13.25,-0.30,562
2025/01/14,"119,528","1,582,690",13.25,13.3,13.15,13.25,0.00,203
2025/01/15,"153,425","2,056,732",13.3,13.5,13.2,13.4,+0.15,136
2025/01/16,"103,387","1,388,058",13.5,13.55,13.3,13.45,+0.05,153
2025/01/17,"44,369","594,556",13.55,13.55,13.3,13.3,-0.15,99
2025/01/20,"77,486","1,039,002",13.55,13.55,13.35,13.4,+0.10,88
2025/01/21,"84,495","1,139,648",13.4,13.6,13.35,13.55,+0.15,63
2025/01/22,"338,540","4,564,123",13.4,13.55,13.35,13.55,0.00,297
2025/02/03,"202,066","2,681,307",13.3,13.5,13.15,13.3,-0.25,276
2025/02/04,"70,991","943,464",13.35,13.35,13.2,13.35,+0.05,155
2025/02/05,"245,106","3,313,923",13.3,13.8,13.3,13.65,+0.30,171
2025/02/06,"113,701","1,563,504",13.9,13.9,13.6,13.75,+0.10,134
2025/02/07,"138,870","1,895,163",13.65,13.7,13.55,13.65,-0.10,164
2025/02/10,"83,298","1,134,462",13.65,13.7,13.55,13.7,+0.05,155
2025/02/11,"225,591","3,085,421",13.6,13.9,13.55,13.7,0.00,181
2025/02/12,"288,932","4,022,181",13.65,14.2,13.65,13.95,+0.25,132
2025/02/13,"133,795","1,880,639",13.85,14.15,13.85,14.1,+0.15,124
2025/02/14,"267,216","3,824,770",14.1,14.5,14.0,14.3,+0.20,236
2025/02/17,"90,948","1,307,003",14.3,14.45,14.25,14.4,+0.10,163
2025/02/18,"188,921","2,692,400",14.45,14.45,14.15,14.4,0.00,231
2025/02/19,"230,064","3,286,783",14.4,14.4,14.2,14.35,-0.05,181
2025/02/20,"93,689","1,341,246",14.3,14.4,14.2,14.4,+0.05,94
2025/02/21,"377,396","5,455,197",14.4,14.6,14.3,14.45,+0.05,239
2025/02/24,"128,590","1,863,778",14.5,14.6,14.3,14.5,+0.05,119
2025/02/25,"148,608","2,142,864",14.35,14.55,14.3,14.45,-0.05,157
2025/02/26,"113,142","1,626,001",14.3,14.45,14.3,14.45,0.00,130
2025/02/27,"230,290","3,291,696",14.3,14.4,14.2,14.4,-0.05,293
2025/03/03,"176,330","2,503,582",14.1,14.35,14.1,14.35,-0.05,183
2025/03/04,"90,158","1,283,890",14.1,14.35,14.1,14.3,-0.05,97
2025/03/05,"135,480","1,933,276",14.3,14.4,14.15,14.4,+0.10,108
2025/03/06,"187,982","2,687,139",14.45,14.45,14.15,14.2,-0.20,170
2025/03/07,"46,022","652,039",14.05,14.35,14.05,14.1,-0.10,55
2025/03/10,"149,447","2,115,767",14.2,14.25,14.1,14.15,+0.05,78
2025/03/11,"168,943","2,352,787",14.0,14.1,13.7,13.9,-0.25,181
2025/03/12,"199,873","2,762,353",14.0,14.0,13.7,13.85,-0.05,203
2025/03/13,"547,443","7,410,430",13.9,13.9,13.25,13.3,-0.55,423
2025/03/14,"221,760","3,001,620",13.55,13.75,13.35,13.6,+0.30,220
2025/03/17,"184,098","2,538,204",13.65,13.85,13.65,13.85,+0.25,144
2025/03/18,"145,691","2,041,822",13.95,14.15,13.9,14.0,+0.15,101
2025/03/19,"142,425","1,972,394",14.0,14.0,13.7,13.8,-0.20,145
2025/03/20,"194,287","2,714,056",13.8,14.1,13.8,13.85,+0.05,97
2025/03/21,"57,229","792,642",13.85,13.9,13.75,13.9,+0.05,82
2025/03/24,"37,931","525,253",14.0,14.0,13.8,13.85,-0.05,54
2025/03/25,"107,525","1,483,239",13.85,13.9,13.7,13.85,0.00,89
2025/03/26,"121,536","1,686,410",13.85,14.05,13.75,13.95,+0.10,94
2025/03/27,"109,243","1,512,503",13.95,13.95,13.8,13.85,-0.10,125
2025/03/28,"381,904","5,201,311",13.75,13.85,13.45,13.6,-0.25,247
2025/03/31,"281,155","3,733,345",13.4,13.45,13.1,13.4,-0.20,295
2025/04/01,"74,327","1,003,096",13.55,13.55,13.45,13.45,+0.05,62
2025/04/02,"114,286","1,527,339",13.45,13.45,13.3,13.4,-0.05,125
2025/04/07,"167,120","2,022,639",12.1,12.1,12.1,12.1,-1.30,652
2025/04/08,"1,078,382","11,817,006",10.9,11.35,10.9,11.0,-1.10,781
2025/04/09,"525,215","5,598,786",11.05,11.1,10.45,10.65,-0.35,561
2025/04/10,"202,699","2,358,991",11.4,11.7,11.35,11.7,+1.05,124
2025/04/11,"181,632","2,066,493",11.3,11.7,10.95,11.6,-0.10,291
2025/04/14,"199,120","2,344,582",12.0,12.0,11.65,11.65,+0.05,172
2025/04/15,"119,817","1,434,547",11.9,12.15,11.9,12.05,+0.40,90
2025/04/16,"56,232","672,364",11.95,12.2,11.9,11.9,-0.15,136
2025/04/17,"56,618","677,463",11.85,12.05,11.85,12.05,+0.15,70
2025/04/18,"74,058","907,225",12.25,12.4,12.15,12.25,+0.20,74
2025/04/21,"57,422","691,720",12.0,12.15,12.0,12.05,-0.20,104
2025/04/22,"100,495","1,205,808",12.0,12.2,11.9,12.2,+0.15,72
2025/04/23,"55,317","678,805",12.3,12.35,12.25,12.3,+0.10,52
2025/04/24,"13,811","169,982",12.3,12.35,12.25,12.35,+0.05,95
2025/04/25,"99,144","1,226,780",12.35,12.45,12.3,12.4,+0.05,116
2025/04/28,"100,464","1,255,186",12.5,12.55,12.4,12.5,+0.10,81
2025/04/29,"65,045","821,388",12.5,12.8,12.5,12.7,+0.20,78
2025/04/30,"91,316","1,160,541",12.85,12.85,12.65,12.8,+0.10,105
2025/05/02,"91,953","1,187,771",12.8,13.1,12.75,13.05,+0.25,102
2025/05/05,"184,358","2,382,658",13.25,13.25,12.6,12.8,-0.25,145
2025/05/06,"93,789","1,220,578",12.8,13.15,12.8,13.0,+0.20,106
2025/05/07,"75,869","986,881",13.15,13.15,12.95,13.0,0.00,73
2025/05/08,"45,111","584,649",12.95,13.05,12.9,12.9,-0.10,81
2025/05/09,"43,029","558,303",12.8,13.1,12.8,13.05,+0.15,81
2025/05/12,"54,702","715,083",13.15,13.2,13.0,13.05,0.00,94
2025/05/13,"73,359","957,077",13.05,13.2,13.0,13.0,-0.05,97
2025/05/14,"125,746","1,657,808",13.0,13.35,13.0,13.15,+0.15,208
2025/05/15,"207,382","2,791,867",13.3,13.6,13.25,13.45,+0.30,149
2025/05/16,"85,121","1,144,482",13.65,13.65,13.35,13.5,+0.05,132
2025/05/19,"386,288","4,990,190",13.5,13.5,12.6,12.65,-0.85,435
2025/05/20,"165,059","2,105,207",12.75,12.8,12.7,12.75,+0.10,164
2025/05/21,"91,424","1,176,717",12.9,12.9,12.8,12.9,+0.15,102
2025/05/22,"117,576","1,489,581",12.9,12.9,12.6,12.6,-0.30,128
2025/05/23,"60,892","770,438",12.7,12.7,12.6,12.6,0.00,67
2025/05/26,"192,652","2,453,367",12.6,13.0,12.5,12.95,+0.35,237
2025/05/27,"131,077","1,693,393",13.0,13.1,12.7,12.95,0.00,119
2025/05/28,"92,390","1,180,585",12.85,12.9,12.65,12.85,-0.10,123
2025/05/29,"47,110","596,881",12.75,12.8,12.6,12.8,-0.05,71
2025/06/02,"202,148","2,484,532",12.65,12.65,12.15,12.15,-0.65,221
2025/06/03,"75,536","913,489",12.25,12.3,12.0,12.0,-0.15,126
2025/06/04,"69,378","850,320",12.15,12.35,12.15,12.2,+0.20,45
2025/06/05,"40,586","496,517",12.2,12.35,12.15,12.35,+0.15,64
2025/06/06,"78,491","969,976",12.35,12.5,12.25,12.3,-0.05,71
2025/06/09,"236,519","2,884,320",12.45,12.45,12.05,12.05,-0.25,130
2025/06/10,"79,168","970,256",12.15,12.4,12.15,12.25,+0.20,76
2025/06/11,"155,476","1,880,512",12.25,12.25,12.0,12.1,-0.15,167
2025/06/12,"58,998","710,542",12.1,12.2,11.95,12.2,+0.10,73
2025/06/13,"84,272","1,008,730",12.15,12.15,11.9,11.9,-0.30,105
2025/06/16,"102,175","1,208,143",11.85,11.95,11.75,11.95,+0.05,104
2025/06/17,"41,695","497,228",12.0,12.0,11.85,12.0,+0.05,75
2025/06/18,"96,808","1,156,722",11.95,12.0,11.85,11.9,-0.10,65
2025/06/19,"140,544","1,649,030",11.85,11.85,11.65,11.7,-0.20,136
2025/06/20,"144,610","1,670,234",11.7,11.7,11.45,11.55,-0.15,230
2025/06/23,"172,977","1,955,012",11.4,11.45,11.2,11.35,-0.20,252
2025/06/24,"75,382","875,290",11.45,11.75,11.45,11.65,+0.30,148
2025/06/25,"45,319","527,371",11.7,11.7,11.6,11.65,0.00,98
2025/06/26,"57,708","678,764",11.75,11.85,11.65,11.85,+0.20,64
2025/06/27,"73,187","862,208",11.9,11.9,11.6,11.9,+0.05,90
2025/06/30,"69,931","820,921",11.8,11.8,11.7,11.7,-0.20,111
2025/07/01,"195,126","2,334,367",11.9,12.05,11.6,11.95,+0.25,106
2025/07/02,"25,357","302,941",11.95,12.0,11.9,11.95,0.00,36
2025/07/03,"234,924","2,914,159",11.95,12.5,11.95,12.5,+0.55,170
2025/07/04,"194,758","2,346,459",12.3,12.35,11.85,11.9,-0.60,202
2025/07/07,"493,819","6,322,822",11.9,13.05,11.9,13.05,+1.15,333
2025/07/08,"575,948","7,346,388",13.4,13.45,12.4,12.55,-0.50,377
2025/07/09,"203,898","2,584,227",13.15,13.15,12.4,12.55,0.00,130
2025/07/10,"140,797","1,763,245",12.45,12.8,12.35,12.7,+0.15,107
2025/07/11,"142,992","1,810,115",12.7,12.85,12.6,12.6,-0.10,113
2025/07/14,"70,595","871,705",12.5,12.5,12.2,12.2,X0.00,106
2025/07/15,"59,562","730,587",12.2,12.4,12.0,12.3,+0.10,47
2025/07/16,"61,412","761,886",12.2,12.5,12.15,12.45,+0.15,64
2025/07/17,"22,392","278,548",12.55,12.55,12.35,12.45,0.00,25
2025/07/18,"31,234","386,659",12.4,12.45,12.35,12.35,-0.10,68
2025/07/21,"20,906","257,817",12.3,12.35,12.3,12.3,-0.05,34
2025/07/22,"50,172","615,720",12.3,12.3,12.2,12.2,-0.10,53
2025/07/23,"221,416","2,691,294",12.3,12.35,12.0,12.1,-0.10,121
2025/07/24,"37,293","452,623",12.15,12.2,12.1,12.2,+0.10,44
