日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,050,730","32,634,064",31.0,31.3,30.9,30.9,-0.10,481
2025/01/03,"1,007,522","31,255,812",30.95,31.3,30.95,30.95,+0.05,428
2025/01/06,"1,322,872","41,272,162",31.05,31.35,30.95,31.1,+0.15,614
2025/01/07,"1,987,913","61,358,679",31.2,31.2,30.55,30.55,-0.55,935
2025/01/08,"1,323,859","40,401,052",30.6,30.75,30.35,30.5,-0.05,696
2025/01/09,"2,306,788","69,264,342",30.55,30.55,29.75,29.75,-0.75,"1,212"
2025/01/10,"1,268,261","37,832,985",29.75,30.1,29.6,29.95,+0.20,530
2025/01/13,"1,457,960","42,925,515",29.9,30.1,29.2,29.4,-0.55,860
2025/01/14,"782,692","23,295,030",29.7,29.95,29.45,29.75,+0.35,455
2025/01/15,"2,171,781","65,610,293",30.0,30.6,29.95,29.95,+0.20,747
2025/01/16,"922,617","27,744,494",30.35,30.35,29.85,30.0,+0.05,579
2025/01/17,"1,111,196","33,601,178",30.15,30.45,30.0,30.0,0.00,656
2025/01/20,"1,195,859","35,948,373",30.3,30.3,29.9,30.05,+0.05,542
2025/01/21,"1,105,991","33,314,207",30.1,30.3,30.0,30.05,0.00,423
2025/01/22,"1,072,001","32,267,300",30.0,30.25,29.95,30.15,+0.10,655
2025/02/03,"1,709,694","51,160,681",30.1,30.35,29.55,30.3,+0.15,875
2025/02/04,"910,905","27,544,600",30.3,30.4,30.1,30.1,-0.20,459
2025/02/05,"835,166","25,135,611",30.2,30.3,29.95,30.1,0.00,494
2025/02/06,"1,317,013","40,557,681",30.15,31.15,30.15,31.05,+0.95,721
2025/02/07,"904,997","27,950,961",31.05,31.2,30.7,30.85,-0.20,740
2025/02/10,"786,046","24,029,284",30.85,30.85,30.4,30.5,-0.35,493
2025/02/11,"832,736","25,576,962",30.65,30.85,30.55,30.6,+0.10,556
2025/02/12,"1,456,047","45,253,880",30.65,31.45,30.65,31.0,+0.40,843
2025/02/13,"1,626,387","51,053,777",31.1,31.65,31.0,31.45,+0.45,910
2025/02/14,"1,486,288","47,027,414",31.45,31.8,31.4,31.75,+0.30,820
2025/02/17,"1,471,719","46,562,798",31.95,31.95,31.45,31.65,-0.10,796
2025/02/18,"3,361,554","108,198,532",31.8,32.65,31.6,32.5,+0.85,"1,926"
2025/02/19,"2,991,937","96,196,304",32.5,32.5,31.85,31.9,-0.60,"1,629"
2025/02/20,"2,162,927","69,632,178",32.2,32.5,31.8,32.3,+0.40,"1,304"
2025/02/21,"3,085,413","101,153,958",32.5,33.2,32.5,32.7,+0.40,"2,002"
2025/02/24,"1,870,963","61,099,848",32.55,33.05,32.5,32.5,-0.20,"1,010"
2025/02/25,"1,901,853","61,514,994",32.4,32.75,32.1,32.5,0.00,976
2025/02/26,"1,652,015","53,320,901",32.5,32.55,32.15,32.3,-0.20,986
2025/02/27,"9,088,074","294,446,638",32.4,33.05,32.3,32.3,0.00,"1,440"
2025/03/03,"1,053,400","33,865,802",32.35,32.35,31.9,32.1,-0.20,560
2025/03/04,"1,181,475","37,920,653",32.0,32.5,31.6,32.4,+0.30,559
2025/03/05,"2,123,603","70,064,759",32.5,33.3,32.4,33.15,+0.75,"1,252"
2025/03/06,"1,608,133","52,735,550",33.3,33.3,32.55,32.6,-0.55,"1,039"
2025/03/07,"1,008,843","32,580,924",32.5,32.6,32.15,32.2,-0.40,595
2025/03/10,"1,077,286","34,577,068",32.25,32.35,31.85,32.1,-0.10,586
2025/03/11,"4,545,454","138,213,988",31.05,31.1,29.9,30.6,-1.50,"2,464"
2025/03/12,"1,543,248","47,322,385",30.55,30.8,30.45,30.6,0.00,878
2025/03/13,"1,514,632","46,099,517",30.7,30.85,30.1,30.1,-0.50,870
2025/03/14,"1,069,575","32,545,560",30.1,30.7,30.1,30.5,+0.40,541
2025/03/17,"1,122,949","34,734,466",30.75,31.05,30.7,30.85,+0.35,591
2025/03/18,"654,337","20,260,222",31.0,31.15,30.85,30.9,+0.05,442
2025/03/19,"860,508","26,618,503",31.05,31.2,30.7,30.7,-0.20,467
2025/03/20,"808,657","25,149,357",30.9,31.25,30.85,31.2,+0.50,443
2025/03/21,"726,854","22,529,433",31.15,31.2,30.85,30.95,-0.25,505
2025/03/24,"705,137","21,823,613",31.0,31.1,30.8,30.85,-0.10,403
2025/03/25,"1,112,556","34,035,716",30.95,31.0,30.45,30.5,-0.35,698
2025/03/26,"492,397","15,106,642",30.5,30.85,30.5,30.65,+0.15,342
2025/03/27,"639,865","19,545,590",30.65,30.75,30.4,30.5,-0.15,417
2025/03/28,"1,683,474","50,600,757",30.55,30.55,29.85,30.0,-0.50,960
2025/03/31,"2,419,280","70,761,860",29.5,29.6,29.0,29.0,-1.00,"1,325"
2025/04/01,"1,267,615","37,323,445",29.1,29.7,29.1,29.45,+0.45,765
2025/04/02,"565,554","16,680,120",29.55,29.65,29.25,29.5,+0.05,385
2025/04/07,"638,623","16,955,618",26.55,26.55,26.55,26.55,-2.95,474
2025/04/08,"3,996,217","98,765,030",24.3,25.35,24.2,25.25,-1.30,"1,820"
2025/04/09,"3,729,873","89,786,723",25.25,25.25,23.25,23.3,-1.95,"1,813"
2025/04/10,"1,097,113","27,936,468",25.2,25.6,25.15,25.6,+2.30,449
2025/04/11,"1,510,934","37,998,300",25.6,25.6,24.55,25.35,-0.25,855
2025/04/14,"1,240,236","31,977,562",25.55,26.3,25.55,25.6,+0.25,698
2025/04/15,"862,233","22,656,509",25.95,26.5,25.9,26.5,+0.90,442
2025/04/16,"2,120,789","57,010,508",26.35,27.5,26.3,26.55,+0.05,"1,294"
2025/04/17,"951,352","24,950,891",26.3,26.7,25.9,26.35,-0.20,484
2025/04/18,"528,414","13,900,452",26.6,26.6,26.1,26.25,-0.10,372
2025/04/21,"1,529,916","39,005,535",26.3,26.3,25.1,25.15,-1.10,856
2025/04/22,"644,049","16,122,039",24.9,25.3,24.9,24.95,-0.20,387
2025/04/23,"488,051","12,411,385",25.35,25.6,25.3,25.4,+0.45,337
2025/04/24,"442,329","11,267,249",25.55,25.75,25.35,25.35,-0.05,365
2025/04/25,"624,392","16,073,353",25.6,25.85,25.6,25.65,+0.30,411
2025/04/28,"413,437","10,707,881",25.7,26.05,25.7,25.95,+0.30,317
2025/04/29,"790,814","20,765,618",26.0,26.4,26.0,26.25,+0.30,468
2025/04/30,"1,196,981","31,589,727",26.3,26.7,26.0,26.45,+0.20,660
2025/05/02,"1,638,110","44,453,751",26.8,27.55,26.65,27.35,+0.90,923
2025/05/05,"2,511,434","68,980,215",27.95,28.25,26.75,26.9,-0.45,"1,492"
2025/05/06,"2,572,866","67,712,278",26.8,26.9,26.0,26.2,-0.70,"1,560"
2025/05/07,"1,507,878","39,661,587",26.6,26.6,26.05,26.15,-0.05,933
2025/05/08,"3,809,882","103,268,573",26.3,27.6,26.2,27.15,+1.00,"1,765"
2025/05/09,"1,325,192","36,256,928",27.4,27.6,27.15,27.3,+0.15,840
2025/05/12,"877,613","23,858,610",27.35,27.4,27.0,27.2,-0.10,549
2025/05/13,"805,940","21,937,135",27.4,27.45,27.1,27.15,-0.05,517
2025/05/14,"714,579","19,456,844",27.15,27.4,27.1,27.25,+0.10,653
2025/05/15,"807,620","21,865,243",27.35,27.4,26.95,26.95,-0.30,623
2025/05/16,"714,129","19,331,742",27.0,27.25,26.85,27.05,+0.10,478
2025/05/19,"675,279","18,203,600",27.25,27.25,26.8,26.8,-0.25,431
2025/05/20,"578,178","15,476,910",26.95,26.95,26.6,26.8,0.00,497
2025/05/21,"996,163","27,087,103",26.85,27.35,26.85,27.25,+0.45,585
2025/05/22,"489,147","13,193,901",27.2,27.2,26.8,26.9,-0.35,430
2025/05/23,"205,083","5,527,632",26.85,27.05,26.85,26.9,0.00,198
2025/05/26,"383,507","10,330,642",26.8,27.1,26.8,26.9,0.00,297
2025/05/27,"893,072","23,807,630",26.9,27.05,26.4,26.45,-0.45,644
2025/05/28,"415,681","10,985,534",26.75,26.75,26.25,26.25,-0.20,356
2025/05/29,"770,218","20,127,487",26.5,26.5,26.05,26.05,-0.20,564
2025/06/02,"639,345","16,486,877",26.0,26.0,25.6,25.85,-0.20,501
2025/06/03,"889,986","22,853,668",26.0,26.0,25.45,25.5,-0.35,584
2025/06/04,"656,694","17,074,885",25.85,26.2,25.75,26.0,+0.50,367
2025/06/05,"408,730","10,625,008",26.1,26.25,25.85,25.9,-0.10,329
2025/06/06,"437,087","11,292,015",25.9,26.0,25.75,25.75,-0.15,312
2025/06/09,"682,099","17,327,396",25.85,25.85,25.2,25.3,-0.45,560
2025/06/10,"624,512","15,875,324",25.3,25.65,25.25,25.3,0.00,434
2025/06/11,"676,438","17,055,182",25.4,25.4,25.05,25.25,-0.05,469
2025/06/12,"370,313","9,388,306",25.25,25.55,25.2,25.2,-0.05,312
2025/06/13,"966,571","24,096,787",25.2,25.2,24.8,24.8,-0.40,766
2025/06/16,"546,027","13,561,707",24.7,25.1,24.5,24.75,-0.05,348
2025/06/17,"514,879","12,808,784",24.75,25.05,24.7,24.9,+0.15,293
2025/06/18,"4,103,723","110,806,414",25.9,27.35,25.9,27.35,+2.45,"2,553"
2025/06/19,"4,511,397","123,427,859",27.4,27.8,26.8,27.45,+0.10,"2,564"
2025/06/20,"2,437,084","66,561,853",27.55,27.95,27.0,27.0,-0.45,"1,252"
2025/06/23,"1,068,192","28,372,133",26.65,26.95,26.35,26.6,-0.40,729
2025/06/24,"965,163","26,102,385",26.9,27.25,26.85,26.95,+0.35,563
2025/06/25,"636,389","17,138,618",27.15,27.2,26.8,26.9,-0.05,447
2025/06/26,"1,029,367","27,863,785",27.05,27.25,26.85,26.95,+0.05,564
2025/06/27,"729,213","19,675,785",27.05,27.25,26.8,26.95,0.00,362
2025/06/30,"842,883","22,374,294",26.9,27.0,26.4,26.4,-0.55,562
2025/07/01,"2,198,071","59,431,826",26.55,27.4,26.5,26.95,+0.55,"1,038"
2025/07/02,"614,642","16,554,089",27.0,27.2,26.85,26.85,-0.10,459
2025/07/03,"804,165","21,790,136",26.95,27.25,26.95,27.0,+0.15,460
2025/07/04,"653,233","17,556,837",27.15,27.15,26.75,26.9,-0.10,343
2025/07/07,"651,021","17,235,083",26.9,26.9,26.35,26.4,-0.50,482
2025/07/08,"782,524","20,543,889",26.55,26.55,25.95,26.4,0.00,473
2025/07/09,"407,546","10,728,260",26.15,26.5,26.15,26.2,-0.20,309
2025/07/10,"506,571","13,223,625",26.2,26.2,26.0,26.1,-0.10,369
2025/07/11,"413,125","10,898,031",26.15,26.55,26.15,26.3,+0.20,260
2025/07/14,"464,337","12,347,272",26.4,26.85,26.35,26.55,+0.25,342
2025/07/15,"1,503,957","39,895,154",26.6,26.75,26.45,26.5,-0.05,424
2025/07/16,"877,434","23,240,369",26.35,26.7,26.35,26.5,0.00,448
2025/07/17,"1,501,872","40,300,675",26.55,27.3,26.55,27.0,+0.50,635
2025/07/18,"1,448,501","39,154,416",27.2,27.2,26.85,26.9,-0.10,678
2025/07/21,"2,242,315","59,987,701",26.9,26.95,26.5,26.6,-0.30,"1,121"
2025/07/22,"3,498,175","86,262,091",24.7,25.1,24.3,24.45,X0.00,"1,325"
2025/07/23,"2,100,127","52,765,881",24.45,25.45,24.35,25.3,+0.85,926
2025/07/24,"1,097,286","27,388,286",25.05,25.4,24.75,24.9,-0.40,800
2025/07/25,"419,238","10,550,275",25.0,25.35,24.9,25.2,+0.30,285
2025/07/28,"673,334","16,968,148",25.15,25.5,24.95,25.2,0.00,341
2025/07/29,"424,509","10,639,070",25.3,25.3,24.9,25.1,-0.10,316
2025/07/30,"497,871","12,542,034",25.1,25.3,25.0,25.3,+0.20,299
2025/07/31,"853,250","21,214,334",25.2,25.2,24.7,24.9,-0.40,474
2025/08/01,"956,263","23,379,382",24.6,24.65,24.25,24.5,-0.40,661
2025/08/04,"615,291","15,070,484",24.3,24.95,24.0,24.9,+0.40,393
2025/08/05,"397,859","9,932,893",24.9,25.15,24.75,25.1,+0.20,270
2025/08/06,"546,304","13,749,560",24.9,25.3,24.75,25.3,+0.20,333
2025/08/07,"461,025","11,642,324",25.15,25.45,25.05,25.15,-0.15,352
2025/08/08,"388,477","9,734,501",25.1,25.25,24.85,25.0,-0.15,371
2025/08/11,"586,183","14,563,995",24.95,25.0,24.7,24.95,-0.05,324
2025/08/12,"373,770","9,379,852",24.95,25.25,24.95,24.95,0.00,251
2025/08/13,"681,123","16,879,400",25.1,25.15,24.55,24.65,-0.30,801
2025/08/14,"2,118,594","53,518,695",24.8,25.6,24.8,25.1,+0.45,930
2025/08/15,"2,612,577","67,110,837",25.1,25.95,25.1,25.85,+0.75,"1,150"
2025/08/18,"733,859","18,990,076",25.8,26.1,25.75,25.8,-0.05,482
2025/08/19,"567,914","14,590,544",25.6,25.85,25.4,25.7,-0.10,325
2025/08/20,"766,103","19,299,704",25.8,25.8,25.0,25.1,-0.60,494
2025/08/21,"476,933","11,996,730",25.15,25.25,25.05,25.1,0.00,283
2025/08/22,"529,263","13,192,741",25.05,25.1,24.85,24.9,-0.20,329
2025/08/25,"418,651","10,453,136",25.0,25.15,24.85,24.9,0.00,226
2025/08/26,"377,385","9,403,316",24.8,25.15,24.75,25.0,+0.10,232
2025/08/27,"835,560","20,724,626",24.95,25.05,24.6,24.6,-0.40,567
