日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"60,278","2,362,534",39.05,39.7,38.85,39.3,-0.1,67
2025/01/03,"65,582","2,592,279",39.3,40.0,39.1,39.15,-0.15,66
2025/01/06,"49,467","1,924,969",38.7,39.4,38.7,38.8,-0.35,85
2025/01/07,"122,942","4,888,285",39.4,40.2,39.35,40.2,1.4,127
2025/01/08,"818,646","34,715,560",42.95,43.95,41.2,41.75,1.55,843
2025/01/09,"249,329","10,189,741",42.6,42.6,39.6,39.9,-1.85,329
2025/01/10,"120,685","4,761,376",40.0,40.1,38.7,39.6,-0.3,130
2025/01/13,"118,879","4,563,667",39.6,39.6,38.0,38.2,-1.4,141
2025/01/14,"427,937","17,381,850",39.45,41.6,39.4,40.05,1.85,371
2025/01/15,"89,360","3,551,022",41.15,41.15,39.05,39.05,-1.0,117
2025/01/16,"27,518","1,080,939",39.2,39.85,39.1,39.15,0.1,40
2025/01/17,"52,466","2,045,482",39.2,39.2,38.8,38.95,-0.2,60
2025/01/20,"28,574","1,115,189",39.0,39.05,38.9,38.9,-0.05,51
2025/01/21,"38,341","1,492,268",38.95,38.95,38.9,38.9,0.0,49
2025/01/22,"46,504","1,819,183",39.1,39.45,39.0,39.3,0.4,56
2025/02/03,"75,584","2,939,432",39.3,39.35,38.55,38.7,-0.6,133
2025/02/04,"40,192","1,557,084",38.85,38.85,38.5,38.5,-0.2,36
2025/02/05,"39,244","1,528,080",39.2,39.2,38.55,38.95,0.45,40
2025/02/06,"44,449","1,728,753",39.2,39.2,38.8,39.0,0.05,39
2025/02/07,"66,861","2,623,597",39.05,39.4,39.05,39.25,0.25,63
2025/02/10,"42,039","1,636,431",38.8,39.0,38.8,39.0,-0.25,40
2025/02/11,"48,292","1,885,899",38.95,39.2,38.9,39.0,0.0,65
2025/02/12,"57,507","2,246,162",39.15,39.3,38.8,39.15,0.15,78
2025/02/13,"45,799","1,795,289",38.85,39.3,38.85,39.25,0.1,50
2025/02/14,"117,775","4,642,868",39.3,39.6,39.25,39.5,0.25,93
2025/02/17,"69,795","2,782,269",39.55,40.0,39.55,40.0,0.5,76
2025/02/18,"126,251","5,128,697",40.05,41.3,40.0,41.25,1.25,195
2025/02/19,"69,863","2,854,749",41.45,41.45,40.7,40.75,-0.5,143
2025/02/20,"63,789","2,577,437",40.65,40.65,40.2,40.3,-0.45,81
2025/02/21,"70,554","2,844,396",40.5,40.7,40.05,40.7,0.4,54
2025/02/24,"81,545","3,324,997",40.7,41.0,40.45,40.9,0.2,75
2025/02/25,"29,600","1,199,338",40.9,40.9,40.2,40.5,-0.4,50
2025/02/26,"9,364","377,929",40.35,40.5,40.25,40.5,0.0,23
2025/02/27,"34,626","1,405,512",40.7,41.0,40.35,40.8,0.3,48
2025/03/03,"38,374","1,546,338",40.7,40.7,40.1,40.3,-0.5,37
2025/03/04,"33,467","1,315,400",39.6,39.8,38.3,39.8,-0.5,66
2025/03/05,"29,768","1,177,414",39.8,39.8,39.15,39.75,-0.05,110
2025/03/06,"26,927","1,064,435",39.75,40.0,39.25,39.55,-0.2,57
2025/03/07,"55,033","2,153,131",39.15,39.3,38.95,38.95,-0.6,138
2025/03/10,"29,674","1,157,405",39.0,39.05,38.95,39.0,0.05,78
2025/03/11,"41,138","1,595,770",38.5,39.3,37.75,39.0,0.0,71
2025/03/12,"45,327","1,762,846",38.55,39.5,38.5,39.2,0.2,142
2025/03/13,"53,250","2,061,438",39.0,39.1,38.4,38.7,-0.5,159
2025/03/14,"59,892","2,313,742",38.3,39.2,38.3,38.5,-0.2,120
2025/03/17,"83,500","3,207,281",38.65,38.85,38.2,38.2,-0.3,142
2025/03/18,"36,595","1,406,333",38.5,38.8,38.2,38.2,0.0,91
2025/03/19,"46,953","1,805,941",38.55,38.8,38.35,38.35,0.15,62
2025/03/20,"62,261","2,421,879",38.55,39.35,38.3,39.0,0.65,64
2025/03/21,"30,291","1,175,406",39.0,39.2,38.65,38.7,-0.3,62
2025/03/24,"24,736","948,323",38.4,38.5,38.3,38.3,-0.4,53
2025/03/25,"57,561","2,210,353",38.3,39.1,38.2,38.3,0.0,70
2025/03/26,"35,681","1,382,049",39.0,39.0,38.5,38.55,0.25,51
2025/03/27,"24,773","954,144",38.3,38.7,38.3,38.45,-0.1,43
2025/03/28,"106,760","4,028,950",38.65,38.65,37.0,37.35,-1.1,139
2025/03/31,"157,220","5,666,258",36.9,38.0,35.35,35.35,-2.0,172
2025/04/01,"148,692","5,241,498",35.35,35.5,35.0,35.0,-0.35,171
2025/04/02,"52,869","1,844,259",35.15,35.15,34.65,35.05,0.05,92
2025/04/07,"13,297","419,837",31.55,31.55,31.55,31.55,-3.5,67
2025/04/08,"103,850","2,949,696",28.4,28.4,28.4,28.4,-3.15,127
2025/04/09,"222,341","5,712,173",25.6,27.0,25.6,25.6,-2.8,190
2025/04/10,"323,491","8,998,058",27.45,28.15,26.8,28.15,2.55,213
2025/04/11,"205,786","5,424,201",25.55,27.45,25.5,26.75,-1.4,194
2025/04/14,"109,581","3,036,848",26.8,28.2,26.8,27.7,0.95,134
2025/04/15,"194,714","5,694,356",28.2,29.9,28.2,29.8,2.1,221
2025/04/16,"237,440","7,256,273",29.8,31.8,29.8,29.85,0.05,182
2025/04/17,"43,879","1,293,993",29.05,29.95,29.05,29.6,-0.25,53
2025/04/18,"18,124","529,349",29.25,29.6,29.0,29.3,-0.3,21
2025/04/21,"48,346","1,375,976",28.5,29.1,28.2,28.3,-1.0,77
2025/04/22,"47,444","1,337,132",28.3,28.7,28.0,28.0,-0.3,53
2025/04/23,"26,504","754,616",28.6,28.6,28.45,28.5,0.5,43
2025/04/24,"41,625","1,204,523",28.9,29.45,28.55,29.0,0.5,62
2025/04/25,"47,218","1,380,141",28.85,29.6,28.85,29.15,0.15,67
2025/04/28,"34,984","1,014,433",28.4,29.3,28.4,29.3,0.15,76
