日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"76,935","4,658,522",61.9,61.9,60.2,60.3,-0.80,182
2025/01/03,"92,684","5,573,057",60.7,60.7,59.9,60.0,-0.30,119
2025/01/06,"47,673","2,883,589",60.1,60.7,60.1,60.5,+0.50,73
2025/01/07,"63,282","3,818,931",60.7,60.7,59.9,60.4,-0.10,91
2025/01/08,"55,993","3,387,316",60.9,60.9,60.0,60.6,+0.20,73
2025/01/09,"114,908","6,859,942",60.8,60.8,58.4,58.9,-1.70,135
2025/01/10,"111,608","6,564,379",58.9,59.2,58.4,59.1,+0.20,105
2025/01/13,"125,150","7,182,661",58.8,58.9,56.6,57.8,-1.30,144
2025/01/14,"73,449","4,241,201",58.3,58.3,57.3,58.0,+0.20,128
2025/01/15,"18,328","1,073,199",58.0,58.8,58.0,58.7,+0.70,38
2025/01/16,"51,801","3,084,857",59.4,60.0,59.1,59.7,+1.00,75
2025/01/17,"44,489","2,648,743",59.6,59.8,59.3,59.8,+0.10,57
2025/01/20,"37,759","2,270,545",59.1,60.4,59.1,59.9,+0.10,58
2025/01/21,"24,643","1,485,764",60.5,60.5,60.2,60.3,+0.40,47
2025/01/22,"53,671","3,235,587",60.3,60.4,60.0,60.4,+0.10,101
2025/02/03,"44,442","2,660,917",59.6,60.3,59.5,60.2,-0.20,121
2025/02/04,"25,299","1,518,349",59.7,60.3,59.7,59.9,-0.30,42
2025/02/05,"40,730","2,442,346",59.9,60.3,59.7,60.0,+0.10,59
2025/02/06,"37,424","2,265,700",60.1,60.9,60.1,60.5,+0.50,77
2025/02/07,"43,271","2,630,598",60.6,60.9,60.6,60.9,+0.40,126
2025/02/10,"72,984","4,430,964",60.9,61.1,60.2,60.3,-0.60,107
2025/02/11,"71,007","4,275,362",60.3,60.6,60.0,60.1,-0.20,110
2025/02/12,"53,947","3,265,284",60.1,60.8,60.1,60.6,+0.50,62
2025/02/13,"87,087","5,334,811",60.9,61.5,60.9,61.2,+0.60,76
2025/02/14,"41,303","2,536,509",61.2,61.6,61.0,61.6,+0.40,60
2025/02/17,"31,511","1,936,735",61.5,61.6,61.3,61.4,-0.20,53
2025/02/18,"38,687","2,376,297",61.6,62.0,60.9,60.9,-0.50,51
2025/02/19,"59,909","3,703,246",61.4,62.1,61.4,61.8,+0.90,75
2025/02/20,"15,978","984,295",61.8,61.9,61.7,61.7,-0.10,53
2025/02/21,"43,343","2,691,728",61.2,62.4,61.2,62.3,+0.60,81
2025/02/24,"23,216","1,446,543",62.3,62.5,62.1,62.1,-0.20,47
2025/02/25,"27,500","1,697,977",61.2,62.2,61.2,61.7,-0.40,143
2025/02/26,"40,365","2,486,615",61.1,62.0,61.1,61.6,-0.10,129
2025/02/27,"138,317","8,495,544",61.6,62.4,60.8,60.8,-0.80,149
2025/03/03,"39,228","2,390,352",60.9,61.3,60.7,61.0,+0.20,56
2025/03/04,"34,810","2,125,001",60.7,61.6,60.7,61.4,+0.40,48
2025/03/05,"136,437","8,326,471",60.8,61.7,60.7,61.2,-0.20,296
2025/03/06,"58,727","3,577,978",61.0,61.2,60.8,60.8,-0.40,67
2025/03/07,"76,807","4,628,467",60.4,60.6,60.1,60.1,-0.70,91
2025/03/10,"43,357","2,601,320",60.0,60.2,59.8,60.0,-0.10,53
2025/03/11,"80,757","4,786,635",58.9,60.0,58.8,60.0,0.00,89
2025/03/12,"21,039","1,261,512",59.8,60.1,59.8,59.9,-0.10,47
2025/03/13,"38,823","2,326,759",60.8,60.8,59.5,59.5,-0.40,50
2025/03/14,"25,546","1,521,919",59.3,59.7,59.3,59.7,+0.20,34
2025/03/17,"24,258","1,452,574",59.7,60.0,59.7,59.9,+0.20,31
2025/03/18,"17,546","1,051,894",59.9,60.0,59.9,59.9,0.00,33
2025/03/19,"20,672","1,236,407",59.9,59.9,59.7,59.7,-0.20,30
2025/03/20,"51,416","3,083,856",60.0,60.1,59.8,59.8,+0.10,52
2025/03/21,"39,080","2,364,028",59.7,60.9,59.7,60.4,+0.60,57
2025/03/24,"42,444","2,561,358",60.4,60.7,60.1,60.1,-0.30,74
2025/03/25,"21,794","1,308,469",60.2,60.2,59.7,59.7,-0.40,47
2025/03/26,"16,749","1,001,485",59.8,59.9,59.7,59.7,0.00,37
2025/03/27,"30,116","1,796,928",59.7,60.0,59.6,59.8,+0.10,34
2025/03/28,"55,336","3,269,754",59.5,59.5,58.9,59.3,-0.50,78
2025/03/31,"150,952","8,713,075",58.8,58.8,57.3,57.5,-1.80,175
2025/04/01,"24,698","1,434,967",57.7,58.6,57.7,58.2,+0.70,46
2025/04/02,"24,292","1,415,799",58.0,58.7,58.0,58.3,+0.10,36
2025/04/07,"198,683","10,444,213",52.5,53.0,52.5,52.5,-5.80,231
2025/04/08,"186,801","9,443,753",49.7,51.4,49.7,51.0,-1.50,162
2025/04/09,"206,069","10,258,894",50.3,51.5,48.85,48.85,-2.15,234
2025/04/10,"66,187","3,540,852",52.0,53.7,52.0,53.7,+4.85,87
2025/04/11,"53,191","2,901,071",53.7,55.7,53.0,55.5,+1.80,126
2025/04/14,"92,025","5,007,653",56.5,56.5,53.0,53.0,-2.50,144
2025/04/15,"71,664","3,933,469",53.0,55.5,53.0,55.1,+2.10,104
2025/04/16,"34,200","1,849,456",54.6,54.6,53.8,54.2,-0.90,106
2025/04/17,"33,902","1,830,871",54.8,54.8,52.8,54.6,+0.40,66
2025/04/18,"25,806","1,402,902",54.4,54.6,54.0,54.4,-0.20,46
2025/04/21,"39,240","2,125,076",55.7,55.7,53.3,53.4,-1.00,70
2025/04/22,"21,368","1,137,669",52.5,53.8,52.5,53.2,-0.20,38
2025/04/23,"29,388","1,593,437",53.4,54.9,53.4,54.1,+0.90,37
2025/04/24,"20,549","1,115,530",54.1,54.7,54.1,54.1,0.00,53
2025/04/25,"48,738","2,662,289",54.9,54.9,54.4,54.5,+0.40,56
2025/04/28,"12,866","700,844",53.9,54.8,53.9,54.5,0.00,22
2025/04/29,"41,754","2,311,049",54.5,55.6,54.5,55.4,+0.90,80
2025/04/30,"44,607","2,479,521",55.3,55.9,55.2,55.4,0.00,79
2025/05/02,"11,459","642,316",56.4,56.4,55.9,55.9,+0.50,91
2025/05/05,"40,679","2,253,180",56.0,56.0,55.1,55.1,-0.80,74
2025/05/06,"24,058","1,330,523",55.1,56.4,55.1,55.1,0.00,58
2025/05/07,"34,939","1,936,825",55.1,55.8,55.1,55.5,+0.40,49
2025/05/08,"25,137","1,396,302",55.3,55.8,55.3,55.5,0.00,22
2025/05/09,"35,443","1,954,217",55.5,55.5,55.0,55.3,-0.20,89
2025/05/12,"48,102","2,666,707",55.1,55.8,55.1,55.3,0.00,106
2025/05/13,"57,907","3,199,462",55.7,55.7,55.0,55.3,0.00,154
2025/05/14,"42,815","2,386,608",55.3,56.3,55.3,55.8,+0.50,157
2025/05/15,"19,095","1,064,796",55.8,55.8,55.7,55.7,-0.10,31
2025/05/16,"45,272","2,538,760",55.7,56.3,55.7,56.1,+0.40,53
2025/05/19,"56,154","3,168,746",56.2,56.6,56.2,56.5,+0.40,46
2025/05/20,"46,367","2,641,872",56.5,57.2,56.5,57.1,+0.60,71
2025/05/21,"24,448","1,395,828",56.9,57.8,56.8,57.5,+0.40,53
2025/05/22,"18,189","1,033,163",56.4,57.1,56.4,56.8,-0.70,61
2025/05/23,"18,828","1,077,171",56.5,57.5,56.5,57.1,+0.30,39
2025/05/26,"49,031","2,821,029",57.1,57.9,57.1,57.6,+0.50,67
2025/05/27,"30,244","1,724,738",57.2,57.3,57.0,57.0,-0.60,57
2025/05/28,"43,768","2,493,728",57.0,57.1,56.7,56.7,-0.30,44
2025/05/29,"27,525","1,563,890",57.0,57.0,56.5,56.8,+0.10,31
2025/06/02,"36,686","2,037,130",56.7,56.7,55.2,55.4,-1.40,64
2025/06/03,"49,841","2,751,811",55.1,55.6,54.8,55.1,-0.30,60
2025/06/04,"16,509","915,191",55.1,55.8,55.1,55.4,+0.30,47
2025/06/05,"15,760","871,520",55.4,55.5,55.1,55.3,-0.10,44
2025/06/06,"56,750","3,211,333",56.0,57.0,55.8,57.0,+1.70,145
2025/06/09,"32,720","1,870,638",57.4,57.5,56.6,56.9,-0.10,47
2025/06/10,"38,452","2,215,597",57.4,57.8,57.2,57.6,+0.70,42
2025/06/11,"23,604","1,361,470",57.0,58.0,57.0,57.8,+0.20,34
2025/06/12,"29,975","1,723,985",57.7,57.7,57.2,57.3,-0.50,34
2025/06/13,"41,218","2,357,228",57.2,57.4,57.0,57.0,-0.30,41
2025/06/16,"22,887","1,310,794",57.2,57.9,57.0,57.2,+0.20,48
2025/06/17,"33,524","1,907,755",57.0,57.7,56.2,57.7,+0.50,70
2025/06/18,"15,945","916,356",57.4,57.7,57.4,57.4,-0.30,40
2025/06/19,"27,356","1,563,499",57.1,57.5,56.9,56.9,-0.50,43
