日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"107,238","16,519,825",154.5,155.0,153.5,154.0,-1.00,158
2025/01/03,"226,651","34,688,375",154.0,154.0,152.5,152.5,-1.50,274
2025/01/06,"180,219","27,735,974",153.0,155.0,153.0,154.0,+1.50,208
2025/01/07,"86,889","13,460,496",155.0,155.5,154.0,155.0,+1.00,144
2025/01/08,"134,339","20,905,547",155.0,156.5,154.5,156.0,+1.00,161
2025/01/09,"162,558","25,291,971",156.0,157.0,154.5,154.5,-1.50,184
2025/01/10,"83,656","12,925,209",154.0,155.5,154.0,154.5,0.00,116
2025/01/13,"408,019","61,910,136",154.5,155.5,150.0,150.5,-4.00,481
2025/01/14,"150,732","22,750,013",150.5,152.0,150.0,151.0,+0.50,257
2025/01/15,"140,977","21,422,283",151.0,153.0,151.0,152.0,+1.00,175
2025/01/16,"62,406","9,520,058",152.0,153.5,152.0,152.0,0.00,259
2025/01/17,"53,458","8,113,200",151.5,152.5,151.5,151.5,-0.50,100
2025/01/20,"55,518","8,423,161",151.5,152.5,151.0,151.5,0.00,105
2025/01/21,"59,667","9,051,715",151.5,152.0,151.5,151.5,0.00,95
2025/01/22,"97,394","14,783,137",151.5,153.0,151.0,151.5,0.00,142
2025/02/03,"190,213","28,712,146",151.5,152.0,150.0,150.5,-1.00,267
2025/02/04,"58,326","8,828,078",152.5,152.5,151.0,151.0,+0.50,106
2025/02/05,"127,545","19,419,567",151.0,153.0,151.0,152.5,+1.50,165
2025/02/06,"164,221","25,342,183",152.5,155.5,152.5,154.0,+1.50,235
2025/02/07,"59,807","9,228,790",153.5,154.5,153.5,154.5,+0.50,92
2025/02/10,"109,423","16,783,257",155.0,155.0,152.5,153.0,-1.50,157
2025/02/11,"157,883","24,187,773",153.5,154.0,152.5,153.0,0.00,198
2025/02/12,"112,947","17,298,800",154.0,154.0,152.5,152.5,-0.50,134
2025/02/13,"130,109","19,975,158",152.5,154.0,152.5,154.0,+1.50,149
2025/02/14,"80,916","12,448,447",154.5,154.5,153.0,154.0,0.00,116
2025/02/17,"123,288","19,087,098",154.5,155.5,154.0,155.0,+1.00,162
2025/02/18,"80,174","12,404,297",155.5,155.5,154.0,154.0,-1.00,116
2025/02/19,"89,821","13,930,875",155.0,155.5,154.5,155.0,+1.00,109
2025/02/20,"106,365","16,410,535",154.0,155.0,154.0,154.5,-0.50,165
2025/02/21,"216,648","33,906,440",155.5,157.5,155.5,156.5,+2.00,275
2025/02/24,"90,687","14,119,874",156.5,156.5,155.0,156.0,-0.50,121
2025/02/25,"175,989","27,248,445",156.0,156.5,154.0,155.0,-1.00,236
2025/02/26,"77,510","12,083,379",154.5,156.5,154.5,156.5,+1.50,130
2025/02/27,"142,790","22,298,919",155.5,157.0,155.0,156.0,-0.50,148
2025/03/03,"104,987","16,347,650",156.0,156.5,155.0,156.0,0.00,152
2025/03/04,"207,747","32,156,904",155.0,156.5,153.5,156.5,+0.50,215
2025/03/05,"82,074","12,780,215",156.5,156.5,155.0,155.5,-1.00,140
2025/03/06,"139,811","21,901,678",156.5,157.5,156.0,157.0,+1.50,163
2025/03/07,"156,085","24,493,909",157.5,157.5,156.0,157.5,+0.50,166
2025/03/10,"590,069","90,810,692",155.0,155.0,153.0,153.5,-4.00,672
2025/03/11,"377,161","57,009,971",152.0,152.5,150.0,152.0,-1.50,447
2025/03/12,"189,311","29,129,857",152.0,155.5,152.0,153.5,+1.50,230
2025/03/13,"167,515","25,943,421",155.0,156.0,154.0,154.5,+1.00,301
2025/03/14,"350,052","53,828,232",155.0,155.5,152.5,154.0,-0.50,431
2025/03/17,"153,107","23,724,061",155.0,155.5,154.5,154.5,+0.50,416
2025/03/18,"124,347","19,328,587",155.5,156.0,154.5,156.0,+1.50,147
2025/03/19,"163,867","25,555,594",156.0,156.5,155.0,156.0,0.00,189
2025/03/20,"153,964","24,103,547",156.0,157.5,155.5,157.0,+1.00,203
2025/03/21,"123,574","19,229,579",157.0,157.5,155.0,155.0,-2.00,272
2025/03/24,"102,137","15,775,829",155.0,155.0,154.0,154.0,-1.00,168
2025/03/25,"54,608","8,443,616",155.0,155.0,154.0,154.5,+0.50,74
2025/03/26,"17,945","2,775,565",155.0,155.0,154.5,154.5,0.00,54
2025/03/27,"126,629","19,550,601",154.5,155.0,154.0,155.0,+0.50,128
2025/03/28,"199,238","30,459,884",154.0,154.0,152.0,152.5,-2.50,274
2025/03/31,"413,140","62,119,294",150.5,151.5,149.5,150.0,-2.50,498
2025/04/01,"168,362","25,475,797",151.0,152.0,150.5,151.5,+1.50,186
