日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"168,000","3,757,550",22.4,22.65,22.1,22.25,-0.20,104
2025/01/03,"244,567","5,368,619",22.2,22.25,21.8,21.9,-0.35,142
2025/01/06,"130,351","2,890,609",22.0,22.4,21.95,22.3,+0.40,85
2025/01/07,"192,012","4,219,417",22.3,22.3,21.85,21.95,-0.35,119
2025/01/08,"104,086","2,298,993",22.0,22.3,21.9,22.3,+0.35,83
2025/01/09,"367,279","7,979,273",22.1,22.2,21.5,21.6,-0.70,206
2025/01/10,"271,618","5,846,122",21.55,21.85,20.8,21.8,+0.20,196
2025/01/13,"645,437","14,257,701",22.2,23.2,21.25,21.25,-0.55,436
2025/01/14,"225,519","4,906,057",21.25,22.1,21.2,21.95,+0.70,169
2025/01/15,"134,142","2,971,063",22.0,22.55,21.95,22.05,+0.10,99
2025/01/16,"79,062","1,757,851",22.35,22.45,22.05,22.05,0.00,62
2025/01/17,"94,367","2,097,624",22.05,22.45,21.95,22.35,+0.30,81
2025/01/20,"64,314","1,418,417",22.1,22.15,21.95,22.05,-0.30,57
2025/01/21,"89,468","1,987,744",22.7,22.7,22.05,22.35,+0.30,88
2025/01/22,"132,200","2,935,463",22.35,22.35,22.05,22.25,-0.10,105
2025/02/03,"174,520","3,796,355",22.25,22.25,21.55,21.85,-0.40,102
2025/02/04,"58,327","1,271,853",22.1,22.1,21.7,21.7,-0.15,54
2025/02/05,"107,130","2,374,347",21.85,22.35,21.85,22.3,+0.60,87
2025/02/06,"128,278","2,903,697",22.4,22.8,22.25,22.75,+0.45,96
2025/02/07,"291,614","6,498,059",22.85,22.85,22.05,22.25,-0.50,208
2025/02/10,"200,609","4,528,503",22.35,22.8,22.25,22.75,+0.50,134
2025/02/11,"1,346,818","32,984,412",23.05,25.0,23.05,25.0,+2.25,650
2025/02/12,"4,585,250","117,282,265",26.65,26.75,24.35,24.35,-0.65,"2,705"
2025/02/13,"609,710","14,844,691",24.9,24.9,24.05,24.15,-0.20,565
2025/02/14,"1,299,005","32,520,553",24.15,25.5,24.15,24.75,+0.60,957
2025/02/17,"438,836","10,739,262",24.6,24.85,24.25,24.55,-0.20,364
2025/02/18,"496,484","12,024,729",24.55,24.6,24.0,24.2,-0.35,384
2025/02/19,"486,210","11,922,031",24.4,24.7,24.4,24.5,+0.30,339
2025/02/20,"480,319","11,851,353",24.95,25.15,24.4,24.4,-0.10,336
2025/02/21,"752,521","18,796,809",24.5,25.4,24.3,25.2,+0.80,547
2025/02/24,"354,843","8,866,249",25.2,25.2,24.8,24.9,-0.30,305
2025/02/25,"432,976","10,602,814",24.9,24.9,24.3,24.6,-0.30,286
2025/02/26,"312,409","7,749,593",24.55,25.2,24.45,24.85,+0.25,242
2025/02/27,"227,938","5,641,904",25.05,25.05,24.55,24.7,-0.15,175
2025/03/03,"178,857","4,333,825",24.45,24.5,24.1,24.3,-0.40,141
2025/03/04,"157,450","3,806,431",24.25,24.55,23.8,24.35,+0.05,119
2025/03/05,"103,623","2,540,114",24.4,24.65,24.35,24.6,+0.25,87
2025/03/06,"224,015","5,434,904",24.8,24.8,24.0,24.1,-0.50,187
2025/03/07,"542,491","12,613,423",24.0,24.0,22.85,22.9,-1.20,495
2025/03/10,"145,140","3,323,599",22.9,23.1,22.7,22.95,+0.05,126
2025/03/11,"151,000","3,420,800",22.65,22.9,22.2,22.85,-0.10,110
2025/03/12,"100,500","2,317,982",22.85,23.2,22.85,23.15,+0.30,78
2025/03/13,"224,855","5,150,732",23.2,23.2,22.65,22.65,-0.50,128
2025/03/14,"108,101","2,471,423",22.6,23.05,22.6,22.9,+0.25,70
2025/03/17,"36,011","828,409",22.9,23.2,22.9,23.05,+0.15,42
2025/03/18,"26,140","604,394",23.2,23.2,23.0,23.15,+0.10,33
2025/03/19,"102,365","2,356,442",22.75,23.2,22.75,23.15,0.00,69
2025/03/20,"132,086","3,067,014",23.25,23.35,23.1,23.25,+0.10,73
2025/03/21,"81,390","1,874,636",23.15,23.2,22.9,22.95,-0.30,68
2025/03/24,"116,565","2,676,186",23.0,23.1,22.8,22.85,-0.10,85
2025/03/25,"120,180","2,733,353",23.0,23.1,22.6,22.65,-0.20,103
2025/03/26,"96,102","2,190,365",22.55,22.9,22.55,22.8,+0.15,63
2025/03/27,"113,831","2,575,110",22.85,22.85,22.5,22.5,-0.30,89
2025/03/28,"1,559,296","33,687,910",22.5,22.5,21.5,21.5,-1.00,197
2025/03/31,"370,662","7,683,924",21.15,21.15,20.5,20.5,-1.00,219
2025/04/01,"178,442","3,753,660",20.6,21.3,20.6,21.3,+0.80,100
2025/04/02,"137,299","2,951,653",21.35,21.8,21.3,21.75,+0.45,98
2025/04/07,"58,133","1,139,401",19.6,19.6,19.6,19.6,-2.15,66
2025/04/08,"631,646","11,176,029",17.7,18.05,17.65,17.7,-1.90,351
2025/04/09,"502,759","8,110,648",17.65,17.65,15.95,15.95,-1.75,290
2025/04/10,"358,257","6,240,744",17.35,17.5,17.0,17.5,+1.55,159
2025/04/11,"304,174","5,252,833",16.65,17.7,15.8,17.45,-0.05,126
2025/04/14,"388,751","7,040,734",17.9,18.9,17.7,17.8,+0.35,202
2025/04/15,"252,359","4,688,878",18.45,18.9,18.05,18.8,+1.00,166
2025/04/16,"160,954","2,988,395",18.9,19.0,18.25,18.6,-0.20,128
2025/04/17,"86,145","1,586,565",18.5,18.6,18.05,18.5,-0.10,62
2025/04/18,"117,494","2,214,581",18.5,19.05,18.5,18.75,+0.25,74
2025/04/21,"87,684","1,610,008",18.7,18.7,18.15,18.15,-0.60,80
2025/04/22,"71,466","1,306,338",18.0,18.7,18.0,18.2,+0.05,70
2025/04/23,"133,058","2,491,490",18.6,18.85,18.55,18.6,+0.40,88
2025/04/24,"41,149","766,681",18.6,18.85,18.55,18.6,0.00,35
2025/04/25,"76,100","1,435,224",18.75,19.0,18.7,18.8,+0.20,60
2025/04/28,"111,441","2,139,105",18.8,19.4,18.8,19.35,+0.55,83
2025/04/29,"169,766","3,332,662",19.35,19.9,19.3,19.7,+0.35,102
2025/04/30,"130,070","2,588,398",19.65,20.55,19.45,19.7,0.00,88
2025/05/02,"113,050","2,236,187",20.15,20.15,19.6,19.7,0.00,75
2025/05/05,"215,255","4,128,324",19.7,19.7,18.85,19.05,-0.65,163
2025/05/06,"57,001","1,084,469",19.0,19.1,18.9,19.1,+0.05,47
2025/05/07,"35,053","669,086",19.1,19.1,18.95,19.1,0.00,19
2025/05/08,"49,000","938,750",19.1,19.25,19.0,19.25,+0.15,44
2025/05/09,"120,179","2,331,898",19.25,19.75,19.05,19.75,+0.50,79
2025/05/12,"114,356","2,289,330",19.6,20.25,19.6,20.15,+0.40,107
2025/05/13,"103,466","2,097,035",20.4,20.8,19.9,20.2,+0.05,91
2025/05/14,"100,536","2,038,819",20.15,20.45,20.15,20.25,+0.05,144
2025/05/15,"95,169","1,925,322",20.25,20.45,20.05,20.05,-0.20,81
2025/05/16,"60,646","1,215,207",20.1,20.2,19.95,20.0,-0.05,70
2025/05/19,"134,327","2,639,278",20.1,20.1,19.45,19.5,-0.50,106
2025/05/20,"87,037","1,711,238",19.8,20.0,19.35,19.6,+0.10,64
2025/05/21,"38,633","756,735",19.7,19.7,19.5,19.55,-0.05,42
2025/05/22,"62,520","1,207,754",19.5,19.5,19.25,19.3,-0.25,60
2025/05/23,"30,206","584,221",19.25,19.45,19.25,19.3,0.00,27
2025/05/26,"63,800","1,233,935",19.15,19.6,19.0,19.35,+0.05,61
2025/05/27,"26,181","502,439",19.3,19.35,19.1,19.15,-0.20,30
2025/05/28,"67,186","1,277,752",19.3,19.3,18.75,19.05,-0.10,61
2025/05/29,"64,300","1,211,208",18.95,18.95,18.75,18.85,-0.20,60
2025/06/02,"82,089","1,511,478",18.85,18.85,18.1,18.5,-0.35,81
2025/06/03,"22,050","407,425",18.5,18.55,18.35,18.5,0.00,20
2025/06/04,"87,002","1,623,836",18.65,18.9,18.4,18.5,0.00,63
2025/06/05,"38,001","701,518",18.65,18.75,18.3,18.45,-0.05,33
2025/06/06,"39,034","716,688",18.4,18.45,18.3,18.35,-0.10,33
2025/06/09,"101,000","1,827,500",18.3,18.3,18.0,18.1,-0.25,67
2025/06/10,"100,046","1,846,632",18.2,18.6,18.2,18.55,+0.45,69
2025/06/11,"37,400","690,967",18.5,18.55,18.4,18.55,0.00,41
2025/06/12,"38,272","704,484",18.3,18.5,18.25,18.5,-0.05,34
2025/06/13,"56,255","1,025,096",18.35,18.35,18.1,18.15,-0.35,54
2025/06/16,"58,241","1,046,192",18.0,18.05,17.85,18.0,-0.15,43
2025/06/17,"44,000","792,900",18.0,18.1,18.0,18.05,+0.05,36
2025/06/18,"66,317","1,195,867",18.15,18.15,18.0,18.1,+0.05,56
2025/06/19,"138,210","2,472,406",18.2,18.25,17.75,17.75,-0.35,82
2025/06/20,"1,814,833","35,221,927",18.45,19.5,18.3,19.5,+1.75,847
2025/06/23,"1,522,459","28,183,355",18.95,19.45,18.2,18.2,-1.30,988
2025/06/24,"664,654","12,310,968",18.65,18.85,18.3,18.3,+0.10,457
2025/06/25,"387,040","7,229,131",18.5,19.05,18.3,18.95,+0.65,286
2025/06/26,"1,576,718","32,030,058",19.7,20.8,19.15,20.8,+1.85,"1,099"
2025/06/27,"2,170,959","43,937,273",20.9,20.95,19.6,20.05,-0.75,"1,374"
2025/06/30,"353,078","6,907,313",20.1,20.1,19.35,19.5,-0.55,272
2025/07/01,"834,902","16,703,460",19.95,20.55,19.5,19.5,0.00,667
2025/07/02,"237,382","4,631,603",19.35,19.7,19.35,19.7,+0.20,190
2025/07/03,"272,135","5,417,423",19.9,20.05,19.75,19.75,+0.05,190
2025/07/04,"177,188","3,454,609",19.8,19.85,19.3,19.4,-0.35,137
2025/07/07,"193,020","3,695,264",19.4,19.65,18.95,18.95,-0.45,139
2025/07/08,"212,375","4,015,812",19.0,19.3,18.65,18.9,-0.05,155
2025/07/09,"82,000","1,562,650",18.9,19.45,18.75,19.05,+0.15,73
2025/07/10,"503,177","9,875,301",19.4,19.95,19.25,19.95,+0.90,356
2025/07/11,"160,298","3,163,989",19.9,20.1,19.5,19.6,-0.35,136
2025/07/14,"95,552","1,869,072",19.7,19.8,19.4,19.45,-0.15,110
2025/07/15,"76,115","1,487,705",19.5,19.65,19.45,19.55,+0.10,64
2025/07/16,"154,426","3,039,017",19.5,19.95,19.5,19.5,-0.05,118
2025/07/17,"136,452","2,698,642",19.8,19.85,19.6,19.65,+0.15,88
2025/07/18,"264,761","5,287,692",19.8,20.3,19.65,19.95,+0.30,195
2025/07/21,"163,389","3,251,615",20.1,20.2,19.75,19.75,-0.20,122
2025/07/22,"172,982","3,370,827",20.05,20.05,19.15,19.3,-0.45,133
2025/07/23,"74,061","1,448,382",19.3,19.7,19.3,19.55,+0.25,48
2025/07/24,"41,000","802,950",19.65,19.8,19.35,19.55,0.00,35
2025/07/25,"47,020","920,487",19.7,19.7,19.4,19.45,-0.10,38
2025/07/28,"87,106","1,702,814",19.5,19.75,19.3,19.6,+0.15,55
2025/07/29,"108,350","2,100,678",19.8,19.8,19.3,19.35,-0.25,76
2025/07/30,"42,159","821,350",19.45,19.55,19.35,19.55,+0.20,36
