日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"913,289","33,811,157",37.05,37.6,36.65,36.65,-0.50,897
2025/01/03,"801,045","29,546,347",36.9,37.45,36.55,36.65,0.00,677
2025/01/06,"610,491","22,249,632",37.1,37.1,36.2,36.2,-0.45,792
2025/01/07,"889,044","32,020,138",36.7,36.75,35.45,35.65,-0.55,830
2025/01/08,"1,218,661","42,512,784",35.7,35.95,34.4,34.55,-1.10,"1,147"
2025/01/09,"1,679,223","55,507,378",34.65,34.7,32.15,32.4,-2.15,"1,354"
2025/01/10,"1,340,448","43,501,014",31.45,33.2,31.45,32.65,+0.25,839
2025/01/13,"1,403,033","43,917,993",32.0,32.2,30.4,31.6,-1.05,"1,019"
2025/01/14,"868,768","27,167,876",31.7,31.7,30.9,31.4,-0.20,684
2025/01/15,"627,447","19,788,496",31.6,31.8,31.15,31.5,+0.10,502
2025/01/16,"1,022,759","33,242,120",32.0,32.95,32.0,32.5,+1.00,868
2025/01/17,"677,023","21,465,798",32.9,32.9,31.35,31.35,-1.15,524
2025/01/20,"673,096","21,215,819",31.45,31.9,31.1,31.55,+0.20,424
2025/01/21,"543,543","16,953,622",31.6,31.6,31.0,31.1,-0.45,414
2025/01/22,"730,252","22,856,707",31.5,31.6,31.0,31.3,+0.20,521
2025/02/03,"787,186","24,221,792",31.2,31.4,30.05,31.05,-0.25,689
2025/02/04,"504,762","15,433,981",31.35,31.35,30.15,30.7,-0.35,531
2025/02/05,"971,741","30,968,841",30.9,32.3,30.9,31.9,+1.20,807
2025/02/06,"678,504","21,887,216",32.05,32.8,31.95,32.0,+0.10,684
2025/02/07,"626,922","20,308,677",32.9,32.9,32.05,32.4,+0.40,562
2025/02/10,"600,590","19,111,637",32.75,32.75,31.5,31.65,-0.75,581
2025/02/11,"3,595,659","122,966,533",32.2,34.8,32.2,34.8,+3.15,"2,235"
2025/02/12,"9,440,677","325,132,281",34.55,35.0,33.95,34.0,-0.80,"5,890"
2025/02/13,"1,373,646","46,955,960",34.6,34.75,33.85,33.9,-0.10,"1,074"
2025/02/14,"9,444,394","337,064,009",34.35,36.95,34.0,34.9,+1.00,"6,244"
2025/02/17,"4,378,126","155,882,309",35.25,36.4,35.15,35.6,+0.70,"3,206"
2025/02/18,"1,847,766","65,562,557",35.6,36.2,35.05,35.05,-0.55,"1,598"
2025/02/19,"1,312,284","46,034,178",35.05,35.9,34.7,34.7,-0.35,"1,114"
2025/02/20,"765,459","26,461,324",35.2,35.3,34.15,34.4,-0.30,741
2025/02/21,"8,570,184","317,652,586",34.9,37.8,34.35,37.8,+3.40,"5,494"
2025/02/24,"39,807,385","1,589,030,139",38.6,41.5,38.4,40.4,+2.60,"24,055"
2025/02/25,"32,282,391","1,312,782,068",40.45,41.9,39.85,40.65,+0.25,"18,524"
2025/02/26,"7,873,631","318,489,896",41.1,41.4,39.75,39.9,-0.75,"5,219"
2025/02/27,"19,563,160","807,377,324",40.8,42.8,40.15,40.4,+0.50,"12,304"
2025/03/03,"5,139,538","200,329,963",39.9,40.35,38.25,38.25,-2.15,"3,902"
2025/03/04,"10,582,167","416,221,946",38.95,40.45,38.15,39.25,+1.00,"7,000"
2025/03/05,"2,685,230","104,464,995",38.9,39.5,38.65,38.75,-0.50,"2,178"
2025/03/06,"2,457,453","93,045,222",38.5,38.85,37.3,37.3,-1.45,"2,089"
2025/03/07,"1,516,311","55,588,588",37.1,37.4,36.2,36.45,-0.85,"1,431"
2025/03/10,"962,438","35,380,640",36.95,37.3,36.3,36.65,+0.20,892
2025/03/11,"1,076,778","38,461,825",35.6,36.25,34.85,36.15,-0.50,797
2025/03/12,"822,662","29,902,809",36.2,36.75,36.0,36.4,+0.25,682
2025/03/13,"2,301,600","84,464,602",36.85,37.5,35.8,35.8,-0.60,"1,561"
2025/03/14,"709,105","25,302,930",35.7,36.05,35.3,36.05,+0.25,563
2025/03/17,"658,587","23,927,195",36.3,36.75,36.05,36.1,+0.05,601
2025/03/18,"619,749","22,468,914",36.65,36.65,36.05,36.1,0.00,521
2025/03/19,"640,352","22,871,041",36.1,36.4,35.4,35.4,-0.70,797
2025/03/20,"554,877","19,833,764",36.0,36.05,35.55,35.65,+0.25,467
2025/03/21,"477,058","16,981,985",35.7,35.85,35.45,35.55,-0.10,401
2025/03/24,"7,666,719","290,734,770",35.9,38.95,35.9,38.0,+2.45,"5,717"
2025/03/25,"4,682,789","175,808,971",38.2,38.4,36.55,36.9,-1.10,"3,484"
2025/03/26,"1,377,077","50,421,220",37.35,37.4,36.2,36.4,-0.50,"1,085"
2025/03/27,"833,892","29,816,836",36.1,36.1,35.25,35.75,-0.65,992
2025/03/28,"1,771,246","60,629,999",35.1,35.25,33.55,33.8,-1.95,"1,508"
2025/03/31,"1,533,141","49,196,520",32.55,33.0,31.5,32.0,-1.80,"1,199"
2025/04/01,"695,920","22,604,201",32.4,33.45,32.2,32.3,+0.30,693
2025/04/02,"539,272","17,464,629",32.5,32.75,31.8,32.6,+0.30,503
2025/04/07,"51,148","1,501,123",29.35,29.35,29.35,29.35,-3.25,226
2025/04/08,"451,854","11,951,532",26.45,26.45,26.45,26.45,-2.90,457
2025/04/09,"1,950,849","46,787,314",23.85,24.6,23.85,23.85,-2.60,"1,146"
2025/04/10,"1,120,808","29,323,649",26.2,26.2,25.45,26.2,+2.35,600
2025/04/11,"2,157,142","56,572,218",25.5,27.0,24.45,26.7,+0.50,"1,433"
2025/04/14,"1,136,092","31,405,531",27.5,28.6,27.0,27.45,+0.75,"1,042"
2025/04/15,"1,675,465","47,820,675",27.85,29.2,27.5,28.8,+1.35,"1,289"
2025/04/16,"879,668","24,925,240",29.3,29.3,28.0,28.0,-0.80,792
2025/04/17,"619,925","17,169,413",27.7,28.15,27.3,27.8,-0.20,522
2025/04/18,"669,570","18,783,015",28.15,28.45,27.7,27.9,+0.10,791
2025/04/21,"541,063","14,884,516",28.1,28.3,27.1,27.25,-0.65,751
2025/04/22,"433,813","11,690,279",25.9,27.45,25.9,26.9,-0.35,525
2025/04/23,"568,607","15,884,377",28.0,28.25,27.65,27.75,+0.85,692
2025/04/24,"1,021,805","29,203,067",28.4,29.0,28.2,28.4,+0.65,"1,168"
2025/04/25,"941,293","27,303,212",28.95,29.35,28.8,28.9,+0.50,734
2025/04/28,"1,090,568","32,490,120",31.0,31.0,29.15,29.3,+0.40,923
2025/04/29,"1,983,770","60,378,844",29.3,31.4,29.1,30.6,+1.30,"1,397"
2025/04/30,"6,082,540","197,439,885",31.0,33.4,30.8,32.0,+1.40,"4,190"
2025/05/02,"5,324,379","175,995,796",33.75,33.95,32.2,33.3,+1.30,"3,352"
2025/05/05,"1,963,242","61,015,122",33.05,33.05,30.0,30.35,-2.95,"1,448"
2025/05/06,"933,418","28,097,779",29.9,30.5,29.75,30.2,-0.15,786
2025/05/07,"531,879","15,850,764",30.2,30.2,29.55,29.85,-0.35,396
2025/05/08,"446,131","13,489,431",30.0,30.4,30.0,30.3,+0.45,308
2025/05/09,"1,459,150","45,343,779",30.5,31.9,30.05,31.2,+0.90,"1,041"
2025/05/12,"2,910,870","94,845,220",31.7,33.35,31.7,32.25,+1.05,"2,024"
2025/05/13,"1,083,427","35,078,637",33.2,33.2,32.05,32.3,+0.05,886
2025/05/14,"789,664","25,396,880",32.6,32.6,31.95,32.25,-0.05,676
2025/05/15,"971,756","31,660,027",32.25,33.1,32.25,32.35,+0.10,654
2025/05/16,"378,656","12,234,868",32.8,32.8,32.1,32.35,0.00,358
2025/05/19,"799,919","25,850,084",32.45,32.85,31.6,31.65,-0.70,545
2025/05/20,"398,325","12,645,483",32.05,32.25,31.45,31.75,+0.10,363
2025/05/21,"303,227","9,629,920",31.85,31.95,31.65,31.85,+0.10,243
2025/05/22,"328,917","10,328,758",31.6,31.75,31.1,31.7,-0.15,254
2025/05/23,"263,986","8,326,534",31.8,31.9,31.35,31.55,-0.15,201
2025/05/26,"512,660","16,334,219",31.45,32.25,31.3,31.65,+0.10,400
2025/05/27,"458,788","14,311,319",31.65,31.75,30.75,30.75,-0.90,337
2025/05/28,"463,176","14,334,630",31.0,31.55,30.5,30.5,-0.25,360
2025/05/29,"292,990","8,888,440",30.9,30.9,29.95,30.3,-0.20,246
2025/06/02,"328,657","9,801,404",30.15,30.15,29.55,29.9,-0.40,281
2025/06/03,"220,721","6,616,985",29.9,30.2,29.8,29.85,-0.05,191
2025/06/04,"879,640","27,116,545",30.0,31.3,30.0,30.9,+1.05,617
2025/06/05,"365,192","11,323,876",31.0,31.3,30.6,30.9,0.00,247
2025/06/06,"137,081","4,223,782",31.25,31.25,30.55,30.55,-0.35,140
2025/06/09,"298,172","9,065,415",30.55,30.75,30.1,30.45,-0.10,213
2025/06/10,"348,192","10,698,005",30.4,31.05,30.4,30.55,+0.10,257
2025/06/11,"425,296","13,177,032",30.9,31.2,30.75,30.9,+0.35,299
2025/06/12,"427,270","13,330,080",31.0,31.8,30.8,30.95,+0.05,338
2025/06/13,"496,068","15,006,125",31.0,31.05,30.0,30.0,-0.95,369
2025/06/16,"314,528","9,322,962",30.0,30.0,29.5,29.8,-0.20,203
2025/06/17,"186,899","5,579,021",30.0,30.3,29.65,29.7,-0.10,166
2025/06/18,"282,638","8,499,058",29.6,30.35,29.6,30.15,+0.45,214
2025/06/19,"272,162","8,016,991",30.05,30.05,29.15,29.15,-1.00,231
2025/06/20,"213,015","6,137,012",29.55,29.55,28.45,28.85,-0.30,198
2025/06/23,"224,442","6,336,481",28.6,28.6,27.8,28.5,-0.35,197
2025/06/24,"513,162","15,218,692",28.65,30.1,28.65,29.7,+1.20,395
2025/06/25,"200,694","5,917,544",30.0,30.0,29.25,29.35,-0.35,151
2025/06/26,"510,080","15,223,680",29.6,30.15,29.35,29.35,0.00,358
2025/06/27,"217,979","6,391,306",29.7,29.7,29.15,29.3,-0.05,185
2025/06/30,"184,783","5,331,872",29.4,29.4,28.75,28.8,-0.50,185
2025/07/01,"184,727","5,358,673",29.0,29.25,28.8,29.0,+0.20,139
2025/07/02,"204,585","5,947,882",28.9,29.3,28.9,29.15,+0.15,143
2025/07/03,"263,875","7,814,077",29.4,29.85,29.4,29.7,+0.55,240
2025/07/04,"279,540","8,239,646",29.85,30.15,29.25,29.3,-0.40,248
2025/07/07,"127,100","3,684,951",29.15,29.15,28.85,29.0,-0.30,120
2025/07/08,"286,079","8,224,233",29.0,29.0,28.5,28.9,-0.10,200
2025/07/09,"153,650","4,450,886",29.0,29.2,28.75,29.1,+0.20,125
2025/07/10,"183,977","5,363,046",29.2,29.35,29.0,29.2,+0.10,153
2025/07/11,"418,060","12,457,439",29.65,30.2,29.55,29.7,+0.50,270
2025/07/14,"433,708","12,904,908",29.7,30.0,29.4,29.9,+0.20,306
2025/07/15,"581,026","16,275,771",28.85,28.85,27.7,27.7,X0.00,531
2025/07/16,"286,913","7,998,597",27.85,28.1,27.6,27.95,+0.25,225
2025/07/17,"243,214","6,847,296",28.1,28.45,27.9,28.15,+0.20,215
2025/07/18,"621,168","17,737,676",28.4,29.3,28.1,28.15,0.00,488
