日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"13,186","361,237",27.40,27.45,27.35,27.45,+0.10,15
2025/01/03,"4,000","109,200",27.25,27.40,27.25,27.40,-0.05,3
2025/01/06,"3,000","82,400",27.40,27.50,27.40,27.50,+0.10,3
2025/01/07,"8,000","219,300",27.55,27.55,27.30,27.30,-0.20,8
2025/01/08,"18,132","487,686",26.95,27.00,26.75,26.90,-0.40,15
2025/01/09,"56,022","1,451,144",26.95,26.95,25.10,25.35,-1.55,40
2025/01/10,"20,098","509,892",25.35,25.85,25.10,25.10,-0.25,23
2025/01/13,"18,655","456,013",25.10,25.10,24.20,24.25,-0.85,26
2025/01/14,"2,313","56,857",24.40,24.60,24.40,24.60,+0.35,10
2025/01/15,"24,005","605,675",24.70,25.50,24.70,25.35,+0.75,23
2025/01/16,"26,200","685,201",26.20,26.40,26.00,26.10,+0.75,27
2025/01/17,"7,054","182,813",26.00,26.00,25.80,25.80,-0.30,11
2025/01/20,"8,000","206,650",25.65,26.15,25.65,26.00,+0.20,8
2025/01/21,0,0,--,--,--,--,0.00,0
2025/01/22,"6,114","159,079",25.90,26.15,25.90,26.15,X0.00,12
2025/02/03,0,0,--,--,--,--,0.00,0
2025/02/04,"4,000","104,700",26.15,26.20,26.15,26.20,X0.00,4
2025/02/05,"15,053","400,904",26.50,26.85,26.45,26.85,+0.65,15
2025/02/06,1,27,--,--,--,--,0.00,1
2025/02/07,"2,069","55,618",26.85,26.85,26.85,26.85,X0.00,8
2025/02/10,"1,002","26,658",26.60,26.60,26.60,26.60,-0.25,3
2025/02/11,"154,956","4,464,854",26.70,29.25,26.65,29.25,+2.65,153
2025/02/12,"262,278","7,675,353",29.75,30.00,28.05,28.30,-0.95,230
2025/02/13,"13,517","386,136",28.35,28.80,28.35,28.60,+0.30,14
2025/02/14,"56,033","1,628,750",29.60,29.60,28.85,28.95,+0.35,46
2025/02/17,"18,084","521,632",29.00,29.10,28.50,28.75,-0.20,23
2025/02/18,"2,161","61,403",28.35,28.40,28.35,28.40,-0.35,15
2025/02/19,"11,075","313,379",28.15,28.65,28.15,28.25,-0.15,14
2025/02/20,"33,497","950,253",28.00,28.75,27.85,28.50,+0.25,33
2025/02/21,"27,009","771,206",28.50,28.80,27.95,28.70,+0.20,25
2025/02/24,"17,001","486,981",28.70,28.85,28.50,28.60,-0.10,16
2025/02/25,3,93,--,--,--,--,0.00,2
2025/02/26,"13,000","368,200",28.25,28.45,28.20,28.30,X0.00,11
2025/02/27,"11,050","316,438",28.75,28.80,28.35,28.35,+0.05,13
2025/03/03,"13,209","373,033",28.00,28.40,27.95,28.20,-0.15,17
2025/03/04,"4,081","115,231",28.05,28.35,28.05,28.35,+0.15,12
2025/03/05,"8,005","226,402",28.05,28.50,28.05,28.50,+0.15,10
2025/03/06,"1,001","28,428",28.40,28.40,28.40,28.40,-0.10,2
2025/03/07,"12,009","336,852",28.00,28.15,28.00,28.15,-0.25,13
2025/03/10,"313,937","9,567,969",28.40,30.95,28.40,30.95,+2.80,244
2025/03/11,"3,322,494","103,335,800",29.10,34.00,28.60,28.60,-2.35,"1,710"
2025/03/12,"224,029","6,557,047",29.15,29.85,28.80,28.80,+0.20,157
