日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"243,823","27,228,868",111.0,112.5,110.5,111.5,+0.50,624
2025/01/03,"164,262","18,274,764",112.0,112.0,111.0,111.0,-0.50,253
2025/01/06,"510,697","58,378,980",112.5,116.0,112.5,113.0,+2.00,684
2025/01/07,"115,185","13,022,475",114.0,114.0,112.5,113.0,0.00,359
2025/01/08,"120,151","13,434,642",113.0,113.0,111.0,112.0,-1.00,682
2025/01/09,"103,862","11,455,629",112.0,112.0,108.5,109.5,-2.50,173
2025/01/10,"62,778","6,795,880",109.0,109.5,107.5,108.5,-1.00,543
2025/01/13,"179,215","18,940,572",107.5,107.5,105.0,105.0,-3.50,216
2025/01/14,"44,628","4,737,714",105.5,107.0,105.0,106.0,+1.00,65
2025/01/15,"36,152","3,815,026",105.5,106.5,105.0,105.5,-0.50,159
2025/01/16,"70,774","7,568,551",107.5,107.5,106.0,107.0,+1.50,92
2025/01/17,"61,862","6,558,449",106.0,106.5,105.5,106.0,-1.00,93
2025/01/20,"58,888","6,233,349",105.5,106.0,105.5,105.5,-0.50,111
2025/01/21,"64,738","6,863,232",106.0,106.5,105.5,106.0,+0.50,76
2025/01/22,"18,000","1,912,714",106.0,107.0,106.0,107.0,+1.00,60
2025/02/03,"128,079","13,500,708",105.5,106.0,105.0,105.5,-1.50,171
2025/02/04,"111,513","11,717,665",105.5,106.0,104.0,104.0,-1.50,175
2025/02/05,"104,500","10,989,048",104.0,105.5,104.0,105.5,+1.50,139
2025/02/06,"69,185","7,352,337",106.0,106.5,106.0,106.0,+0.50,125
2025/02/07,"84,959","9,045,531",105.5,107.0,105.5,106.5,+0.50,155
2025/02/10,"68,243","7,312,740",106.5,107.5,106.5,107.5,+1.00,166
2025/02/11,"124,020","13,428,614",109.0,109.0,108.0,108.0,+0.50,170
2025/02/12,"51,723","5,588,868",108.5,108.5,107.5,107.5,-0.50,106
2025/02/13,"82,037","8,847,845",108.0,108.5,107.5,108.0,+0.50,147
2025/02/14,"40,003","4,313,697",108.5,108.5,107.0,108.0,0.00,120
2025/02/17,"63,434","6,878,742",108.0,109.0,108.0,108.5,+0.50,157
2025/02/18,"37,131","4,024,488",108.5,108.5,108.0,108.0,-0.50,118
2025/02/19,"179,454","19,708,225",108.5,111.0,108.5,110.5,+2.50,214
2025/02/20,"93,209","10,252,953",110.5,110.5,109.5,110.0,-0.50,154
2025/02/21,"106,484","11,774,977",110.0,111.0,110.0,110.5,+0.50,180
2025/02/24,"88,771","9,775,598",110.5,110.5,109.5,109.5,-1.00,169
2025/02/25,"67,333","7,369,250",109.5,110.0,109.0,110.0,+0.50,175
2025/02/26,"89,171","9,828,358",110.0,110.5,109.5,110.0,0.00,138
2025/02/27,"164,264","18,216,305",110.5,111.5,110.0,111.0,+1.00,189
2025/03/03,"67,219","7,427,153",111.0,111.5,110.0,111.0,0.00,167
2025/03/04,"134,907","14,921,315",111.0,111.5,110.0,111.5,+0.50,272
2025/03/05,"76,659","8,562,453",112.0,112.5,110.5,112.0,+0.50,154
2025/03/06,"316,596","35,819,214",112.5,113.5,112.5,113.5,+1.50,384
2025/03/07,"89,242","9,995,514",113.5,113.5,111.0,111.5,-2.00,579
2025/03/10,"305,940","33,799,132",110.5,111.5,109.0,111.5,0.00,"1,190"
2025/03/11,"194,327","21,379,885",109.5,111.5,109.0,111.0,-0.50,205
2025/03/12,"80,593","8,965,582",112.0,112.0,110.5,112.0,+1.00,232
2025/03/13,"136,872","15,216,339",111.5,112.5,110.5,110.5,-1.50,297
2025/03/14,"116,446","12,852,763",111.5,111.5,110.0,110.0,-0.50,154
2025/03/17,"95,099","10,626,311",110.0,112.5,110.0,111.5,+1.50,195
2025/03/18,"71,479","8,013,540",112.0,112.5,111.5,112.5,+1.00,229
2025/03/19,"42,596","4,768,071",111.5,112.0,111.5,112.0,-0.50,136
2025/03/20,"40,552","4,536,811",112.0,112.0,111.0,111.5,-0.50,120
