日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,182,249","335,314,379",286.5,287.5,280.5,282.0,-4.50,"2,061"
2025/01/03,"2,794,577","811,335,170",284.0,296.5,284.0,290.0,+8.00,"2,918"
2025/01/06,"2,509,746","739,444,748",296.0,298.0,290.5,298.0,+8.00,"8,775"
2025/01/07,"4,924,701","1,497,488,512",302.5,309.0,299.0,305.5,+7.50,"6,078"
2025/01/08,"1,761,636","534,106,125",304.0,306.5,300.5,302.5,-3.00,"2,544"
2025/01/09,"3,667,407","1,120,923,853",303.0,314.5,298.0,299.0,-3.50,"7,576"
2025/01/10,"1,041,473","309,742,734",296.0,302.0,295.5,296.0,-3.00,"4,263"
2025/01/13,"2,423,425","694,192,118",297.5,298.0,282.5,284.0,-12.00,"4,456"
2025/01/14,"1,185,476","339,264,218",284.0,291.0,281.5,290.0,+6.00,"8,864"
2025/01/15,"763,542","218,841,129",291.0,292.5,283.5,285.0,-5.00,"3,955"
2025/01/16,"2,230,809","661,925,275",290.0,301.0,290.0,298.5,+13.50,"2,666"
2025/01/17,"2,629,294","772,228,683",301.0,304.0,288.0,288.5,-10.00,"10,301"
2025/01/20,"1,191,994","350,239,589",290.5,297.5,289.5,294.5,+6.00,"2,368"
2025/01/21,"2,389,613","720,099,398",298.0,307.5,296.0,300.5,+6.00,"2,783"
2025/01/22,"1,338,579","405,390,050",300.5,306.0,300.5,303.5,+3.00,"6,084"
2025/02/03,"3,688,785","1,024,641,125",289.0,289.0,273.5,273.5,-30.00,"10,398"
2025/02/04,"2,438,941","654,740,576",275.0,275.0,262.0,269.0,-4.50,"4,025"
2025/02/05,"2,043,657","554,002,173",269.0,274.5,269.0,271.5,+2.50,"2,210"
2025/02/06,"1,822,324","505,515,498",272.5,280.0,272.5,277.5,+6.00,"1,809"
2025/02/07,"965,648","265,014,306",277.5,277.5,272.0,275.5,-2.00,"1,225"
2025/02/10,"1,198,537","323,924,181",274.0,274.0,269.0,269.0,-6.50,"1,844"
2025/02/11,"1,238,372","336,453,517",274.0,274.5,269.5,270.0,+1.00,"1,313"
2025/02/12,"1,598,489","427,943,867",271.0,274.5,264.0,266.0,-4.00,"2,686"
2025/02/13,"1,952,642","533,513,457",266.0,276.0,266.0,274.0,+8.00,"2,136"
2025/02/14,"1,875,072","517,274,179",277.5,280.0,273.5,277.0,+3.00,"2,624"
2025/02/17,"1,052,520","292,362,401",278.0,279.5,275.5,278.5,+1.50,"2,397"
2025/02/18,"1,317,738","368,960,472",279.0,282.0,277.0,279.5,+1.00,"2,354"
2025/02/19,"1,474,628","419,179,745",280.5,287.0,279.0,286.0,+6.50,"2,003"
2025/02/20,"900,588","256,327,529",286.0,286.5,282.5,286.0,0.00,"1,237"
2025/02/21,"835,465","238,354,314",284.5,288.0,282.5,287.5,+1.50,"2,527"
2025/02/24,"838,197","237,854,431",284.0,285.5,282.5,283.5,-4.00,"1,694"
2025/02/25,"907,083","252,226,653",279.5,280.0,277.0,277.0,-6.50,"1,601"
