日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"39,660","1,107,201",27.8,28.1,27.7,27.95,+0.20,67
2025/01/03,"60,197","1,675,577",28.0,28.1,27.6,27.6,-0.35,75
2025/01/06,"76,819","2,137,799",27.65,28.2,27.65,27.7,+0.10,83
2025/01/07,"54,713","1,509,623",27.95,27.95,27.45,27.45,-0.25,134
2025/01/08,"99,200","2,716,901",27.35,27.5,27.3,27.4,-0.05,195
2025/01/09,"414,220","11,100,036",27.05,27.1,26.6,26.7,-0.70,486
2025/01/10,"91,190","2,433,412",26.7,26.8,26.5,26.55,-0.15,170
2025/01/13,"220,625","5,797,889",26.5,26.6,25.8,26.5,-0.05,295
2025/01/14,"44,579","1,186,210",26.6,26.8,26.5,26.6,+0.10,111
2025/01/15,"237,805","6,272,000",26.25,26.55,26.2,26.35,-0.25,326
2025/01/16,"42,293","1,122,194",26.4,26.75,26.4,26.45,+0.10,75
2025/01/17,"76,797","2,030,982",26.35,26.65,26.35,26.4,-0.05,269
2025/01/20,"81,953","2,189,799",26.7,26.85,26.55,26.7,+0.30,106
2025/01/21,"55,773","1,493,182",26.7,26.85,26.55,26.85,+0.15,90
2025/01/22,"92,774","2,504,851",26.65,27.25,26.65,26.85,0.00,129
2025/02/03,"81,425","2,187,695",26.85,27.05,26.7,27.0,+0.15,97
2025/02/04,"58,215","1,568,138",27.0,27.2,26.7,26.75,-0.25,140
2025/02/05,"94,419","2,561,074",26.75,27.35,26.75,27.35,+0.60,122
2025/02/06,"36,252","988,999",27.15,27.4,27.15,27.25,-0.10,144
2025/02/07,"121,429","3,336,477",27.25,27.7,27.25,27.45,+0.20,138
2025/02/10,"71,256","1,960,160",27.45,27.7,27.35,27.65,+0.20,128
2025/02/11,"88,947","2,459,510",27.8,27.8,27.6,27.6,-0.05,120
2025/02/12,"95,799","2,649,861",27.8,27.8,27.55,27.55,-0.05,122
2025/02/13,"212,929","5,950,485",27.7,28.2,27.6,28.0,+0.45,178
2025/02/14,"68,473","1,919,290",28.1,28.15,27.85,27.95,-0.05,158
2025/02/17,"116,854","3,293,576",28.0,28.3,28.0,28.3,+0.35,110
2025/02/18,"157,159","4,489,377",28.3,28.75,28.3,28.5,+0.20,133
2025/02/19,"67,275","1,911,093",28.6,28.6,28.3,28.3,-0.20,101
2025/02/20,"105,198","2,948,451",28.2,28.2,27.95,27.95,-0.35,127
2025/02/21,"83,503","2,344,976",27.95,28.25,27.9,28.2,+0.25,80
2025/02/24,"43,399","1,229,654",28.6,28.6,28.2,28.3,+0.10,77
2025/02/25,"132,679","3,782,020",28.25,28.65,28.15,28.45,+0.15,177
2025/02/26,"58,568","1,673,961",28.65,28.7,28.45,28.45,0.00,104
2025/02/27,"67,871","1,926,130",28.5,28.65,28.3,28.3,-0.15,76
2025/03/03,"81,741","2,301,216",28.2,28.55,27.95,28.0,-0.30,72
2025/03/04,"192,504","5,445,486",28.0,28.7,27.9,28.7,+0.70,121
2025/03/05,"63,169","1,801,828",28.5,28.65,28.45,28.45,-0.25,148
2025/03/06,"91,432","2,608,700",28.5,28.65,28.45,28.45,0.00,75
2025/03/07,"137,992","3,927,183",28.45,28.6,28.3,28.3,-0.15,125
2025/03/10,"98,714","2,786,407",28.3,28.35,28.1,28.25,-0.05,119
2025/03/11,"79,315","2,213,437",28.1,28.1,27.75,28.0,-0.25,156
2025/03/12,"36,348","1,019,088",28.5,28.5,27.95,27.95,-0.05,43
2025/03/13,"196,596","5,468,086",28.0,28.0,27.65,27.75,-0.20,103
2025/03/14,"132,449","3,725,990",27.95,28.8,27.85,28.15,+0.40,96
2025/03/17,"60,572","1,693,126",28.2,28.2,27.9,27.9,-0.25,60
2025/03/18,"46,584","1,311,073",28.0,28.25,28.0,28.2,+0.30,56
2025/03/19,"105,854","2,977,445",28.15,28.3,28.1,28.25,+0.05,64
2025/03/20,"83,465","2,368,958",28.25,28.5,28.25,28.35,+0.10,78
2025/03/21,"133,064","3,799,867",28.45,28.75,28.45,28.6,+0.25,127
2025/03/24,"186,223","5,310,891",28.75,28.8,28.1,28.15,-0.45,157
2025/03/25,"118,630","3,380,638",28.3,28.65,28.15,28.6,+0.45,104
2025/03/26,"84,514","2,423,634",28.75,28.75,28.6,28.7,+0.10,112
2025/03/27,"43,360","1,236,217",28.55,28.75,28.45,28.45,-0.25,113
2025/03/28,"155,865","4,285,822",28.15,28.15,27.0,27.45,-1.00,436
2025/03/31,"258,670","6,904,356",27.25,27.25,26.0,26.75,-0.70,616
2025/04/01,"90,721","2,474,169",28.4,28.4,26.55,27.3,+0.55,120
2025/04/02,"68,102","1,852,244",27.3,27.45,27.1,27.15,-0.15,163
2025/04/07,"138,650","3,390,200",24.45,24.45,24.45,24.45,-2.70,756
2025/04/08,"434,268","9,598,556",22.05,22.4,22.05,22.05,-2.40,467
2025/04/09,"728,522","14,779,260",20.9,21.35,19.85,19.95,-2.10,623
2025/04/10,"209,847","4,510,642",20.5,21.9,20.5,21.9,+1.95,136
2025/04/11,"247,531","5,480,105",23.5,23.5,21.4,21.95,+0.05,251
2025/04/14,"206,561","4,615,319",22.05,22.95,21.5,22.0,+0.05,310
