日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"171,764","11,594,136",67.60,68.70,66.10,67.00,-1.00,188
2025/01/03,"279,320","18,967,374",67.30,70.00,66.20,66.20,-0.80,268
2025/01/06,"137,477","8,942,441",66.30,66.30,64.50,64.80,-1.40,204
2025/01/07,"67,626","4,344,286",64.80,64.80,63.50,63.50,-1.30,90
2025/01/08,"29,181","1,839,833",63.70,63.70,62.80,63.00,-0.50,45
2025/01/09,"79,830","4,942,882",63.00,63.00,61.00,61.30,-1.70,83
2025/01/10,"22,176","1,355,853",61.10,61.30,60.90,61.00,-0.30,24
2025/01/13,"36,200","2,210,909",60.70,61.70,60.50,61.20,+0.20,37
2025/01/14,"15,150","928,970",61.20,61.60,60.80,61.40,+0.20,19
2025/01/15,"9,116","559,531",60.70,62.00,60.60,61.40,0.00,13
2025/01/16,"13,012","805,438",61.90,62.20,61.70,61.80,+0.40,15
2025/01/17,"126,742","7,697,355",61.10,61.30,60.50,60.50,-1.30,294
2025/01/20,"15,222","920,683",60.60,60.60,60.40,60.40,-0.10,27
2025/01/21,"12,292","747,552",60.50,61.00,60.50,60.70,+0.30,15
2025/01/22,"24,292","1,481,942",61.20,61.20,60.70,60.70,0.00,26
2025/02/03,"39,707","2,395,200",60.70,60.90,60.00,60.40,-0.30,44
2025/02/04,"44,100","2,636,530",59.70,60.20,59.60,59.60,-0.80,41
2025/02/05,"35,263","2,129,089",59.80,60.70,59.80,60.60,+1.00,45
2025/02/06,"9,572","580,580",60.90,60.90,60.50,60.70,+0.10,15
2025/02/07,"48,571","2,988,530",61.00,62.10,61.00,61.10,+0.40,64
2025/02/10,"10,682","653,402",61.20,61.50,61.10,61.50,+0.40,17
2025/02/11,"34,919","2,168,575",61.70,62.50,61.70,62.10,+0.60,68
2025/02/12,"30,564","1,897,143",62.30,62.50,61.90,62.00,-0.10,72
2025/02/13,"14,052","870,326",62.50,62.50,61.70,61.70,-0.30,17
2025/02/14,"23,270","1,449,616",62.40,62.80,62.00,62.10,+0.40,78
2025/02/17,"88,691","5,653,347",62.10,64.40,62.10,64.10,+2.00,304
2025/02/18,"31,268","1,995,021",64.40,64.40,63.50,63.50,-0.60,65
2025/02/19,"75,802","4,900,375",64.00,65.50,63.70,64.90,+1.40,138
2025/02/20,"28,170","1,815,541",64.70,64.80,64.20,64.30,-0.60,41
2025/02/21,"54,751","3,521,886",64.30,64.70,64.00,64.40,+0.10,79
2025/02/24,"66,209","4,316,473",64.90,65.50,64.60,65.50,+1.10,104
2025/02/25,"57,190","3,744,056",65.50,65.80,65.30,65.30,-0.20,61
2025/02/26,"29,677","1,927,598",65.30,65.30,64.70,64.70,-0.60,129
2025/02/27,"192,746","12,677,400",65.30,67.00,64.40,64.80,+0.10,173
2025/03/03,"287,370","18,105,484",62.80,63.80,61.80,63.50,-1.30,245
2025/03/04,"66,648","4,245,447",63.50,64.80,62.60,64.80,+1.30,115
2025/03/05,"52,178","3,360,714",65.00,65.00,64.10,64.10,-0.70,120
2025/03/06,"47,127","3,018,333",64.30,64.40,63.80,63.90,-0.20,74
2025/03/07,"82,170","5,155,267",63.30,63.30,62.30,62.30,-1.60,95
2025/03/10,"32,198","2,015,738",62.50,63.00,62.20,62.70,+0.40,43
2025/03/11,"56,223","3,488,831",61.60,62.80,61.30,62.80,+0.10,54
2025/03/12,"26,311","1,643,649",63.00,63.00,62.30,62.50,-0.30,28
2025/03/13,"29,745","1,858,334",62.50,62.80,62.20,62.20,-0.30,46
2025/03/14,"15,883","984,756",62.20,62.40,61.80,62.00,-0.20,26
2025/03/17,"8,748","543,722",61.80,62.50,61.80,62.10,+0.10,26
2025/03/18,"29,039","1,803,917",62.40,62.40,62.00,62.20,+0.10,25
2025/03/19,"23,475","1,454,843",62.20,62.20,61.80,61.90,-0.30,34
