日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"299,939","10,388,734",34.6,34.95,34.3,34.5,0.00,278
2025/01/03,"396,802","13,642,063",35.05,35.55,33.8,33.9,-0.60,695
2025/01/06,"560,244","19,509,540",34.2,35.35,33.8,35.2,+1.30,495
2025/01/07,"330,055","11,557,269",35.35,35.6,34.55,34.65,-0.55,429
2025/01/08,"360,971","12,574,529",34.65,35.15,34.45,34.95,+0.30,322
2025/01/09,"1,583,013","57,049,183",36.0,37.4,34.85,34.85,-0.10,"1,760"
2025/01/10,"487,568","16,849,361",35.4,36.0,33.8,33.8,-1.05,744
2025/01/13,"577,470","19,063,394",33.8,33.8,32.7,33.1,-0.70,696
2025/01/14,"363,588","12,262,582",32.8,34.6,32.8,34.6,+1.50,371
2025/01/15,"126,214","4,323,578",34.45,34.9,34.0,34.3,-0.30,176
2025/01/16,"223,603","7,762,646",34.5,35.0,34.4,34.5,+0.20,231
2025/01/17,"145,266","4,972,172",34.75,34.75,34.0,34.0,-0.50,299
2025/01/20,"223,733","7,599,616",34.0,34.3,33.6,33.8,-0.20,211
2025/01/21,"221,082","7,481,341",33.85,34.2,33.7,33.7,-0.10,248
2025/01/22,"1,003,584","35,677,579",33.7,36.3,33.7,35.6,+1.90,832
2025/02/03,"325,105","11,296,588",34.2,35.2,34.2,34.85,-0.75,402
2025/02/04,"223,518","7,778,736",35.2,35.2,34.35,34.95,+0.10,298
2025/02/05,"436,629","15,471,879",34.9,35.8,34.9,35.6,+0.65,472
2025/02/06,"206,033","7,350,865",35.6,36.0,35.4,35.55,-0.05,272
2025/02/07,"330,856","11,936,800",36.05,36.35,35.5,36.2,+0.65,344
2025/02/10,"286,809","10,251,390",36.05,36.35,35.45,35.7,-0.50,563
2025/02/11,"220,219","7,804,469",35.8,36.0,35.1,35.1,-0.60,595
2025/02/12,"481,763","17,339,706",35.45,36.6,35.45,35.6,+0.50,591
2025/02/13,"209,924","7,564,184",35.95,36.45,35.75,35.8,+0.20,167
2025/02/14,"168,414","6,054,676",35.55,36.3,35.55,36.15,+0.35,242
2025/02/17,"283,040","10,332,188",36.05,37.05,36.05,36.45,+0.30,341
2025/02/18,"515,543","19,014,587",36.5,37.45,36.35,36.6,+0.15,618
2025/02/19,"292,413","10,747,755",37.0,37.15,36.5,36.9,+0.30,230
2025/02/20,"299,801","11,058,177",37.2,37.5,36.65,36.65,-0.25,418
2025/02/21,"425,658","15,842,785",36.65,37.5,36.6,37.3,+0.65,453
2025/02/24,"197,606","7,334,882",37.0,37.4,36.75,37.1,-0.20,280
2025/02/25,"149,794","5,503,773",37.1,37.1,36.65,36.65,-0.45,144
2025/02/26,"408,644","15,066,353",36.75,37.1,36.5,36.6,-0.05,337
2025/02/27,"262,865","9,674,360",36.75,37.2,36.4,36.65,+0.05,244
2025/03/03,"265,404","9,554,548",36.65,36.65,35.75,35.75,-0.90,334
2025/03/04,"179,335","6,461,697",35.7,36.6,35.35,36.35,+0.60,152
2025/03/05,"687,849","25,994,381",36.7,38.6,36.7,37.55,+1.20,807
2025/03/06,"321,731","11,949,142",37.65,38.05,36.6,36.65,-0.90,329
2025/03/07,"298,104","10,847,569",36.55,36.9,36.0,36.0,-0.65,474
2025/03/10,"309,374","11,100,453",36.15,36.4,35.6,36.0,0.00,257
2025/03/11,"452,429","15,887,566",35.6,36.0,34.25,35.8,-0.20,549
2025/03/12,"183,793","6,617,163",35.95,36.25,35.8,36.15,+0.35,242
2025/03/13,"382,167","13,913,699",36.5,37.4,35.65,35.65,-0.50,354
2025/03/14,"173,498","6,144,375",35.55,35.65,34.5,35.45,-0.20,156
2025/03/17,"185,073","6,535,233",35.75,35.75,35.0,35.2,-0.25,323
2025/03/18,"234,689","8,199,956",35.3,35.5,34.75,34.8,-0.40,"1,012"
2025/03/19,"182,395","6,360,232",35.3,35.4,34.6,34.65,-0.15,481
2025/03/20,"151,457","5,297,451",34.65,35.25,34.65,35.05,+0.40,282
2025/03/21,"59,833","2,086,919",34.9,35.0,34.75,34.75,-0.30,360
2025/03/24,"99,841","3,476,396",35.0,35.15,34.6,34.6,-0.15,398
2025/03/25,"215,462","7,394,895",34.65,34.95,34.1,34.1,-0.50,400
2025/03/26,"187,833","6,423,138",34.2,34.6,33.85,34.1,0.00,374
2025/03/27,"115,518","3,928,410",34.2,34.2,33.85,34.0,-0.10,436
2025/03/28,"723,425","23,262,668",34.25,34.25,31.2,31.7,-2.30,"1,339"
2025/03/31,"946,568","28,716,616",31.15,31.3,29.7,30.1,-1.60,"1,985"
2025/04/01,"185,962","5,750,292",30.1,31.4,30.1,30.9,+0.80,286
2025/04/02,"65,635","2,032,622",31.5,31.7,30.65,30.9,0.00,200
2025/04/07,"160,836","4,479,221",27.85,27.85,27.85,27.85,-3.05,179
2025/04/08,"1,165,298","29,496,571",25.1,25.9,25.1,25.15,-2.70,977
2025/04/09,"948,703","22,237,488",25.1,25.15,22.65,22.65,-2.50,752
2025/04/10,"184,143","4,582,557",24.9,24.9,24.45,24.9,+2.25,165
2025/04/11,"528,279","13,622,352",24.9,26.65,23.5,26.45,+1.55,394
2025/04/14,"309,310","8,275,963",27.75,28.35,26.1,26.7,+0.25,462
2025/04/15,"479,384","13,569,449",27.25,28.9,27.25,28.5,+1.80,428
2025/04/16,"228,216","6,307,561",28.5,28.5,27.3,27.3,-1.20,262
