日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"188,150","6,601,893",35.2,35.35,34.65,34.95,+0.15,337
2025/01/03,"309,120","10,693,129",34.8,35.35,34.35,34.35,-0.60,792
2025/01/06,"334,216","11,720,163",34.45,35.5,34.35,35.4,+1.05,449
2025/01/07,"182,853","6,506,159",35.05,35.9,35.05,35.35,-0.05,412
2025/01/08,"102,028","3,602,528",35.3,35.55,35.1,35.45,+0.10,196
2025/01/09,"312,606","10,777,900",35.45,35.45,34.1,34.1,-1.35,700
2025/01/10,"144,436","4,937,760",33.9,34.55,33.9,34.35,+0.25,277
2025/01/13,"356,885","11,998,651",34.3,34.3,33.0,34.0,-0.35,606
2025/01/14,"170,820","5,869,355",34.45,34.8,33.9,34.7,+0.70,297
2025/01/15,"206,758","7,276,610",34.8,35.5,34.8,35.1,+0.40,300
2025/01/16,"220,283","7,871,659",35.6,36.0,35.6,35.65,+0.55,315
2025/01/17,"271,506","9,798,743",35.8,36.3,35.75,36.1,+0.45,267
2025/01/20,"215,241","7,796,438",35.95,36.4,35.8,36.35,+0.25,266
2025/01/21,"206,596","7,555,493",36.3,36.8,36.3,36.6,+0.25,383
2025/01/22,"185,740","6,825,130",36.7,37.0,36.4,36.7,+0.10,328
2025/02/03,"337,628","12,355,632",36.6,36.95,36.0,36.8,+0.10,523
2025/02/04,"169,790","6,251,150",36.7,37.0,36.5,36.9,+0.10,271
2025/02/05,"235,926","8,849,394",36.9,37.75,36.9,37.55,+0.65,335
2025/02/06,"133,240","5,067,441",37.6,38.3,37.5,38.25,+0.70,331
2025/02/07,"120,533","4,610,169",38.2,38.5,38.05,38.1,-0.15,435
2025/02/10,"242,728","9,397,803",37.75,39.0,37.75,38.95,+0.85,386
2025/02/11,"171,962","6,674,186",38.9,39.2,38.5,38.75,-0.20,460
2025/02/12,"142,192","5,512,325",38.65,39.15,38.4,38.45,-0.30,362
2025/02/13,"121,677","4,697,125",38.3,38.8,38.3,38.7,+0.25,305
2025/02/14,"214,579","8,394,356",38.7,39.55,38.7,39.25,+0.55,345
2025/02/17,"761,084","30,960,223",39.7,41.2,39.5,41.0,+1.75,896
2025/02/18,"210,784","8,541,443",40.8,40.9,40.25,40.65,-0.35,625
2025/02/19,"186,068","7,513,836",40.65,40.8,40.1,40.4,-0.25,528
2025/02/20,"100,770","4,073,624",40.4,40.55,40.2,40.55,+0.15,471
2025/02/21,"180,268","7,351,325",40.25,41.2,40.25,40.65,+0.10,546
2025/02/24,"176,119","7,156,489",40.8,40.9,40.35,40.8,+0.15,450
2025/02/25,"332,217","13,676,698",40.7,41.45,40.7,41.25,+0.45,440
2025/02/26,"130,540","5,317,514",41.1,41.15,40.55,40.7,-0.55,401
2025/02/27,"302,492","12,437,636",40.25,41.55,40.25,40.8,+0.10,466
2025/03/03,"221,361","8,876,447",40.8,40.8,39.95,40.0,-0.80,582
