日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"392,337","332,115,085",841.00,855.00,839.0,849.0,+5.00,794
2025/01/03,"456,764","391,779,309",857.00,872.00,846.0,848.0,-1.00,847
2025/01/06,"223,053","190,592,913",854.00,859.00,848.0,856.0,+8.00,481
2025/01/07,"752,048","658,622,987",856.00,893.00,856.0,867.0,+11.00,"1,380"
2025/01/08,"575,815","503,229,499",872.00,884.00,865.0,875.0,+8.00,945
2025/01/09,"807,809","694,587,705",879.00,881.00,847.0,849.0,-26.00,"1,793"
2025/01/10,"389,962","334,424,184",843.00,865.00,842.0,855.0,+6.00,601
2025/01/13,"653,838","545,915,309",849.00,853.00,819.0,836.0,-19.00,"1,092"
2025/01/14,"711,016","607,771,577",849.00,875.00,839.0,862.0,+26.00,949
2025/01/15,"721,409","615,418,391",862.00,877.00,833.0,839.0,-23.00,968
2025/01/16,"715,791","617,970,107",864.00,885.00,849.0,850.0,+11.00,"1,048"
2025/01/17,"741,610","639,300,142",859.00,869.00,856.0,863.0,+13.00,456
2025/01/20,"690,887","609,680,775",879.00,890.00,868.0,890.0,+27.00,"1,132"
2025/01/21,"387,446","341,704,494",890.00,892.00,874.0,880.0,-10.00,662
2025/01/22,"414,261","361,921,233",880.00,888.00,865.0,871.0,-9.00,685
2025/02/03,"1,018,799","880,683,679",830.00,882.00,828.0,862.0,-9.00,"1,566"
2025/02/04,"457,058","394,795,782",878.00,878.00,852.0,862.0,0.00,690
2025/02/05,"382,913","335,738,132",873.00,889.00,870.0,874.0,+12.00,677
2025/02/06,"2,882,554","2,673,632,781",915.00,945.00,909.0,940.0,+66.00,"3,380"
2025/02/07,"2,131,598","1,988,844,989",940.00,948.00,913.0,934.0,-6.00,"2,276"
2025/02/10,"1,241,043","1,144,801,151",915.00,933.00,887.0,930.0,-4.00,"1,591"
2025/02/11,"1,854,018","1,742,579,452",949.00,960.00,922.0,951.0,+21.00,"2,110"
2025/02/12,"673,020","631,929,620",950.00,950.00,928.0,932.0,-19.00,"1,361"
2025/02/13,"992,404","932,077,158",932.00,953.00,921.0,945.0,+13.00,"1,371"
2025/02/14,"953,967","906,663,930",937.00,964.00,930.0,951.0,+6.00,"1,447"
2025/02/17,"2,028,705","1,969,149,941",951.00,984.00,946.0,983.0,+32.00,"2,784"
2025/02/18,"1,303,809","1,265,394,889",983.00,983.00,961.0,970.0,-13.00,"1,995"
2025/02/19,"531,132","510,064,817",970.00,970.00,954.0,962.0,-8.00,"1,061"
2025/02/20,"936,332","903,314,187",977.00,977.00,952.0,972.0,+10.00,"1,244"
2025/02/21,"705,031","681,636,011",968.00,975.00,951.0,975.0,+3.00,"1,082"
2025/02/24,"1,428,161","1,383,847,800",966.00,980.00,957.0,974.0,-1.00,969
2025/02/25,"674,451","646,711,247",958.00,969.00,951.0,951.0,-23.00,"1,028"
2025/02/26,"1,069,137","1,009,420,124",950.00,963.00,938.0,944.0,-7.00,"1,836"
2025/02/27,"2,046,801","1,980,870,495",948.00,981.00,946.0,970.0,+26.00,"1,878"
2025/03/03,"1,120,190","1,072,622,849",978.00,983.00,944.0,951.0,-19.00,"1,485"
2025/03/04,"977,990","907,114,875",935.00,936.00,914.0,925.0,-26.00,"1,719"
2025/03/05,"956,666","901,122,969",922.00,966.00,921.0,949.0,+24.00,959
2025/03/06,"472,485","444,020,327",940.00,952.00,935.0,936.0,-13.00,767
2025/03/07,"672,351","637,600,887",930.00,960.00,930.0,951.0,+15.00,882
2025/03/10,"1,354,428","1,316,135,258",955.00,988.00,954.0,964.0,+13.00,"1,971"
2025/03/11,"719,795","671,243,207",910.00,948.00,910.0,941.0,-23.00,938
2025/03/12,"742,068","706,700,759",950.00,960.00,944.0,953.0,+12.00,590
2025/03/13,"470,887","445,895,867",961.00,965.00,932.0,938.0,-15.00,700
2025/03/14,"530,238","495,896,317",945.00,955.00,921.0,929.0,-9.00,704
2025/03/17,"1,275,844","1,243,634,792",942.00,987.00,942.0,967.0,+38.00,"1,745"
2025/03/18,"1,450,397","1,428,132,587",968.00,"1,005.00",964.0,981.0,+14.00,"2,146"
2025/03/19,"2,650,306","2,666,538,943",990.00,"1,040.00",981.0,981.0,0.00,"4,297"
2025/03/20,"1,449,453","1,417,682,017","1,000.00","1,000.00",965.0,975.0,-6.00,"2,321"
2025/03/21,"1,006,560","963,748,720",975.00,975.00,943.0,951.0,-24.00,"2,031"
2025/03/24,"646,195","599,553,867",955.00,958.00,912.0,913.0,-38.00,"2,407"
2025/03/25,"956,135","884,915,115",914.00,939.00,911.0,928.0,+15.00,"1,173"
2025/03/26,"426,331","398,671,886",923.00,943.00,920.0,943.0,+15.00,664
2025/03/27,"439,357","412,760,382",927.00,949.00,920.0,942.0,-1.00,533
2025/03/28,"694,503","630,282,489",934.00,934.00,891.0,895.0,-47.00,"1,408"
2025/03/31,"950,921","800,857,308",869.00,882.00,831.0,831.0,-64.00,"1,593"
2025/04/01,"618,257","523,414,134",831.00,860.00,828.0,853.0,+22.00,828
2025/04/02,"1,306,495","1,158,802,401",856.00,905.00,854.0,900.0,+47.00,"1,476"
2025/04/07,"445,804","361,101,240",810.00,810.00,810.0,810.0,-90.00,477
2025/04/08,"1,949,267","1,444,250,319",730.00,763.00,729.0,750.0,-60.00,"2,284"
