日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"143,019","3,878,371",27.1,27.3,26.6,27.2,+0.10,143
2025/01/03,"339,906","9,319,789",26.9,27.8,26.9,27.45,+0.25,229
2025/01/06,"314,069","8,811,843",27.95,28.2,27.9,28.0,+0.55,241
2025/01/07,"553,354","15,844,184",28.1,28.95,28.1,28.55,+0.55,399
2025/01/08,"1,732,553","51,831,735",28.45,30.8,28.45,29.8,+1.25,"1,336"
2025/01/09,"1,000,401","30,280,794",29.8,30.75,29.6,29.85,+0.05,737
2025/01/10,"420,919","12,614,898",29.65,30.35,29.65,29.95,+0.10,405
2025/01/13,"1,465,291","44,664,408",30.0,31.15,29.7,30.9,+0.95,"1,006"
2025/01/14,"478,838","14,624,973",30.95,30.95,30.0,30.8,-0.10,711
2025/01/15,"428,145","12,904,241",30.8,30.8,29.6,30.15,-0.65,384
2025/01/16,"260,332","7,828,139",30.45,30.45,29.85,30.05,-0.10,206
2025/01/17,"189,089","5,673,560",30.05,30.25,29.85,29.95,-0.10,170
2025/01/20,"232,197","6,862,256",30.0,30.0,29.25,29.7,-0.25,202
2025/01/21,"300,789","8,994,433",29.4,30.4,29.15,30.3,+0.60,240
2025/01/22,"1,367,270","42,704,334",30.6,31.85,30.2,31.45,+1.15,"1,055"
2025/02/03,"1,594,494","50,920,666",31.45,32.9,30.8,31.3,-0.15,"1,161"
2025/02/04,"847,839","26,837,402",31.4,32.3,30.75,31.6,+0.30,652
2025/02/05,"515,112","16,335,925",31.95,32.05,31.3,32.0,+0.40,403
2025/02/06,"895,649","29,144,225",32.1,32.95,31.9,32.6,+0.60,673
2025/02/07,"538,407","17,448,299",32.6,32.65,32.1,32.5,-0.10,531
2025/02/10,"497,978","15,975,992",32.5,32.7,31.5,32.4,-0.10,417
2025/02/11,"667,055","21,247,448",32.0,32.4,31.35,31.5,-0.90,658
2025/02/12,"539,598","17,240,929",31.35,32.5,31.35,31.5,0.00,493
2025/02/13,"1,383,952","45,005,465",31.5,32.8,31.5,32.6,+1.10,"1,046"
2025/02/14,"561,450","18,053,731",32.6,32.6,31.9,32.3,-0.30,442
2025/02/17,"1,442,392","46,391,963",32.7,32.95,31.8,31.9,-0.40,573
2025/02/18,"736,331","23,566,271",31.9,32.45,31.5,32.3,+0.40,421
2025/02/19,"528,777","16,941,041",32.3,32.5,31.75,32.0,-0.30,385
2025/02/20,"572,044","18,361,953",32.3,32.6,31.75,32.35,+0.35,504
2025/02/21,"1,605,811","52,801,402",32.35,33.3,32.15,33.0,+0.65,"1,105"
2025/02/24,"1,264,458","42,390,146",33.4,33.95,33.0,33.5,+0.50,905
2025/02/25,"793,923","26,573,267",33.7,33.85,33.1,33.2,-0.30,721
2025/02/26,"848,816","27,759,987",33.6,33.6,32.3,32.7,-0.50,615
2025/02/27,"571,458","18,256,815",32.75,32.75,31.65,31.7,-1.00,"1,193"
2025/03/03,"774,697","23,654,234",31.4,31.45,29.9,30.8,-0.90,971
2025/03/04,"328,778","10,013,451",30.6,31.0,30.1,30.35,-0.45,460
2025/03/05,"526,571","16,212,237",30.3,31.2,30.3,30.9,+0.55,366
2025/03/06,"782,058","23,709,677",30.25,31.0,29.9,30.1,X0.00,806
2025/03/07,"1,073,435","31,207,615",30.1,30.1,28.6,28.65,-1.45,"1,651"
2025/03/10,"484,494","13,771,391",28.7,28.7,28.2,28.35,-0.30,497
