日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"18,562,146","441,653,668",23.65,24.2,23.35,23.9,+0.20,"9,494"
2025/01/03,"24,889,874","584,590,329",23.85,24.2,23.1,23.1,-0.80,"9,990"
2025/01/06,"18,468,664","433,535,083",23.25,23.8,23.1,23.35,+0.25,"7,402"
2025/01/07,"17,056,068","395,901,271",23.65,23.7,23.05,23.1,-0.25,"7,242"
2025/01/08,"27,304,667","616,543,739",23.1,23.1,22.2,22.6,-0.50,"10,213"
2025/01/09,"22,428,025","498,574,111",22.55,22.55,22.0,22.05,-0.55,"6,564"
2025/01/10,"16,274,771","359,175,707",22.25,22.3,21.9,22.15,+0.10,"5,224"
2025/01/13,"17,494,260","383,157,100",22.0,22.35,21.65,21.95,-0.20,"6,277"
2025/01/14,"9,195,291","205,393,465",21.9,22.5,21.9,22.5,+0.55,"3,912"
2025/01/15,"22,058,975","508,217,539",22.45,23.6,22.45,22.85,+0.35,"8,362"
2025/01/16,"13,699,711","317,624,755",23.05,23.65,22.95,23.05,+0.20,"5,070"
2025/01/17,"10,752,235","248,902,502",23.1,23.3,22.9,23.3,+0.25,"4,270"
2025/01/20,"11,371,981","267,639,164",23.3,23.8,23.1,23.8,+0.50,"4,207"
2025/01/21,"16,912,480","409,564,152",24.2,24.5,23.8,24.25,+0.45,"6,162"
2025/01/22,"14,792,124","359,717,127",24.4,24.5,24.1,24.5,+0.25,"5,360"
2025/02/03,"14,597,698","346,524,597",24.0,24.4,23.35,23.55,-0.95,"6,257"
2025/02/04,"8,199,539","193,180,791",23.8,23.95,23.3,23.4,-0.15,"3,697"
2025/02/05,"10,259,218","241,227,486",23.65,23.9,23.3,23.55,+0.15,"4,370"
2025/02/06,"7,694,030","182,838,427",23.8,23.95,23.45,23.9,+0.35,"3,174"
2025/02/07,"7,025,707","166,254,630",23.9,23.9,23.5,23.7,-0.20,"3,325"
2025/02/10,"46,941,428","1,169,100,197",23.55,25.7,23.45,24.75,+1.05,"18,717"
2025/02/11,"31,471,060","788,591,042",25.2,25.3,24.9,25.0,+0.25,"11,196"
2025/02/12,"20,574,802","504,501,470",24.9,24.95,24.3,24.5,-0.50,"8,635"
2025/02/13,"55,524,293","1,432,411,270",24.7,26.75,24.3,26.15,+1.65,"20,141"
2025/02/14,"124,127,896","3,434,788,796",26.35,28.75,26.2,28.75,+2.60,"49,052"
2025/02/17,"216,012,484","6,373,301,855",29.6,30.5,28.8,28.8,+0.05,"84,559"
2025/02/18,"68,726,293","1,989,267,111",28.95,29.65,28.2,28.5,-0.30,"28,936"
2025/02/19,"53,427,624","1,539,335,332",28.8,29.25,28.15,29.2,+0.70,"22,619"
2025/02/20,"53,845,086","1,559,779,040",29.25,29.5,28.4,29.25,+0.05,"21,410"
2025/02/21,"42,396,031","1,215,968,704",29.1,29.1,28.4,28.8,-0.45,"17,059"
2025/02/24,"96,613,639","2,796,860,910",27.85,29.9,27.75,29.6,+0.80,"33,011"
2025/02/25,"57,252,985","1,673,913,445",29.2,29.7,28.85,28.95,-0.65,"22,070"
2025/02/26,"90,598,197","2,667,044,975",29.8,30.4,28.85,28.85,-0.10,"35,454"
2025/02/27,"303,829,825","8,511,705,267",29.0,29.55,27.85,27.85,-1.00,"26,890"
2025/03/03,"64,698,853","1,806,033,109",27.0,29.0,26.85,28.0,+0.15,"21,969"
2025/03/04,"38,859,844","1,066,953,665",27.7,27.9,27.25,27.35,-0.65,"16,850"
2025/03/05,"38,466,200","1,076,691,986",27.4,28.4,27.25,28.3,+0.95,"14,503"
2025/03/06,"46,487,079","1,300,171,375",28.5,28.65,27.65,27.7,-0.60,"19,967"
2025/03/07,"22,231,408","615,874,727",27.8,28.05,27.45,27.45,-0.25,"8,178"
2025/03/10,"15,615,930","431,644,277",27.6,27.95,27.45,27.45,0.00,"6,443"
2025/03/11,"32,091,993","845,521,802",26.8,26.8,25.9,26.55,-0.90,"14,324"
2025/03/12,"20,732,996","549,776,786",26.85,26.95,26.35,26.4,-0.15,"8,589"
2025/03/13,"22,697,283","593,184,445",26.65,26.9,25.65,25.75,-0.65,"9,738"
2025/03/14,"20,314,211","536,873,015",26.05,26.8,26.0,26.6,+0.85,"8,445"
2025/03/17,"10,710,576","285,153,832",26.7,26.9,26.4,26.5,-0.10,"5,875"
2025/03/18,"7,329,846","195,267,296",26.7,26.9,26.5,26.6,+0.10,"4,097"
2025/03/19,"12,528,769","333,389,611",26.6,26.95,26.4,26.55,-0.05,"5,268"
2025/03/20,"6,494,983","173,358,642",26.7,26.85,26.55,26.8,+0.25,"3,559"
2025/03/21,"30,021,311","800,280,086",27.0,27.35,26.2,26.2,-0.60,"11,082"
2025/03/24,"9,689,646","253,405,613",26.25,26.4,25.95,26.1,-0.10,"4,600"
2025/03/25,"20,045,845","512,515,842",26.3,26.4,25.3,25.35,-0.75,"10,143"
2025/03/26,"22,575,146","592,070,248",25.6,26.7,25.55,26.3,+0.95,"10,769"
2025/03/27,"24,962,384","653,892,890",26.0,26.55,25.85,25.95,-0.35,"10,711"
2025/03/28,"30,329,518","759,292,461",25.95,26.1,24.6,24.7,-1.25,"11,043"
2025/03/31,"34,161,237","800,038,008",23.55,24.15,22.9,23.0,-1.70,"11,314"
2025/04/01,"16,995,728","407,509,531",23.4,24.6,23.3,24.25,+1.25,"7,230"
2025/04/02,"10,386,330","250,089,752",24.0,24.3,23.65,24.25,0.00,"5,114"
2025/04/07,"3,244,305","70,887,729",21.85,21.85,21.85,21.85,-2.40,"1,976"
2025/04/08,"42,138,045","834,759,386",19.8,20.45,19.7,19.75,-2.10,"13,371"
2025/04/09,"40,062,711","730,739,842",19.0,19.6,17.8,17.8,-1.95,"14,324"
2025/04/10,"20,006,258","390,903,181",19.55,19.55,19.15,19.55,+1.75,"5,459"
2025/04/11,"23,547,116","451,501,531",18.7,19.65,18.35,19.65,+0.10,"9,326"
2025/04/14,"16,716,394","334,236,245",19.9,20.45,19.65,19.85,+0.20,"7,146"
2025/04/15,"16,265,431","332,821,337",20.1,20.75,19.95,20.65,+0.80,"6,457"
2025/04/16,"17,714,524","354,041,118",20.7,20.7,19.8,19.8,-0.85,"7,854"
2025/04/17,"13,506,621","263,611,722",19.8,19.8,19.4,19.5,-0.30,"4,797"
2025/04/18,"7,181,519","140,280,385",19.7,19.7,19.4,19.45,-0.05,"3,255"
2025/04/21,"9,517,902","180,674,011",19.45,19.45,18.7,18.7,-0.75,"4,613"
2025/04/22,"11,129,398","211,639,714",18.55,19.3,18.35,19.1,+0.40,"4,979"
2025/04/23,"13,351,039","265,258,218",19.7,20.1,19.65,19.8,+0.70,"5,487"
2025/04/24,"7,335,627","144,643,184",19.95,20.0,19.55,19.6,-0.20,"3,120"
2025/04/25,"8,661,665","171,994,896",19.95,20.15,19.65,19.65,+0.05,"3,786"
2025/04/28,"8,787,140","173,094,432",19.8,20.05,19.5,19.65,0.00,"3,738"
2025/04/29,"30,651,030","627,537,476",19.85,20.8,19.75,20.7,+1.05,"10,784"
2025/04/30,"23,417,675","489,231,997",20.8,21.4,20.65,20.65,-0.05,"9,494"
2025/05/02,"21,750,909","461,181,424",20.85,21.6,20.7,21.25,+0.60,"8,678"
2025/05/05,"21,845,705","464,423,993",21.6,21.85,20.8,21.05,-0.20,"8,468"
2025/05/06,"13,992,091","297,789,932",21.1,21.7,21.0,21.25,+0.20,"5,692"
2025/05/07,"15,650,978","334,976,868",21.5,21.65,21.25,21.35,+0.10,"5,040"
2025/05/08,"11,830,625","253,757,104",21.4,21.85,21.3,21.3,-0.05,"4,772"
2025/05/09,"10,032,345","212,850,485",21.4,21.4,20.95,21.35,+0.05,"4,195"
2025/05/12,"43,031,266","960,900,393",21.6,23.15,21.5,22.0,+0.65,"15,349"
2025/05/13,"25,031,646","562,776,119",22.4,22.9,22.15,22.25,+0.25,"8,839"
2025/05/14,"16,239,358","368,987,583",22.5,22.9,22.4,22.8,+0.55,"5,893"
