日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"3,710,156","165,634,065",44.3,45.0,44.15,44.65,+0.35,"2,971"
2025/01/03,"9,657,600","441,616,149",44.95,46.15,44.95,45.3,+0.65,"7,449"
2025/01/06,"3,085,614","138,740,489",45.3,45.4,44.7,44.75,-0.55,"3,082"
2025/01/07,"6,531,044","285,057,704",44.85,45.0,43.0,43.0,-1.75,"4,887"
2025/01/08,"2,748,243","118,204,074",43.2,43.45,42.5,43.2,+0.20,"2,199"
2025/01/09,"3,480,389","146,708,648",43.2,43.45,41.5,41.5,-1.70,"3,236"
2025/01/10,"2,689,685","110,743,103",41.5,41.85,40.65,41.0,-0.50,"2,146"
2025/01/13,"5,628,840","222,380,698",40.4,40.4,38.9,39.9,-1.10,"3,996"
2025/01/14,"2,262,260","90,038,992",40.0,40.3,39.5,39.8,-0.10,"2,317"
2025/01/15,"2,662,269","106,444,014",39.7,40.35,39.7,39.7,-0.10,"2,081"
2025/01/16,"1,628,655","65,004,943",40.3,40.35,39.65,39.7,0.00,"1,431"
2025/01/17,"1,276,437","50,623,874",39.55,39.9,39.5,39.6,-0.10,"1,439"
2025/01/20,"2,143,127","84,997,066",39.6,40.0,39.15,39.9,+0.30,"1,506"
2025/01/21,"1,520,939","61,039,188",40.0,40.35,39.9,40.25,+0.35,"1,788"
2025/01/22,"2,234,543","90,790,244",40.5,41.0,40.25,41.0,+0.75,"2,538"
2025/02/03,"2,604,462","104,862,765",40.5,40.8,39.75,40.45,-0.55,"2,627"
2025/02/04,"1,959,253","78,561,012",40.55,40.7,39.9,39.95,-0.50,"1,651"
2025/02/05,"1,532,824","61,946,645",40.3,40.6,40.2,40.6,+0.65,"1,298"
2025/02/06,"1,857,808","76,264,204",40.85,41.3,40.6,41.25,+0.65,"1,679"
2025/02/07,"1,682,629","68,574,266",41.05,41.15,40.6,40.7,-0.55,"1,806"
2025/02/10,"3,782,214","156,784,891",40.45,42.0,40.3,41.5,+0.80,"2,860"
2025/02/11,"2,563,608","106,049,885",41.8,42.05,41.0,41.0,-0.50,"3,471"
2025/02/12,"1,468,329","60,092,508",41.0,41.25,40.75,40.75,-0.25,"1,297"
2025/02/13,"2,622,483","108,885,689",40.85,41.75,40.8,41.65,+0.90,"2,005"
2025/02/14,"5,689,898","241,492,750",41.7,42.95,41.7,42.8,+1.15,"4,242"
2025/02/17,"2,998,421","127,679,992",43.25,43.25,42.3,42.45,-0.35,"2,606"
2025/02/18,"1,576,189","66,715,772",42.5,42.8,42.15,42.25,-0.20,"1,428"
2025/02/19,"2,296,025","98,005,258",42.35,42.95,42.3,42.65,+0.40,"2,141"
2025/02/20,"28,049,882","1,257,851,399",42.65,46.3,42.65,45.45,+2.80,"18,763"
2025/02/21,"35,775,908","1,635,309,284",45.45,47.15,44.5,45.0,-0.45,"26,981"
2025/02/24,"7,466,126","333,296,120",44.65,45.05,44.2,44.5,-0.50,"5,074"
2025/02/25,"6,289,046","278,263,954",45.0,45.0,43.85,43.85,-0.65,"4,209"
2025/02/26,"12,776,963","573,410,699",44.9,46.2,44.0,44.0,+0.15,"7,983"
2025/02/27,"4,930,976","214,610,267",44.05,44.4,43.05,43.05,-0.95,"3,915"
2025/03/03,"2,975,010","126,173,628",42.7,42.95,42.05,42.05,-1.00,"2,565"
2025/03/04,"2,454,176","102,900,765",41.7,42.45,41.25,42.45,+0.40,"1,991"
2025/03/05,"3,028,436","130,230,911",42.3,43.3,42.2,43.05,+0.60,"2,417"
2025/03/06,"2,997,410","127,637,193",43.45,43.45,42.2,42.2,-0.85,"3,007"
2025/03/07,"2,886,082","121,114,405",42.1,42.5,41.75,41.75,-0.45,"2,688"
2025/03/10,"2,802,999","118,287,917",41.7,42.65,41.7,42.2,+0.45,"2,582"
2025/03/11,"3,969,198","163,517,449",41.55,41.65,40.75,41.6,-0.60,"3,716"
2025/03/12,"5,344,374","228,075,353",41.8,43.15,41.8,43.0,+1.40,"3,908"
2025/03/13,"4,216,532","181,560,374",43.15,43.7,42.25,42.4,-0.60,"4,094"
2025/03/14,"3,446,238","148,207,110",42.6,43.45,42.3,43.3,+0.90,"2,961"
2025/03/17,"2,819,232","122,843,935",43.7,44.0,43.15,43.35,+0.05,"3,069"
2025/03/18,"1,683,335","73,321,550",43.7,43.75,43.35,43.4,+0.05,"1,851"
2025/03/19,"2,895,543","124,627,553",43.4,43.6,42.7,42.7,-0.70,"2,615"
2025/03/20,"2,163,456","93,635,939",43.0,43.55,42.95,43.55,+0.85,"2,393"
2025/03/21,"2,793,986","121,975,294",43.55,44.15,43.25,43.5,-0.05,"2,223"
2025/03/24,"3,886,712","171,066,284",44.1,44.5,43.65,43.7,+0.20,"2,590"
2025/03/25,"3,525,305","152,084,677",44.1,44.1,42.75,42.85,-0.85,"3,307"
2025/03/26,"22,353,131","1,000,868,021",42.95,45.5,42.95,44.85,+2.00,"12,843"
2025/03/27,"38,254,059","1,725,778,900",45.35,46.2,44.1,44.1,-0.75,"23,589"
2025/03/28,"13,441,908","576,627,189",43.95,44.0,42.1,42.5,-1.60,"9,753"
2025/03/31,"12,166,851","483,581,511",40.5,40.9,39.0,39.2,-3.30,"8,081"
2025/04/01,"7,387,264","288,732,416",39.2,39.45,38.75,39.3,+0.10,"4,896"
2025/04/02,"7,412,788","295,375,240",39.5,40.35,39.0,39.8,+0.50,"4,830"
2025/04/07,"705,860","25,304,733",35.85,35.85,35.85,35.85,-3.95,"1,112"
2025/04/08,"8,175,735","264,303,052",32.3,32.9,32.3,32.3,-3.55,"4,793"
2025/04/09,"12,499,472","372,596,271",30.25,31.3,29.1,29.1,-3.20,"7,308"
2025/04/10,"4,397,918","140,550,076",31.95,32.0,31.0,32.0,+2.90,"2,084"
2025/04/11,"8,938,633","287,102,198",31.0,33.3,29.0,33.25,+1.25,"5,498"
2025/04/14,"6,099,098","206,883,215",33.8,34.7,33.3,33.8,+0.55,"4,296"
2025/04/15,"4,886,415","170,880,552",33.8,35.7,33.8,35.5,+1.70,"3,508"
