日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"622,355","21,114,506",33.8,34.1,33.75,33.9,0.00,343
2025/01/03,"644,717","21,806,964",33.85,34.15,33.7,33.75,-0.15,342
2025/01/06,"511,890","17,386,042",33.75,34.1,33.75,33.95,+0.20,278
2025/01/07,"534,504","18,065,118",34.15,34.15,33.7,33.7,-0.25,406
2025/01/08,"3,465,035","111,064,521",33.45,33.45,31.35,32.05,-1.65,"2,071"
2025/01/09,"1,269,178","40,045,132",32.05,32.1,31.3,31.35,-0.70,770
2025/01/10,"774,373","24,296,386",31.35,31.7,31.2,31.2,-0.15,473
2025/01/13,"1,306,948","40,030,095",31.05,31.15,30.25,30.8,-0.40,654
2025/01/14,"389,924","12,058,444",30.8,31.2,30.8,30.95,+0.15,295
2025/01/15,"478,052","14,854,816",31.0,31.35,30.9,30.9,-0.05,347
2025/01/16,"256,758","7,978,524",31.25,31.25,30.9,30.9,0.00,207
2025/01/17,"363,867","11,255,514",30.8,31.25,30.8,30.8,-0.10,407
2025/01/20,"211,635","6,540,455",30.8,31.15,30.75,30.9,+0.10,221
2025/01/21,"314,793","9,716,727",30.9,31.15,30.8,30.8,-0.10,373
2025/01/22,"345,512","10,704,790",31.05,31.1,30.85,31.0,+0.20,309
2025/02/03,"531,022","16,382,539",30.85,31.15,30.6,30.9,-0.10,346
2025/02/04,"428,424","13,223,760",30.9,31.1,30.7,30.7,-0.20,287
2025/02/05,"382,392","11,898,222",30.95,31.2,30.95,31.2,+0.50,239
2025/02/06,"556,459","17,553,327",31.2,31.7,31.2,31.7,+0.50,311
2025/02/07,"919,307","29,397,628",32.2,32.4,31.8,31.95,+0.25,552
2025/02/10,"983,196","31,767,022",31.9,32.6,31.7,32.15,+0.20,655
2025/02/11,"601,126","19,399,116",32.45,32.55,32.05,32.05,-0.10,474
2025/02/12,"380,598","12,181,491",32.1,32.1,31.85,31.85,-0.20,282
2025/02/13,"981,587","31,792,650",32.15,32.6,32.0,32.5,+0.65,527
2025/02/14,"1,314,314","43,440,214",32.5,33.45,32.5,33.25,+0.75,829
2025/02/17,"588,052","19,619,056",33.7,33.7,33.1,33.25,0.00,492
2025/02/18,"439,752","14,730,543",33.7,33.7,33.25,33.5,+0.25,377
2025/02/19,"756,638","25,590,847",33.65,34.0,33.6,33.8,+0.30,458
2025/02/20,"3,803,759","131,339,889",33.8,34.9,33.8,34.35,+0.55,"2,106"
2025/02/21,"1,928,233","66,601,008",34.6,34.95,34.25,34.25,-0.10,"1,398"
2025/02/24,"429,986","14,771,243",34.0,34.6,34.0,34.35,+0.10,355
2025/02/25,"507,746","17,472,569",34.35,34.5,34.3,34.45,+0.10,320
2025/02/26,"2,256,534","78,450,434",34.6,35.3,34.4,34.4,-0.05,"1,096"
2025/02/27,"985,241","33,991,324",34.4,34.9,34.2,34.25,-0.15,479
2025/03/03,"694,632","23,645,063",34.25,34.3,33.9,34.05,-0.20,410
2025/03/04,"620,860","21,144,891",33.95,34.5,33.75,34.5,+0.45,349
2025/03/05,"680,415","23,576,357",34.35,34.85,34.35,34.7,+0.20,416
2025/03/06,"505,392","17,538,082",34.9,35.05,34.55,34.6,-0.10,299
2025/03/07,"1,404,010","49,305,061",34.95,35.45,34.7,34.8,+0.20,854
2025/03/10,"407,301","14,189,048",35.2,35.2,34.65,34.7,-0.10,658
2025/03/11,"643,489","21,881,130",34.1,34.25,33.8,34.15,-0.55,509
2025/03/12,"491,518","16,747,234",34.3,34.3,33.95,34.05,-0.10,446
2025/03/13,"512,750","17,560,754",34.35,34.5,34.05,34.05,0.00,410
2025/03/14,"653,828","22,506,005",34.25,34.65,34.1,34.55,+0.50,412
2025/03/17,"323,145","11,161,268",34.6,34.65,34.4,34.55,0.00,351
2025/03/18,"202,824","7,022,906",34.7,34.75,34.5,34.65,+0.10,220
2025/03/19,"269,111","9,335,803",34.5,34.85,34.5,34.75,+0.10,269
2025/03/20,"828,156","29,048,797",34.85,35.2,34.85,35.2,+0.45,592
2025/03/21,"756,470","26,721,421",35.3,35.45,35.15,35.35,+0.15,604
2025/03/24,"1,141,737","40,288,363",35.4,35.55,35.1,35.1,-0.25,874
2025/03/25,"563,330","19,687,216",35.2,35.4,34.75,35.0,-0.10,377
2025/03/26,"2,445,557","87,747,410",35.1,36.1,35.1,36.0,+1.00,"1,454"
2025/03/27,"2,370,031","84,989,046",36.3,36.3,35.35,35.35,-0.65,"1,452"
2025/03/28,"2,001,198","68,920,746",35.35,35.35,34.0,34.4,-0.95,"1,165"
2025/03/31,"2,356,793","78,476,532",33.65,33.75,32.85,32.95,-1.45,"1,147"
