日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"67,219","2,573,548",38.25,38.4,38.25,38.4,+0.05,53
2025/01/03,"64,130","2,489,371",38.5,40.0,38.5,38.5,+0.10,43
2025/01/06,"110,098","4,265,188",38.95,39.15,38.5,38.75,+0.25,71
2025/01/07,"156,113","6,002,880",38.85,38.9,38.2,38.45,-0.30,100
2025/01/08,"113,267","4,385,590",38.6,39.0,38.5,39.0,+0.55,83
2025/01/09,"74,489","2,894,402",39.1,39.25,38.55,38.7,-0.30,71
2025/01/10,"64,000","2,473,650",38.7,38.8,38.5,38.7,0.00,46
2025/01/13,"151,256","5,742,467",38.65,38.65,37.85,38.3,-0.40,128
2025/01/14,"50,120","1,916,743",38.3,38.35,38.1,38.3,0.00,45
2025/01/15,"34,100","1,309,779",38.45,38.55,38.3,38.4,+0.10,28
2025/01/16,"24,280","936,710",38.7,38.7,38.5,38.55,+0.15,47
2025/01/17,"60,070","2,330,882",38.75,38.9,38.65,38.65,+0.10,36
2025/01/20,"36,003","1,397,365",38.75,38.95,38.75,38.85,+0.20,24
2025/01/21,"43,000","1,666,100",38.95,39.0,38.6,38.7,-0.15,28
2025/01/22,"69,009","2,681,697",38.9,39.05,38.6,38.85,+0.15,48
2025/02/03,"54,151","2,072,113",38.85,38.85,38.15,38.2,-0.65,53
2025/02/04,"28,000","1,072,700",38.6,38.6,38.2,38.3,+0.10,20
2025/02/05,"36,002","1,384,877",38.7,38.7,38.35,38.5,+0.20,26
2025/02/06,"65,053","2,544,724",38.85,39.35,38.65,39.2,+0.70,44
2025/02/07,"138,167","5,444,218",39.4,39.7,39.2,39.55,+0.35,80
2025/02/10,"84,055","3,300,523",39.55,39.55,38.85,39.15,-0.40,38
2025/02/11,"107,258","4,203,960",39.25,39.4,39.15,39.35,+0.20,49
2025/02/12,"120,000","4,735,950",39.35,39.75,39.35,39.45,+0.10,30
2025/02/13,"91,304","3,619,982",39.45,39.8,39.45,39.8,+0.35,54
2025/02/14,"38,100","1,505,610",39.75,39.75,39.4,39.55,-0.25,26
2025/02/17,"51,000","2,017,000",39.5,39.8,39.4,39.55,0.00,33
2025/02/18,"48,025","1,890,435",39.55,39.55,39.3,39.45,-0.10,23
2025/02/19,"15,011","593,434",39.45,39.7,39.45,39.45,0.00,17
2025/02/20,"51,003","2,004,317",39.4,39.6,39.15,39.5,+0.05,35
2025/02/21,"43,600","1,725,948",39.55,39.75,39.25,39.75,+0.25,42
2025/02/24,"23,029","910,410",39.75,39.85,39.3,39.4,-0.35,14
2025/02/25,"150,170","6,001,661",39.2,40.4,39.2,39.75,+0.35,71
2025/02/26,"15,501","617,652",39.6,39.95,39.6,39.7,-0.05,17
2025/02/27,"29,360","1,164,757",39.65,39.9,39.6,39.6,-0.10,27
2025/03/03,"41,130","1,626,819",39.7,39.7,39.2,39.65,+0.05,32
2025/03/04,"59,023","2,344,958",39.35,39.9,39.35,39.65,0.00,40
2025/03/05,"166,549","6,655,600",39.8,40.2,39.75,40.1,+0.45,100
2025/03/06,"51,259","2,055,532",40.25,40.3,39.95,39.95,-0.15,63
2025/03/07,"34,025","1,361,043",40.05,40.05,39.95,39.95,0.00,34
2025/03/10,"62,603","2,512,711",40.3,40.35,39.95,40.25,+0.30,53
2025/03/11,"68,001","2,705,539",39.1,40.35,39.1,39.8,-0.45,40
2025/03/12,"62,105","2,473,868",40.15,40.15,39.7,39.9,+0.10,36
2025/03/13,"64,046","2,552,884",40.15,40.2,39.5,39.6,-0.30,57
2025/03/14,"37,000","1,468,300",39.5,39.8,39.5,39.7,+0.10,27
2025/03/17,"37,122","1,484,277",40.1,40.1,39.8,40.0,+0.30,38
2025/03/18,"60,007","2,406,531",40.3,40.3,39.95,40.0,0.00,35
2025/03/19,"235,202","9,447,428",40.15,40.25,40.0,40.05,+0.05,55
2025/03/20,"174,402","7,010,334",40.35,40.35,40.1,40.25,+0.20,77
2025/03/21,"88,269","3,543,233",39.85,40.35,39.85,40.05,-0.20,69
2025/03/24,"36,353","1,452,452",40.0,40.1,39.85,39.95,-0.10,29
2025/03/25,"133,471","5,337,053",39.9,40.3,39.9,40.0,+0.05,54
2025/03/26,"178,287","7,209,432",40.2,40.8,40.2,40.6,+0.60,101
2025/03/27,"25,237","1,020,797",40.6,40.6,40.25,40.5,-0.10,31
2025/03/28,"52,732","2,125,620",40.6,40.6,40.15,40.15,-0.35,65
2025/03/31,"176,815","6,974,235",39.75,40.0,39.15,39.3,-0.85,131
2025/04/01,"79,021","3,149,894",39.4,40.0,39.3,39.9,+0.60,65
2025/04/02,"87,159","3,501,528",39.95,40.4,39.75,40.4,+0.50,154
2025/04/07,"690,477","25,244,842",37.0,37.05,36.4,36.5,-3.90,249
2025/04/08,"390,301","14,697,360",37.0,38.25,36.9,37.95,+1.45,200
2025/04/09,"188,241","6,982,309",37.8,38.25,36.05,36.65,-1.30,147
2025/04/10,"354,892","13,627,023",38.7,38.9,37.85,38.0,+1.35,212
2025/04/11,"129,868","4,922,975",37.95,38.2,37.15,38.0,0.00,105
2025/04/14,"123,075","4,674,217",38.6,38.6,37.7,38.15,+0.15,117
2025/04/15,"146,614","5,564,627",38.4,38.4,37.8,38.2,+0.05,76
2025/04/16,"77,050","2,914,000",38.2,38.2,37.65,37.65,-0.55,39
2025/04/17,"20,243","764,177",37.75,37.85,37.55,37.8,+0.15,20
2025/04/18,"52,705","1,982,277",37.55,37.9,37.5,37.75,-0.05,42
2025/04/21,"41,426","1,556,015",37.85,37.85,37.3,37.75,0.00,71
2025/04/22,"58,148","2,179,688",37.7,37.75,37.35,37.35,-0.40,48
2025/04/23,"24,303","912,650",37.7,37.7,37.45,37.5,+0.15,27
2025/04/24,"19,017","714,587",37.75,37.75,37.5,37.5,0.00,16
2025/04/25,"8,122","307,793",38.2,38.2,37.7,37.9,+0.40,14
2025/04/28,"41,068","1,550,830",38.15,38.15,37.6,38.0,+0.10,32
2025/04/29,"40,082","1,526,478",37.65,38.3,37.65,38.3,+0.30,33
2025/04/30,"24,268","924,858",38.2,38.4,37.85,37.95,-0.35,35
