日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"326,379","6,495,397",19.55,20.2,19.55,19.65,0.00,237
2025/01/03,"309,261","6,103,744",19.65,20.15,19.5,19.55,-0.10,173
2025/01/06,"291,146","5,725,006",19.45,19.85,19.45,19.6,+0.05,181
2025/01/07,"265,320","5,175,292",19.65,19.7,19.35,19.5,-0.10,209
2025/01/08,"304,407","5,859,173",19.4,19.6,19.1,19.3,-0.20,158
2025/01/09,"1,206,705","22,239,026",19.3,19.3,18.0,18.0,-1.30,737
2025/01/10,"536,221","9,483,752",18.2,18.2,17.45,17.6,-0.40,333
2025/01/13,"750,177","12,799,561",17.6,17.6,16.8,17.3,-0.30,421
2025/01/14,"184,550","3,193,974",17.45,17.5,17.2,17.45,+0.15,133
2025/01/15,"198,035","3,461,339",17.75,17.8,17.3,17.3,-0.15,127
2025/01/16,"421,501","7,383,615",17.65,17.75,17.35,17.6,+0.30,185
2025/01/17,"179,550","3,154,281",17.75,17.8,17.45,17.6,0.00,101
2025/01/20,"141,416","2,487,241",17.5,17.8,17.4,17.75,+0.15,88
2025/01/21,"227,699","4,065,393",17.75,18.1,17.65,17.75,0.00,171
2025/01/22,"591,000","10,580,723",17.8,18.2,17.7,18.15,+0.40,315
2025/02/03,"412,776","7,285,334",18.1,18.1,17.4,17.8,-0.35,247
2025/02/04,"225,460","4,006,708",17.8,18.0,17.65,17.75,-0.05,134
2025/02/05,"291,536","5,250,488",18.0,18.25,17.8,18.1,+0.35,172
2025/02/06,"393,403","7,270,747",18.4,18.65,18.3,18.45,+0.35,260
2025/02/07,"298,300","5,529,236",19.05,19.05,18.3,18.35,-0.10,213
2025/02/10,"766,309","14,542,297",18.35,19.2,18.3,18.85,+0.50,430
2025/02/11,"356,981","6,796,891",19.05,19.4,18.8,18.95,+0.10,228
2025/02/12,"402,455","7,563,906",18.95,19.05,18.6,18.65,-0.30,254
2025/02/13,"577,730","11,071,723",18.75,19.4,18.75,19.3,+0.65,289
2025/02/14,"669,920","13,132,166",19.6,19.85,19.35,19.7,+0.40,372
2025/02/17,"551,544","10,932,053",19.85,20.2,19.65,19.85,+0.15,322
2025/02/18,"313,630","6,168,851",19.85,19.9,19.5,19.65,-0.20,189
2025/02/19,"265,777","5,249,113",19.65,19.95,19.65,19.75,+0.10,179
2025/02/20,"3,406,061","71,175,041",19.85,21.4,19.75,20.9,+1.15,"2,227"
2025/02/21,"1,840,966","38,307,578",20.7,21.3,20.35,20.4,-0.50,"1,210"
2025/02/24,"470,307","9,598,721",20.4,20.7,20.15,20.55,+0.15,333
2025/02/25,"519,123","10,707,557",20.6,20.95,20.4,20.55,0.00,313
2025/02/26,"1,421,924","29,910,840",20.8,21.6,20.55,20.55,0.00,854
2025/02/27,"405,701","8,284,529",20.7,20.8,20.2,20.3,-0.25,271
2025/03/03,"389,318","7,834,145",20.1,20.3,19.9,20.0,-0.30,225
2025/03/04,"319,774","6,386,721",19.7,20.25,19.65,20.1,+0.10,200
2025/03/05,"271,690","5,540,101",20.1,20.6,20.0,20.6,+0.50,190
