日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"57,158","792,802",13.8,13.95,13.8,13.8,0.0,121
2025/01/03,"128,378","1,771,029",13.8,13.9,13.6,13.65,-0.15,505
2025/01/06,"31,138","426,611",13.65,13.75,13.65,13.7,0.05,81
2025/01/07,"54,506","749,683",13.8,13.8,13.6,13.65,-0.05,80
2025/01/08,"18,521","253,021",13.65,13.8,13.6,13.8,0.15,75
2025/01/09,"96,505","1,322,845",13.9,13.9,13.6,13.6,-0.2,144
2025/01/10,"162,987","2,217,208",13.8,13.95,13.2,13.25,-0.35,402
2025/01/13,"42,731","562,726",13.2,13.4,13.05,13.1,-0.15,307
2025/01/14,"10,600","141,060",13.2,13.35,13.2,13.35,0.25,76
2025/01/15,"10,892","145,854",13.3,13.5,13.3,13.35,0.0,65
2025/01/16,"26,521","358,298",13.5,13.55,13.45,13.55,0.2,57
2025/01/17,"21,890","297,526",13.65,13.65,13.45,13.45,-0.1,111
2025/01/20,"18,763","253,935",13.45,13.6,13.45,13.6,0.15,76
2025/01/21,"141,168","1,992,763",14.0,14.35,13.75,13.85,0.25,142
2025/01/22,"31,799","443,143",14.25,14.3,13.8,13.9,0.05,93
2025/02/03,"35,135","487,168",13.9,14.2,13.65,14.2,0.3,117
2025/02/04,"16,349","229,825",14.05,14.05,14.0,14.0,-0.2,90
2025/02/05,"11,864","166,452",13.8,14.1,13.8,14.0,0.0,46
2025/02/06,"19,743","276,728",14.05,14.05,13.9,14.05,0.05,129
2025/02/07,"6,808","96,337",14.3,14.3,14.05,14.05,0.0,45
2025/02/10,"15,375","215,474",14.05,14.05,13.95,14.0,-0.05,87
2025/02/11,"34,560","474,323",14.0,14.0,13.5,13.7,-0.3,131
2025/02/12,"9,909","136,255",13.7,13.8,13.7,13.75,0.05,44
2025/02/13,"41,548","573,343",13.75,13.85,13.75,13.8,0.05,91
