日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"661,445","32,714,138",49.5,49.85,49.2,49.75,0.00,714
2025/01/03,"772,428","38,121,389",49.8,50.2,49.1,49.15,-0.60,793
2025/01/06,"758,812","37,517,832",49.45,49.7,49.2,49.55,+0.40,607
2025/01/07,"1,211,592","59,305,837",49.55,49.55,48.6,48.6,-0.95,"1,362"
2025/01/08,"794,471","38,659,435",48.6,49.1,48.4,49.0,+0.40,697
2025/01/09,"687,146","33,389,941",49.0,49.0,48.35,48.5,-0.50,688
2025/01/10,"1,078,137","51,518,174",48.25,48.25,47.6,47.85,-0.65,"1,185"
2025/01/13,"966,886","45,833,968",47.85,48.0,47.0,47.95,+0.10,"1,025"
2025/01/14,"341,597","16,477,598",48.0,48.5,48.0,48.3,+0.35,371
2025/01/15,"421,451","20,574,226",48.55,49.0,48.55,48.65,+0.35,409
2025/01/16,"390,624","19,118,614",48.75,49.1,48.75,48.9,+0.25,397
2025/01/17,"476,622","23,545,548",49.15,49.7,49.1,49.55,+0.65,393
2025/01/20,"374,622","18,599,503",49.7,49.95,49.25,49.8,+0.25,413
2025/01/21,"403,797","20,125,891",49.8,50.4,49.65,49.7,-0.10,399
2025/01/22,"618,497","30,931,560",49.85,50.3,49.8,49.95,+0.25,575
2025/02/03,"581,045","29,229,920",49.95,50.6,49.8,50.5,+0.55,597
2025/02/04,"551,693","27,573,706",50.7,50.7,49.65,49.7,-0.80,560
2025/02/05,"246,477","12,291,969",50.0,50.2,49.7,49.9,+0.20,301
2025/02/06,"410,228","20,557,875",49.8,50.4,49.8,50.3,+0.40,351
2025/02/07,"412,293","20,564,207",50.0,50.1,49.7,49.85,-0.45,400
2025/02/10,"189,948","9,483,424",49.85,50.1,49.7,49.85,0.00,228
2025/02/11,"439,000","21,913,319",49.85,50.2,49.7,49.75,-0.10,393
2025/02/12,"265,761","13,246,053",49.85,50.2,49.65,49.75,0.00,302
2025/02/13,"531,660","26,851,341",49.9,50.9,49.9,50.8,+1.05,496
2025/02/14,"455,098","23,145,887",50.8,51.2,50.4,50.8,0.00,370
2025/02/17,"493,057","25,320,966",51.0,51.6,51.0,51.4,+0.60,531
2025/02/18,"250,427","12,826,681",51.4,51.4,51.1,51.1,-0.30,339
2025/02/19,"245,712","12,556,607",51.1,51.3,50.9,51.2,+0.10,257
2025/02/20,"298,455","15,298,451",51.1,51.5,51.0,51.2,0.00,286
2025/02/21,"918,295","46,368,890",51.0,51.0,50.1,50.6,-0.60,890
2025/02/24,"402,839","20,452,721",50.6,51.1,50.5,50.8,+0.20,385
2025/02/25,"203,990","10,363,126",50.7,51.0,50.7,50.8,0.00,247
2025/02/26,"252,290","12,798,247",50.8,50.9,50.5,50.6,-0.20,256
2025/02/27,"450,036","22,915,984",50.6,51.2,50.6,51.1,+0.50,376
2025/03/03,"335,388","17,089,438",51.1,51.1,50.8,51.0,-0.10,387
2025/03/04,"500,018","25,170,445",50.8,50.8,50.0,50.6,-0.40,501
2025/03/05,"286,028","14,554,426",50.3,51.1,50.3,50.8,+0.20,276
2025/03/06,"413,065","21,111,432",51.0,51.3,50.8,51.2,+0.40,379
2025/03/07,"476,807","24,393,259",51.2,51.3,50.9,51.3,+0.10,406
2025/03/10,"314,777","16,072,860",51.3,51.4,50.8,51.0,-0.30,344
2025/03/11,"648,656","32,708,618",50.4,51.0,49.9,50.5,-0.50,566
2025/03/12,"391,074","19,790,598",50.5,50.9,50.2,50.6,+0.10,354
2025/03/13,"419,663","21,191,913",50.6,50.8,50.1,50.1,-0.50,434
2025/03/14,"347,376","17,544,517",50.3,50.7,50.1,50.7,+0.60,326
2025/03/17,"294,383","14,876,295",50.7,50.8,50.3,50.5,-0.20,341
2025/03/18,"299,057","15,147,451",50.6,50.9,50.4,50.6,+0.10,301
