日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"238,471","35,247,276",149.5,149.5,147.0,147.0,-2.50,490
2025/01/03,"85,906","12,680,754",147.0,148.5,147.0,147.0,0.00,190
2025/01/06,"104,412","15,427,867",147.0,148.0,147.0,147.5,+0.50,221
2025/01/07,"109,874","16,226,187",147.5,148.5,147.5,147.5,0.00,211
2025/01/08,"235,539","34,821,615",147.5,148.5,146.5,148.0,+0.50,218
2025/01/09,"137,210","20,185,335",147.5,148.5,146.5,146.5,-1.50,297
2025/01/10,"108,112","15,939,342",146.5,148.5,146.5,147.5,+1.00,173
2025/01/13,"143,262","21,057,655",148.0,148.5,146.0,148.0,+0.50,308
2025/01/14,"100,806","14,810,906",147.5,147.5,146.5,146.5,-1.50,274
2025/01/15,"223,732","32,654,348",147.0,147.0,145.0,145.0,-1.50,366
2025/01/16,"141,881","20,747,081",146.5,147.5,145.0,145.5,+0.50,249
2025/01/17,"113,189","16,523,007",145.5,147.0,145.5,147.0,+1.50,215
2025/01/20,"193,011","28,442,319",147.0,148.5,146.0,148.5,+1.50,336
2025/01/21,"148,932","21,676,733",146.0,146.0,145.0,146.0,X0.00,306
2025/01/22,"102,859","14,978,064",146.0,146.0,145.0,146.0,0.00,270
2025/02/03,"263,059","38,744,539",146.0,148.0,146.0,147.5,+1.50,384
2025/02/04,"324,722","47,986,046",148.0,149.5,146.5,146.5,-1.00,443
2025/02/05,"303,480","45,318,927",147.5,150.0,147.5,149.5,+3.00,395
2025/02/06,"331,001","49,964,312",150.0,152.0,150.0,150.0,+0.50,412
2025/02/07,"70,282","10,551,405",150.5,151.0,149.5,149.5,-0.50,196
2025/02/10,"92,682","13,872,626",149.5,150.5,149.0,149.0,-0.50,251
2025/02/11,"106,959","15,912,034",150.0,150.0,148.0,149.5,+0.50,248
2025/02/12,"47,888","7,135,295",149.5,150.0,148.5,148.5,-1.00,185
2025/02/13,"127,915","19,163,654",149.5,150.5,149.0,150.0,+1.50,248
2025/02/14,"65,583","9,806,425",149.5,150.5,149.0,149.0,-1.00,203
2025/02/17,"93,051","13,939,162",150.0,150.5,149.0,149.0,0.00,297
2025/02/18,"73,215","10,944,581",149.0,150.5,149.0,149.5,+0.50,185
2025/02/19,"418,124","62,514,313",149.5,151.5,148.0,148.5,-1.00,424
2025/02/20,"183,586","27,596,610",149.5,151.0,149.0,150.5,+2.00,314
2025/02/21,"174,532","26,301,051",150.0,151.0,149.5,151.0,+0.50,304
2025/02/24,"126,994","19,016,047",151.0,151.0,149.0,149.5,-1.50,328
2025/02/25,"66,756","9,982,228",149.5,150.0,149.0,150.0,+0.50,244
2025/02/26,"46,120","6,890,752",149.5,150.0,149.0,149.5,-0.50,199
2025/02/27,"233,440","34,878,667",150.5,150.5,148.5,148.5,-1.00,319
2025/03/03,"79,820","11,873,223",148.5,149.5,148.0,149.5,+1.00,261
2025/03/04,"78,390","11,657,155",148.0,149.5,148.0,149.0,-0.50,200
2025/03/05,"92,840","13,823,047",148.5,149.5,148.5,149.5,+0.50,227
2025/03/06,"112,200","16,694,913",149.5,150.0,148.0,148.5,-1.00,198
2025/03/07,"162,258","24,107,073",148.5,150.0,148.0,148.0,-0.50,306
2025/03/10,"120,931","17,868,366",148.0,149.0,147.5,147.5,-0.50,327
2025/03/11,"175,518","25,693,256",147.0,147.0,145.5,146.5,-1.00,989
2025/03/12,"191,009","28,003,762",146.5,147.5,146.0,146.5,0.00,689
2025/03/13,"118,621","17,354,589",146.5,147.0,146.0,146.0,-0.50,525
2025/03/14,"112,616","16,447,828",147.0,147.0,145.5,146.0,0.00,461
2025/03/17,"82,734","12,153,917",146.5,147.5,146.5,146.5,+0.50,575
2025/03/18,"115,384","16,901,408",147.5,147.5,146.0,146.0,-0.50,560
2025/03/19,"243,163","35,418,016",146.5,147.0,145.0,145.5,-0.50,664
2025/03/20,"57,284","8,363,089",145.5,146.5,145.5,146.0,+0.50,500
2025/03/21,"70,556","10,320,184",146.0,147.0,146.0,146.0,0.00,604
2025/03/24,"56,668","8,297,425",146.0,147.0,146.0,146.0,0.00,"1,299"
2025/03/25,"131,919","19,274,377",146.5,146.5,145.5,145.5,-0.50,"1,430"
2025/03/26,"105,689","15,366,436",145.5,146.0,145.0,145.5,0.00,"1,291"
2025/03/27,"163,107","23,608,329",145.0,145.5,144.0,144.5,-1.00,552
2025/03/28,"265,672","37,918,804",144.0,144.0,142.0,142.5,-2.00,615
2025/03/31,"262,822","36,880,535",142.0,142.0,139.0,141.0,-1.50,673
2025/04/01,"120,981","17,160,126",140.5,143.0,140.5,142.0,+1.00,240
2025/04/02,"46,141","6,549,187",142.0,142.5,141.5,142.0,0.00,138
2025/04/07,"761,365","98,684,931",128.0,131.5,128.0,129.5,-12.50,"1,270"
2025/04/08,"495,051","65,747,453",131.5,135.0,131.0,133.5,+4.00,811
2025/04/09,"608,612","79,227,019",133.5,134.0,127.0,129.0,-4.50,964
2025/04/10,"895,868","122,806,292",136.0,140.0,135.5,136.0,+7.00,"1,078"
2025/04/11,"667,327","87,671,176",133.0,133.5,130.0,132.5,-3.50,971
2025/04/14,"448,486","59,320,751",132.0,135.0,131.0,132.5,0.00,802
2025/04/15,"146,648","19,598,374",132.5,134.5,132.5,133.5,+1.00,235
2025/04/16,"158,492","21,064,639",133.0,134.5,131.5,133.5,0.00,320
2025/04/17,"69,495","9,237,479",133.0,134.0,131.0,133.5,0.00,147
2025/04/18,"53,362","7,114,502",133.5,134.0,133.0,133.5,0.00,120
2025/04/21,"98,088","12,941,072",133.0,133.5,131.5,131.5,-2.00,274
2025/04/22,"62,321","8,145,137",131.0,131.0,130.0,131.0,-0.50,187
2025/04/23,"653,814","88,534,465",133.5,137.5,133.0,136.0,+5.00,893
2025/04/24,"298,057","40,755,505",137.0,137.5,135.5,137.5,+1.50,436
2025/04/25,"195,913","26,808,241",138.0,138.0,136.0,136.5,-1.00,439
2025/04/28,"165,219","22,602,840",138.0,138.0,136.0,136.5,0.00,301
2025/04/29,"87,669","12,004,724",136.5,137.5,136.0,137.5,+1.00,205
2025/04/30,"120,401","16,448,123",137.0,137.0,136.0,136.0,-1.50,267
2025/05/02,"62,734","8,605,677",136.5,138.0,136.5,137.0,+1.00,197
2025/05/05,"153,044","20,898,974",137.0,138.0,135.5,136.5,-0.50,275
2025/05/06,"57,852","7,938,466",136.0,138.0,136.0,137.5,+1.00,166
2025/05/07,"85,617","11,752,640",137.5,138.0,137.0,137.5,0.00,182
2025/05/08,"85,000","11,700,439",137.5,138.0,137.0,138.0,+0.50,167
2025/05/09,"81,444","11,275,730",138.0,139.0,137.5,138.5,+0.50,216
2025/05/12,"118,776","16,321,061",137.0,139.0,137.0,137.0,-1.50,243
2025/05/13,"152,014","20,791,467",137.5,138.5,136.0,136.0,-1.00,296
2025/05/14,"200,008","27,287,488",136.5,137.0,136.0,136.0,0.00,403
2025/05/15,"231,335","31,218,311",136.0,136.0,134.0,134.5,-1.50,590
2025/05/16,"199,491","26,691,454",134.5,134.5,133.0,134.0,-0.50,544
2025/05/19,"105,216","14,134,934",133.5,135.0,133.5,134.0,0.00,208
2025/05/20,"78,405","10,544,566",134.5,135.0,134.0,135.0,+1.00,174
2025/05/21,"95,040","12,878,416",135.0,136.0,134.5,135.5,+0.50,222
2025/05/22,"77,425","10,458,460",135.0,135.5,134.5,135.5,0.00,176
2025/05/23,"60,422","8,143,999",135.0,135.5,134.5,135.0,-0.50,140
2025/05/26,"106,056","14,270,344",135.5,135.5,134.0,134.5,-0.50,244
2025/05/27,"145,553","19,511,021",134.5,135.0,133.5,133.5,-1.00,309
2025/05/28,"113,731","15,183,826",134.0,134.0,133.0,133.5,0.00,263
2025/05/29,"188,224","25,229,541",134.0,134.5,133.0,134.5,+1.00,253
2025/06/02,"61,074","8,147,555",134.5,134.5,133.0,133.5,-1.00,203
2025/06/03,"154,031","20,422,056",133.5,133.5,132.0,132.0,-1.50,420
2025/06/04,"77,983","10,330,092",132.5,133.0,132.0,132.0,0.00,224
2025/06/05,"81,360","10,772,761",132.5,133.0,132.0,132.5,+0.50,196
2025/06/06,"63,913","8,447,455",133.0,133.0,132.0,132.5,0.00,155
2025/06/09,"101,291","13,403,351",133.0,133.0,131.5,132.0,-0.50,287
2025/06/10,"129,472","17,111,349",132.5,133.0,131.5,131.5,-0.50,326
2025/06/11,"190,502","25,226,127",133.0,133.0,131.5,132.0,+0.50,279
2025/06/12,"148,073","19,508,636",132.0,132.5,131.0,132.0,0.00,331
2025/06/13,"154,807","20,264,887",131.0,131.5,130.5,131.0,-1.00,438
2025/06/16,"247,387","32,271,644",131.0,131.0,130.0,131.0,0.00,408
2025/06/17,"113,229","14,764,861",130.5,131.0,130.0,130.5,-0.50,340
2025/06/18,"220,804","28,723,917",130.0,130.5,130.0,130.5,0.00,338
2025/06/19,"239,383","30,939,549",130.5,130.5,128.5,129.5,-1.00,538
2025/06/20,"273,144","35,010,072",129.5,129.5,127.5,128.0,-1.50,675
2025/06/23,"320,170","39,547,341",124.0,124.0,123.0,123.5,X0.00,715
2025/06/24,"298,933","36,973,566",124.5,125.0,123.0,123.5,0.00,750
2025/06/25,"106,823","13,241,424",124.0,124.5,123.5,124.0,+0.50,218
2025/06/26,"157,694","19,811,131",124.0,126.0,124.0,126.0,+2.00,304
2025/06/27,"118,083","14,989,785",126.5,127.5,126.0,127.0,+1.00,259
2025/06/30,"74,619","9,381,293",127.0,127.0,125.0,125.5,-1.50,286
2025/07/01,"117,164","14,759,842",125.5,126.5,125.5,126.0,+0.50,206
