日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"838,160","31,213,752",37.1,37.7,37.0,37.1,-0.05,598
2025/01/03,"689,595","25,643,445",37.3,37.6,37.0,37.1,0.00,447
2025/01/06,"637,412","23,710,091",37.2,37.4,37.0,37.25,+0.15,459
2025/01/07,"1,269,900","46,835,984",37.3,37.5,36.65,36.7,-0.55,861
2025/01/08,"666,480","24,463,061",36.7,37.0,36.25,36.9,+0.20,534
2025/01/09,"1,929,323","70,124,840",37.05,37.1,35.95,36.0,-0.90,"1,242"
2025/01/10,"856,346","30,849,609",35.8,36.2,35.8,36.15,+0.15,687
2025/01/13,"1,259,854","44,747,204",36.2,36.2,35.25,35.65,-0.50,916
2025/01/14,"844,403","30,534,440",35.7,36.4,35.7,36.4,+0.75,587
2025/01/15,"1,105,534","40,536,552",36.5,37.0,36.35,36.4,0.00,784
2025/01/16,"571,197","21,009,309",36.85,36.95,36.6,36.85,+0.45,499
2025/01/17,"1,157,026","42,905,582",36.65,37.35,36.65,37.35,+0.50,779
2025/01/20,"591,040","22,044,084",37.55,37.55,37.2,37.25,-0.10,531
2025/01/21,"510,491","19,067,034",37.2,37.65,37.15,37.2,-0.05,394
2025/01/22,"642,837","23,943,641",37.45,37.45,37.05,37.35,+0.15,420
2025/02/03,"735,772","27,163,206",37.35,37.35,36.7,37.15,-0.20,556
2025/02/04,"711,128","26,113,213",36.95,37.1,36.5,36.7,-0.45,575
2025/02/05,"682,098","25,236,175",36.85,37.2,36.85,37.2,+0.50,523
2025/02/06,"776,118","28,956,172",37.2,37.5,37.0,37.5,+0.30,548
2025/02/07,"1,041,720","38,738,357",37.4,37.5,37.0,37.0,-0.50,681
2025/02/10,"1,515,991","55,182,813",36.45,36.65,36.1,36.45,-0.55,991
2025/02/11,"739,002","27,007,577",36.5,36.8,36.45,36.45,0.00,799
2025/02/12,"742,765","27,128,661",36.4,36.9,36.3,36.4,-0.05,805
2025/02/13,"3,223,030","121,532,530",36.5,38.5,36.5,37.9,+1.50,"2,311"
2025/02/14,"4,273,999","163,593,530",38.0,38.85,37.6,38.35,+0.45,"2,721"
2025/02/17,"1,622,366","62,089,539",38.45,38.7,37.85,38.4,+0.05,"1,378"
2025/02/18,"1,082,142","41,268,338",38.4,38.45,38.0,38.15,-0.25,"1,392"
2025/02/19,"832,894","31,845,956",38.15,38.45,38.15,38.15,0.00,"1,039"
2025/02/20,"1,327,483","51,000,556",38.3,38.65,38.3,38.3,+0.15,"1,240"
2025/02/21,"4,920,175","193,217,276",38.5,39.8,38.5,39.45,+1.15,"3,208"
2025/02/24,"3,897,647","155,237,569",39.55,40.1,39.25,40.05,+0.60,"3,076"
2025/02/25,"11,224,678","459,022,125",40.3,42.2,40.1,40.6,+0.55,"7,722"
2025/02/26,"2,485,441","100,680,238",40.65,40.85,40.2,40.75,+0.15,"2,142"
2025/02/27,"7,707,295","320,119,860",40.75,42.15,40.65,41.15,+0.40,"7,287"
2025/03/03,"2,985,542","120,790,437",40.45,40.9,40.1,40.55,-0.60,"2,955"
2025/03/04,"4,355,830","179,485,793",40.3,42.0,40.15,42.0,+1.45,"3,451"
2025/03/05,"4,052,691","168,568,268",41.2,42.0,41.2,41.65,-0.35,"3,869"
2025/03/06,"2,768,096","114,508,044",41.65,41.95,41.05,41.1,-0.55,"2,493"
2025/03/07,"4,365,846","181,129,602",41.35,41.9,41.05,41.65,+0.55,"3,659"
2025/03/10,"4,168,333","173,944,092",41.8,42.0,41.3,41.7,+0.05,"2,630"
2025/03/11,"6,039,968","254,480,003",41.35,43.0,40.7,42.9,+1.20,"4,230"
2025/03/12,"7,792,514","333,338,945",43.25,43.5,42.3,42.35,-0.55,"4,736"
2025/03/13,"3,225,108","135,779,984",42.55,42.8,41.55,41.65,-0.70,"2,307"
2025/03/14,"4,160,595","176,801,958",41.7,42.85,41.7,42.75,+1.10,"2,627"
2025/03/17,"9,333,278","367,633,383",40.0,40.05,39.0,39.0,-3.75,"6,432"
2025/03/18,"2,434,614","95,661,812",39.15,39.5,39.05,39.35,+0.35,"1,660"
2025/03/19,"3,213,495","127,040,909",39.45,40.0,39.25,39.25,-0.10,"2,202"
2025/03/20,"1,906,640","74,783,586",39.45,39.55,39.05,39.2,-0.05,"1,459"
2025/03/21,"2,132,865","83,082,406",39.4,39.5,38.6,38.6,-0.60,"1,645"
2025/03/24,"1,725,142","66,130,229",38.85,38.85,38.1,38.1,-0.50,"1,408"
2025/03/25,"2,119,517","79,871,286",38.25,38.4,37.3,37.55,-0.55,"1,690"
2025/03/26,"875,119","33,080,051",37.9,37.95,37.7,37.7,+0.15,929
2025/03/27,"1,177,619","44,592,022",37.9,38.25,37.6,37.6,-0.10,"1,039"
2025/03/28,"2,076,658","76,851,374",37.5,37.6,36.6,37.05,-0.55,"1,356"
2025/03/31,"2,238,794","80,809,698",36.3,36.6,35.85,35.9,-1.15,"1,445"
2025/04/01,"998,580","36,490,334",36.05,36.75,36.05,36.65,+0.75,698
2025/04/02,"601,712","22,091,037",36.6,36.9,36.35,36.75,+0.10,480
2025/04/07,"527,842","17,471,524",33.1,33.1,33.1,33.1,-3.65,496
2025/04/08,"3,040,881","94,007,127",30.15,31.6,30.15,31.6,-1.50,"1,986"
2025/04/09,"4,434,530","131,483,307",30.95,31.05,28.55,29.1,-2.50,"2,654"
2025/04/10,"1,334,406","42,599,989",32.0,32.0,31.4,32.0,+2.90,749
2025/04/11,"2,998,734","95,752,170",31.1,32.95,30.3,31.9,-0.10,"1,377"
2025/04/14,"1,817,371","59,085,759",32.2,33.05,32.15,32.15,+0.25,"1,268"
2025/04/15,"974,223","32,019,857",32.35,33.1,32.35,33.05,+0.90,645
2025/04/16,"1,348,978","43,909,813",33.05,33.1,32.35,32.35,-0.70,"1,113"
2025/04/17,"638,024","20,455,033",32.15,32.3,31.8,32.1,-0.25,495
2025/04/18,"421,907","13,584,771",32.1,32.45,32.05,32.05,-0.05,373
2025/04/21,"1,947,683","62,047,179",31.85,32.2,31.5,31.5,-0.55,802
2025/04/22,"579,035","18,366,656",31.3,32.0,31.25,31.8,+0.30,534
2025/04/23,"749,267","24,345,031",32.2,32.65,32.2,32.45,+0.65,596
2025/04/24,"343,772","11,181,082",32.5,32.75,32.45,32.5,+0.05,274
2025/04/25,"795,754","26,121,998",32.9,33.0,32.65,32.9,+0.40,739
2025/04/28,"1,446,437","48,069,329",33.05,33.4,33.0,33.25,+0.35,575
2025/04/29,"652,424","21,789,095",33.4,33.55,33.15,33.35,+0.10,479
2025/04/30,"804,136","26,782,671",33.35,33.65,33.1,33.15,-0.20,562
2025/05/02,"1,635,666","55,604,595",33.35,34.55,33.35,33.85,+0.70,"1,150"
2025/05/05,"1,479,117","49,576,678",34.15,34.5,32.85,33.25,-0.60,"1,079"
2025/05/06,"1,737,144","59,388,154",33.95,34.45,33.85,34.45,+1.20,"1,199"
