日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,274,481","17,989,708",14.2,14.4,13.95,14.0,-0.3,"1,000"
2025/01/03,"627,987","8,804,620",14.1,14.25,13.9,13.95,-0.05,505
2025/01/06,"1,258,805","18,034,889",14.15,14.6,13.95,14.45,0.5,570
2025/01/07,"845,821","11,949,414",14.5,14.5,14.0,14.0,-0.45,653
2025/01/08,"929,177","12,933,637",14.0,14.15,13.75,13.9,-0.1,680
2025/01/09,"1,371,956","18,707,274",13.9,13.9,13.4,13.45,-0.45,"1,528"
2025/01/10,"1,410,958","18,851,839",13.4,13.55,13.25,13.35,-0.1,"1,099"
2025/01/13,"1,461,661","19,261,644",13.35,13.45,13.0,13.3,-0.05,"1,123"
2025/01/14,"842,772","11,485,992",13.4,13.8,13.4,13.8,0.5,572
2025/01/15,"2,976,214","43,195,946",13.85,15.0,13.8,14.6,0.8,"1,358"
2025/01/16,"1,189,764","17,313,273",14.55,14.75,14.35,14.35,-0.25,"1,006"
2025/01/17,"1,605,453","23,764,716",14.4,15.0,14.4,14.9,0.55,806
2025/01/20,"618,902","9,137,792",15.0,15.0,14.65,14.7,-0.2,482
2025/01/21,"803,465","11,899,695",14.85,15.0,14.6,14.7,0.0,529
2025/01/22,"640,923","9,430,709",14.85,14.85,14.65,14.8,0.1,386
2025/02/03,"1,076,630","15,692,530",14.8,14.8,14.35,14.5,-0.3,794
2025/02/04,"667,576","9,695,895",14.55,14.7,14.45,14.5,0.0,505
2025/02/05,"693,950","10,108,091",14.65,14.8,14.4,14.4,-0.1,677
2025/02/06,"446,010","6,478,396",14.5,14.7,14.4,14.6,0.2,456
2025/02/07,"587,559","8,505,099",14.7,14.7,14.35,14.45,-0.15,552
2025/02/10,"1,558,581","23,336,346",14.6,15.2,14.6,15.05,0.6,869
2025/02/11,"1,134,934","16,859,648",15.1,15.2,14.6,14.6,-0.45,906
2025/02/12,"1,961,482","29,211,717",14.65,15.3,14.6,14.7,0.1,"1,125"
2025/02/13,"3,194,998","48,713,562",14.75,15.5,14.65,15.4,0.7,"1,470"
2025/02/14,"1,611,077","24,768,290",15.3,15.55,15.15,15.55,0.15,849
2025/02/17,"1,953,429","29,819,478",15.6,15.6,15.15,15.3,-0.25,"1,128"
2025/02/18,"3,486,429","51,716,945",15.15,15.2,14.65,14.75,-0.55,"1,873"
