日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"213,574","9,235,671",43.1,43.4,43.1,43.35,+0.15,216
2025/01/03,"148,451","6,433,710",43.15,43.45,43.15,43.35,0.00,174
2025/01/06,"374,278","16,307,528",43.3,43.8,43.25,43.4,+0.05,395
2025/01/07,"448,687","19,634,583",43.3,44.0,43.3,43.75,+0.35,573
2025/01/08,"164,842","7,215,418",43.75,43.95,43.65,43.75,0.00,201
2025/01/09,"539,407","23,729,780",43.75,44.2,43.75,43.9,+0.15,350
2025/01/10,"367,145","16,188,191",44.0,44.35,43.85,44.2,+0.30,494
2025/01/13,"638,311","27,967,168",44.1,44.35,43.5,43.9,-0.30,592
2025/01/14,"257,069","11,389,056",44.0,44.8,43.8,44.45,+0.55,354
2025/01/15,"387,221","17,275,622",44.75,44.75,44.3,44.75,+0.30,470
2025/01/16,"548,022","24,578,832",44.75,44.95,44.7,44.7,-0.05,565
2025/01/17,"218,423","9,721,256",44.7,44.75,44.3,44.45,-0.25,509
2025/01/20,"264,929","11,789,267",44.5,44.7,44.1,44.7,+0.25,491
2025/01/21,"156,468","6,995,699",44.7,45.0,44.55,44.7,0.00,365
2025/01/22,"212,029","9,469,458",44.65,44.8,44.5,44.5,-0.20,565
2025/02/03,"689,145","30,892,999",44.55,45.0,44.4,45.0,+0.50,775
2025/02/04,"371,784","16,878,700",45.2,45.7,45.1,45.25,+0.25,581
2025/02/05,"452,159","20,646,591",45.5,46.0,45.3,45.3,+0.05,655
2025/02/06,"1,130,897","51,767,744",45.55,46.2,45.3,46.0,+0.70,914
2025/02/07,"858,819","39,540,173",46.15,46.3,45.65,46.0,0.00,843
2025/02/10,"491,869","22,686,529",46.0,46.3,45.85,46.0,0.00,637
2025/02/11,"401,711","18,538,869",46.4,46.4,45.9,45.95,-0.05,763
2025/02/12,"456,067","20,897,950",45.55,46.15,45.55,45.7,-0.25,704
2025/02/13,"629,639","29,091,631",45.8,46.4,45.8,46.3,+0.60,635
2025/02/14,"471,277","21,749,916",46.65,46.65,45.95,46.0,-0.30,814
2025/02/17,"262,220","12,123,112",46.2,46.45,46.1,46.3,+0.30,848
2025/02/18,"499,765","23,192,022",46.2,46.55,46.15,46.45,+0.15,748
2025/02/19,"366,777","16,924,976",46.45,46.45,46.0,46.05,-0.40,925
2025/02/20,"354,906","16,282,712",46.05,46.4,45.7,45.7,-0.35,532
2025/02/21,"388,001","17,813,440",46.1,46.1,45.6,45.8,+0.10,469
2025/02/24,"919,033","42,373,206",45.85,46.35,45.85,46.05,+0.25,853
2025/02/25,"2,250,330","105,817,466",46.2,47.55,46.05,47.45,+1.40,"1,680"
2025/02/26,"1,468,556","69,976,940",47.5,47.85,47.25,47.6,+0.15,"2,283"
2025/02/27,"1,447,327","69,112,401",47.6,47.95,47.45,47.95,+0.35,"1,627"
2025/03/03,"1,696,476","81,283,332",47.95,48.05,47.65,47.7,-0.25,"1,016"
2025/03/04,"942,097","44,729,619",47.5,47.8,47.0,47.8,+0.10,786
2025/03/05,"826,577","39,530,321",47.9,47.9,47.6,47.8,0.00,914
2025/03/06,"1,139,532","54,005,358",47.8,47.85,47.05,47.1,-0.70,"1,009"
2025/03/07,"2,219,499","102,609,554",46.9,46.95,45.6,45.9,-1.20,"1,907"
2025/03/10,"1,810,515","83,278,759",46.3,46.6,45.55,45.55,-0.35,"1,327"
2025/03/11,"2,040,933","91,967,252",45.0,45.4,44.7,45.3,-0.25,"1,558"
2025/03/12,"1,978,890","89,891,542",45.3,45.7,45.2,45.45,+0.15,"1,417"
2025/03/13,"5,367,790","231,479,019",43.0,43.2,42.7,42.95,X0.00,"2,227"
2025/03/14,"1,712,404","75,038,236",43.1,44.45,43.1,43.4,+0.45,"1,447"
2025/03/17,"1,177,296","50,944,434",43.4,43.6,43.05,43.1,-0.30,"1,138"
2025/03/18,"832,869","36,273,962",43.5,43.75,43.3,43.75,+0.65,733
2025/03/19,"1,118,000","49,727,497",43.85,44.75,43.85,44.65,+0.90,"1,080"
2025/03/20,"564,470","24,978,115",44.8,45.0,44.05,44.2,-0.45,"1,016"
2025/03/21,"387,391","17,048,639",44.5,44.5,43.85,43.85,-0.35,595
2025/03/24,"933,277","40,426,435",43.85,43.85,43.1,43.1,-0.75,"1,222"
2025/03/25,"907,751","39,023,336",43.45,43.45,42.85,42.95,-0.15,"1,167"
2025/03/26,"786,183","33,669,463",42.95,42.95,42.75,42.75,-0.20,"1,166"
2025/03/27,"1,085,888","46,153,134",42.8,42.85,42.3,42.3,-0.45,"1,077"
2025/03/28,"1,409,096","59,399,007",42.35,42.7,41.75,42.5,+0.20,"1,046"
2025/03/31,"1,449,856","60,865,857",42.0,42.25,41.8,41.9,-0.60,"1,168"
2025/04/01,"815,186","34,415,382",42.2,42.45,41.7,42.25,+0.35,652
2025/04/02,"473,159","19,948,289",42.35,42.35,42.05,42.1,-0.15,510
2025/04/07,"3,774,985","144,088,147",37.9,39.25,37.9,37.9,-4.20,"2,904"
2025/04/08,"2,348,996","89,660,999",37.8,39.0,37.4,38.8,+0.90,"1,684"
2025/04/09,"2,065,409","80,694,146",38.8,39.7,38.15,38.9,+0.10,"1,524"
2025/04/10,"1,873,813","78,264,810",40.4,42.35,40.4,41.55,+2.65,"1,531"
2025/04/11,"1,518,710","61,272,689",41.75,41.75,39.85,40.05,-1.50,"1,253"
2025/04/14,"663,587","26,836,045",40.15,40.8,40.15,40.3,+0.25,578
2025/04/15,"304,533","12,364,825",40.15,40.9,40.15,40.65,+0.35,315
2025/04/16,"444,767","18,096,096",40.65,40.95,40.35,40.65,0.00,684
2025/04/17,"379,135","15,361,144",40.5,40.85,40.35,40.45,-0.20,399
2025/04/18,"310,737","12,654,173",40.75,40.85,40.55,40.8,+0.35,263
2025/04/21,"620,555","25,101,110",40.55,40.55,40.3,40.35,-0.45,446
