日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"131,880","5,975,695",45.8,45.95,45.0,45.2,-0.60,97
2025/01/03,"128,240","5,767,732",45.25,45.25,44.7,45.1,-0.10,75
2025/01/06,"40,016","1,800,880",44.55,45.3,44.5,44.9,-0.20,48
2025/01/07,"86,595","3,858,130",44.65,45.1,44.3,44.3,-0.60,90
2025/01/08,"27,601","1,226,534",44.5,44.6,44.3,44.55,+0.25,25
2025/01/09,"68,036","3,046,666",43.85,46.75,43.85,45.7,+1.15,79
2025/01/10,"21,842","985,174",45.65,45.8,44.55,45.35,-0.35,56
2025/01/13,"131,853","5,946,860",45.05,46.35,44.1,45.3,-0.05,111
2025/01/14,"49,028","2,228,977",45.3,45.75,45.1,45.6,+0.30,65
2025/01/15,"65,403","2,995,163",45.15,46.1,45.15,45.9,+0.30,118
2025/01/16,"102,124","4,764,248",46.0,47.25,46.0,46.95,+1.05,89
2025/01/17,"42,098","1,990,959",47.45,47.9,46.95,47.15,+0.20,64
2025/01/20,"97,896","4,706,854",47.15,49.45,47.15,48.85,+1.70,102
2025/01/21,"86,156","4,239,016",48.95,49.55,48.6,49.5,+0.65,74
2025/01/22,"118,240","5,973,397",50.0,51.5,49.9,50.4,+0.90,138
2025/02/03,"121,708","5,997,827",49.95,50.0,48.8,49.45,-0.95,82
2025/02/04,"57,068","2,828,679",49.45,49.8,49.45,49.45,0.00,52
2025/02/05,"843,307","44,253,746",50.0,54.0,49.15,53.5,+4.05,183
2025/02/06,"202,896","10,500,699",53.4,53.4,51.0,51.6,-1.90,186
2025/02/07,"220,388","11,589,700",51.2,53.5,51.0,52.1,+0.50,127
2025/02/10,"103,408","5,411,957",52.1,53.2,51.7,52.1,0.00,203
2025/02/11,"101,204","5,286,564",53.0,53.0,51.7,52.9,+0.80,112
2025/02/12,"99,284","5,252,741",52.9,53.4,52.3,53.4,+0.50,121
2025/02/13,"118,500","6,356,747",53.8,54.3,53.1,54.3,+0.90,85
2025/02/14,"806,829","44,116,512",54.0,54.8,53.7,54.8,+0.50,171
2025/02/17,"134,055","7,355,322",54.9,55.1,54.7,54.9,+0.10,135
2025/02/18,"94,400","5,163,183",55.0,55.3,54.4,54.8,-0.10,97
2025/02/19,"54,321","2,974,746",55.0,55.0,54.5,54.9,+0.10,127
2025/02/20,"24,946","1,366,456",54.8,55.1,54.6,54.8,-0.10,58
2025/02/21,"29,184","1,598,525",54.9,55.0,54.7,54.8,0.00,46
2025/02/24,"71,973","3,906,411",54.5,54.8,54.0,54.7,-0.10,102
2025/02/25,"87,579","4,738,991",54.1,54.6,53.4,54.2,-0.50,70
2025/02/26,"47,545","2,590,749",54.9,54.9,54.1,54.5,+0.30,688
2025/02/27,"48,054","2,628,831",54.5,55.4,54.5,54.9,+0.40,89
2025/03/03,"33,105","1,804,130",54.3,55.2,54.3,54.7,-0.20,65
2025/03/04,"51,260","2,807,122",54.5,55.2,54.3,55.2,+0.50,55
2025/03/05,"41,791","2,307,405",55.3,55.4,55.0,55.4,+0.20,161
2025/03/06,"100,246","5,605,043",55.8,56.4,55.4,56.4,+1.00,92
2025/03/07,"67,695","3,827,679",56.6,56.7,56.1,56.7,+0.30,122
2025/03/10,"54,359","3,059,560",56.6,56.6,56.1,56.3,-0.40,77
2025/03/11,"564,493","31,313,109",55.1,56.7,54.1,56.0,-0.30,99
2025/03/12,"72,553","4,075,337",56.5,56.6,55.7,56.4,+0.40,66
2025/03/13,"66,139","3,682,747",56.8,56.8,55.3,55.4,-1.00,79
2025/03/14,"571,568","32,237,521",56.3,57.4,55.7,56.3,+0.90,382
2025/03/17,"901,589","52,663,266",58.8,59.2,57.6,58.4,+2.10,729
2025/03/18,"822,001","48,294,825",58.8,59.4,58.2,58.2,-0.20,516
2025/03/19,"694,314","39,982,725",58.4,58.6,56.1,57.4,-0.80,507
2025/03/20,"563,520","31,492,376",57.4,57.4,55.0,55.8,-1.60,502
2025/03/21,"401,859","22,486,399",56.1,56.6,55.6,55.6,-0.20,290
2025/03/24,"486,240","27,370,065",55.9,57.1,55.6,56.3,+0.70,374
2025/03/25,"568,317","32,271,891",57.3,57.4,56.0,56.8,+0.50,422
2025/03/26,"274,990","15,571,723",56.9,56.9,56.3,56.4,-0.40,241
2025/03/27,"224,328","12,680,166",56.5,56.8,56.3,56.3,-0.10,191
2025/03/28,"769,448","41,962,877",56.1,56.1,53.7,53.7,-2.60,585
