日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"911,676","25,331,683",27.8,28.0,27.6,27.7,-0.10,716
2025/01/03,"1,205,752","33,309,202",27.7,27.9,27.5,27.55,-0.15,892
2025/01/06,"1,079,318","30,390,272",27.8,28.4,27.65,28.35,+0.80,818
2025/01/07,"1,169,281","32,652,406",28.35,28.4,27.75,27.75,-0.60,870
2025/01/08,"855,157","23,786,002",27.75,27.95,27.65,27.85,+0.10,535
2025/01/09,"1,484,285","40,927,008",27.8,28.0,27.4,27.4,-0.45,"1,082"
2025/01/10,"1,519,602","41,467,785",27.35,27.6,27.15,27.2,-0.20,868
2025/01/13,"1,891,326","51,058,433",27.1,27.3,26.85,27.3,+0.10,"1,104"
2025/01/14,"1,291,338","35,311,108",27.3,27.55,27.15,27.3,0.00,698
2025/01/15,"725,153","20,013,224",27.35,27.8,27.35,27.5,+0.20,519
2025/01/16,"806,231","22,427,653",27.85,28.0,27.65,27.8,+0.30,547
2025/01/17,"765,831","21,284,533",27.8,27.95,27.65,27.85,+0.05,539
2025/01/20,"583,262","16,277,141",27.85,28.0,27.7,28.0,+0.15,361
2025/01/21,"690,547","19,407,770",28.0,28.25,27.95,28.15,+0.15,469
2025/01/22,"692,357","19,527,855",28.25,28.35,28.0,28.35,+0.20,464
2025/02/03,"2,212,003","62,639,578",28.6,28.8,28.05,28.4,+0.05,"1,398"
2025/02/04,"1,746,220","49,131,374",28.6,28.6,27.95,28.05,-0.35,942
2025/02/05,"978,957","27,705,284",28.3,28.6,28.1,28.15,+0.10,613
2025/02/06,"852,958","24,258,973",28.25,28.55,28.25,28.55,+0.40,503
2025/02/07,"799,614","22,688,903",28.5,28.5,28.3,28.35,-0.20,490
2025/02/10,"1,145,238","32,700,482",28.3,28.75,28.3,28.65,+0.30,738
2025/02/11,"1,460,371","41,999,400",28.75,28.95,28.5,28.5,-0.15,856
2025/02/12,"892,573","25,562,722",28.5,28.8,28.5,28.55,+0.05,501
2025/02/13,"1,739,273","50,438,612",28.7,29.15,28.6,29.1,+0.55,930
2025/02/14,"859,147","24,837,230",29.1,29.1,28.85,28.85,-0.25,590
2025/02/17,"835,284","24,214,562",29.1,29.15,28.85,29.0,+0.15,561
2025/02/18,"649,715","18,751,809",29.0,29.0,28.75,28.95,-0.05,429
2025/02/19,"791,474","22,912,463",29.0,29.15,28.85,28.9,-0.05,544
2025/02/20,"886,478","25,523,477",28.9,28.95,28.65,28.8,-0.10,531
2025/02/21,"1,320,615","38,362,868",29.05,29.2,28.9,29.15,+0.35,832
2025/02/24,"1,044,441","30,376,557",29.05,29.25,28.95,29.1,-0.05,605
2025/02/25,"991,899","28,678,347",28.95,29.1,28.7,28.9,-0.20,654
2025/02/26,"856,184","24,717,572",28.9,29.0,28.8,28.95,+0.05,600
2025/02/27,"1,213,003","35,125,824",28.95,29.15,28.9,28.9,-0.05,530
2025/03/03,"1,206,231","34,564,772",28.7,28.85,28.55,28.6,-0.30,726
2025/03/04,"1,503,968","42,642,501",28.3,28.6,28.15,28.5,-0.10,770
2025/03/05,"1,543,710","44,704,883",28.5,29.15,28.4,29.1,+0.60,823
2025/03/06,"1,254,515","36,472,271",29.1,29.25,28.9,28.95,-0.15,612
2025/03/07,"1,342,796","39,116,705",29.0,29.4,28.9,28.9,-0.05,736
2025/03/10,"1,128,009","32,748,229",29.0,29.15,28.85,29.0,+0.10,547
2025/03/11,"1,585,052","45,292,335",28.7,29.0,28.3,28.9,-0.10,912
2025/03/12,"823,279","23,756,170",28.8,29.0,28.7,28.75,-0.15,497
2025/03/13,"1,508,888","43,096,537",28.8,28.9,28.4,28.45,-0.30,822
2025/03/14,"956,409","27,502,903",28.6,28.85,28.6,28.8,+0.35,422
2025/03/17,"2,086,240","60,959,583",28.95,29.4,28.95,29.25,+0.45,"1,007"
2025/03/18,"2,016,029","59,635,987",29.4,29.8,29.35,29.45,+0.20,"1,177"
2025/03/19,"1,815,066","53,760,190",29.55,29.75,29.5,29.75,+0.30,885
2025/03/20,"1,263,387","37,622,386",29.8,29.85,29.65,29.85,+0.10,735
2025/03/21,"3,806,866","113,389,822",29.8,30.05,29.6,29.6,-0.25,"1,416"
2025/03/24,"1,393,466","41,119,807",29.6,29.8,29.35,29.45,-0.15,630
2025/03/25,"1,970,210","57,663,216",29.45,29.6,29.05,29.2,-0.25,"1,002"
2025/03/26,"572,687","16,783,548",29.3,29.4,29.2,29.35,+0.15,327
2025/03/27,"603,362","17,596,933",29.25,29.3,29.05,29.15,-0.20,392
2025/03/28,"1,670,052","47,887,937",29.1,29.1,28.5,28.55,-0.60,956
