日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"218,662","13,469,052",61.5,62.0,61.2,61.4,-0.50,294
2025/01/03,"125,761","7,736,949",61.5,61.9,61.3,61.3,-0.10,202
2025/01/06,"132,532","8,150,840",61.3,61.7,61.2,61.5,+0.20,168
2025/01/07,"284,538","17,417,063",61.3,61.6,61.0,61.2,-0.30,347
2025/01/08,"119,050","7,329,581",61.3,61.9,61.3,61.5,+0.30,136
2025/01/09,"220,163","13,623,998",61.9,62.3,61.3,61.3,-0.20,240
2025/01/10,"258,674","15,834,039",61.3,61.7,61.0,61.3,0.00,317
2025/01/13,"385,225","23,282,945",61.2,61.2,60.0,60.9,-0.40,585
2025/01/14,"163,891","10,069,399",60.7,61.8,60.7,61.5,+0.60,146
2025/01/15,"111,597","6,816,218",61.2,61.6,60.8,60.8,-0.70,160
2025/01/16,"112,269","6,855,045",60.8,61.4,60.8,60.9,+0.10,138
2025/01/17,"60,195","3,674,717",61.3,61.3,60.9,60.9,0.00,92
2025/01/20,"73,463","4,467,113",60.9,61.0,60.6,60.9,0.00,144
2025/01/21,"48,255","2,946,898",61.2,61.3,60.9,60.9,0.00,94
2025/01/22,"108,542","6,632,698",61.2,61.3,60.9,61.2,+0.30,149
2025/02/03,"238,427","14,650,840",60.8,62.0,60.8,61.7,+0.50,292
2025/02/04,"431,034","26,221,821",61.8,61.8,60.6,60.6,-1.10,523
2025/02/05,"188,029","11,436,470",61.0,61.0,60.5,60.8,+0.20,198
2025/02/06,"271,843","16,772,836",61.0,62.2,61.0,61.9,+1.10,288
2025/02/07,"114,121","7,053,167",62.3,62.3,61.6,61.8,-0.10,166
2025/02/10,"208,619","12,836,369",61.7,61.8,61.4,61.4,-0.40,214
2025/02/11,"169,985","10,409,825",61.2,61.5,61.1,61.1,-0.30,189
2025/02/12,"243,107","14,842,523",61.3,61.5,60.8,60.8,-0.30,278
2025/02/13,"109,337","6,672,885",61.3,61.3,60.8,61.1,+0.30,178
2025/02/14,"288,487","17,761,753",61.1,62.0,61.1,62.0,+0.90,254
2025/02/17,"169,624","10,468,138",62.0,62.0,61.5,61.7,-0.30,236
2025/02/18,"131,028","8,086,947",62.0,62.0,61.6,61.7,0.00,168
2025/02/19,"140,909","8,710,108",61.7,62.0,61.7,62.0,+0.30,180
2025/02/20,"154,493","9,588,950",62.2,62.2,61.9,62.1,+0.10,181
2025/02/21,"280,243","17,520,905",62.1,62.8,62.1,62.8,+0.70,416
2025/02/24,"194,819","12,241,235",62.8,63.0,62.6,62.7,-0.10,283
2025/02/25,"131,202","8,240,765",62.7,63.0,62.5,62.8,+0.10,194
2025/02/26,"514,827","32,242,442",62.5,63.2,62.4,62.5,-0.30,453
2025/02/27,"256,043","16,073,740",62.6,63.0,62.6,62.8,+0.30,272
2025/03/03,"272,216","16,925,721",62.8,62.8,61.9,62.2,-0.60,366
2025/03/04,"214,974","13,301,370",61.9,62.4,61.5,62.3,+0.10,249
2025/03/05,"88,479","5,519,825",62.1,62.5,62.1,62.4,+0.10,201
2025/03/06,"150,085","9,397,777",62.6,62.8,62.4,62.5,+0.10,229
2025/03/07,"144,236","8,979,854",62.5,62.5,62.0,62.0,-0.50,155
2025/03/10,"125,540","7,848,684",62.2,62.7,62.1,62.7,+0.70,162
2025/03/11,"250,320","15,652,754",62.5,62.9,62.0,62.9,+0.20,238
2025/03/12,"311,526","19,681,872",63.0,63.5,62.6,63.2,+0.30,412
2025/03/13,"185,508","11,667,798",63.6,63.6,62.4,62.5,-0.70,328
2025/03/14,"131,389","8,254,556",62.6,63.0,62.6,62.8,+0.30,138
2025/03/17,"109,206","6,876,024",63.0,63.1,62.8,62.9,+0.10,224
2025/03/18,"107,001","6,748,929",63.2,63.2,62.9,63.1,+0.20,155
2025/03/19,"135,004","8,503,839",63.0,63.2,62.9,62.9,-0.20,178
2025/03/20,"117,658","7,442,430",63.2,63.4,63.0,63.3,+0.40,158
