日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,137,830","18,251,809",16.0,16.25,15.8,16.05,0.05,631
2025/01/03,"1,167,891","18,520,899",16.05,16.25,15.6,15.65,-0.4,702
2025/01/06,"1,578,514","25,280,928",15.65,16.25,15.65,16.2,0.55,755
2025/01/07,"1,177,330","18,619,341",16.25,16.25,15.6,15.7,-0.5,766
2025/01/08,"1,367,639","21,115,255",15.55,15.6,15.2,15.5,-0.2,763
2025/01/09,"965,217","14,677,817",15.5,15.6,15.05,15.05,-0.45,684
2025/01/10,"1,253,070","18,906,482",15.1,15.35,14.95,15.05,0.0,617
2025/01/13,"2,046,170","30,156,327",15.15,15.15,14.45,14.85,-0.2,"1,114"
2025/01/14,"1,839,659","27,879,582",14.9,15.3,14.9,15.2,0.35,739
2025/01/15,"1,679,374","26,093,512",15.25,15.75,15.2,15.55,0.35,"1,006"
2025/01/16,"1,132,292","17,624,663",15.5,15.75,15.4,15.6,0.05,627
2025/01/17,"585,493","9,057,729",15.45,15.55,15.3,15.45,-0.15,406
2025/01/20,"571,636","8,859,399",15.45,15.6,15.3,15.6,0.15,432
2025/01/21,"1,971,596","30,967,408",15.75,16.15,15.35,15.5,-0.1,"1,209"
2025/01/22,"1,028,619","15,706,261",15.6,15.6,15.15,15.25,-0.25,677
2025/02/03,"1,119,576","16,526,904",15.0,15.1,14.5,14.85,-0.4,922
2025/02/04,"729,385","10,727,796",14.95,15.0,14.6,14.75,-0.1,604
2025/02/05,"872,576","12,961,127",14.75,15.0,14.75,14.9,0.15,590
2025/02/06,"1,366,221","20,681,544",14.95,15.25,14.95,15.2,0.3,726
2025/02/07,"652,129","9,934,821",15.2,15.35,15.15,15.15,-0.05,538
2025/02/10,"715,460","10,891,702",15.2,15.4,15.0,15.4,0.25,604
2025/02/11,"775,332","11,876,832",15.4,15.55,15.15,15.2,-0.2,640
2025/02/12,"1,046,173","15,803,665",15.2,15.35,14.95,14.95,-0.25,769
2025/02/13,"1,921,576","29,605,329",15.0,15.65,15.0,15.6,0.65,"1,152"
2025/02/14,"850,533","13,175,261",15.6,15.6,15.3,15.5,-0.1,651
2025/02/17,"859,193","13,278,889",15.65,15.65,15.35,15.4,-0.1,644
2025/02/18,"745,848","11,449,062",15.4,15.6,15.25,15.3,-0.1,587
2025/02/19,"2,261,112","35,502,714",15.4,15.9,15.4,15.65,0.35,"1,196"
2025/02/20,"1,015,246","15,914,301",15.6,15.8,15.55,15.6,-0.05,670
2025/02/21,"2,840,452","45,409,603",15.75,16.35,15.55,15.9,0.3,"1,639"
2025/02/24,"999,493","15,715,293",15.7,15.85,15.55,15.75,-0.15,739
2025/02/25,"2,622,895","42,003,795",15.7,16.3,15.5,15.9,0.15,"1,468"
2025/02/26,"1,720,410","27,442,741",15.95,16.2,15.8,15.85,-0.05,985
2025/02/27,"2,654,055","42,795,507",15.85,16.5,15.85,15.9,0.05,"1,200"
