日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"168,736","15,609,562",91.8,93.2,91.8,92.5,+0.40,247
2025/01/03,"147,410","13,635,441",92.8,93.4,92.0,92.0,-0.50,311
2025/01/06,"156,472","14,408,196",92.0,92.6,91.7,92.0,0.00,257
2025/01/07,"204,122","18,720,019",92.1,92.1,91.5,91.5,-0.50,330
2025/01/08,"161,177","14,721,652",91.5,91.7,91.1,91.5,0.00,275
2025/01/09,"585,329","53,023,318",91.2,91.6,89.8,90.0,-1.50,861
2025/01/10,"551,137","48,825,281",89.8,89.8,88.1,88.6,-1.40,894
2025/01/13,"522,511","45,634,218",88.4,88.4,86.7,87.9,-0.70,786
2025/01/14,"174,976","15,634,919",88.2,89.8,88.2,89.6,+1.70,245
2025/01/15,"219,948","19,775,071",89.6,90.5,89.2,89.5,-0.10,311
2025/01/16,"170,802","15,507,138",90.3,91.0,90.3,90.9,+1.40,239
2025/01/17,"134,694","12,214,623",90.9,91.2,90.1,91.0,+0.10,496
2025/01/20,"93,512","8,523,363",91.0,91.8,90.5,91.8,+0.80,188
2025/01/21,"146,206","13,388,836",91.8,92.1,90.7,91.8,0.00,264
2025/01/22,"128,370","11,806,924",91.8,92.4,91.2,92.3,+0.50,434
2025/02/03,"272,012","24,936,492",92.3,92.3,90.0,92.1,-0.20,406
2025/02/04,"146,850","13,499,962",92.1,92.2,91.6,91.6,-0.50,339
2025/02/05,"172,530","15,867,884",91.6,92.5,91.4,92.2,+0.60,234
2025/02/06,"163,466","15,106,351",92.5,92.8,91.8,92.8,+0.60,238
2025/02/07,"92,003","8,522,705",92.4,93.2,92.1,92.8,0.00,200
2025/02/10,"112,811","10,522,934",92.6,93.8,92.6,93.3,+0.50,236
2025/02/11,"141,969","13,291,694",93.3,93.8,93.3,93.6,+0.30,252
2025/02/12,"224,175","21,143,082",93.5,94.6,93.5,94.2,+0.60,408
2025/02/13,"275,476","26,263,137",94.2,95.7,94.0,95.5,+1.30,471
2025/02/14,"147,617","14,137,005",95.2,96.0,95.1,95.9,+0.40,431
2025/02/17,"220,095","21,320,090",96.5,97.1,96.2,96.6,+0.70,721
2025/02/18,"133,185","12,900,487",96.9,97.3,96.5,97.1,+0.50,320
2025/02/19,"200,950","19,552,695",97.1,97.6,97.0,97.0,-0.10,330
2025/02/20,"169,234","16,381,512",97.0,97.2,96.0,96.8,-0.20,433
2025/02/21,"165,547","16,135,855",96.8,97.7,96.8,97.6,+0.80,279
2025/02/24,"111,640","10,920,632",97.6,98.0,97.4,97.6,0.00,259
2025/02/25,"558,719","55,393,837",98.2,99.9,98.1,99.5,+1.90,"1,031"
2025/02/26,"347,809","34,492,644",100.0,100.0,98.5,99.1,-0.40,"1,723"
2025/02/27,"268,622","26,584,197",98.7,99.5,98.7,98.8,-0.30,"1,449"
2025/03/03,"270,237","26,587,969",98.3,99.0,97.6,98.9,+0.10,794
2025/03/04,"195,142","19,151,044",98.5,98.8,97.5,98.8,-0.10,712
2025/03/05,"274,068","27,207,163",98.5,99.7,98.3,99.7,+0.90,736
2025/03/06,"168,779","16,767,521",99.7,99.7,99.0,99.2,-0.50,"1,080"
2025/03/07,"487,031","48,782,537",99.2,101.0,99.2,100.5,+1.30,892
2025/03/10,"202,903","20,286,302",100.5,100.5,99.5,100.0,-0.50,"1,268"
2025/03/11,"244,076","24,155,821",98.7,99.7,98.5,99.0,-1.00,960
2025/03/12,"179,841","17,726,059",99.0,99.0,98.1,98.6,-0.40,"1,004"
2025/03/13,"260,131","25,582,822",98.6,99.2,97.7,97.8,-0.80,526
2025/03/14,"172,647","17,003,417",98.2,99.0,98.0,99.0,+1.20,363
2025/03/17,"106,523","10,550,105",99.0,99.2,98.8,99.0,0.00,479
2025/03/18,"111,107","11,000,081",99.4,99.5,98.7,98.9,-0.10,447
2025/03/19,"161,329","15,864,817",98.8,98.9,98.0,98.4,-0.50,488
2025/03/20,"99,479","9,789,443",98.2,98.9,98.2,98.2,-0.20,305
2025/03/21,"195,688","19,150,455",98.2,98.2,97.6,98.0,-0.20,388
2025/03/24,"265,050","26,156,324",98.2,99.3,98.1,98.3,+0.30,569
2025/03/25,"231,039","22,638,685",98.9,98.9,97.5,97.5,-0.80,691
2025/03/26,"77,080","7,547,224",98.0,98.1,97.7,98.1,+0.60,296
2025/03/27,"103,374","10,142,033",97.7,98.5,97.6,98.4,+0.30,320
2025/03/28,"230,695","22,429,864",97.8,98.0,96.8,96.8,-1.60,513
