日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"39,749","1,420,241",35.05,36.2,35.05,35.6,-0.10,45
2025/01/03,"24,961","885,098",35.5,35.95,35.15,35.3,-0.30,36
2025/01/06,"50,040","1,793,425",35.1,36.25,35.1,36.25,+0.95,46
2025/01/07,"20,302","727,970",36.4,36.4,35.7,35.7,-0.55,25
2025/01/08,"17,014","599,254",35.2,35.55,35.1,35.3,-0.40,16
2025/01/09,"74,315","2,569,291",35.3,35.3,33.65,34.0,-1.30,86
2025/01/10,"50,457","1,688,298",34.9,34.9,32.85,33.3,-0.70,58
2025/01/13,"139,747","4,505,153",33.3,33.8,31.0,31.2,-2.10,135
2025/01/14,"139,005","4,458,462",31.5,32.9,31.2,32.4,+1.20,99
2025/01/15,"30,150","963,920",32.0,32.4,31.75,32.05,-0.35,35
2025/01/16,"32,074","1,044,819",32.7,32.8,32.15,32.65,+0.60,33
2025/01/17,"31,030","998,978",32.65,32.65,31.55,32.1,-0.55,32
2025/01/20,"36,052","1,144,699",31.75,32.3,31.6,31.8,-0.30,37
2025/01/21,"38,102","1,230,503",32.4,32.6,31.9,32.5,+0.70,38
2025/01/22,"30,801","1,003,225",32.9,32.9,32.05,32.7,+0.20,45
2025/02/03,"35,115","1,116,637",32.7,32.7,31.35,31.5,-1.20,42
2025/02/04,"34,005","1,054,507",31.75,31.75,30.5,30.5,-1.00,31
2025/02/05,"38,031","1,200,533",30.55,32.2,30.55,32.2,+1.70,39
2025/02/06,"17,100","551,380",32.25,32.4,32.2,32.4,+0.20,22
2025/02/07,"20,305","657,545",31.6,32.8,31.6,32.7,+0.30,24
2025/02/10,"59,116","1,898,937",32.1,32.6,31.7,31.9,-0.80,79
2025/02/11,"14,102","453,967",31.9,32.4,31.9,32.4,+0.50,18
2025/02/12,"217,286","7,532,031",32.5,35.6,32.5,35.6,+3.20,198
2025/02/13,"488,815","18,954,740",37.6,39.15,37.2,39.15,+3.55,319
2025/02/14,"1,377,804","55,480,500",42.3,42.45,38.6,39.0,-0.15,943
2025/02/17,"181,319","6,995,799",39.6,39.6,38.2,38.6,-0.40,227
2025/02/18,"124,895","4,794,353",38.95,38.95,38.0,38.45,-0.15,128
2025/02/19,"247,916","9,713,344",38.9,40.35,38.15,38.6,+0.15,334
2025/02/20,"83,179","3,225,593",38.95,39.45,38.35,38.5,-0.10,97
2025/02/21,"165,448","6,228,162",38.95,38.95,36.7,37.5,-1.00,306
2025/02/24,"63,318","2,413,356",37.6,38.55,37.6,37.95,+0.45,61
2025/02/25,"43,576","1,638,148",37.95,37.95,37.0,37.25,-0.70,41
2025/02/26,"157,635","6,087,801",37.2,39.9,37.2,37.55,+0.30,212
2025/02/27,"79,899","3,012,345",37.65,38.5,37.25,38.15,+0.60,79
2025/03/03,"25,005","940,343",37.7,37.85,37.5,37.75,-0.40,27
2025/03/04,"25,045","943,443",37.15,37.75,37.15,37.75,0.00,22
2025/03/05,"43,045","1,624,546",38.55,38.55,37.5,37.55,-0.20,44
2025/03/06,"26,020","972,401",37.35,37.7,37.25,37.25,-0.30,29
2025/03/07,"23,612","872,266",37.05,37.1,36.8,36.8,-0.45,46
2025/03/10,"65,747","2,377,786",36.8,36.8,36.0,36.35,-0.45,100
2025/03/11,"28,641","1,017,235",35.0,35.95,35.0,35.9,-0.45,36
2025/03/12,"34,186","1,217,960",35.65,35.9,35.35,35.8,-0.10,46
2025/03/13,"22,552","805,854",36.15,36.15,35.4,35.8,0.00,28
2025/03/14,"63,093","2,221,499",35.45,35.75,34.15,35.35,-0.45,64
2025/03/17,"40,070","1,448,217",35.9,36.6,35.9,35.9,+0.55,40
2025/03/18,"35,071","1,269,733",35.9,36.45,35.8,36.45,+0.55,37
2025/03/19,"39,507","1,422,289",36.45,36.5,35.3,35.7,-0.75,56
2025/03/20,"720,073","27,759,006",35.75,39.25,35.65,39.0,+3.30,559
2025/03/21,"963,717","37,969,375",38.9,41.5,36.65,36.65,-2.35,927
2025/03/24,"88,363","3,278,501",36.85,37.9,36.75,37.0,+0.35,88
2025/03/25,"60,114","2,190,184",37.0,37.1,36.1,36.1,-0.90,61
2025/03/26,"27,093","981,640",36.05,36.5,36.05,36.2,+0.10,30
2025/03/27,"29,662","1,067,465",36.2,36.4,35.8,36.05,-0.15,40
2025/03/28,"110,156","3,794,948",35.2,35.45,34.0,34.35,-1.70,148
2025/03/31,"90,415","2,965,877",34.3,34.3,32.25,32.25,-2.10,125
2025/04/01,"176,504","5,652,477",31.4,32.45,31.4,32.15,-0.10,140
2025/04/02,"25,765","833,825",32.15,32.6,32.15,32.35,+0.20,33
2025/04/07,"21,466","625,731",29.15,29.15,29.15,29.15,-3.20,26
