日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"27,313","1,484,909",54.5,54.5,54.1,54.2,-0.30,49
2025/01/03,"24,583","1,337,211",54.2,54.6,54.2,54.6,+0.40,33
2025/01/06,"34,558","1,875,079",54.7,54.7,54.0,54.4,-0.20,111
2025/01/07,"56,431","3,051,583",54.1,54.2,54.0,54.0,-0.40,51
2025/01/08,"31,350","1,698,587",54.4,54.7,53.9,53.9,-0.10,36
2025/01/09,"41,897","2,252,876",53.6,54.2,53.5,53.7,-0.20,78
2025/01/10,"47,543","2,543,972",54.0,54.0,53.4,53.5,-0.20,70
2025/01/13,"40,295","2,130,596",52.7,53.1,52.7,52.9,-0.60,201
2025/01/14,"14,663","775,733",52.9,53.0,52.7,53.0,+0.10,46
2025/01/15,"24,137","1,279,206",53.0,53.2,52.9,52.9,-0.10,41
2025/01/16,"13,784","732,101",53.0,53.3,53.0,53.1,+0.20,31
2025/01/17,"17,286","916,993",53.1,53.1,53.0,53.0,-0.10,82
2025/01/20,"14,765","782,174",53.1,53.1,52.8,52.9,-0.10,117
2025/01/21,"15,340","814,448",53.1,53.2,53.0,53.1,+0.20,36
2025/01/22,"20,118","1,068,867",53.0,53.3,53.0,53.2,+0.10,39
2025/02/03,"17,712","944,059",53.4,53.4,53.2,53.2,0.00,46
2025/02/04,"10,638","567,023",53.2,53.4,53.2,53.4,+0.20,38
2025/02/05,"15,392","828,994",54.0,54.0,53.5,53.5,+0.10,119
2025/02/06,"20,241","1,082,806",53.5,53.5,53.4,53.5,0.00,73
2025/02/07,"23,962","1,280,672",53.5,53.5,53.3,53.3,-0.20,36
2025/02/10,"21,857","1,164,105",53.1,53.5,53.1,53.3,0.00,60
2025/02/11,"82,753","4,469,811",53.5,54.4,53.4,53.9,+0.60,89
2025/02/12,"82,376","4,472,361",54.0,54.6,54.0,54.3,+0.40,118
2025/02/13,"37,843","2,061,210",54.4,54.7,54.3,54.7,+0.40,52
2025/02/14,"12,592","683,716",54.7,54.7,54.0,54.1,-0.60,145
2025/02/17,"28,338","1,542,880",54.3,54.6,54.3,54.5,+0.40,108
2025/02/18,"10,578","574,681",54.4,54.4,54.2,54.3,-0.20,56
2025/02/19,"97,449","5,343,497",54.3,55.4,54.3,54.7,+0.40,100
2025/02/20,"31,819","1,743,857",54.8,55.0,54.7,54.9,+0.20,84
2025/02/21,"40,184","2,212,008",55.0,55.1,55.0,55.1,+0.20,79
2025/02/24,"41,002","2,262,094",55.1,55.5,55.0,55.0,-0.10,141
2025/02/25,"75,942","4,210,415",55.5,56.0,55.3,55.4,+0.40,103
2025/02/26,"48,819","2,726,027",55.5,56.0,55.5,55.9,+0.50,114
2025/02/27,"39,091","2,178,062",55.8,55.9,55.5,55.7,-0.20,182
2025/03/03,"25,426","1,414,719",55.7,56.0,55.4,55.6,-0.10,57
2025/03/04,"26,210","1,454,715",55.6,55.6,55.3,55.5,-0.10,37
2025/03/05,"29,545","1,644,235",55.6,55.7,55.5,55.6,+0.10,41
2025/03/06,"34,529","1,909,562",55.6,55.6,55.2,55.5,-0.10,42
2025/03/07,"34,163","1,897,076",55.5,55.7,55.5,55.5,0.00,58
2025/03/10,"40,304","2,239,759",55.6,55.6,55.4,55.4,-0.10,35
2025/03/11,"172,314","9,393,428",55.2,55.2,54.2,54.3,-1.10,179
2025/03/12,"22,505","1,227,836",54.3,54.9,54.3,54.7,+0.40,64
2025/03/13,"13,254","728,942",54.8,55.8,54.7,54.7,0.00,33
2025/03/14,"34,762","1,921,008",54.9,55.6,54.5,55.3,+0.60,101
2025/03/17,"20,466","1,131,666",54.6,55.5,54.5,55.4,+0.10,34
