日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"385,156","10,797,880",28.25,28.5,27.65,27.7,-0.40,295
2025/01/03,"3,959,037","117,773,697",28.0,30.45,28.0,29.25,+1.55,"2,502"
2025/01/06,"1,076,178","30,981,510",28.95,29.95,28.35,29.15,-0.10,800
2025/01/07,"556,332","15,992,985",29.15,29.5,28.45,28.85,-0.30,469
2025/01/08,"4,231,618","129,621,857",30.05,31.7,29.65,30.65,+1.80,"2,910"
2025/01/09,"11,209,992","366,729,399",30.95,33.7,30.8,33.7,+3.05,"6,618"
2025/01/10,"24,081,584","800,636,110",33.7,35.9,31.1,31.45,-2.25,"14,797"
2025/01/13,"7,989,751","257,118,587",31.4,33.0,31.2,32.0,+0.55,"5,241"
2025/01/14,"2,482,933","75,081,948",31.55,31.6,29.7,29.8,-2.20,"1,717"
2025/01/15,"1,924,522","58,222,975",30.2,31.25,29.8,29.8,0.00,"1,301"
2025/01/16,"1,583,722","46,984,697",29.15,30.15,28.9,30.1,+0.30,"1,113"
2025/01/17,"799,326","23,885,944",30.1,30.3,29.6,29.75,-0.35,544
2025/01/20,"1,397,423","41,951,987",29.75,30.5,29.65,30.3,+0.55,898
2025/01/21,"532,535","15,950,395",30.2,30.3,29.8,29.8,-0.50,339
2025/01/22,"662,440","19,889,050",30.1,30.4,29.7,30.4,+0.60,516
2025/02/03,"6,478,074","198,130,408",31.05,32.5,28.05,29.45,-0.95,"4,124"
2025/02/04,"1,072,966","31,310,991",29.4,29.75,28.75,28.75,-0.70,817
2025/02/05,"527,952","15,284,540",28.7,29.25,28.7,29.1,+0.35,358
2025/02/06,"383,841","11,210,930",29.25,29.45,28.9,29.05,-0.05,314
2025/02/07,"796,263","23,020,835",29.25,29.35,28.65,28.65,-0.40,580
2025/02/10,"736,087","21,562,342",28.85,29.85,28.85,29.05,+0.40,556
2025/02/11,"448,220","12,870,946",29.05,29.05,28.5,28.6,-0.45,392
2025/02/12,"417,297","11,888,617",28.65,28.85,28.2,28.3,-0.30,356
2025/02/13,"362,829","10,401,569",28.7,28.85,28.5,28.7,+0.40,270
2025/02/14,"304,499","8,688,118",28.7,28.8,28.4,28.5,-0.20,234
2025/02/17,"341,429","9,637,740",28.45,28.45,28.1,28.3,-0.20,286
2025/02/18,"151,841","4,283,580",28.3,28.35,28.1,28.25,-0.05,149
