日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"90,930","2,736,740",30.35,30.35,29.9,29.9,-0.20,140
2025/01/03,"184,627","5,523,099",30.2,30.2,29.7,29.85,-0.05,153
2025/01/06,"222,863","6,719,525",29.85,30.4,29.8,30.15,+0.30,207
2025/01/07,"95,158","2,869,518",30.4,30.4,30.0,30.0,-0.15,188
2025/01/08,"103,618","3,099,085",30.0,30.05,29.8,29.95,-0.05,139
2025/01/09,"206,809","6,263,264",30.6,30.6,30.05,30.05,+0.10,189
2025/01/10,"89,971","2,699,766",30.0,30.1,29.95,30.05,0.00,132
2025/01/13,"250,040","7,445,706",30.05,30.05,29.55,29.75,-0.30,260
2025/01/14,"97,147","2,903,160",29.8,30.0,29.7,29.9,+0.15,89
2025/01/15,"101,471","3,036,717",29.95,30.1,29.8,29.95,+0.05,84
2025/01/16,"132,327","3,968,687",29.95,30.2,29.9,29.95,0.00,88
2025/01/17,"72,655","2,180,997",30.0,30.2,29.95,30.05,+0.10,95
2025/01/20,"167,808","5,094,795",30.0,30.65,30.0,30.5,+0.45,176
2025/01/21,"319,955","9,843,545",30.5,31.2,30.4,30.85,+0.35,276
2025/01/22,"227,566","7,013,053",31.0,31.05,30.55,30.9,+0.05,202
2025/02/03,"335,638","10,468,279",30.95,31.55,30.75,31.3,+0.40,389
2025/02/04,"532,385","17,069,560",31.3,32.6,31.3,31.75,+0.45,595
2025/02/05,"298,131","9,404,620",31.75,31.85,31.15,31.7,-0.05,384
2025/02/06,"139,917","4,439,440",31.75,31.9,31.5,31.9,+0.20,183
2025/02/07,"115,861","3,702,392",31.8,32.1,31.8,31.95,+0.05,170
2025/02/10,"284,572","8,803,546",31.95,31.95,30.65,30.7,-1.25,531
2025/02/11,"183,189","5,628,554",30.7,31.1,30.6,30.7,0.00,189
2025/02/12,"96,685","2,968,017",30.6,30.85,30.55,30.8,+0.10,171
2025/02/13,"134,831","4,190,558",30.9,31.3,30.85,31.0,+0.20,214
2025/02/14,"529,716","16,658,748",31.0,31.85,30.85,31.4,+0.40,379
2025/02/17,"142,479","4,427,481",31.35,31.55,30.9,30.9,-0.50,369
2025/02/18,"417,883","12,819,457",31.45,31.45,30.3,30.75,-0.15,535
2025/02/19,"95,156","2,935,730",30.6,31.05,30.6,30.9,+0.15,216
2025/02/20,"462,994","14,225,094",30.9,31.15,30.55,30.6,-0.30,492
2025/02/21,"164,526","5,074,522",30.65,31.0,30.6,30.9,+0.30,188
2025/02/24,"314,013","9,792,177",30.9,31.45,30.9,31.15,+0.25,348
2025/02/25,"459,298","14,057,742",31.15,31.15,30.3,30.7,-0.45,525
2025/02/26,"177,983","5,447,477",30.65,30.75,30.5,30.55,-0.15,299
2025/02/27,"207,276","6,376,667",30.8,30.95,30.55,30.85,+0.30,494
2025/03/03,"339,673","10,301,817",30.55,30.9,30.0,30.55,-0.30,466
2025/03/04,"56,293","1,711,970",30.4,30.65,30.15,30.6,+0.05,249
2025/03/05,"70,082","2,149,481",30.6,30.85,30.6,30.75,+0.15,191
2025/03/06,"121,819","3,729,183",30.6,30.7,30.5,30.65,-0.10,222
2025/03/07,"42,512","1,300,193",30.75,30.75,30.4,30.65,0.00,159
2025/03/10,"476,855","14,948,112",31.5,31.8,30.9,31.35,+0.70,467
2025/03/11,"970,309","30,814,190",31.5,32.15,30.85,31.7,+0.35,960
2025/03/12,"341,107","10,939,428",32.0,32.3,31.65,32.2,+0.50,369
2025/03/13,"851,284","27,737,970",32.5,32.85,32.1,32.3,+0.10,611
2025/03/14,"457,320","14,887,429",32.3,32.85,32.15,32.8,+0.50,459
2025/03/17,"1,078,405","36,298,252",33.0,34.45,32.65,33.65,+0.85,"1,101"
2025/03/18,"250,243","8,435,521",33.9,33.95,33.5,33.7,+0.05,445
2025/03/19,"301,042","10,113,027",33.5,33.9,33.3,33.75,+0.05,488
2025/03/20,"603,118","20,257,892",33.6,34.2,33.1,33.65,-0.10,952
2025/03/21,"675,775","23,347,494",33.95,34.55,33.8,33.85,+0.20,714
2025/03/24,"240,888","8,206,454",34.0,34.35,33.8,34.0,+0.15,340
2025/03/25,"407,287","13,762,550",34.5,34.5,33.2,33.8,-0.20,371
2025/03/26,"133,352","4,524,839",34.15,34.15,33.85,33.95,+0.15,172
2025/03/27,"235,489","7,944,874",34.0,34.0,33.35,33.95,0.00,183
2025/03/28,"376,877","12,706,121",33.95,34.15,33.4,33.55,-0.40,296
2025/03/31,"653,957","21,610,583",33.4,33.45,32.6,33.15,-0.40,353
2025/04/01,"706,660","24,160,232",33.25,34.8,33.25,34.25,+1.10,530
