日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"203,117","6,270,277",31.15,31.15,30.65,31.0,-0.20,266
2025/01/03,"311,672","9,649,096",30.95,31.1,30.75,31.1,+0.10,325
2025/01/06,"260,176","8,067,753",31.05,31.3,30.6,31.0,-0.10,451
2025/01/07,"192,264","5,974,333",30.85,31.2,30.85,31.1,+0.10,210
2025/01/08,"152,800","4,738,490",31.0,31.1,30.85,31.0,-0.10,281
2025/01/09,"272,698","8,510,782",31.0,31.4,31.0,31.2,+0.20,388
2025/01/10,"230,806","7,149,244",31.2,31.5,30.6,30.65,-0.55,565
2025/01/13,"303,846","9,238,756",30.65,30.7,30.05,30.55,-0.10,376
2025/01/14,"110,151","3,375,770",30.6,30.85,30.6,30.6,+0.05,177
2025/01/15,"134,274","4,106,447",30.6,30.7,30.45,30.65,+0.05,200
2025/01/16,"133,946","4,118,545",30.7,30.9,30.6,30.75,+0.10,181
2025/01/17,"116,324","3,570,380",31.0,31.1,30.55,30.8,+0.05,279
2025/01/20,"131,327","4,040,630",31.0,31.0,30.55,30.85,+0.05,259
2025/01/21,"92,043","2,839,777",30.95,31.0,30.7,30.75,-0.10,224
2025/01/22,"123,440","3,793,282",30.8,30.8,30.55,30.8,+0.05,200
2025/02/03,"189,091","5,834,700",30.75,31.05,30.6,30.9,+0.10,285
2025/02/04,"314,720","9,872,695",31.1,31.6,31.05,31.45,+0.55,456
2025/02/05,"233,329","7,335,165",31.7,31.7,31.3,31.35,-0.10,424
2025/02/06,"237,714","7,501,198",31.4,31.8,31.35,31.8,+0.45,301
2025/02/07,"165,988","5,248,322",31.8,31.8,31.5,31.55,-0.25,428
2025/02/10,"167,045","5,281,714",31.6,31.75,31.4,31.6,+0.05,262
2025/02/11,"205,495","6,432,542",31.4,31.5,31.15,31.15,-0.45,321
2025/02/12,"193,667","6,031,235",31.15,31.3,31.05,31.1,-0.05,266
2025/02/13,"132,115","4,110,529",31.1,31.4,30.4,31.2,+0.10,279
2025/02/14,"175,830","5,525,148",31.2,31.5,31.2,31.35,+0.15,255
2025/02/17,"178,523","5,617,583",31.45,31.55,31.4,31.45,+0.10,417
2025/02/18,"93,058","2,916,783",31.6,31.6,31.25,31.35,-0.10,263
