日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"339,005","61,913,013",182.5,185.5,181.0,182.0,-2.50,499
2025/01/03,"476,956","87,340,707",182.0,187.5,181.0,181.0,-1.00,922
2025/01/06,"1,488,934","275,608,222",186.0,192.5,173.0,190.0,+9.00,"1,886"
2025/01/07,"1,448,275","260,723,533",190.0,190.0,174.0,179.0,-11.00,"3,222"
2025/01/08,"728,414","130,674,789",176.0,182.5,175.0,180.5,+1.50,764
2025/01/09,"620,312","108,894,900",180.5,180.5,172.0,173.5,-7.00,703
2025/01/10,"966,155","170,493,512",175.0,181.5,171.0,180.0,+6.50,929
2025/01/13,"780,166","138,665,413",179.0,182.0,174.5,176.5,-3.50,"1,907"
2025/01/14,"1,948,952","362,127,351",180.5,191.5,177.0,190.0,+13.50,"4,433"
2025/01/15,"1,067,409","202,567,620",190.0,195.0,185.0,190.0,0.00,"3,336"
2025/01/16,"773,990","148,165,862",195.0,196.5,188.0,193.0,+3.00,"1,826"
2025/01/17,"1,053,099","202,484,967",194.0,199.5,187.5,187.5,-5.50,"3,065"
2025/01/20,"655,569","120,012,254",189.5,189.5,180.5,182.5,-5.00,"3,328"
2025/01/21,"702,450","126,423,051",183.0,185.0,177.5,178.5,-4.00,"4,473"
2025/01/22,"1,278,289","241,448,377",183.0,193.5,181.5,189.5,+11.00,"1,519"
2025/02/03,"820,376","150,878,453",188.0,190.0,181.5,181.5,-8.00,"3,211"
2025/02/04,"912,590","162,631,014",182.5,183.0,175.0,177.5,-4.00,928
2025/02/05,"1,845,208","314,704,789",177.0,179.5,164.0,171.5,-6.00,"1,793"
2025/02/06,"616,985","107,505,123",173.0,177.5,172.0,172.0,+0.50,610
2025/02/07,"881,654","155,156,486",174.5,182.0,172.5,173.0,+1.00,877
2025/02/10,"759,640","128,962,064",173.0,173.0,167.0,171.0,-2.00,809
2025/02/11,"752,716","126,656,364",168.0,174.0,166.0,167.0,-4.00,817
2025/02/12,"345,386","58,161,327",168.5,171.5,166.0,166.0,-1.00,412
2025/02/13,"513,450","84,320,695",168.0,168.0,162.5,163.0,-3.00,680
2025/02/14,"290,490","47,760,025",165.0,166.5,163.0,163.0,0.00,"1,478"
2025/02/17,"316,585","52,497,948",164.5,168.0,164.0,164.0,+1.00,968
2025/02/18,"609,522","103,036,859",166.5,172.0,164.0,169.0,+5.00,"1,481"
2025/02/19,"447,719","75,265,916",171.5,171.5,166.5,168.5,-0.50,867
2025/02/20,"498,369","82,127,072",168.5,168.5,163.0,165.0,-3.50,594
2025/02/21,"269,635","44,679,968",166.5,168.0,163.5,165.5,+0.50,326
2025/02/24,"1,077,759","186,040,915",166.0,176.0,165.5,171.5,+6.00,"1,093"
2025/02/25,"736,625","123,333,287",172.0,172.5,165.5,166.5,-5.00,857
2025/02/26,"410,831","68,711,122",167.5,169.5,165.5,167.5,+1.00,396
2025/02/27,"1,828,425","324,547,504",170.0,184.0,168.0,180.5,+13.00,"2,407"
2025/03/03,"2,979,627","551,280,037",179.0,190.0,179.0,187.0,+6.50,"5,454"
2025/03/04,"4,770,696","946,027,488",188.0,205.5,186.5,205.5,+18.50,"7,622"
2025/03/05,"5,117,894","1,078,735,663",205.5,217.0,203.0,217.0,+11.50,"6,346"
2025/03/06,"2,809,475","595,961,363",215.0,220.0,205.5,208.0,-9.00,"3,339"
2025/03/07,"1,312,319","269,877,975",207.0,211.5,202.0,205.0,-3.00,"2,909"
2025/03/10,"778,270","155,934,245",206.0,206.5,197.0,200.0,-5.00,"2,154"
2025/03/11,"719,598","142,288,196",193.5,201.5,193.0,201.0,+1.00,775
2025/03/12,"655,890","130,924,887",203.0,204.5,197.5,199.5,-1.50,"1,525"
2025/03/13,"490,445","96,016,778",199.5,203.0,193.5,194.5,-5.00,"2,013"
2025/03/14,"1,818,503","365,305,466",203.0,207.5,195.0,198.0,+3.50,"2,558"
2025/03/17,"958,655","186,854,447",198.5,201.0,190.5,192.0,-6.00,"1,361"
2025/03/18,"716,385","139,596,609",195.5,199.5,192.0,194.0,+2.00,891
2025/03/19,"650,863","123,438,051",193.5,195.5,187.0,188.0,-6.00,"1,507"
2025/03/20,"740,875","144,348,885",192.0,199.5,188.5,193.0,+5.00,756
2025/03/21,"723,006","140,046,261",195.5,199.0,189.5,192.0,-1.00,"1,207"
2025/03/24,"523,058","102,141,610",192.0,199.0,191.0,194.5,+2.50,677
2025/03/25,"2,139,733","413,875,242",196.0,205.0,187.0,190.5,-4.00,"3,054"
2025/03/26,"639,073","122,246,517",194.0,194.0,188.5,190.5,0.00,863
2025/03/27,"1,081,238","212,781,368",191.0,202.0,188.5,200.0,+9.50,"1,362"
2025/03/28,"8,011,394","1,699,544,690",202.5,220.0,202.0,206.5,+6.50,"8,331"
2025/03/31,"4,873,689","993,111,797",197.5,212.5,193.5,197.0,-9.50,"4,156"
2025/04/01,"3,846,353","804,474,170",196.0,216.5,194.5,216.5,+19.50,"4,158"
