日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"80,173","2,593,061",32.45,32.45,32.3,32.3,-0.15,176
2025/01/03,"79,283","2,551,983",32.25,32.4,32.1,32.15,-0.15,97
2025/01/06,"155,837","5,024,730",32.2,32.45,32.1,32.25,+0.10,144
2025/01/07,"74,798","2,409,264",32.5,32.5,32.1,32.1,-0.15,123
2025/01/08,"171,789","5,525,647",32.1,32.3,32.0,32.15,+0.05,129
2025/01/09,"64,824","2,083,802",32.15,32.25,32.1,32.15,0.00,104
2025/01/10,"113,698","3,645,181",32.15,32.15,32.0,32.05,-0.10,139
2025/01/13,"327,701","10,364,352",32.05,32.05,31.4,31.5,-0.55,398
2025/01/14,"89,334","2,815,362",31.55,31.55,31.45,31.55,+0.05,153
2025/01/15,"149,181","4,700,368",31.7,31.7,31.4,31.55,0.00,150
2025/01/16,"128,866","4,073,649",31.6,32.1,31.5,31.55,0.00,148
2025/01/17,"25,335","801,669",31.9,31.9,31.6,31.6,+0.05,102
2025/01/20,"51,627","1,629,654",31.7,31.75,31.45,31.55,-0.05,149
2025/01/21,"51,302","1,624,811",31.55,31.85,31.55,31.75,+0.20,124
2025/01/22,"126,877","4,054,397",31.75,32.1,31.75,31.75,0.00,182
2025/02/03,"165,315","5,260,203",31.8,32.1,31.7,31.9,+0.15,352
2025/02/04,"150,746","4,797,329",32.0,32.15,31.65,31.8,-0.10,266
2025/02/05,"109,974","3,521,035",32.2,32.35,31.8,32.15,+0.35,166
2025/02/06,"57,905","1,863,273",32.15,32.3,32.0,32.3,+0.15,113
2025/02/07,"65,706","2,128,363",32.35,32.5,32.2,32.5,+0.20,159
2025/02/10,"100,893","3,273,929",32.5,32.55,32.25,32.55,+0.05,229
2025/02/11,"100,586","3,255,534",32.45,32.65,32.15,32.35,-0.20,166
2025/02/12,"64,518","2,089,125",32.35,32.6,32.2,32.35,0.00,161
2025/02/13,"96,436","3,136,780",32.3,32.75,32.0,32.6,+0.25,218
2025/02/14,"70,005","2,280,317",32.7,32.7,32.4,32.65,+0.05,166
2025/02/17,"60,001","1,958,419",32.7,32.8,32.45,32.7,+0.05,282
2025/02/18,"78,490","2,552,215",32.7,32.8,32.2,32.65,-0.05,208
2025/02/19,"82,423","2,686,853",32.65,32.75,32.4,32.7,+0.05,164
2025/02/20,"81,549","2,653,520",32.7,32.7,32.4,32.55,-0.15,168
2025/02/21,"107,375","3,500,657",32.7,32.7,32.4,32.7,+0.15,195
2025/02/24,"65,682","2,137,721",32.4,32.7,32.3,32.6,-0.10,217
2025/02/25,"75,872","2,474,865",32.7,32.7,32.45,32.55,-0.05,183
2025/02/26,"73,472","2,400,882",32.75,32.75,32.6,32.7,+0.15,145
2025/02/27,"51,455","1,679,475",32.6,32.7,32.5,32.6,-0.10,128
2025/03/03,"183,721","5,979,634",32.15,32.7,32.15,32.6,0.00,234
2025/03/04,"156,847","5,126,725",32.6,32.75,32.5,32.75,+0.15,347
2025/03/05,"120,050","3,918,788",32.8,32.8,32.5,32.75,0.00,226
2025/03/06,"242,674","7,987,484",32.8,33.15,32.65,32.95,+0.20,241
2025/03/07,"118,743","3,893,333",32.8,33.0,32.55,32.85,-0.10,243
2025/03/10,"92,172","3,024,715",32.8,32.95,32.75,32.8,-0.05,308
2025/03/11,"97,657","3,181,527",32.5,32.8,32.3,32.8,0.00,234
2025/03/12,"639,558","20,778,989",32.75,32.8,32.4,32.5,-0.30,423
2025/03/13,"62,993","2,047,557",32.7,32.7,32.4,32.45,-0.05,129
2025/03/14,"141,806","4,607,010",32.5,32.65,32.35,32.65,+0.20,172
2025/03/17,"107,332","3,493,198",32.65,32.7,32.4,32.5,-0.15,221
2025/03/18,"40,720","1,331,974",32.75,32.95,32.55,32.8,+0.30,157
2025/03/19,"50,836","1,664,930",32.85,32.85,32.7,32.75,-0.05,160
2025/03/20,"59,738","1,959,978",32.7,32.9,32.7,32.8,+0.05,123
2025/03/21,"55,570","1,818,377",32.7,32.8,32.65,32.8,0.00,104
2025/03/24,"21,077","688,141",32.8,32.8,32.6,32.65,-0.15,153
2025/03/25,"111,675","3,646,396",32.65,32.9,32.55,32.7,+0.05,174
2025/03/26,"77,059","2,515,264",32.7,32.7,32.55,32.55,-0.15,168
2025/03/27,"158,199","5,137,952",32.5,32.55,32.45,32.45,-0.10,124
2025/03/28,"194,373","6,291,179",32.4,32.45,32.3,32.35,-0.10,141
2025/03/31,"167,274","5,366,121",32.2,32.2,32.0,32.1,-0.25,267
2025/04/01,"79,437","2,548,024",32.25,32.3,32.0,32.15,+0.05,151
2025/04/02,"37,679","1,216,372",32.5,32.5,32.15,32.3,+0.15,131
2025/04/07,"1,016,972","30,209,088",29.15,30.15,29.15,29.7,-2.60,"1,195"
2025/04/08,"447,886","13,620,892",29.8,30.8,29.8,30.65,+0.95,566
2025/04/09,"430,327","13,011,727",30.65,30.8,29.9,29.9,-0.75,568
2025/04/10,"471,250","14,874,234",31.05,32.0,31.0,32.0,+2.10,393
2025/04/11,"147,350","4,625,219",31.5,32.0,31.05,31.4,-0.60,274
2025/04/14,"246,303","7,698,973",31.45,31.55,30.9,31.15,-0.25,408
2025/04/15,"74,247","2,331,856",31.05,31.6,31.05,31.4,+0.25,263
2025/04/16,"74,747","2,344,742",31.4,31.5,31.3,31.3,-0.10,239
2025/04/17,"85,294","2,668,474",31.3,31.35,31.15,31.25,-0.05,261
2025/04/18,"42,659","1,334,604",31.2,31.45,31.2,31.4,+0.15,309
2025/04/21,"61,989","1,945,396",31.4,31.55,31.3,31.4,0.00,536
2025/04/22,"43,325","1,359,537",31.2,31.65,31.2,31.4,0.00,443
2025/04/23,"94,250","2,972,545",31.4,31.65,31.4,31.65,+0.25,673
2025/04/24,"49,572","1,560,938",31.45,31.6,31.45,31.6,-0.05,169
2025/04/25,"57,736","1,824,532",31.6,31.8,31.45,31.65,+0.05,184
2025/04/28,"52,157","1,652,200",31.65,31.75,31.65,31.65,0.00,93
2025/04/29,"89,852","2,855,854",31.7,31.9,31.65,31.75,+0.10,123
2025/04/30,"379,097","11,850,471",31.05,31.5,31.05,31.45,-0.30,250
2025/05/02,"89,919","2,848,972",31.65,31.75,31.5,31.75,+0.30,142
2025/05/05,"494,600","16,012,597",32.1,32.7,31.9,32.5,+0.75,402
2025/05/06,"249,053","8,151,059",32.5,33.0,32.5,32.8,+0.30,215
2025/05/07,"87,773","2,877,140",32.95,32.95,32.65,32.8,0.00,115
2025/05/08,"119,062","3,913,353",32.75,33.05,32.75,32.85,+0.05,134
2025/05/09,"106,930","3,508,232",32.8,32.9,32.7,32.8,-0.05,117
2025/05/12,"146,624","4,800,267",32.8,32.9,32.6,32.75,-0.05,155
2025/05/13,"135,118","4,416,248",32.55,32.75,32.55,32.6,-0.15,147
2025/05/14,"80,042","2,614,790",32.7,32.7,32.6,32.65,+0.05,203
2025/05/15,"61,094","1,995,475",32.65,32.8,32.6,32.7,+0.05,188
2025/05/16,"49,318","1,612,475",32.7,32.75,32.6,32.75,+0.05,80
2025/05/19,"41,222","1,348,783",32.6,32.9,32.6,32.7,-0.05,148
2025/05/20,"39,465","1,293,424",32.6,32.85,32.6,32.85,+0.15,66
2025/05/21,"48,262","1,584,599",32.85,32.85,32.7,32.8,-0.05,227
2025/05/22,"23,533","770,192",32.7,32.9,32.7,32.7,-0.10,74
2025/05/23,"33,095","1,079,802",32.6,32.65,32.6,32.65,-0.05,63
2025/05/26,"88,841","2,905,342",32.55,32.8,32.55,32.7,+0.05,173
2025/05/27,"71,787","2,352,237",32.65,32.85,32.65,32.75,+0.05,155
2025/05/28,"137,907","4,515,699",32.8,32.8,32.65,32.65,-0.10,94
2025/05/29,"59,335","1,938,234",32.8,32.85,32.6,32.8,+0.15,130
2025/06/02,"111,183","3,627,361",32.75,32.8,32.4,32.8,0.00,195
2025/06/03,"116,704","3,795,736",32.6,32.7,32.45,32.45,-0.35,111
2025/06/04,"43,880","1,431,270",32.5,32.8,32.45,32.8,+0.35,106
2025/06/05,"6,302","204,694",32.5,32.55,32.5,32.55,-0.25,112
2025/06/06,"74,789","2,447,021",32.85,32.85,32.6,32.8,+0.25,77
2025/06/09,"59,209","1,940,400",32.75,32.8,32.7,32.8,0.00,79
2025/06/10,"66,486","2,182,503",32.75,32.9,32.75,32.8,0.00,82
2025/06/11,"109,497","3,600,324",32.85,32.95,32.8,32.95,+0.15,128
2025/06/12,"34,079","1,119,605",32.95,32.95,32.55,32.85,-0.10,90
2025/06/13,"42,493","1,388,474",32.55,32.9,32.55,32.9,+0.05,101
2025/06/16,"60,170","1,977,858",32.65,32.95,32.65,32.85,-0.05,58
2025/06/17,"60,163","1,974,211",32.65,32.9,32.65,32.9,+0.05,49
2025/06/18,"60,885","1,996,470",32.7,32.85,32.7,32.75,-0.15,71
