日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"100,050","4,131,629",41.15,41.85,41.05,41.05,-0.10,87
2025/01/03,"97,557","4,014,855",41.05,41.45,41.05,41.15,+0.10,82
2025/01/06,"77,552","3,207,374",41.2,41.8,41.2,41.35,+0.20,125
2025/01/07,"103,337","4,251,597",41.35,41.5,40.95,41.05,-0.30,99
2025/01/08,"41,211","1,698,919",41.5,41.5,41.05,41.1,+0.05,43
2025/01/09,"107,834","4,440,199",41.35,41.4,40.9,41.2,+0.10,104
2025/01/10,"321,583","13,717,509",43.35,43.35,41.75,42.15,+0.95,371
2025/01/13,"279,114","11,846,134",42.5,43.2,41.9,42.0,-0.15,286
2025/01/14,"87,085","3,622,436",42.0,42.0,41.45,41.45,-0.55,86
2025/01/15,"56,576","2,340,666",41.35,41.6,41.3,41.35,-0.10,53
2025/01/16,"66,235","2,745,745",41.4,41.7,41.3,41.6,+0.25,80
2025/01/17,"50,080","2,070,350",41.5,41.6,41.3,41.35,-0.25,46
2025/01/20,"38,150","1,586,631",41.6,41.75,41.5,41.55,+0.20,60
2025/01/21,"46,790","1,934,239",41.4,41.4,41.3,41.3,-0.25,118
2025/01/22,"57,394","2,370,542",41.25,41.5,41.1,41.45,+0.15,49
2025/02/03,"77,620","3,209,183",41.45,41.5,40.95,41.45,0.00,75
2025/02/04,"43,360","1,787,372",41.7,41.7,41.1,41.1,-0.35,47
2025/02/05,"94,061","3,894,089",41.55,41.55,41.3,41.5,+0.40,60
2025/02/06,"130,355","5,444,361",41.6,42.1,41.35,42.1,+0.60,90
2025/02/07,"105,821","4,446,690",42.2,42.2,41.75,42.0,-0.10,79
2025/02/10,"52,297","2,187,838",42.0,42.0,41.7,41.9,-0.10,66
2025/02/11,"36,485","1,522,530",41.9,41.9,41.6,41.6,-0.30,73
2025/02/12,"16,718","695,459",41.95,41.95,41.5,41.55,-0.05,23
2025/02/13,"56,285","2,350,915",41.7,41.95,41.6,41.85,+0.30,69
2025/02/14,"151,878","6,423,766",41.9,42.5,41.9,42.45,+0.60,125
2025/02/17,"85,999","3,643,317",42.15,42.6,42.15,42.3,-0.15,257
2025/02/18,"71,176","3,003,676",42.3,42.3,42.15,42.2,-0.10,106
2025/02/19,"79,998","3,392,302",42.2,42.55,42.2,42.5,+0.30,147
2025/02/20,"63,971","2,707,650",42.5,42.5,42.2,42.4,-0.10,115
2025/02/21,"319,433","13,746,656",42.85,43.4,42.6,43.15,+0.75,237
2025/02/24,"206,806","9,016,031",43.1,43.95,43.1,43.8,+0.65,255
2025/02/25,"100,336","4,369,499",43.8,43.8,43.35,43.4,-0.40,105
2025/02/26,"60,152","2,613,626",43.2,43.8,43.2,43.5,+0.10,119
2025/02/27,"91,131","3,958,197",43.7,43.75,43.3,43.3,-0.20,217
2025/03/03,"91,159","3,968,349",43.75,43.75,43.3,43.35,+0.05,100
2025/03/04,"88,486","3,826,214",43.15,43.55,42.95,43.1,-0.25,71
2025/03/05,"36,267","1,579,980",43.5,43.55,43.3,43.5,+0.40,93
2025/03/06,"55,501","2,404,909",43.5,43.75,43.1,43.35,-0.15,70
2025/03/07,"54,477","2,351,041",43.25,43.35,43.0,43.0,-0.35,55
2025/03/10,"58,550","2,542,450",43.7,43.7,43.2,43.4,+0.40,60
2025/03/11,"87,433","3,765,235",42.95,43.5,42.7,43.35,-0.05,94
2025/03/12,"46,063","1,982,667",43.15,43.25,42.9,42.9,-0.45,272
2025/03/13,"62,724","2,676,716",43.0,43.2,42.35,42.35,-0.55,63
2025/03/14,"56,731","2,401,924",42.25,42.6,42.15,42.55,+0.20,54
2025/03/17,"120,543","5,149,375",42.55,43.0,42.5,42.8,+0.25,75
2025/03/18,"94,002","4,030,584",42.8,43.1,42.65,42.8,0.00,61
2025/03/19,"95,148","4,040,958",42.7,42.75,42.35,42.45,-0.35,70
2025/03/20,"60,992","2,592,983",42.4,42.65,42.4,42.5,+0.05,50
2025/03/21,"20,272","864,725",42.5,42.75,42.5,42.75,+0.25,28
2025/03/24,"67,171","2,863,003",42.7,42.85,42.5,42.5,-0.25,55
2025/03/25,"46,427","1,970,851",42.55,42.6,42.35,42.4,-0.10,43
2025/03/26,"32,268","1,365,243",42.35,42.5,42.2,42.3,-0.10,34
2025/03/27,"56,252","2,378,176",42.2,42.35,42.2,42.25,-0.05,32
2025/03/28,"99,971","4,153,363",42.25,42.25,41.15,41.4,-0.85,84
