日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"315,713","48,820,901",156.0,156.0,153.0,154.0,-4.50,389
2025/01/03,"178,936","28,306,609",155.0,161.0,155.0,157.0,+3.00,217
2025/01/06,"233,727","37,312,798",159.0,161.5,157.0,160.0,+3.00,253
2025/01/07,"114,121","18,087,228",160.0,161.0,157.0,157.5,-2.50,203
2025/01/08,"320,441","49,923,316",158.5,158.5,154.5,155.0,-2.50,324
2025/01/09,"553,513","84,228,925",155.0,155.0,150.0,151.0,-4.00,700
2025/01/10,"434,626","64,529,577",150.0,150.5,147.5,149.0,-2.00,593
2025/01/13,"509,384","73,778,210",148.0,148.5,143.0,146.0,-3.00,604
2025/01/14,"435,165","65,273,898",147.0,152.5,146.0,152.5,+6.50,505
2025/01/15,"174,651","26,307,810",152.0,152.0,149.5,149.5,-3.00,332
2025/01/16,"504,804","77,387,349",151.5,157.0,151.5,151.5,+2.00,534
2025/01/17,"79,192","12,084,776",153.0,154.0,151.5,152.5,+1.00,399
2025/01/20,"206,942","31,902,237",153.0,156.5,152.5,155.0,+2.50,224
2025/01/21,"62,605","9,702,220",155.0,156.0,154.0,155.0,0.00,291
2025/01/22,"98,282","15,190,181",155.5,155.5,153.5,155.0,0.00,164
2025/02/03,"257,440","39,022,565",150.5,155.5,150.0,150.5,-4.50,331
2025/02/04,"142,514","21,350,975",151.0,151.0,148.5,149.0,-1.50,230
2025/02/05,"293,564","45,104,078",151.0,155.5,151.0,153.5,+4.50,311
2025/02/06,"89,238","13,735,146",153.5,155.5,153.0,153.0,-0.50,128
2025/02/07,"559,503","83,064,660",152.0,152.0,147.0,149.5,-3.50,803
2025/02/10,"480,049","70,544,438",149.0,149.0,145.0,146.5,-3.00,543
2025/02/11,"484,056","70,861,378",146.5,151.0,143.5,145.0,-1.50,643
2025/02/12,"328,926","47,649,848",145.0,147.0,144.0,145.0,0.00,412
2025/02/13,"257,967","38,188,180",146.5,150.0,145.5,149.0,+4.00,265
