日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"176,273","8,652,448",49.6,49.6,48.9,49.0,+0.05,242
2025/01/03,"651,287","32,509,148",49.0,50.8,49.0,50.1,+1.10,578
2025/01/06,"813,649","41,776,972",50.3,52.0,50.3,50.8,+0.70,933
2025/01/07,"1,070,874","56,286,454",51.2,53.3,51.1,52.1,+1.30,"1,014"
2025/01/08,"563,924","29,473,326",52.3,53.5,51.3,51.7,-0.40,611
2025/01/09,"411,646","21,380,595",51.3,52.5,51.3,52.3,+0.60,492
2025/01/10,"554,015","29,113,237",54.0,54.6,51.5,51.7,-0.60,487
2025/01/13,"644,014","33,834,835",53.9,53.9,51.4,52.0,+0.30,"1,499"
2025/01/14,"251,206","13,136,714",52.3,53.0,51.9,52.1,+0.10,489
2025/01/15,"678,268","34,157,031",52.4,52.4,48.9,49.3,-2.80,860
2025/01/16,"306,716","15,431,272",50.6,51.2,49.5,51.0,+1.70,441
2025/01/17,"224,088","11,220,146",50.8,51.3,49.7,49.8,-1.20,505
2025/01/20,"235,245","11,891,197",49.85,51.2,49.5,51.2,+1.40,216
2025/01/21,"164,042","8,454,947",51.6,51.9,51.2,51.8,+0.60,181
2025/01/22,"221,887","11,284,024",52.0,52.0,50.2,50.3,-1.50,432
2025/02/03,"246,358","12,438,044",50.3,51.2,49.85,50.7,+0.40,289
2025/02/04,"276,813","13,633,463",50.3,51.3,48.6,48.6,-2.10,584
2025/02/05,"484,732","23,395,787",48.7,49.5,47.5,47.65,-0.95,578
2025/02/06,"618,101","30,808,196",48.15,50.9,48.1,50.9,+3.25,668
2025/02/07,"359,923","18,114,757",51.5,51.7,49.85,50.5,-0.40,"1,234"
2025/02/10,"375,350","19,369,597",50.4,52.5,50.2,51.6,+1.10,474
2025/02/11,"339,198","17,194,110",51.6,51.6,50.2,50.4,-1.20,409
2025/02/12,"175,356","8,825,647",50.4,51.1,49.95,49.95,-0.45,275
2025/02/13,"269,846","13,349,362",49.9,50.3,49.05,49.45,-0.50,480
2025/02/14,"82,586","4,085,972",49.45,49.95,48.9,49.55,+0.10,162
2025/02/17,"183,919","9,190,476",49.8,50.7,49.6,49.95,+0.40,246
2025/02/18,"113,141","5,585,870",49.7,49.75,49.2,49.3,-0.65,303
2025/02/19,"138,120","6,825,322",49.3,50.1,48.95,49.5,+0.20,245
2025/02/20,"117,420","5,807,134",49.1,50.2,49.1,49.45,-0.05,165
2025/02/21,"141,372","7,028,289",49.4,50.2,49.15,49.9,+0.45,205
2025/02/24,"162,763","8,170,864",49.4,50.6,49.4,50.1,+0.20,262
2025/02/25,"171,529","8,639,154",50.5,50.8,49.9,50.6,+0.50,236
2025/02/26,"259,551","13,101,779",50.8,50.9,50.0,50.8,+0.20,365
2025/02/27,"938,455","49,838,985",50.4,55.0,50.3,52.7,+1.90,"1,592"
2025/03/03,"729,843","38,896,877",53.2,54.1,52.3,53.0,+0.30,"1,108"
2025/03/04,"692,863","37,426,596",53.1,54.9,52.7,53.7,+0.70,918
2025/03/05,"1,385,167","69,558,501",52.0,52.0,49.15,49.6,-4.10,"2,847"
2025/03/06,"529,509","26,611,476",49.5,51.2,49.1,50.9,+1.30,537
2025/03/07,"241,767","12,072,786",50.3,50.6,49.65,50.2,-0.70,363
2025/03/10,"172,866","8,687,886",50.2,50.7,49.5,50.4,+0.20,278
2025/03/11,"173,655","8,578,935",49.8,49.8,49.0,49.5,-0.90,176
2025/03/12,"296,685","14,464,322",49.5,49.5,48.0,48.4,-1.10,730
2025/03/13,"245,658","11,732,188",48.2,48.75,47.1,47.15,-1.25,406
2025/03/14,"138,951","6,516,360",46.7,47.55,46.4,47.2,+0.05,358
2025/03/17,"578,673","26,536,677",47.6,47.6,45.2,45.4,-1.80,"1,062"
2025/03/18,"124,056","5,679,681",45.55,46.1,45.55,45.85,+0.45,721
2025/03/19,"118,607","5,380,593",44.95,45.85,44.95,45.3,-0.55,711
2025/03/20,"47,010","2,142,423",45.3,45.9,45.1,45.85,+0.55,357
