日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,361,314","142,767,405",105.0,106.5,103.0,105.0,+1.00,"1,301"
2025/01/03,"1,254,485","134,069,887",106.5,108.5,105.5,106.0,+1.00,"1,125"
2025/01/06,"3,068,878","343,290,504",108.0,114.0,107.0,112.5,+6.50,"2,429"
2025/01/07,"1,441,320","163,425,484",113.0,115.0,111.5,113.0,+0.50,"3,190"
2025/01/08,"1,262,787","141,391,653",112.5,114.0,111.0,111.5,-1.50,"1,336"
2025/01/09,"1,141,173","129,142,121",112.5,115.0,111.0,114.0,+2.50,"1,310"
2025/01/10,"2,054,789","233,406,346",113.0,117.5,109.0,113.0,-1.00,"3,270"
2025/01/13,"784,515","86,267,116",111.0,112.5,108.5,109.5,-3.50,"1,237"
2025/01/14,"1,879,895","213,120,218",109.5,115.5,109.5,113.5,+4.00,"1,911"
2025/01/15,"1,398,052","158,881,074",113.5,117.0,111.5,111.5,-2.00,"1,341"
2025/01/16,"3,566,007","422,804,358",115.5,122.0,114.5,120.0,+8.50,"2,897"
2025/01/17,"1,552,569","186,931,531",120.0,123.0,118.5,120.5,+0.50,"2,096"
2025/01/20,"978,568","117,459,759",119.5,121.5,118.5,121.0,+0.50,"1,462"
2025/01/21,"1,192,151","146,008,514",121.0,125.5,120.0,123.5,+2.50,"1,879"
2025/01/22,"2,401,067","300,233,727",125.0,129.5,122.0,123.0,-0.50,"3,115"
2025/02/03,"808,425","98,736,650",120.0,124.5,120.0,123.0,0.00,"2,267"
2025/02/04,"629,305","76,555,309",122.0,123.0,120.5,121.0,-2.00,"1,433"
2025/02/05,"676,510","82,991,288",123.0,125.0,120.5,122.5,+1.50,878
2025/02/06,"742,873","91,217,318",123.0,124.0,120.5,124.0,+1.50,"1,545"
2025/02/07,"1,835,938","221,851,035",124.0,124.5,118.5,120.0,-4.00,"2,515"
2025/02/10,"669,212","79,888,433",119.5,121.0,118.0,119.5,-0.50,"1,719"
2025/02/11,"573,026","68,822,025",120.0,121.5,118.0,120.5,+1.00,"1,140"
2025/02/12,"462,972","55,218,405",120.0,120.5,118.5,118.5,-2.00,799
2025/02/13,"483,112","57,901,857",119.0,121.0,118.0,119.5,+1.00,475
2025/02/14,"2,151,977","262,126,422",120.0,127.0,117.0,118.5,-1.00,"1,708"
