日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"452,561","9,935,387",22.35,22.35,21.8,21.85,-0.20,355
2025/01/03,"217,509","4,763,720",22.05,22.1,21.75,22.0,+0.15,195
2025/01/06,"346,008","7,674,322",22.1,22.3,21.95,22.2,+0.20,185
2025/01/07,"240,712","5,351,738",22.4,22.4,22.1,22.1,-0.10,190
2025/01/08,"218,163","4,831,073",22.1,22.3,22.05,22.25,+0.15,172
2025/01/09,"683,877","15,403,790",22.3,22.8,22.25,22.6,+0.35,409
2025/01/10,"1,254,460","28,806,725",22.95,23.55,22.45,22.45,-0.15,778
2025/01/13,"640,070","14,112,098",22.45,22.55,21.75,22.25,-0.20,466
2025/01/14,"362,019","7,978,573",22.1,22.3,21.95,22.0,-0.25,277
2025/01/15,"365,979","8,088,177",22.05,22.25,22.0,22.1,+0.10,231
2025/01/16,"453,756","10,084,104",22.25,22.4,22.05,22.2,+0.10,246
2025/01/17,"273,635","6,127,117",22.4,22.5,22.25,22.35,+0.15,206
2025/01/20,"277,019","6,150,320",22.25,22.35,22.05,22.25,-0.10,202
2025/01/21,"145,428","3,249,172",22.4,22.45,22.25,22.35,+0.10,131
2025/01/22,"378,380","8,461,501",22.35,22.5,22.25,22.5,+0.15,237
2025/02/03,"763,227","16,997,010",22.35,22.6,21.95,22.35,-0.15,473
2025/02/04,"297,501","6,639,884",22.45,22.45,22.2,22.2,-0.15,205
2025/02/05,"319,233","7,135,332",22.45,22.6,22.25,22.25,+0.05,242
2025/02/06,"819,611","18,708,314",22.35,23.15,22.35,22.95,+0.70,527
2025/02/07,"455,139","10,371,842",23.2,23.2,22.6,22.7,-0.25,337
2025/02/10,"261,313","5,894,097",22.6,22.7,22.45,22.55,-0.15,208
2025/02/11,"280,333","6,295,083",22.5,22.7,22.35,22.35,-0.20,213
2025/02/12,"293,188","6,566,628",22.4,22.5,22.25,22.4,+0.05,226
2025/02/13,"590,069","13,398,210",22.5,22.85,22.45,22.8,+0.40,351
2025/02/14,"432,372","9,872,228",22.85,23.05,22.55,22.95,+0.15,321
2025/02/17,"319,221","7,305,784",23.2,23.2,22.75,22.85,-0.10,257
2025/02/18,"288,898","6,548,698",22.8,22.85,22.55,22.65,-0.20,226
2025/02/19,"2,490,113","58,115,524",22.65,23.65,22.65,23.35,+0.70,"1,294"
2025/02/20,"928,648","21,490,086",23.3,23.3,23.0,23.3,-0.05,491
2025/02/21,"572,203","13,334,929",23.3,23.4,23.2,23.25,-0.05,369
2025/02/24,"512,902","11,975,168",23.35,23.55,23.15,23.15,-0.10,377
2025/02/25,"717,241","16,527,120",23.05,23.2,22.8,23.0,-0.15,406
2025/02/26,"686,493","15,692,953",23.0,23.0,22.8,22.85,-0.15,338
2025/02/27,"667,626","15,345,077",22.85,23.1,22.85,23.1,+0.25,340
2025/03/03,"434,139","10,017,642",23.25,23.4,22.9,22.95,-0.15,325
2025/03/04,"604,709","13,694,522",22.7,22.85,22.4,22.85,-0.10,412
2025/03/05,"338,857","7,703,354",22.7,22.9,22.5,22.8,-0.05,244
2025/03/06,"178,033","4,072,582",23.05,23.05,22.8,22.85,+0.05,144
2025/03/07,"293,732","6,681,064",22.9,22.9,22.65,22.7,-0.15,213
2025/03/10,"386,355","8,767,566",22.6,22.95,22.45,22.85,+0.15,282
2025/03/11,"420,332","9,465,863",22.6,22.85,22.3,22.8,-0.05,338
2025/03/12,"315,575","7,170,231",22.55,22.85,22.55,22.7,-0.10,241
2025/03/13,"322,877","7,292,342",22.7,22.8,22.5,22.5,-0.20,224
2025/03/14,"329,787","7,459,818",22.8,22.8,22.5,22.7,+0.20,237
2025/03/17,"263,797","6,023,738",22.8,22.95,22.65,22.8,+0.10,203
2025/03/18,"263,516","6,048,361",22.95,23.05,22.85,22.95,+0.15,204
2025/03/19,"244,409","5,600,560",23.0,23.05,22.8,22.95,0.00,196
2025/03/20,"189,807","4,355,691",22.9,23.05,22.85,22.95,0.00,174
2025/03/21,"228,599","5,206,595",22.95,22.95,22.65,22.7,-0.25,229
2025/03/24,"134,297","3,040,374",22.7,22.75,22.55,22.6,-0.10,123
2025/03/25,"310,866","7,001,302",22.65,22.7,22.4,22.5,-0.10,187
2025/03/26,"328,805","7,339,418",22.5,22.5,22.1,22.35,-0.15,263
2025/03/27,"191,237","4,242,713",22.25,22.25,22.15,22.25,-0.10,151
2025/03/28,"624,990","13,764,413",22.25,22.25,21.9,21.95,-0.30,384
2025/03/31,"1,012,057","21,440,764",21.65,21.7,21.0,21.0,-0.95,708
2025/04/01,"277,732","5,905,277",21.0,21.5,21.0,21.2,+0.20,213
2025/04/02,"334,643","7,041,706",21.1,21.15,20.85,21.1,-0.10,241
2025/04/07,"740,349","14,066,664",19.0,19.0,19.0,19.0,-2.10,329
2025/04/08,"1,921,377","34,679,534",18.0,18.55,17.7,18.3,-0.70,936
2025/04/09,"2,346,006","40,234,275",18.35,18.35,16.5,16.65,-1.65,"1,270"
2025/04/10,"486,723","8,887,889",18.0,18.3,18.0,18.3,+1.65,279
2025/04/11,"775,946","13,705,079",17.55,17.95,16.95,17.8,-0.50,585
2025/04/14,"825,734","14,904,167",17.9,18.35,17.8,18.05,+0.25,580
2025/04/15,"648,553","12,050,445",18.05,18.85,18.05,18.75,+0.70,497
2025/04/16,"511,416","9,358,526",18.65,18.65,18.2,18.2,-0.55,358
2025/04/17,"376,579","6,933,640",18.2,18.65,18.0,18.6,+0.40,237
2025/04/18,"459,661","8,533,652",18.65,18.65,18.4,18.55,-0.05,229
2025/04/21,"314,523","5,689,641",18.5,18.5,17.85,18.15,-0.40,239
2025/04/22,"738,817","13,170,821",18.0,18.1,17.7,17.8,-0.35,374
2025/04/23,"551,640","10,027,181",18.05,18.35,18.0,18.2,+0.40,362
2025/04/24,"174,464","3,186,084",18.2,18.35,18.15,18.3,+0.10,143
2025/04/25,"219,129","4,051,872",18.35,18.75,18.35,18.55,+0.25,171
2025/04/28,"349,371","6,545,963",18.6,18.9,18.6,18.75,+0.20,268
2025/04/29,"305,641","5,782,798",18.95,19.1,18.8,18.9,+0.15,212
2025/04/30,"403,553","7,635,426",18.9,19.1,18.8,18.8,-0.10,300
2025/05/02,"157,690","2,977,613",18.95,19.0,18.7,18.95,+0.15,159
2025/05/05,"356,898","6,776,559",19.0,19.2,18.55,19.0,+0.05,251
2025/05/06,"259,111","4,939,766",19.0,19.25,18.9,19.25,+0.25,181
2025/05/07,"246,734","4,736,549",19.1,19.3,19.05,19.2,-0.05,179
2025/05/08,"201,295","3,860,031",19.3,19.4,19.05,19.2,0.00,158
2025/05/09,"249,453","4,742,356",19.1,19.1,18.8,19.05,-0.15,228
2025/05/12,"203,848","3,905,575",19.25,19.3,19.0,19.2,+0.15,159
2025/05/13,"217,227","4,147,256",19.1,19.2,19.0,19.1,-0.10,180
2025/05/14,"323,352","6,180,400",19.2,19.3,19.0,19.1,0.00,249
2025/05/15,"783,056","14,704,046",19.2,19.2,18.65,18.65,-0.45,599
2025/05/16,"261,496","4,900,770",18.65,18.9,18.65,18.7,+0.05,201
2025/05/19,"703,256","13,273,861",18.6,19.0,18.6,18.8,+0.10,401
2025/05/20,"481,778","8,980,599",18.9,18.9,18.55,18.65,-0.15,329
2025/05/21,"473,374","8,811,213",18.65,18.75,18.5,18.6,-0.05,354
2025/05/22,"632,551","11,539,034",18.4,18.45,18.1,18.15,-0.45,420
2025/05/23,"1,066,808","19,085,938",18.0,18.05,17.8,17.85,-0.30,668
2025/05/26,"773,670","13,773,835",17.85,17.95,17.7,17.8,-0.05,556
2025/05/27,"1,614,721","28,436,172",17.8,18.05,17.35,17.35,-0.45,"1,060"
2025/05/28,"1,122,104","19,480,985",17.65,17.7,17.2,17.2,-0.15,641
2025/05/29,"6,688,244","113,646,821",17.35,17.55,16.95,16.95,-0.25,"1,095"
2025/06/02,"1,624,641","28,285,531",17.0,17.75,16.8,17.5,+0.55,"1,114"
2025/06/03,"1,150,000","20,295,234",17.6,17.9,17.4,17.45,-0.05,707
2025/06/04,"715,666","12,564,598",17.5,17.7,17.45,17.45,0.00,550
2025/06/05,"789,652","13,763,404",17.45,17.65,17.3,17.35,-0.10,577
2025/06/06,"943,449","16,249,388",17.3,17.4,17.15,17.15,-0.20,659
2025/06/09,"1,151,498","19,547,574",17.4,17.4,16.85,16.95,-0.20,756
2025/06/10,"2,560,827","44,577,213",17.1,17.55,17.0,17.45,+0.50,936
2025/06/11,"1,524,473","26,490,568",17.5,17.6,17.2,17.4,-0.05,805
2025/06/12,"655,280","11,460,168",17.5,17.65,17.35,17.55,+0.15,423
2025/06/13,"1,295,267","22,221,321",17.35,17.35,17.05,17.05,-0.50,791
2025/06/16,"1,338,921","22,610,887",17.1,17.1,16.75,16.9,-0.15,726
2025/06/17,"458,491","7,778,497",17.0,17.15,16.8,16.95,+0.05,325
2025/06/18,"494,829","8,454,665",17.0,17.2,16.95,17.1,+0.15,384
2025/06/19,"777,788","13,136,192",17.05,17.05,16.8,16.8,-0.30,464
2025/06/20,"1,627,032","27,131,984",16.85,16.9,16.5,16.8,0.00,716
2025/06/23,"798,933","13,113,726",16.8,16.8,16.3,16.35,-0.45,506
2025/06/24,"576,200","9,655,323",16.55,16.9,16.45,16.8,+0.45,350
2025/06/25,"832,396","14,130,157",16.75,17.15,16.75,16.9,+0.10,436
2025/06/26,"1,284,524","22,503,953",16.95,17.75,16.95,17.5,+0.60,789
2025/06/27,"682,624","12,046,363",17.55,17.85,17.5,17.55,+0.05,441
2025/06/30,"985,762","16,907,323",17.5,17.5,16.9,17.0,-0.55,516
2025/07/01,"571,231","9,898,669",17.0,17.5,17.0,17.35,+0.35,396
2025/07/02,"376,095","6,545,817",17.2,17.6,17.2,17.3,-0.05,242
2025/07/03,"382,059","6,527,410",17.1,17.3,17.0,17.05,X0.00,241
2025/07/04,"256,220","4,343,543",17.1,17.1,16.85,17.0,-0.05,206
2025/07/07,"214,305","3,599,708",17.0,17.0,16.65,16.8,-0.20,168
2025/07/08,"574,477","9,529,236",16.75,16.75,16.5,16.55,-0.25,263
2025/07/09,"556,118","9,129,306",16.6,16.6,16.3,16.45,-0.10,338
2025/07/10,"220,646","3,624,044",16.25,16.55,16.25,16.4,-0.05,175
2025/07/11,"288,158","4,811,628",16.35,16.85,16.35,16.8,+0.40,240
2025/07/14,"328,203","5,454,187",17.0,17.0,16.5,16.55,-0.25,233
2025/07/15,"280,529","4,649,963",16.5,16.75,16.5,16.55,0.00,191
2025/07/16,"254,253","4,227,879",16.45,16.75,16.45,16.55,0.00,199
2025/07/17,"316,222","5,328,697",16.7,16.95,16.7,16.95,+0.40,240
2025/07/18,"227,002","3,839,215",17.1,17.1,16.8,16.9,-0.05,164
2025/07/21,"444,110","7,500,007",16.95,17.05,16.8,16.9,0.00,232
2025/07/22,"338,582","5,684,703",16.9,17.0,16.65,16.7,-0.20,222
2025/07/23,"651,364","11,122,386",16.85,17.25,16.8,17.15,+0.45,392
2025/07/24,"247,320","4,226,783",17.3,17.3,16.95,17.1,-0.05,250
2025/07/25,"239,984","4,099,184",16.95,17.25,16.95,17.1,0.00,191
2025/07/28,"287,282","4,892,997",17.1,17.15,16.95,17.15,+0.05,204
2025/07/29,"234,110","3,978,799",17.15,17.15,16.85,17.05,-0.10,187
2025/07/30,"243,953","4,156,829",17.0,17.15,16.9,17.15,+0.10,189
2025/07/31,"547,928","9,208,425",17.05,17.05,16.7,16.75,-0.40,398
2025/08/01,"279,617","4,664,535",16.5,16.8,16.4,16.8,+0.05,210
2025/08/04,"295,850","5,006,437",16.9,17.05,16.6,17.0,+0.20,197
2025/08/05,"1,161,202","20,398,071",17.0,17.8,17.0,17.55,+0.55,634
2025/08/06,"441,481","7,698,223",17.55,17.65,17.25,17.4,-0.15,332
2025/08/07,"488,034","8,408,304",17.35,17.4,17.15,17.15,-0.25,286
2025/08/08,"462,070","7,866,111",17.15,17.15,16.9,16.9,-0.25,294
2025/08/11,"608,726","10,155,753",16.75,16.85,16.55,16.65,-0.25,393
2025/08/12,"368,235","6,169,436",16.7,16.9,16.6,16.7,+0.05,216
2025/08/13,"327,060","5,462,410",16.8,16.85,16.55,16.65,-0.05,271
2025/08/14,"743,826","12,708,709",16.9,17.3,16.7,17.25,+0.60,503
2025/08/15,"726,356","12,585,664",17.3,17.45,17.1,17.45,+0.20,462
2025/08/18,"573,875","10,049,160",17.45,17.65,17.35,17.65,+0.20,369
2025/08/19,"462,976","8,125,919",17.55,17.65,17.35,17.55,-0.10,301
2025/08/20,"713,664","12,609,539",17.75,17.8,17.45,17.75,+0.20,475
2025/08/21,"1,320,591","23,990,115",18.0,18.5,17.8,18.1,+0.35,769
2025/08/22,"628,755","11,279,146",18.0,18.1,17.8,17.95,-0.15,371
2025/08/25,"563,712","10,142,268",18.1,18.2,17.85,17.95,0.00,364
2025/08/26,"339,621","6,076,524",17.9,18.2,17.8,17.85,-0.10,285
2025/08/27,"746,301","13,586,152",17.8,18.4,17.8,18.35,+0.50,501
2025/08/28,"760,742","13,801,906",18.2,18.4,17.95,18.1,-0.25,530
2025/08/29,"682,503","12,194,356",18.2,18.3,17.75,17.8,-0.30,508
2025/09/01,"317,233","5,655,566",17.85,18.05,17.7,17.7,-0.10,232
2025/09/02,"329,213","5,864,577",17.7,18.05,17.7,17.85,+0.15,218
2025/09/03,"596,169","10,848,318",18.05,18.4,18.0,18.05,+0.20,418
2025/09/04,"329,906","5,968,486",18.1,18.25,18.0,18.1,+0.05,236
2025/09/05,"403,752","7,304,132",18.3,18.35,17.95,18.2,+0.10,258
2025/09/08,"339,226","6,184,557",18.15,18.35,18.15,18.2,0.00,289
2025/09/09,"415,333","7,465,164",18.2,18.2,17.85,17.9,-0.30,276
2025/09/10,"4,339,619","82,595,899",18.5,19.35,18.5,18.85,+0.95,"2,447"
2025/09/11,"1,060,631","19,982,928",18.85,19.05,18.6,19.0,+0.15,650
2025/09/12,"1,278,920","24,468,222",19.0,19.3,18.85,19.3,+0.30,672
2025/09/15,"1,201,019","22,863,353",19.25,19.35,18.8,19.0,-0.30,636
2025/09/16,"530,715","10,078,362",19.05,19.15,18.85,18.95,-0.05,343
2025/09/17,"556,350","10,433,977",19.0,19.05,18.65,18.7,-0.25,476
2025/09/18,"817,849","15,431,626",18.9,18.95,18.75,18.9,+0.20,428
2025/09/19,"1,134,078","20,971,684",18.8,18.85,18.35,18.4,-0.50,660
2025/09/22,"659,850","12,294,272",18.6,18.9,18.35,18.75,+0.35,395
2025/09/23,"1,379,055","25,901,417",18.7,19.1,18.45,18.6,-0.15,715
2025/09/24,"1,520,260","28,793,389",18.6,19.15,18.6,19.05,+0.45,652
