日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"791,944","213,137,874",270.0,273.0,266.5,266.5,-3.00,"3,410"
2025/01/03,"792,758","210,590,274",266.0,267.5,264.5,264.5,-2.00,"1,799"
2025/01/06,"947,229","255,738,891",266.0,273.0,266.0,269.0,+4.50,"1,291"
2025/01/07,"1,287,095","351,994,038",273.0,277.0,271.5,272.0,+3.00,"4,187"
2025/01/08,"1,096,098","300,921,099",274.5,276.0,272.5,274.5,+2.50,"2,152"
2025/01/09,"1,108,887","302,788,150",275.5,277.0,270.0,270.0,-4.50,"5,418"
2025/01/10,"1,110,314","298,274,830",269.5,274.5,266.0,266.0,-4.00,"3,059"
2025/01/13,"1,987,733","524,678,377",269.0,271.5,259.5,261.5,-4.50,"2,354"
2025/01/14,"1,084,793","286,512,688",263.5,268.5,261.5,263.5,+2.00,"1,897"
2025/01/15,"1,107,860","287,917,297",263.0,263.5,258.0,258.0,-5.50,"2,062"
2025/01/16,"773,339","201,737,463",261.5,262.5,259.0,262.5,+4.50,998
2025/01/17,"728,651","190,864,530",264.0,264.5,260.0,260.5,-2.00,"1,079"
2025/01/20,"3,057,308","779,821,895",261.5,262.0,251.5,258.0,-2.50,"4,097"
2025/01/21,"964,324","247,414,142",257.0,258.5,255.0,256.5,-1.50,"1,358"
2025/01/22,"965,474","249,414,928",257.5,260.0,257.5,258.0,+1.50,"1,307"
2025/02/03,"1,088,559","281,072,289",256.0,261.0,253.5,259.0,+1.00,"1,448"
2025/02/04,"720,201","186,717,990",261.0,261.5,257.0,258.5,-0.50,"1,030"
2025/02/05,"1,523,856","405,077,163",261.0,268.5,261.0,266.0,+7.50,"1,819"
2025/02/06,"3,023,030","829,189,592",266.5,278.5,266.5,274.0,+8.00,"5,186"
2025/02/07,"1,933,303","533,180,779",273.5,279.5,271.0,278.0,+4.00,"4,353"
2025/02/10,"2,002,521","559,640,685",278.0,282.0,276.5,279.5,+1.50,"3,663"
2025/02/11,"2,057,315","571,035,749",280.5,282.0,275.5,276.5,-3.00,"6,719"
