日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"5,904,542","95,619,402",16.35,16.45,16.05,16.1,-0.25,"2,550"
2025/01/03,"5,175,123","83,565,116",16.2,16.4,16.0,16.0,-0.1,"1,958"
2025/01/06,"4,663,977","75,628,534",16.2,16.35,16.0,16.3,0.3,"1,659"
2025/01/07,"7,703,383","122,924,755",16.4,16.45,15.75,15.75,-0.55,"3,222"
2025/01/08,"4,122,762","64,692,434",15.75,15.8,15.55,15.7,-0.05,"1,943"
2025/01/09,"7,537,969","115,717,743",15.7,15.75,15.15,15.2,-0.5,"3,066"
2025/01/10,"5,877,777","88,496,694",15.2,15.3,14.95,15.0,-0.2,"2,676"
2025/01/13,"6,573,218","98,194,205",15.0,15.2,14.6,15.1,0.1,"2,820"
2025/01/14,"5,207,919","79,169,892",15.15,15.45,15.0,15.3,0.2,"2,443"
2025/01/15,"6,144,883","95,577,951",15.3,15.75,15.25,15.45,0.15,"2,165"
2025/01/16,"3,291,705","51,510,912",15.65,15.85,15.55,15.6,0.15,"1,340"
2025/01/17,"11,069,905","178,442,962",15.7,16.5,15.7,16.3,0.7,"4,057"
2025/01/20,"15,149,655","252,788,312",16.3,17.05,15.95,16.9,0.6,"5,931"
2025/01/21,"15,212,954","258,941,039",17.1,17.3,16.75,16.9,0.0,"4,812"
2025/01/22,"5,122,971","85,884,846",16.95,17.0,16.65,16.8,-0.1,"2,187"
2025/02/03,"7,125,113","118,003,710",16.5,16.95,16.15,16.8,0.0,"2,757"
2025/02/04,"3,814,547","63,074,439",17.0,17.0,16.25,16.4,-0.4,"1,486"
2025/02/05,"2,494,684","41,260,658",16.5,16.7,16.4,16.6,0.2,"1,108"
2025/02/06,"31,269,064","549,329,696",16.65,18.1,16.6,17.85,1.25,"12,019"
2025/02/07,"40,417,032","722,313,875",18.2,18.35,17.45,17.6,-0.25,"16,619"
2025/02/10,"18,206,627","321,238,312",17.9,18.0,17.4,17.5,-0.1,"6,138"
2025/02/11,"16,293,282","276,514,749",17.3,17.55,16.6,16.65,-0.85,"7,964"
2025/02/12,"5,766,495","96,624,277",16.75,17.0,16.6,16.6,-0.05,"2,419"
2025/02/13,"15,750,699","269,374,955",16.75,17.5,16.65,17.4,0.8,"5,436"
2025/02/14,"10,227,763","176,077,409",17.25,17.45,17.05,17.15,-0.25,"4,129"
2025/02/17,"13,834,456","235,846,790",17.3,17.4,16.9,16.95,-0.2,"6,055"
2025/02/18,"17,255,458","289,474,886",17.05,17.25,16.55,16.65,-0.3,"5,994"
2025/02/19,"13,691,602","231,907,740",16.6,17.3,16.6,16.8,0.15,"5,345"
2025/02/20,"16,802,417","279,749,694",16.75,17.05,16.4,16.7,-0.1,"5,443"
2025/02/21,"7,725,001","129,036,567",16.7,16.9,16.5,16.8,0.1,"2,682"
2025/02/24,"23,403,168","385,388,056",16.65,16.75,16.25,16.45,-0.35,"6,289"
2025/02/25,"6,295,090","103,311,125",16.3,16.55,16.25,16.45,0.0,"2,431"
2025/02/26,"26,199,081","442,947,119",16.45,17.25,16.35,16.9,0.45,"7,694"
2025/02/27,"39,049,998","670,518,766",17.2,17.7,16.8,16.95,0.05,"13,062"
2025/03/03,"8,314,373","138,603,958",16.8,17.0,16.55,16.7,-0.25,"3,087"
2025/03/04,"12,241,151","200,500,740",16.5,16.55,16.25,16.4,-0.3,"3,934"
2025/03/05,"15,930,496","262,957,731",16.45,16.85,16.3,16.7,0.3,"3,773"
2025/03/06,"16,420,074","277,555,180",16.7,17.15,16.55,17.0,0.3,"5,541"
2025/03/07,"13,554,715","231,631,270",17.05,17.4,16.8,16.8,-0.2,"4,744"
2025/03/10,"62,171,694","1,114,485,807",17.25,18.3,17.25,17.95,1.15,"17,541"
2025/03/11,"31,643,257","563,802,611",17.8,18.05,17.45,17.95,0.0,"10,244"
2025/03/12,"21,344,620","373,783,132",17.85,17.9,17.3,17.35,-0.6,"6,974"
2025/03/13,"32,662,319","579,438,892",17.6,18.15,17.25,17.65,0.3,"10,125"
2025/03/14,"49,368,801","886,822,811",18.5,18.6,17.5,17.7,0.05,"15,538"
2025/03/17,"14,823,348","262,237,209",17.75,17.95,17.5,17.55,-0.15,"4,487"
2025/03/18,"15,080,505","262,029,832",17.65,17.7,17.15,17.15,-0.4,"5,186"
