日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"42,655","736,120",17.25,17.5,17.15,17.5,0.2,49
2025/01/03,"28,492","493,430",17.2,17.45,17.15,17.4,-0.1,30
2025/01/06,"63,550","1,081,184",17.3,17.3,16.85,16.85,-0.55,64
2025/01/07,"130,120","2,139,096",16.8,16.85,16.3,16.35,-0.5,176
2025/01/08,"102,201","1,696,677",17.0,17.0,16.4,16.6,0.25,72
2025/01/09,"95,062","1,553,832",16.5,16.5,16.15,16.35,-0.25,68
2025/01/10,"121,030","1,946,092",16.35,16.35,15.85,16.0,-0.35,81
2025/01/13,"261,322","3,885,958",16.0,16.0,14.45,14.65,-1.35,169
2025/01/14,"156,682","2,373,843",14.5,15.7,14.5,15.45,0.8,123
2025/01/15,"129,886","1,956,159",15.45,15.45,14.9,15.0,-0.45,83
2025/01/16,"61,087","920,368",15.2,15.25,14.95,15.0,0.0,48
2025/01/17,"206,396","3,076,222",15.0,15.1,14.7,14.9,-0.1,87
2025/01/20,"179,367","2,637,000",14.95,14.95,14.5,14.6,-0.3,103
2025/01/21,"42,100","617,069",14.65,14.75,14.55,14.75,0.15,34
2025/01/22,"70,077","1,030,506",14.65,14.8,14.6,14.6,-0.15,53
2025/02/03,"136,384","2,035,437",14.6,15.15,14.6,14.8,0.2,92
2025/02/04,"116,913","1,738,455",14.8,15.3,14.7,14.75,-0.05,63
2025/02/05,"171,766","2,582,261",14.8,15.3,14.75,15.2,0.45,130
2025/02/06,"121,905","1,837,193",15.15,15.15,14.95,15.05,-0.15,107
2025/02/07,"95,132","1,431,084",15.2,15.2,15.0,15.0,-0.05,76
2025/02/10,"236,286","3,616,794",15.05,15.5,15.0,15.5,0.5,125
2025/02/11,"97,286","1,512,744",15.85,15.85,15.5,15.5,0.0,62
2025/02/12,"505,659","8,406,390",15.5,17.05,15.5,17.05,1.55,319
2025/02/13,"311,165","5,212,548",16.95,17.05,16.25,16.8,-0.25,286
2025/02/14,"225,441","3,746,842",16.75,16.85,16.2,16.75,-0.05,110
2025/02/17,"134,423","2,248,385",17.1,17.3,16.5,16.6,-0.15,97
2025/02/18,"154,228","2,547,714",16.65,16.75,16.4,16.45,-0.15,109
2025/02/19,"1,100,620","16,975,935",15.15,15.6,15.15,15.5,-0.95,"1,147"
2025/02/20,"430,072","6,661,781",15.4,15.55,15.4,15.5,0.0,351
2025/02/21,"277,688","4,290,381",15.45,15.5,15.4,15.5,0.0,237
2025/02/24,"451,017","7,092,440",15.5,16.0,15.5,15.8,0.3,353
2025/02/25,"248,700","3,886,327",15.8,15.8,15.5,15.6,-0.2,182
2025/02/26,"281,171","4,461,374",15.55,16.05,15.55,15.75,0.15,179
2025/02/27,"252,321","3,976,502",15.8,15.85,15.6,15.75,0.0,127
2025/03/03,"262,656","4,108,746",15.75,15.9,15.5,15.9,0.15,146
2025/03/04,"132,498","2,072,646",15.7,15.8,15.5,15.7,-0.2,94
2025/03/05,"225,829","3,605,869",15.6,16.05,15.6,16.05,0.35,199
2025/03/06,"364,427","5,888,896",16.45,16.45,15.95,16.0,-0.05,155
2025/03/07,"121,668","1,948,057",16.0,16.1,15.9,16.1,0.1,117
2025/03/10,"162,674","2,609,725",16.1,16.25,15.95,16.1,0.0,109
2025/03/11,"139,983","2,188,618",15.9,15.9,15.5,15.7,-0.4,118
2025/03/12,"96,516","1,514,406",15.7,15.85,15.55,15.7,0.0,74
2025/03/13,"132,458","2,080,318",15.8,15.85,15.55,15.7,0.0,88
2025/03/14,"66,638","1,039,025",15.6,15.7,15.55,15.55,-0.15,52
2025/03/17,"128,798","2,014,227",15.6,15.8,15.55,15.75,0.2,83
2025/03/18,"57,871","909,582",15.75,15.8,15.65,15.8,0.05,72
2025/03/19,"173,254","2,759,330",15.8,16.15,15.8,15.85,0.05,115
2025/03/20,"73,211","1,160,927",15.85,15.95,15.8,15.8,-0.05,64
2025/03/21,"338,563","5,431,279",15.85,16.2,15.75,16.1,0.3,252
2025/03/24,"145,181","2,348,641",16.25,16.3,16.1,16.15,0.05,101
2025/03/25,"202,647","3,257,107",16.05,16.2,15.95,16.15,0.0,117
2025/03/26,"67,752","1,085,496",16.15,16.15,16.0,16.0,-0.15,47
2025/03/27,"131,796","2,108,010",16.0,16.1,15.95,16.1,0.1,60
2025/03/28,"215,952","3,453,556",16.15,16.15,15.85,16.1,0.0,122
2025/03/31,"380,487","5,988,420",15.7,16.0,15.4,16.0,-0.1,204
2025/04/01,"213,318","3,453,851",16.3,16.3,16.05,16.05,0.05,116
2025/04/02,"50,664","811,475",16.0,16.15,15.9,16.0,-0.05,44
2025/04/07,"118,234","1,702,564",14.4,14.4,14.4,14.4,-1.6,70
2025/04/08,"308,336","4,096,324",13.2,13.75,13.05,13.75,-0.65,176
2025/04/09,"282,126","3,600,005",13.8,13.8,12.4,12.45,-1.3,130
2025/04/10,"160,621","2,179,098",13.5,13.65,13.25,13.65,1.2,178
2025/04/11,"207,354","2,761,768",13.2,13.7,13.2,13.7,0.05,121
2025/04/14,"207,348","2,890,787",13.8,14.3,13.7,14.0,0.3,118
2025/04/15,"165,616","2,424,507",14.1,14.95,14.1,14.95,0.95,123
2025/04/16,"198,467","2,997,560",15.15,15.3,14.95,15.05,0.1,106
2025/04/17,"279,851","4,302,851",15.35,15.7,15.05,15.7,0.65,162
2025/04/18,"137,206","2,149,009",15.8,15.85,15.55,15.55,-0.15,85
2025/04/21,"303,673","4,526,751",15.45,15.45,14.45,14.75,-0.8,165
2025/04/22,"39,396","568,615",14.55,14.6,14.35,14.35,-0.4,37
2025/04/23,"72,702","1,063,636",14.4,14.95,14.4,14.95,0.6,60
2025/04/24,"52,575","767,015",14.65,14.85,14.5,14.85,-0.1,34
2025/04/25,"73,009","1,089,935",14.8,15.05,14.75,15.05,0.2,37
2025/04/28,"124,016","1,896,008",14.75,15.4,14.75,15.4,0.35,67
2025/04/29,"88,334","1,367,488",15.45,15.7,15.35,15.45,0.05,42
2025/04/30,"20,000","305,800",15.45,15.45,15.2,15.2,-0.25,18
2025/05/02,"91,874","1,399,569",15.2,15.35,15.15,15.25,0.05,47
2025/05/05,"75,087","1,154,790",15.3,15.65,15.1,15.25,0.0,51
2025/05/06,"45,731","699,048",15.25,15.35,15.2,15.35,0.1,44
2025/05/07,"33,601","511,786",15.3,15.35,15.15,15.2,-0.15,27
2025/05/08,"80,303","1,208,688",15.1,15.2,14.85,15.1,-0.1,75
2025/05/09,"70,745","1,066,285",15.3,15.3,14.95,15.15,0.05,57
2025/05/12,"53,850","810,160",15.15,15.15,14.95,15.15,0.0,46
2025/05/13,"118,972","1,764,890",15.0,15.0,14.75,14.85,-0.3,63
2025/05/14,"92,016","1,357,882",14.85,14.95,14.7,14.7,-0.15,151
2025/05/15,"84,697","1,239,296",14.7,14.75,14.55,14.7,0.0,64
2025/05/16,"65,088","948,080",14.6,14.65,14.5,14.55,-0.15,72
2025/05/19,"120,324","1,729,082",14.55,14.65,14.2,14.65,0.1,79
2025/05/20,"71,207","1,035,539",14.6,14.6,14.5,14.6,-0.05,31
2025/05/21,"60,659","888,212",14.6,14.7,14.55,14.7,0.1,36
2025/05/22,"14,117","207,265",14.75,14.75,14.65,14.65,-0.05,22
2025/05/23,"55,995","809,064",14.6,14.6,14.4,14.45,-0.2,41
2025/05/26,"33,700","488,029",14.45,14.55,14.4,14.45,0.0,31
2025/05/27,"55,005","787,021",14.45,14.45,14.2,14.25,-0.2,38
2025/05/28,"113,545","1,587,447",14.35,14.35,13.7,13.9,-0.35,81
2025/05/29,"47,074","651,901",13.8,13.95,13.8,13.95,0.05,36
2025/06/02,"25,149","343,696",13.95,14.0,13.55,13.6,-0.35,28
2025/06/03,"66,400","899,740",13.45,13.65,13.45,13.65,0.05,34
2025/06/04,"40,203","545,580",13.65,13.7,13.45,13.7,0.05,35
2025/06/05,"47,330","638,406",13.55,13.65,13.35,13.65,-0.05,44
2025/06/06,"21,410","289,876",13.65,13.65,13.35,13.6,-0.05,29
2025/06/09,"36,427","494,019",13.65,13.65,13.5,13.6,0.0,26
2025/06/10,"52,590","707,601",13.5,13.55,13.4,13.55,-0.05,38
2025/06/11,"42,056","566,540",13.55,13.55,13.35,13.5,-0.05,39
2025/06/12,"117,213","1,548,499",13.35,13.35,13.15,13.3,-0.2,60
2025/06/13,"39,174","515,849",13.2,13.2,13.1,13.2,-0.1,24
2025/06/16,"114,898","1,487,512",13.15,13.15,12.8,12.85,-0.35,89
2025/06/17,"182,331","2,330,170",13.0,13.1,12.5,12.85,0.0,105
2025/06/18,"175,482","2,265,971",12.75,13.2,12.65,13.15,0.3,105
2025/06/19,"72,396","937,711",13.15,13.15,12.8,13.15,0.0,56
2025/06/20,"30,656","398,768",12.95,13.15,12.95,13.0,-0.15,22
2025/06/23,"18,409","234,680",12.85,12.85,12.65,12.65,-0.35,22
2025/06/24,"200,997","2,664,083",12.65,13.9,12.65,12.9,0.25,153
2025/06/25,"69,400","911,418",12.9,13.3,12.9,13.3,0.4,54
2025/06/26,"185,137","2,517,989",13.3,13.85,13.25,13.55,0.25,97
2025/06/27,"71,619","967,285",13.7,13.75,13.3,13.4,-0.15,78
2025/06/30,"22,054","289,659",13.3,13.3,13.0,13.0,-0.4,18
2025/07/01,"62,125","828,988",13.35,13.55,13.15,13.3,0.3,59
2025/07/02,"46,117","605,680",13.25,13.3,13.0,13.2,-0.1,31
